relative_time,cts,e_cts
2174.25937,-3499.9483645697464,1345.4663028892153
2174.26631,-1109.2975448094933,1345.5661515755007
2174.27326,-3000.0790564880067,1343.322861820638
2174.2802,-1414.3081578292492,1333.8850419368268
2174.28715,-1126.59171022337,1336.8357486150662
2174.29409,339.927817279417,1341.8353028696124
2174.30103,13.571623304979976,1358.5247819269869
2174.30798,-2126.864830474895,1339.6481250250392
2174.31492,-37.62922341618591,1314.7717317818158
2174.32187,-1828.0594149301628,1313.9737899034708
2174.32881,-1518.0839997453147,1323.2481902056536
2174.33576,-676.3721190164268,1337.2715906735375
2174.3427,-5101.223441751911,1344.3972947131278
2174.34965,-451.82395108301205,1360.4181774738818
2174.35659,1406.6148928360367,1326.859864673072
2174.36353,-3428.413646502985,1299.4126644221792
2174.37048,-118.46580441191888,1328.5016889967967
2174.37742,-4004.2857742209667,1344.6022472797135
2174.38437,-1168.5656229108758,1297.1973458612672
2174.39131,-3761.7731493531787,1324.0518958451762
2174.39826,-4142.107983891688,1337.1180033903888
2174.4052,2999.147022401085,1313.4094498752127
2174.41215,-3334.491462887467,1326.443348166785
2174.41909,-1527.702700016675,1346.381384737379
2174.42604,-4989.979799618116,1352.8086565401345
2174.43298,385.9012716571274,1325.7603424672202
2174.43992,-1591.1250937481236,1320.887421436197
2174.44687,-2695.4430879448055,1305.3915495097822
2174.45381,-2796.180749630639,1300.5557538816395
2174.46076,-3566.9500539925866,1316.4881459560759
2174.4677,-4084.515126024383,1320.8750463019037
2174.47465,-340.558949128382,1333.960648921688
2174.48159,-742.7991275453656,1329.7114007545763
2174.48854,-8.79549955726574,1321.3763240019814
2174.49548,-1799.5384598763299,1328.6384935635747
2174.50242,3447.016524748989,1293.258832230592
2174.50937,-691.601501749564,1300.6749281201091
2174.51631,-277.7564987683179,1320.8713168093768
2174.52326,-3841.6344680531565,1310.8796672853377
2174.5302,-603.8051791316826,1306.3678289398626
2174.53715,-3147.9578427572105,1327.125506254412
2174.54409,280.7650125807224,1323.4122878768324
2174.55104,3695.377163421167,1301.4713442969658
2174.55798,-1089.8107768346406,1337.3453329121353
2174.56493,3808.9054587723945,1330.4766248121182
2174.57187,-4481.855768395494,1326.921062254989
2174.57881,-979.0092490876575,1330.7319255278155
2174.58576,-4650.940449172012,1298.4094309324732
2174.5927,-1011.3359817426897,1305.5332702258002
2174.59965,-4186.749331347785,1309.462290602771
2174.60659,5.973629893588188,1316.4610223740628
2174.61354,347.50089089983436,1319.3913863657926
2174.62048,-3949.7275366137537,1327.7159527303575
2174.62743,1163.6825305365978,1330.9660359450652
2174.63437,-849.1900218122595,1318.3908652342877
2174.64132,-4368.309164626407,1314.3558933650788
2174.64826,-4294.857656923265,1294.1030537207466
2174.6552,-3606.9647964468154,1306.3654556264366
2174.66215,-3884.029813396189,1325.2585561999797
2174.66909,214.21493079839956,1327.8692009687309
2174.67604,-4548.467725849285,1314.1228000821545
2174.68298,-2339.5679606208446,1310.1968311081605
2174.68993,2680.1309782865283,1309.1393504544287
2174.69687,-2593.1653153677953,1309.0303475592139
2174.70382,-1105.919302669774,1302.2472482649252
2174.71076,-387.34916236945884,1300.715443970741
2174.7177,-1116.3089907598537,1309.6211330799345
2174.72465,1223.4703642783045,1294.1228878400937
2174.73159,3010.0249349673986,1311.3728079108116
2174.73854,-1193.7090139145398,1300.3165577927623
2174.74548,585.1558517514814,1311.0383402401137
2174.75243,-3484.2800883751615,1293.7423100799738
2174.75937,-3214.6338796735067,1307.0099797440205
2174.76632,-106.10643570053246,1307.9369281593147
2174.77326,-967.8795957757856,1288.4898284231563
2174.7802,338.6948809545386,1287.7541012610536
2174.78715,-1847.650439173378,1294.974059748139
2174.79409,-3738.3790598669657,1307.7016310853521
2174.80104,606.9852496003193,1305.2594915698564
2174.80798,492.5866263112498,1310.1232583919502
2174.81493,1411.0572270026034,1302.859393606481
2174.82187,1669.217107288916,1310.3556735853242
2174.82882,-1176.5101200824836,1310.3548259733861
2174.83576,188.0591520961004,1313.9944716347557
2174.8427,1104.1945818985223,1305.1713399283142
2174.84965,-413.7670226829586,1301.397941103143
2174.85659,-1406.228551314739,1311.8361125960712
2174.86354,-621.9886589908104,1314.492358887082
2174.87048,-90.95147329554356,1316.785996791056
2174.87743,-1685.7928368242235,1299.041071348601
2174.88437,-1575.5093694936888,1313.7829076950543
2174.89132,-3347.9435729092024,1318.5174984578111
2174.89826,-5441.176687389465,1321.7179116129576
2174.90521,-177.5374060660948,1328.3467455345474
2174.91215,-4839.588013475407,1318.0796221306887
2174.91909,-4756.487969560689,1319.1179467546237
2174.92604,-606.3063124380564,1317.0646915962398
2174.93298,633.291394660403,1307.1303406392033
2174.93993,1030.713916344715,1309.7389511393035
2174.94687,-6816.974274909494,1299.571337376955
2174.95382,-5732.899457581051,1309.8918603329018
2174.96076,-3358.6773914460723,1317.3833936848926
2174.96771,166.88072021557446,1291.1579412812976
2174.97465,-5082.069615746268,1300.4123379417458
2174.98159,154.42251995222816,1301.7810616990766
2174.98854,800.9746338587871,1312.6065918476281
2174.99548,-2730.8568232776915,1311.1176767175018
2175.00243,-2487.1327914282483,1310.6331817337946
2175.00937,-1716.9695296019042,1313.2897670695804
2175.01632,1105.9194721921615,1290.7566817898926
2175.02326,-2402.318367607921,1280.8399611611644
2175.03021,2542.2095980190716,1297.7162538896534
2175.03715,-2978.119974012669,1306.9431879233134
2175.04409,1204.9188513157376,1318.7946675615065
2175.05104,-5877.05078559212,1318.625653741088
2175.05798,-5162.402545728496,1307.105759893004
2175.06493,2094.9308811918886,1298.4287564846575
2175.07187,1688.5194349060805,1315.8719320772182
2175.07882,429.2447557139022,1305.3100092413556
2175.08576,-209.6995324827853,1308.3459856805482
2175.09271,-5582.3500156178925,1310.246331645334
