relative_time,cts,e_cts
1842.51233,3338.1774577272977,1082.6554964222987
1842.53316,1034.5022242577932,1082.911920633633
1842.554,-4056.3207542450996,1082.1090081897273
1842.57483,-4414.3777073575,1084.8505469112374
1842.59566,-4903.863916762115,1084.1543721031553
1842.6165,-1470.034833143252,1085.3321885920152
1842.63733,-2190.525299793515,1084.636754282893
1842.65817,-3193.519716440297,1085.4563808461846
1842.679,734.8344604356924,1084.5246215832171
1842.69983,-2788.644822359627,1084.3630870243446
1842.72067,594.4978479377118,1085.034719581177
1842.7415,2941.721190538711,1085.7417903025296
1842.76233,-4952.138842327212,1085.1930805730776
1842.78317,790.8161818210625,1082.0470178482083
1842.804,1083.573080419458,1084.1130099469542
1842.82483,-361.53708665385057,1084.333678637071
1842.84567,317.7991982174327,1083.3710299889099
1842.8665,441.3966201506802,1084.2760255037472
1842.88733,-3443.4246807152804,1082.7111396298737
1842.90817,-345.57838199308804,1082.8872725968174
1842.929,-2361.3154609544213,1082.9317025344249
1842.94983,2341.6922385111366,1083.9164603658242
1842.97067,168.25215386786462,1084.3736655809178
1842.9915,-1402.696713919855,1083.4280484088395
1843.01233,64.5459092159007,1084.200283038683
1843.03317,-650.8292964033918,1084.2910470540812
1843.054,-2860.7240390680004,1084.8912743540443
1843.07483,839.3604374365135,1084.6226848026508
1843.09567,-2466.875386074707,1083.323638055462
1843.1165,-2094.6270877482293,1082.952965433137
1843.13733,-893.4149573853781,1083.9136041555494
1843.15817,-2275.6040815324295,1082.9271537550983
1843.179,-2189.1029070766826,1083.452273303392
1843.19983,-4311.634957638223,1083.4744882721957
1843.22067,846.416863598666,1084.9541109800894
1843.2415,-3566.7422998271663,1084.0517601043953
1843.26233,1756.2591557009994,1084.2872387737148
1843.28317,159.98448297808076,1085.1991103503244
1843.304,-6923.844266336088,1083.1904540282053
1843.32483,-1150.500222719986,1083.8452666800863
1843.34567,-1609.776930761819,1083.9154025101666
1843.3665,238.09421743213744,1084.672721375242
1843.38733,-1397.2836665213492,1083.612538435476
1843.40817,-1997.9477550855786,1082.5116280529032
1843.429,166.32294250561029,1083.5285446962848
1843.44983,-2618.608806496824,1083.7469918895215
1843.47067,-5574.532238162883,1082.2337293717253
1843.4915,-3232.885804801709,1083.1643249934696
1843.51233,363.8953642707139,1083.7496365286645
1843.53317,-2512.623940758993,1083.085197390302
1843.554,766.3682912958734,1084.2697841553688
1843.57483,-1232.884963456404,1084.163892804071
1843.59567,-827.4990193076825,1084.6501890497411
1843.6165,-170.82147368836323,1084.8810131541682
1843.63734,-1228.5035368949164,1085.3255241013742
1843.65817,1146.4110816766156,1084.8226195218842
