relative_time,cts,e_cts
1842.50989,-527.1853135534105,1060.9516010168054
1842.53073,3735.448040978265,1066.8323662586959
1842.55156,382.19145261820415,1055.4636095778515
1842.57239,5098.69023304514,1057.0944957183312
1842.59323,-226.88199263555333,1051.0153577003198
1842.61406,510.74677990101924,1057.5925745501502
1842.63489,92.76160050834382,1048.2359919431092
1842.65573,585.1696330757518,1041.6110067570376
1842.67656,-239.09147203424376,1036.8014330372855
1842.69739,2894.4342046424445,1045.3265245600012
1842.71823,3046.781705744409,1059.3640820849582
1842.73906,1352.8760337242175,1038.803731410113
1842.75989,3967.153562128428,1075.2267120880588
1842.78073,-3306.190070955532,1079.8460712194526
1842.80156,2580.828529199442,1076.083214458551
1842.82239,-908.2059588831127,1043.4595876972865
1842.84323,367.42277118731624,1053.6838365107053
1842.86406,3396.51731117336,1081.617793443412
1842.88489,1959.1978081213272,1038.0626244586306
1842.90573,3907.863932564079,1043.3018985154024
1842.92656,-2026.5296933063403,1033.8507453370612
1842.94739,-2218.0164222328776,1050.4326913427524
1842.96823,-1858.8829065351938,1036.83267030885
1842.98906,3410.192151376611,1050.1091547912215
1843.00989,716.8095067448422,1057.191642559451
1843.03073,1923.8673805361082,1051.97008035769
1843.05156,1368.3201272261842,1053.9742035883066
1843.07239,1512.4619942630832,1053.0394470220394
1843.09323,-1070.0896300674704,1042.3992379773063
1843.11406,-2147.093753642008,1055.5126660490027
1843.13489,-93.3752894483242,1038.545138326955
1843.15573,-1761.0363934701122,1046.961489794362
1843.17656,-313.21762480140166,1056.63785189278
1843.19739,-3643.36571694573,1048.0187265216432
1843.21823,-3134.8656590166875,1043.001870425977
1843.23906,2054.379384747026,1045.6840893420676
1843.25989,4460.155961612168,1038.1003024047445
1843.28073,1356.1740884718054,1064.2688704434654
1843.30156,-2997.7513193251966,1055.695688550781
1843.32239,5635.978710730441,1048.1920880115977
1843.34323,-641.5708347938544,1042.2036561601567
1843.36406,-555.647298454591,1053.3540739737768
1843.38489,2112.930590974289,1041.2936961909047
1843.40573,2676.3313881405793,1040.3622673064879
