relative_time,cts,e_cts
1842.51545,392.8163286856494,1283.2840184737745
1842.53628,6753.7232519893705,1272.7223537938098
1842.55712,1643.51193011169,1275.4090854427716
1842.57795,514.5215845000531,1272.1988912609922
1842.59879,-52.52056001408586,1270.1481025937771
1842.61962,-2739.5607980572095,1269.452611139068
1842.64045,-1762.4878266817325,1264.9267102595934
1842.66129,-1394.2334533848932,1270.3161182306055
1842.68212,494.70539293187386,1267.6674585561607
1842.70295,-2376.207730493985,1268.4142549793783
1842.72379,-1797.6136160937845,1261.509777663485
1842.74462,-533.6722215507504,1269.4676880748452
1842.76545,-1233.713765316845,1270.0471196642177
1842.78629,-5205.943681435705,1259.2415123327185
1842.80712,-226.46414428219597,1270.5470448224764
1842.82795,-3603.860567628323,1274.7406023118654
1842.84879,-1555.0406879043508,1273.664824980642
1842.86962,-2477.4686613942613,1271.277679638278
1842.89045,89.90214103306012,1272.4389290946278
1842.91129,1921.0517433181121,1268.491375132887
1842.93212,-1237.6184747488585,1278.8483622746364
1842.95296,279.4082685711787,1277.1905501421077
1842.97379,-505.6267347272181,1277.4686599502602
1842.99462,1694.490520924256,1278.0404988381622
1843.01546,2178.7726532772585,1277.9459154712706
1843.03629,324.6746531330674,1272.5548804928005
1843.05712,-604.7914292186191,1276.9007258802576
1843.07796,3628.693148590979,1275.9906863754213
1843.09879,-1124.3878669144729,1272.85815468297
1843.11962,3311.548611374984,1277.7600027524043
1843.14046,-1293.2672277688412,1274.688104204554
1843.16129,-1318.9879378692326,1267.9743121627375
1843.18212,-933.2529964437416,1268.798337206628
1843.20296,-2805.5011325191294,1266.5508975713235
1843.22379,-339.1953692941425,1265.7022504812355
1843.24462,-4874.8518939539945,1274.9808570798284
1843.26546,-1419.6619529458294,1270.507562774829
1843.28629,3088.3449900386013,1273.2073104834549
1843.30712,2987.616632912908,1272.2781807577785
1843.32796,477.381993723664,1272.1981319908452
1843.34879,2220.2954021454743,1271.6419123745402
1843.36962,1757.0336638138922,1273.458954303624
1843.39046,2507.9664823256408,1272.5015146481785
1843.41129,2275.435552634089,1271.4671717735519
1843.43212,2225.561266016843,1274.3576047562542
1843.45296,-4487.192853508684,1271.9539724049828
1843.47379,545.6670628668768,1271.198173207164
1843.49462,883.510388963429,1272.1299061447735
1843.51546,-207.44985045647834,1271.0247342121424
1843.53629,907.7897873903684,1268.1159702787465
1843.55713,292.78248681018977,1268.8061468424264
1843.57796,260.581948340441,1267.913245149481
1843.59879,-516.7146820862607,1269.5776737790054
1843.61963,1936.6005112583098,1264.5432788353269
1843.64046,734.5335595396775,1268.590188719169
1843.66129,3026.172154046404,1269.473545301694
1843.68213,833.3627650932408,1265.0107723115896
1843.70296,3667.6610618814943,1269.3629087945505
1843.72379,-800.7908350544146,1267.5996665787443
1843.74463,-2848.5302733591175,1264.7586946227648
1843.76546,4283.093553744027,1271.1817946654205
1843.78629,2075.263523471531,1270.14398084155
1843.80713,27.26474017802444,1264.956972598312
1843.82796,2689.6835828265384,1270.6025800103757
1843.84879,1048.0675502720635,1273.5470296406834
1843.86963,3011.214315214949,1276.5599220513905
1843.89046,-1773.006538364806,1272.6863426954062
1843.91129,-652.7088597325578,1276.0050040410517
1843.93213,-817.1676413235656,1276.2370153045613
1843.95296,-2043.6384033060913,1277.876062617741
1843.97379,364.74198959652875,1274.8514557533365
1843.99463,2108.7112173914115,1272.8655304501128
1844.01546,-263.4462407366516,1272.7956775965831
1844.03629,2467.065684175033,1272.7350444519823
1844.05713,2749.6944513085577,1271.9987693436594
1844.07796,3068.2548104144967,1269.2291687815039
1844.09879,1608.9657892233379,1267.9274543479473
1844.11963,1146.9804924761313,1265.2867127764648
1844.14046,-576.717523998154,1272.6822209431793
1844.1613,-3623.704418323288,1268.5397514879714
1844.18213,-943.4043298428008,1269.3071566723236
1844.20296,2281.740857336786,1273.3090526831613
1844.2238,1211.6086996567642,1270.7868657217841
1844.24463,-2763.8024499111225,1276.3629456818096
1844.26546,3070.1869360044425,1278.5923797679122
1844.2863,1552.7207922035839,1280.141724736575
1844.30713,-300.4212868254559,1275.7357885403362
1844.32796,54.441838887645105,1273.209588293896
1844.3488,884.8771836953052,1269.4355817943408
1844.36963,1250.6042720740654,1270.2480008516975
1844.39046,-1352.4317269712137,1270.1223958759406
1844.4113,-4051.23468659979,1253.7709709231347
1844.43213,461.9832358710932,1265.856599255417
1844.45296,99.42826969959548,1253.5451422879655
1844.4738,1891.2724088801813,1273.749863237113
1844.49463,1262.3423716133207,1279.4104391177902
1844.51546,-6038.9884208044905,1279.6236855619509
1844.5363,-404.2253388497354,1275.4867479320997
1844.55713,3841.915621508408,1283.6189650757926
1844.57796,-642.8908459280589,1285.5233230717888
1844.5988,135.77323003350196,1284.5965796237174
1844.61963,3569.4726803320514,1283.7309031889024
1844.64046,-579.0372027645932,1281.4683866178207
1844.6613,-2284.3402729188356,1272.7929659174868
1844.68213,-546.5842612045282,1276.3419030520197
1844.70296,2094.476854542943,1266.0125750370562
1844.7238,804.9602043662615,1275.2437814850398
1844.74463,4284.908317862671,1270.8972852945997
1844.76546,1402.9068132091136,1268.0386331909103
1844.7863,-285.0363043026962,1266.3403628062595
1844.80713,-156.13728924636868,1268.6765285816064
1844.82796,1779.860903850993,1265.0381060368838
1844.8488,5325.719306404932,1266.1590057082753
1844.86963,1999.8837256070035,1266.3857020807554
1844.89046,1443.823664499974,1269.074494605831
