relative_time,cts,e_cts
1871.28471,-24218.36611402046,1053.422653503629
1871.30554,-26450.37478380174,1053.9463409725115
1871.32637,-23336.45738259467,1051.6816241620902
1871.34721,-21405.66407367262,1052.2532562990473
1871.36804,-26574.978346277494,1048.375294004917
1871.38888,-23868.219001083482,1046.7395165849239
1871.40971,-24056.145432475878,1045.0852197652453
1871.43054,-28988.018057634963,1042.481289283919
1871.45138,-26502.13043567486,1042.5791334455905
1871.47221,-21169.28471956989,1042.6900440725956
1871.49305,-22057.520809669313,1042.088678010588
1871.51388,-24685.699564088067,1040.2514506762388
1871.53471,-22706.712295394616,1040.416993532316
1871.55555,-23806.196605566973,1039.5702454244763
1871.57638,-24946.73245747982,1039.2096315583792
1871.59721,-23035.92734240936,1038.3600026550328
1871.61805,-23810.19936803787,1035.7935225152928
1871.63888,-22039.039271867678,1036.4674228927352
1871.65972,-20940.511488689077,1037.7376479400484
1871.68055,-25232.078544748594,1036.8240242222334
1871.70138,-22950.922166112116,1036.388201016303
1871.72222,-25202.939503970203,1035.5460827583845
1871.74305,-22792.66926595014,1033.56172908209
1871.76388,-25737.801784394123,1033.49958620759
1871.78472,-21972.95361717463,1035.2010046109126
1871.80555,-24010.244071499987,1033.9820165693957
1871.82639,-24565.475119439045,1032.0811030772395
1871.84722,-24370.801659199024,1031.3792178291615
1871.86805,-24612.47118270745,1032.3616719824738
1871.88889,-24664.67479828185,1030.8739468744104
1871.90972,-26159.909214261035,1030.6306225396545
1871.93056,-23036.909796562675,1030.4271149142223
1871.95139,-25544.22024853667,1032.9484282958408
1871.97222,-22783.154101277316,1032.468775843988
1871.99306,-22101.469197062823,1032.6585996907636
1872.01389,-24474.938404226865,1031.981201204492
1872.03472,-23212.907882617677,1030.5746527983829
1872.05556,-26270.42414342609,1029.4431174776028
1872.07639,-25389.230672370377,1029.574708100923
1872.09723,-22972.933501493793,1027.8311066205392
1872.11806,-24522.062765780873,1028.7160252688418
1872.13889,-22403.69674600041,1028.9927874085854
1872.15973,-22782.577839290436,1029.4582416540125
1872.18056,-19650.144124964543,1029.525014378434
1872.20139,-24976.72987243362,1028.0850281673374
1872.22223,-22778.603679003496,1026.9154251916484
1872.24306,-21772.73020150555,1027.9837887823903
1872.2639,-27738.344605465885,1025.9488154136225
1872.28473,-23351.963573065736,1025.5771927932678
1872.30556,-21256.212312440035,1026.0461451475248
1872.3264,-24322.136586476743,1025.3057807023224
1872.34723,-21596.102661632343,1025.0136886150617
1872.36806,-23731.6698084973,1023.6944900441357
1872.3889,-26005.149072879733,1025.8384192143865
1872.40973,-20864.446038162205,1025.0200675193978
1872.43057,-21871.89942622443,1026.8691266924347
1872.4514,-20327.327477543276,1024.9567929038058
1872.47223,-21902.90542826222,1023.5923246892045
1872.49307,-22156.820596155976,1024.9898191665782
