relative_time,cts,e_cts
1871.45138,-3521.2551282517306,1048.0522355066457
1871.49305,-2636.5710127284738,1046.4094874956031
1871.51388,-698.9009139805818,1043.458697049164
1871.53471,-569.7963917822979,1043.5536865730685
1871.55555,-900.7410141863479,1047.5464060998456
1871.57638,-1403.8178651151413,1037.3819155215306
1871.59721,-47.293673614596926,1036.9673045953039
1871.61805,-628.3118749891419,1039.2596912601737
1871.63888,763.8834307397696,1039.2564298172929
1871.65971,913.8719909049661,1029.0245700594705
1871.68055,-544.4616054040303,1036.3167486606667
1871.70138,-1752.2332216711256,1046.5265936790431
1871.72221,-657.3310726218574,1038.8568011443
1871.74305,-2430.6593068462503,1028.8643516779493
1871.76388,-18.635578860844237,1044.4337665504447
1871.78471,141.1253852963365,1040.0806575853348
1871.80555,-1703.7346487522393,1019.4200284557597
1871.82638,-1172.4844350178575,1019.1119240236104
1871.84721,-1111.3304445204149,1043.5263719889415
1871.86805,466.58823565832625,1044.0668542263504
1871.88888,1076.6954499272545,1046.7301280988256
1871.90972,1218.3822110794556,1039.5993909202311
1871.93055,57.78716224351662,1024.6621863661683
1871.95138,-8.388736849788073,1029.7894803351173
1871.97222,-919.3882119374553,1020.5157713436316
1871.99305,121.93638034664987,1035.0221596771535
1872.01388,2553.933897974944,1035.8955129285882
1872.03472,-2766.1786124911273,1040.0010579950244
1872.05555,1121.3224863064054,1032.4822091136102
1872.07638,-1034.8673430604038,1040.7170466274588
1872.09722,194.5505715269108,1037.274185986373
1872.11805,-1378.4697272050803,1023.409282699476
1872.13888,-1140.4936552403371,1034.3727248635064
1872.15972,1510.8097026612463,1034.7142590851843
1872.18055,-2030.1325140201293,1033.0441964900147
1872.20138,-2378.296943314469,1036.3793275959426
1872.22222,-1323.470894784501,1032.3826331856544
1872.24305,-349.4901039053112,1033.3273305001076
1872.26388,-3050.446687425689,1025.6314464223176
1872.28472,-393.76653517477183,1031.2872979781428
1872.30555,2226.133204587933,1020.9349686739095
1872.32638,2495.914154085988,1027.4510257895558
1872.34722,-576.0808864534047,1022.1625961582753
1872.36805,-239.2518057316008,1023.9306039599601
1872.38889,146.6580154633198,1026.437940094695
1872.40972,-843.9412537750054,1023.5367847320988
1872.43055,-503.45079573909953,1028.6152589779254
1872.45139,207.72904300748115,1030.496092319269
1872.47222,-3681.4089943559625,1025.7431508409863
1872.49305,-151.3445050429054,1025.6421480317704
1872.51389,-648.1142350406062,1021.7093575179287
1872.53472,1114.9209873719485,1021.3180862923181
1872.55555,93.1956283998858,1029.484739265939
1872.57639,775.7081995846115,1018.1774187181601
1872.59722,2991.0599912893013,1024.4797494050213
1872.61805,998.481972841133,1009.5633365493239
1872.63889,1946.2116138126296,1020.5846693244894
1872.65972,25.68590108840805,1027.2312860754594
1872.68055,3307.279097166273,1028.4361853797493
1872.70139,3844.1363427333563,1034.5314144436772
1872.72222,2409.455035956475,1023.1241102875827
1872.74305,3449.2208623837187,1021.776624777346
1872.76389,-4189.695083006086,1022.6297978509555
1872.78472,-1008.3218479327145,1022.4874154851889
1872.80555,-38.52130954595017,1009.9192415036955
1872.82639,919.340921015683,1016.0378102682396
1872.84722,401.52143098468684,1014.1898971159742
1872.86805,1601.5699505099558,1011.3219677027264
1872.88889,-3194.847274815018,1016.0318989030181
1872.90972,-2376.1241089152004,1016.1689814241033
1872.93055,-547.3149602444042,1016.5314092642366
1872.95139,-3711.297264596332,1014.7037782098863
1872.97222,5178.604720991957,1008.8061722005192
1872.99305,1703.5298912913763,1014.3469559747045
1873.01389,-372.06397696485857,1012.2887816767152
1873.03472,1959.7574052976543,1013.9818782122306
1873.05555,-2596.837567551842,1001.2736660270413
1873.07639,1262.4846647552413,1009.2832601419318
1873.09722,-3764.15546936609,1019.5216427855158
1873.11806,1366.9732429702124,1021.3550832849976
1873.13889,192.07860166341476,1017.9532964401924
1873.15972,-2086.609289666179,1019.3172930050133
1873.18056,-578.484467936493,1023.5791834895497
1873.20139,-1946.082175298296,1022.2062179568065
1873.22222,99.75632651496363,1025.9386335736567
1873.24306,-2535.7851913841555,1024.7563605293526
1873.26389,-678.1975803332856,1024.3635605023915
1873.28472,472.1497092107869,1024.4916740555545
1873.30556,149.36725529639668,1028.3739122047432
1873.32639,1275.4683669437716,1031.4502682020945
1873.34722,1680.5905327889948,1028.2908473313719
1873.36806,-3331.142667045012,1031.5424039634784
1873.38889,-113.27663797748185,1027.0410012673804
1873.40972,53.64411058395059,1023.3739164282368
1873.43056,2252.023659297024,1024.420839592986
1873.45139,-1453.2277055589527,1028.5098736048383
1873.47222,507.03522338523163,1028.7630431084633
1873.49306,103.29254595851339,1029.0665611365614
1873.51389,775.0103527282018,1026.7145512190264
1873.53472,-892.745994644331,1021.3898380356965
1873.55556,-405.12552920819417,1022.2463744722769
1873.57639,-3782.062829183698,1025.683221828051
1873.59722,384.33994604824665,1024.859197900189
1873.61806,1444.4292499472592,1020.9247766649069
1873.63889,-5884.176508704934,1027.1030706022063
1873.65972,655.2171480346235,1023.3439519217693
1873.68056,-1597.9661580467186,1029.9425643103368
1873.70139,-1105.9094168520105,1035.0308228848057
1873.72222,-1000.7292089061212,1041.7651928332882
1873.74306,2034.4412877460775,1044.4253071829726
1873.76389,-330.2305702533264,1031.428355382739
1873.78472,-448.4603207659027,1032.855032802926
1873.80556,428.544829414509,1027.6944109645383
1873.82639,-464.9382513208919,1032.0182688638108
1873.84723,-983.7078404311122,1030.9029573186538
1873.86806,-2328.256625193756,1031.9628243348366
1873.88889,2556.693384412404,1031.1566364227292
1873.90973,-2087.7240916108854,1026.2024027666446
1873.93056,443.58059069562717,1030.250261062126
1873.95139,-643.4637232527999,1026.293621247218
1873.97223,1698.696738702243,1027.5497863567912
1873.99306,769.6861491453222,1029.6918408888723
1874.01389,1013.4030740209719,1025.4143566305618
1874.03473,-1701.225885736244,1030.1563926592119
1874.05556,-112.50296257409295,1027.276844355701
1874.07639,-148.13035308383843,1025.8468035725432
1874.09723,3131.5083214275933,1022.4719236315049
1874.11806,294.7724690131143,1027.4307436916406
1874.13889,-917.9711150057306,1021.2733433727965
1874.15973,3090.783091854916,1025.0674206441126
1874.18056,2479.253684649762,1023.790158075904
1874.20139,3320.698609659755,1028.6011940055016
1874.22223,-365.4215389375797,1022.4936326106804
1874.24306,143.4592534378468,1031.1922065341482
1874.26389,-2760.726397275175,1029.5764673469625
1874.28473,520.2022798157191,1026.3523272190732
1874.30556,-2028.3688887823157,1026.3744438786089
1874.32639,1820.1270858019125,1019.3679472897563
1874.34723,-2247.4597795857394,1019.38241994254
1874.36806,-2008.0042355941764,1022.1519964689126
1874.38889,2136.7874037486076,1017.9094708014811
1874.40973,547.7233540451393,1014.9367675356863
1874.43056,-1354.147924601583,1019.2502295857761
1874.45139,252.5120171243722,1019.1274158772944
1874.47223,-2744.3001402058285,1016.9126923210247
1874.49306,1871.923894754138,1019.5090046943526
1874.5139,-44.73914847817975,1011.2061864804566
1874.53473,2128.280643434569,1017.5042365235369
1874.55556,1695.8062849490993,1020.497629567607
1874.5764,2044.0440967082584,1025.3280303143097
1874.59723,-609.1276602836865,1021.9291991521153
1874.61806,397.3890809345738,1022.6631257203941
1874.6389,-3233.2134619839485,1021.4262235078359
1874.65973,2073.056465694942,1018.0539934891383
1874.68056,-2567.895013826826,1022.0741295201326
1874.7014,1535.525834093055,1018.7936275824586
1874.72223,2351.489513555413,1007.6666036739359
1874.74306,17.17231212833791,1022.6333650541063
1874.7639,990.0182228050858,1021.6995731892862
1874.78473,3133.7046993676586,1021.4661761831262
1874.80556,181.65268605418265,1025.1973687588961
1874.8264,719.1791389323788,1020.9284457881478
1874.84723,3131.6333773780552,1024.548443545699
1874.86806,1547.384644247966,1026.0246541296387
1874.8889,681.2530427121817,1025.670991417248
1874.90973,-1603.5743110004112,1020.9806288742412
1874.93056,1451.9454489063328,1020.0759861551685
1874.9514,-723.9950670262974,1014.0877731857679
1874.97223,174.95877838144062,1014.8962033398559
1874.99306,-2255.8911190331587,1014.1361852285304
1875.0139,1118.0254733141473,1024.0173379565724
1875.03473,3100.0093060844497,1024.9073041826814
1875.05556,667.0844175570066,1016.0302681815776
1875.0764,2663.8385097739088,1024.1234367702898
1875.09723,2023.0087074076569,1027.3413597726876
1875.11806,616.0154199676584,1025.5964878314387
1875.1389,-778.1278844419239,1020.7050369508104
1875.15973,-3319.35805471564,1023.3134778148514
1875.18056,-2114.816591861745,1025.9972376254218
1875.2014,2394.0060906303906,1028.6886414427443
1875.22223,57.1884836347026,1025.784938077897
1875.24306,59.28232996420125,1031.8998377192004
1875.2639,334.53210765288304,1015.5472688749434
1875.28473,-1889.524067420406,1014.7606496201211
1875.30556,-114.35474868977926,1011.9044410172262
1875.3264,-172.43146590906034,1015.1435633983496
1875.34723,-1483.443852728936,1011.4620059064224
