relative_time,cts,e_cts
1870.78366,-167.72645977367722,1143.6894760016862
1870.82532,1279.7477145177818,1139.75510787195
1870.88782,3887.158178223554,1125.3527928217386
1870.92949,5005.45304959156,1131.9576813926303
1870.95032,5786.593944624857,1106.6909000536323
1870.97116,3218.8884377020595,1119.2858101573286
1870.99199,3134.704056924923,1104.2395492970086
1871.01282,5860.062130024964,1113.054938300781
1871.03366,3300.267179362391,1106.810605952591
1871.05449,1836.853933432882,1142.6492163269552
1871.07532,2120.01602825589,1100.9920772484238
1871.09616,4997.722514563074,1114.8399433451732
1871.11699,8452.142326771942,1130.4968584179512
1871.13782,7496.675426489994,1113.2690731449275
1871.15866,5866.165692346051,1105.2107597321683
1871.17949,5168.373600089603,1067.539056450139
1871.20032,4748.799286645853,1071.6676255661694
1871.22116,3393.0415115962473,1067.4007524673075
1871.24199,6974.203052571323,1051.7309934139546
1871.26283,2569.544559437449,1089.2558643100501
1871.28366,4141.075967803095,1122.1266931568307
1871.30449,1285.937485636489,1051.0935209700558
1871.32533,4705.864017372341,1069.6875975207263
1871.34616,2084.3418208328862,1075.391968925543
1871.36699,4431.904377751714,1112.7511010962987
1871.38783,5594.784302010129,1103.561387122648
1871.40866,1917.1625146317042,1058.162950630384
1871.42949,2489.59098586172,1114.9016972037778
1871.45033,1808.5281269282957,1118.3116199186752
1871.47116,1669.6752437427676,1083.614274282284
1871.49199,2717.787933700976,1050.1309416898423
1871.51283,3867.095161302481,1128.4456233442004
1871.53366,6433.634126533534,1117.0336952273844
1871.55449,1415.6590178960994,1117.5071757273015
1871.57533,2947.92237032201,1039.064157019038
1871.59616,2314.7894450762615,1120.8564748538847
1871.61699,2039.047780214736,1124.3130469062307
1871.63783,-1210.8132487569628,1125.2762426975116
1871.65866,1577.0534979981428,1123.271965216743
1871.6795,1331.7157956982396,1118.9885490709005
1871.70033,6380.51245039375,1115.0156489994395
1871.72116,1810.1624977685042,1120.3879264425086
1871.742,3381.921398718095,1110.037219376722
1871.76283,2839.059462516211,1110.3431116180966
1871.78366,1217.921621366395,1121.3015958446924
1871.8045,149.2817844050551,1114.983898679458
1871.82533,166.43548559812214,1032.2763701647584
1871.84616,2175.798155156057,1025.8053672473807
1871.867,2223.8097765601897,1031.850258265202
1871.88783,2497.32922727855,1030.479856913771
1871.90866,1822.7988168655745,1025.8930145708246
1871.9295,1659.5345614473438,1031.3748254802376
1871.95033,2343.2183116809815,1046.052515473977
1871.97116,5024.028528058358,1035.8554224158675
1871.992,-260.8019576640561,1029.2580347296318
1872.01283,-1266.604417819455,1031.402157470901
1872.03366,96.22165662018797,1063.989288474741
1872.0545,8419.108225244092,1080.0623485181493
1872.07533,-1854.7785817159831,1073.1739676080063
