relative_time,cts,e_cts
1871.74279,594.7669670625066,1116.2259855156515
1871.78446,1175.7749585476975,1108.7892215256777
1871.80529,3405.3761718215096,1112.2968241504252
1871.82612,-4112.908241362267,1113.261359054239
1871.86779,-1347.5149061390566,1109.9115352872136
1871.88862,-733.5950317008247,1104.9460730283067
1871.90946,-597.000643627125,1111.7211014317138
1871.93029,-385.0553684325142,1096.294496889857
1871.95112,-3620.6285301491807,1091.4482193341219
1871.97196,-2862.206612433762,1090.1494143975056
1871.99279,-6087.869900989643,1102.9915927442678
1872.01362,-7475.775237825815,1087.7372265780918
1872.03446,-4482.625250840464,1084.9494102517144
1872.05529,-3964.8172606718167,1079.3353960843792
1872.07612,-5017.63230602071,1084.4354594442814
1872.09696,-2584.7614220073424,1079.8969782450874
1872.11779,-2260.7959221493093,1068.767721176471
1872.13862,-5182.411696834857,1068.0930145517355
1872.15945,-5605.223418336403,1063.097463737077
1872.18029,-3424.8501655519,1072.8919797141507
1872.20112,-1942.04371643519,1071.213718751111
1872.22195,-4044.969770954768,1080.4221989709295
1872.24279,-1255.4192593024045,1059.293653634152
1872.26362,-5878.403050965094,1069.8598400622705
1872.28445,-4223.163128994945,1061.8104603187942
1872.30529,-3834.383477808277,1061.4882044442948
1872.32612,-4173.8436269985605,1059.3332046685675
1872.34695,-136.99872297661008,1062.2582800955647
1872.36779,-2762.171733358081,1052.2326244711267
1872.38862,-4825.77619198963,1069.7311928804347
1872.40945,-4453.892274897386,1049.7112460271298
1872.43029,-1295.2669264761553,1059.6141020689065
1872.45112,-4703.40444094778,1051.1383791856274
1872.47195,-3456.679604737776,1054.646619730285
1872.49279,-3315.699304643341,1055.9359621882377
1872.51362,-6050.561474017367,1079.910906163121
1872.53445,-792.3763744412552,1062.6992953932959
1872.55529,-4434.462191320797,1061.9061483052835
1872.57612,-3378.9354547547787,1076.8755769116908
1872.59695,-5521.210004118589,1066.0630470783547
1872.61779,-1144.2600138774167,1055.9541429056706
1872.63862,-1457.005034119714,1055.59712039608
1872.65945,-7312.311556825896,1052.2963101421344
1872.68029,27.586952824889323,1049.4912699781892
1872.70112,-8535.162665686728,1045.960702236684
1872.72195,-3630.8207891900956,1055.5207826468584
1872.74279,-3708.2689443348845,1050.1295088480738
1872.76362,436.29958111714166,1053.3822624688046
1872.78445,-3153.374098042676,1053.2272479306916
1872.80529,-1081.9136557203447,1060.9545844396387
1872.82612,-2178.644064548653,1064.5501136919715
1872.84695,-1197.2058779217814,1062.4474233488588
1872.86779,-3752.453084736352,1060.8770771705822
1872.88862,-2638.5450875334145,1066.268563609337
1872.90945,-2423.8290072100244,1068.6240828767518
1872.93029,-1390.0722444502187,1064.8847026847297
1872.95112,-318.148095559416,1065.679338252532
1872.97195,-168.3677966274869,1063.9898073710835
1872.99279,-3921.08455492661,1061.748794727501
1873.01362,-4202.2382927494045,1063.9530206562777
1873.03445,-2891.0669597188557,1056.828837422169
1873.05529,-1856.3991410076853,1057.6661073039518
1873.07612,347.06128387704877,1063.7287918079373
1873.09695,-5344.937635567179,1057.8335612803082
1873.11778,-4527.611894488623,1060.6464691231427
1873.13862,-5498.599996110984,1053.9874358233578
1873.15945,-1092.7898712246888,1065.732817204981
1873.18028,-2706.8908698034043,1066.4620659820157
1873.20112,-8638.807320892729,1062.8599448906132
1873.22195,-1796.5998907309772,1062.9369205597447
1873.24278,-4710.440165954378,1060.2382003807877
1873.26362,-2896.575823421038,1069.1645073604473
1873.28445,-4541.5857427556,1065.2383229548007
1873.30528,-73.36823204084995,1057.7561603312367
1873.32612,-2737.7683198436953,1064.6345317600524
1873.34695,-5513.029319193651,1061.4719374865915
1873.36778,-2709.476040238394,1059.3614857845746
1873.38862,421.6429459065698,1061.4795925255105
1873.40945,-330.62612795759327,1064.3148275651927
1873.43028,-4382.3487064389055,1053.7973356901987
1873.45112,441.5581675746611,1069.8618601419853
1873.47195,61.28624158675386,1062.4880375831244
1873.49278,-2309.482607595043,1057.8041106444664
1873.51362,5489.680068330424,1062.9884857524642
1873.53445,-3637.2332664446926,1058.5748242156462
