relative_time,cts,e_cts
1871.53493,-631.3046956352813,1185.2245271970266
1871.55577,-877.3802396714941,1184.0035880382325
1871.5766,994.4658911891278,1183.255531246044
1871.59743,2937.2161972035383,1182.4754774276253
1871.61827,-1932.852446963516,1180.9227796284413
1871.6391,2667.3880817586355,1180.9053777369827
1871.65993,-2762.2428730729403,1179.1216277273343
1871.68077,-976.1247466727499,1178.7484413582463
1871.7016,-4245.435047825158,1178.2491754787834
1871.72243,-3700.209987128041,1176.4257940647162
1871.74327,-738.1365913541235,1175.912045320749
1871.7641,-2116.9677144340963,1176.2965709868522
1871.78493,4559.9718782651635,1175.561762086226
1871.80577,352.3477724716907,1173.8129281297624
1871.8266,-1641.5359145941,1173.3490273845543
1871.84743,-1273.054118794329,1173.606575378143
1871.86827,1556.6820464362315,1174.05139017788
1871.8891,-577.0151728246344,1172.6376829698304
1871.90993,-558.1044812413542,1172.0143584448074
1871.93077,62.08804013001946,1170.9424019309527
1871.9516,-4905.074625836136,1170.9380233905213
1871.97243,-3109.4410329160714,1170.3428787026346
1871.99327,-1334.3378547281552,1169.6131219640447
1872.0141,2260.38871486369,1169.5339714254744
1872.03493,3000.0652052065057,1168.5649667468947
1872.05577,-2014.0928965626908,1167.8366695217821
1872.0766,-2845.297834735051,1167.6763475798273
1872.09743,2037.131429070237,1167.819379900591
1872.11827,-1261.9761869620017,1167.3582859120697
1872.1391,956.1227880896092,1167.0926544592232
1872.15993,4967.061173644357,1168.9069419816249
1872.18077,1455.957204186978,1166.6792753343789
1872.2016,-828.1846434367387,1165.760118654558
1872.22243,2143.2407533476076,1165.4249919061444
1872.24327,-874.4918625001559,1165.5823948211446
1872.2641,-2224.180094089413,1164.6160846289843
1872.28493,-4139.115216796271,1164.2082067472463
1872.30576,-1900.8767520838624,1164.8179465699052
1872.3266,-705.8765158869546,1164.9229192699945
1872.34743,-359.070852898917,1164.3470850681135
1872.36826,4186.782814690688,1166.1964009139674
1872.3891,3553.414254728407,1165.7708966002358
1872.40993,645.831457814184,1164.2656891241938
1872.43076,-3460.722799198084,1163.7134316784827
1872.4516,-84.40321530422216,1165.2562496941289
1872.47243,-3445.571702061751,1165.1079406707938
1872.49326,-1508.5560490397136,1164.9032719731865
1872.5141,-2584.8767327316405,1163.9445961592144
1872.53493,3058.6833081796644,1164.8679068389317
1872.55576,-33.83691137386026,1164.87509213605
1872.5766,1103.9228903020785,1164.0748296694858
1872.59743,654.4413523566011,1164.7385714908
1872.61826,1905.5081251577556,1165.4267882304237
1872.6391,458.9736522497159,1166.4980711226738
1872.65993,-113.36871977232705,1166.1014202676834
1872.68076,-3942.3587662890363,1165.7757242217374
1872.7016,-3844.6408586135753,1164.922806999727
1872.72243,-3153.846169107922,1164.808515867437
1872.74326,1506.7524271927223,1165.109400184271
1872.7641,-2177.5414531964084,1164.2178619902495
1872.78493,-890.4991326962561,1165.0751577526912
1872.80576,2273.719461883178,1165.0655025096883
1872.8266,-3852.4681171214215,1165.0395680779015
1872.84743,-2902.0009437558824,1164.9616525122735
1872.86826,-11158.461498863351,1162.7116440818
1872.8891,-469.25031118307186,1165.0003857545526
1872.90993,-3531.256707009739,1164.099192317528
1872.93076,5507.498468784987,1165.692082872468
1872.9516,6794.675064525041,1165.886647246003
1872.97243,3524.3871138834575,1165.2432263431017
1872.99326,3887.6234182462454,1166.2818385875162
1873.0141,-857.1410540131782,1165.1208517515536
1873.03493,-2793.0048140909184,1164.4361153902214
1873.05576,-1021.0286996629926,1165.7810009243087
1873.0766,1716.382909271355,1164.2093294499211
1873.09743,-2829.944538846995,1165.4722576887514
1873.11826,-548.9294181724663,1164.7200468966664
1873.1391,1632.824078648815,1165.264557693922
1873.15993,3820.0122423077755,1164.9588457555865
1873.18076,243.61424296235091,1165.132078778301
1873.20159,-674.5194301810899,1164.9002406759646
1873.22243,26.100928593471387,1166.0530317824014
1873.24326,-2197.3413252980936,1164.744746355511
1873.26409,560.6019333413434,1165.6825398997328
1873.28493,-3776.4805687968837,1164.6713216005824
1873.30576,2169.6504251766364,1164.89732164901
1873.32659,4493.934394665896,1166.2365936697236
1873.34743,900.2758521285444,1165.96770637912
1873.36826,-361.0312040393041,1165.8140083829462
1873.38909,-1804.010863468272,1166.307997559838
1873.40993,-5289.127072761795,1165.7011767641336
1873.43076,-5299.395199154822,1166.3804118823593
1873.45159,-758.4767079828999,1167.9447857893608
1873.47243,-1725.1227005132412,1166.796485493623
1873.49326,-873.3001136109051,1165.8801355704893
1873.51409,-863.1714268900815,1166.5690259317182
1873.53493,1750.415507721425,1165.9829751354966
1873.55576,-1449.807375745481,1165.780664113506
1873.57659,-3610.485722496825,1165.537598984422
1873.59743,-2690.8341553371174,1165.4774221210553
1873.61826,2116.3148628287277,1166.1170258348623
1873.63909,170.57603456439077,1166.8312892765402
1873.65993,1980.1910929742292,1167.0556052709562
1873.68076,-553.3823937913411,1166.044948323143
1873.70159,1252.6255331947823,1166.6144953900455
1873.72243,976.6188481199088,1166.0615643227295
1873.74326,2159.8104975837596,1165.5341186061303
1873.76409,-3431.740005108788,1165.3087921793071
1873.78493,-4690.603498905036,1164.6126042506926
1873.80576,1779.742859261603,1165.0617975908615
1873.82659,1379.634865924829,1165.3319198544073
1873.84743,-5658.296860760654,1163.2514395278215
1873.86826,5038.92660682827,1164.9110186216421
1873.88909,1024.085706776079,1163.9347163756765
