relative_time,cts,e_cts
1871.0732,2892.1549241764988,1646.561665039951
1871.11487,5582.573139206382,1641.679908151913
1871.1357,3327.931284999607,1625.8842855736602
1871.15653,-5352.735614017468,1621.0879053096892
1871.1982,-1158.9465393954124,1628.99234647929
1871.21903,-2707.4674262325157,1636.6014197085751
1871.23986,8704.6948035892,1638.5734708904806
1871.2607,2395.799045296813,1612.1389197061733
1871.28153,7284.695096872793,1649.5896261651565
1871.30236,1158.4514632187684,1648.815012579125
1871.3232,2842.4235142201237,1652.528016252117
1871.34403,3726.9506413472404,1621.8847086997573
1871.36486,2994.078106263643,1620.6814530455079
1871.38569,3070.6051929346518,1610.1559089259324
1871.40653,1903.045626980984,1571.3286227945853
1871.42736,-4702.951311808172,1574.4806573972385
1871.44819,-431.8594544996092,1560.493097936914
1871.46903,-984.5281850914367,1543.9473517392798
1871.48986,-5651.898416734386,1542.8425971663632
1871.51069,-314.61989547992926,1512.7950317309112
1871.53153,-2642.353881753593,1528.7934745302055
1871.55236,-1978.0238923909794,1525.4650039247247
1871.57319,2540.7063132690255,1498.8224909794164
1871.59402,-12021.01013208673,1508.6748992753223
1871.61486,1228.8556523162072,1504.0901339717975
1871.63569,-2763.7633649842614,1501.529647071874
1871.65652,4021.1017956402957,1510.641673613585
1871.67736,-697.3968564875495,1505.730149915254
1871.69819,-3981.208587093095,1520.268801277047
1871.71902,802.2152667867284,1491.0038323449326
1871.73985,-113.93178987772119,1493.0262164969697
1871.76069,2981.5267953999514,1498.5115631155386
1871.78152,-2277.6000478599185,1456.683647202982
1871.80235,-8152.643463703585,1461.4060163522702
1871.82319,146.934523056844,1501.4477883435686
1871.84402,1769.794906615793,1460.7645415904578
1871.86485,-461.3227786312214,1470.6154615458488
1871.88569,-1522.958232587012,1468.9970941916963
1871.90652,-7221.697025479914,1467.7501354477893
1871.92735,1059.5736964319565,1459.4792919042195
1871.94818,1519.4922934394513,1466.3155104953541
1871.96902,4889.465950689407,1470.0835827673877
1871.98985,-3080.1707574222805,1473.3862103693868
1872.01068,-1393.7054654515266,1492.49826152532
1872.03152,3628.007116970418,1480.5644766715236
1872.05235,2101.596204996794,1470.4250892636574
1872.07318,6648.880899948693,1478.8706098621735
1872.09401,-1247.7049437194642,1464.4188234649625
1872.11485,5879.860091660112,1476.2570839184555
1872.13568,-1259.1363459977263,1448.4532594606737
1872.15651,7956.957535267421,1473.4949945306391
1872.17735,-194.2789054350936,1449.261969574859
1872.19818,803.9819269776128,1466.9921642147854
1872.21901,-942.8455853345818,1462.4337831294747
1872.23985,1399.6262193224704,1464.4894519875668
1872.26068,1775.9698961073757,1477.879916294152
1872.28151,-566.6581843037151,1466.2921029581692
1872.30234,2091.8374268496273,1479.6565889575895
1872.32318,-797.266399271848,1470.819905411088
1872.34401,1296.2025193891982,1459.745704856341
1872.36484,-3323.4344670901296,1465.05664502733
1872.38568,3303.507346546903,1444.0805150286444
1872.40651,-71.44778640557229,1448.3768128796944
1872.42734,2948.9552750590265,1459.5792813260668
1872.44817,3645.658835474117,1446.51909331005
1872.46901,-4736.319094324432,1442.3345563012817
1872.48984,-1382.0168508715972,1444.1196177930747
1872.51067,-1379.0374637686425,1399.2376271444648
1872.53151,449.5920846058325,1449.7356677695661
1872.55234,588.7783069434304,1471.880550983298
1872.57317,-1616.1823349734163,1432.4113841790886
1872.59401,-2800.7104711345614,1450.29000695943
1872.61484,8514.225643960552,1467.1840248374915
1872.63567,-784.3779116297475,1433.272592122336
1872.6565,1007.4863787445802,1438.3453978109815
1872.67734,-5026.390436659475,1451.309114300913
1872.69817,-513.6532370372175,1450.4081270748195
1872.719,1434.244884389449,1448.0435599080968
1872.73984,1614.72403187643,1441.4089438048554
1872.76067,-2178.858531882038,1446.4782315977388
1872.7815,317.0419667119908,1433.0860083432729
1872.80233,-4966.571325302198,1438.9672535387372
1872.82317,530.5955583301636,1433.669573128697
1872.844,-429.4883927560958,1433.9708944310712
1872.86483,1480.533221520716,1436.973147856478
1872.88567,5705.73020480861,1431.6398825777696
1872.9065,-1166.2268246746444,1428.8786050120523
1872.92733,5488.7219042485785,1431.6186398995148
1872.94817,-1558.407932875895,1435.8213076018253
1872.969,-4706.892302187271,1441.6200175505687
1872.98983,1021.4531014376997,1447.2620458342244
1873.01066,1173.9725546239106,1445.4541180199792
1873.0315,2183.870315609583,1454.0986703364088
1873.05233,-1417.7734199138638,1441.8063307222658
1873.07316,-249.8048309260345,1446.9055206291252
1873.094,-58.67917782674282,1447.3823308085443
1873.11483,-2136.89910078946,1435.5304046830536
1873.13566,1285.1463142243101,1425.3547558881032
1873.15649,-5254.522864833338,1427.0778482930136
1873.17733,1133.9382243351852,1433.4622878861119
1873.19816,-228.69989182099067,1438.714912169663
1873.21899,-2945.72449371278,1432.9285148560864
1873.23983,-1597.4127374395352,1452.877283988617
1873.26066,3289.714218479264,1449.7160487355093
1873.28149,2124.498382925114,1408.8758497099448
1873.30233,-1040.1125617734974,1441.569008062021
1873.32316,-270.77960788788846,1445.4864556002522
1873.34399,3952.5635796371726,1440.259403712816
1873.36482,-1316.9260374114433,1431.4813066611182
1873.38566,5451.760591211547,1426.3263716368008
1873.40649,-1352.1025595640476,1430.3152595197348
1873.42732,-3779.3869072334596,1440.4124321784582
1873.44816,-2862.209783629192,1432.4637467044677
1873.46899,1512.0196063227809,1433.910143077337
1873.48982,5641.599641587769,1434.7626915848628
1873.51065,-1766.7701927789835,1437.5833674674827
1873.53149,-878.9752110964379,1397.2460922321857
1873.55232,-6004.253156407911,1441.6201528542517
1873.57315,-4074.5077830236482,1451.7251731265978
1873.59399,3201.631250141496,1420.3686798603567
1873.61482,-2220.829869698733,1444.7199602352096
1873.63565,-3617.8680001699177,1453.666916283478
1873.65649,-2543.5149471238456,1455.1449737182045
1873.67732,-811.1906366084581,1447.6387312881131
1873.69815,-712.0762236798179,1445.4063558198275
1873.71898,-93.55897900220006,1446.2637752599467
1873.73982,3843.350235101927,1438.6449601654747
1873.76065,1495.0515773300365,1433.8560216040771
1873.78148,3602.6035798517105,1436.724594990532
1873.80232,-7540.3837437642715,1440.2883587010099
1873.82315,2196.6585432224692,1441.3714646846227
1873.84398,1145.6483522007354,1445.7554393223536
1873.86482,4744.23544221815,1435.9311741925428
1873.88565,1093.6267921033698,1458.590211402243
1873.90648,-6.408117737649134,1451.393408495515
1873.92731,-1910.6805432137503,1460.6510218002952
1873.94815,1850.1210501022774,1447.2900536966365
1873.96898,-468.56639661231935,1418.136169088388
1873.98981,541.8080392490895,1418.3419659904584
1874.01065,-1337.5407712724361,1446.3246619173638
1874.03148,-2353.74923134389,1449.2897068299048
1874.05231,2221.8600719422343,1461.46487345444
1874.07314,277.002494883306,1421.7610900636494
1874.09398,2734.024021339024,1437.3354911199528
1874.11481,-2567.958639914289,1444.7928889204272
1874.13564,-3083.9998516554147,1435.9099315142885
1874.15648,-574.6087640292697,1425.353538154955
1874.17731,-217.90644640877915,1447.5180404027435
1874.19814,-4635.822824879784,1443.2682870186973
1874.21898,-1890.1239899365119,1452.3688127473406
1874.23981,-3147.2831432123726,1453.8360458874151
1874.26064,1561.203983488182,1424.4041122102942
1874.28147,-2905.882159350444,1446.156750046575
1874.30231,823.4097769300172,1453.2412508962893
1874.32314,-163.89186305861952,1445.4920030512612
1874.34397,4349.893263589633,1452.4890977216605
1874.36481,3081.7918308500953,1430.0533115891571
1874.38564,1010.2193778405194,1442.5118041262076
1874.40647,3863.702885728659,1432.3304725765652
1874.4273,5499.764579045152,1451.221708121598
1874.44814,-740.771158194823,1426.9890890768677
1874.46897,-3237.1360190294213,1447.1165943748388
1874.4898,1356.9805279489578,1444.6543379488821
1874.51064,6778.421187410872,1440.534340796976
1874.53147,-3626.5544966281236,1422.350337603766
1874.5523,180.06606534232506,1435.8026356935507
1874.57314,-1376.4185256775984,1437.139436083069
1874.59397,184.80873004408562,1447.8592762916471
1874.6148,-3076.299989654736,1390.8922312714797
1874.63563,-3249.5433667742413,1447.1753161733259
1874.65647,2891.082913094904,1447.5993579163166
1874.6773,1567.120813552315,1389.2781936351878
1874.69813,3360.9881396519904,1455.220608477085
1874.71897,1716.5006800747224,1399.6290606998168
1874.7398,6256.275885308135,1437.8319203334288
1874.76063,2479.6342898057815,1442.577155805169
1874.78146,-764.2543301385878,1398.4852033624697
1874.8023,-89.106946611845,1448.5743562570926
1874.82313,-228.6281808689213,1446.9120152059165
1874.84396,-1267.7819807436206,1459.7752010592676
1874.8648,-1580.9769931363014,1449.079309602607
1874.88563,408.9189856289579,1465.0061767535153
1874.90646,3921.2498423348065,1465.1556873233956
1874.9273,-6691.967681329275,1456.9127163385544
1874.94813,-1140.406416908153,1446.5943221578814
1874.96896,112.9512440859361,1451.652109137697
1874.98979,-107.85868405955075,1431.2829514616208
1875.01063,-2272.6150542616365,1446.5330295894146
1875.03146,-2224.1441334174833,1439.1639850940367
1875.05229,2981.1606636333486,1439.8775767189677
1875.07313,-1349.3962152936892,1432.1831268656153
1875.09396,214.3299641520853,1442.9599299247993
1875.11479,2609.361837565439,1440.2064999727045
1875.13562,4170.92275216977,1441.0582366581314
1875.15646,-3614.9543706569743,1433.4406392968078
1875.17729,-6760.405096088451,1434.0018789745125
1875.19812,-4668.212091159507,1427.8796579193584
1875.21896,1560.6898294922137,1460.4614613402025
1875.23979,741.8683357614833,1452.5329361150011
1875.26062,545.1913078462455,1419.278267477854
1875.28146,-4146.997001878422,1428.1234751563939
1875.30229,1054.5463527808492,1438.9607589619459
1875.32312,-2067.9045054630737,1423.684161312255
1875.34395,87.97607842808047,1430.6098156379514
1875.36479,-320.413463888713,1429.8406141992457
1875.38562,-1125.5986465205754,1425.1163507983938
1875.40645,-1269.1060625869227,1430.1524891889057
1875.42729,-5321.402257681047,1423.507860613111
1875.44812,1510.4365532299303,1411.8150516190042
1875.46895,1798.174854156426,1415.6145143455287
1875.48979,-1885.9964157783495,1418.8260825687678
1875.51062,1537.606615235839,1429.87430481635
1875.53145,7761.434512465766,1433.9200202462068
1875.55228,-1300.71327357804,1396.0513607099745
1875.57312,-8316.56604069828,1421.3865694686913
1875.59395,-1762.4347921635033,1427.055523185294
1875.61478,-1168.6568788240113,1410.798650351184
1875.63562,-4691.930014993536,1424.0635528398066
1875.65645,16.505425700055802,1424.1267396598373
1875.67728,1762.6782034894895,1415.2615070361912
1875.69811,-5527.2335268871375,1410.4833927694456
1875.71895,-2077.773826719373,1423.2197990716854
