relative_time,cts,e_cts
1871.20268,-7971.09236772715,1227.1258137117468
1871.22351,-11644.445267523264,1224.2578704090372
1871.24435,-6772.528957007103,1222.4795798193381
1871.26518,-3516.5629710241847,1222.9756941921974
1871.28601,-10893.074238750942,1220.1948665116931
1871.30685,-7429.272813996602,1225.8369673892628
1871.32768,-4255.452008767149,1233.928512971455
1871.34852,-6061.805248845575,1220.7469693470832
1871.36935,-9057.911094336527,1202.0142808312025
1871.39018,-8126.665911778825,1220.7871921053636
1871.41102,-7034.957593483223,1212.4513791694942
1871.43185,-7435.245186165781,1199.441338109951
1871.45269,-9657.15975235495,1203.3683122770306
1871.47352,-3712.2586153982534,1200.45458779467
1871.49435,-7914.392831509693,1203.980142876601
1871.51519,-7785.21249124437,1197.207054843466
1871.53602,-10065.396089721582,1199.4025302225648
1871.55685,-6256.215483012189,1202.2759308844381
1871.57769,-3722.9201728977027,1202.5494052158615
1871.59852,-10228.288457722756,1185.2744379699186
1871.61936,-10948.169715623111,1192.7052388444808
1871.64019,-4761.366383813504,1190.128455759373
1871.66102,-5869.291446988333,1199.9474576412767
1871.68186,-2674.7753251882173,1198.4812471459738
1871.70269,-8639.42775664247,1192.6946273127737
1871.72353,-4503.901821869971,1204.1672090212662
1871.74436,2024.4652904038444,1197.089923745861
1871.76519,-7175.298233238229,1185.4283557107751
1871.78603,-4483.543952007595,1188.356329964285
1871.80686,-6653.099199509724,1183.0155965871973
1871.82769,-6455.626073043609,1184.840375791994
1871.84853,-10328.603006251766,1187.417057814895
1871.86936,-6104.343544406577,1181.0123415253074
1871.8902,-10315.082297861592,1181.6784425298938
1871.91103,-3220.515284042408,1178.0327244841562
1871.93186,-4048.1304713169725,1174.7316285633829
1871.9527,-5994.085182170348,1174.5814501241755
1871.97353,-1985.376349020895,1171.2677214275602
1871.99437,-2493.909245843738,1215.2463555589416
1872.0152,-3479.036350295142,1220.2779396456285
1872.03603,-8033.1656846632995,1224.1634783079473
1872.05687,-5210.470660588233,1175.1627599373119
1872.0777,-4904.003965403171,1184.9871181161725
1872.09853,-6958.868666530525,1176.754590755586
1872.11937,-3348.7084486723493,1190.7097655725095
1872.1402,-7798.368870379266,1192.4018500998643
1872.16104,-4244.817434876899,1187.602810150873
1872.18187,-7422.549852818008,1195.1870234552582
1872.2027,-2315.665831826224,1183.19902449242
1872.22354,-4307.40283401457,1196.4141207694279
1872.24437,-3268.52205560981,1177.31245413676
1872.2652,-2618.233850262092,1175.424511052754
1872.28604,-11085.625433624677,1171.2024352420096
1872.30687,-3929.384500710358,1179.7796857897674
1872.32771,-4463.640053577869,1183.3198948916747
1872.34854,-5189.527640548864,1229.3560544899622
1872.36937,-6884.381070243533,1182.8571310470377
1872.39021,-7541.679253436972,1226.3200447374534
1872.41104,-5526.567068141985,1168.4402030075444
1872.43188,-2842.7532444944745,1178.0977074830864
1872.45271,-6788.49931222631,1183.4547118754583
1872.47354,-9397.610580273105,1181.5644443606975
1872.49438,-5266.245073365243,1181.11562710059
1872.51521,-5950.191339230416,1178.6505177539239
1872.53605,-5191.38587134409,1181.695926291659
1872.55688,-4105.78039652656,1181.808610652168
1872.57771,-6235.4319391350455,1182.4991687107843
1872.59855,-6339.5139856689075,1180.8572110379698
1872.61938,-8294.700324858646,1188.3215645651683
1872.64021,-7517.701436391574,1187.2381777089752
1872.66105,-8573.98462148497,1180.528758866083
1872.68188,-4621.071222051528,1178.9916027016523
1872.70272,-4339.866642435045,1176.0578679023586
1872.72355,-7544.120411040642,1175.7679204312376
1872.74438,-7697.265632388901,1173.2624872640843
1872.76522,-6067.744371548738,1190.679446910489
1872.78605,-4820.069781466092,1186.7105319276145
1872.80688,-6711.175910418351,1216.1937126848702
1872.82772,-6932.118814216608,1178.3166082228731
1872.84855,-3987.86930080978,1215.4762720792623
1872.86939,-6120.640330553539,1184.8008604691609
1872.89022,-6976.505133289957,1180.831743361873
1872.91105,3846.148959808435,1185.9821766036798
1872.93189,-6611.438730276415,1187.144998354366
1872.95272,-7963.398805115078,1178.716208188301
1872.97355,-6422.359224328423,1173.7877075524832
1872.99439,-5911.980729486197,1182.8530885587684
1873.01522,-4416.450066765295,1171.8075957359356
1873.03606,-3757.734486122405,1164.628035507315
1873.05689,-6756.098465560632,1169.4819522345629
1873.07772,-3515.609246979232,1182.9755759533302
1873.09856,-8462.716041430223,1198.614649258863
1873.11939,-5927.237686588065,1170.6716565322406
1873.14023,-7851.707683973976,1202.538894746361
1873.16106,-3715.7663835317994,1174.3585068961193
1873.18189,-5432.266327286916,1175.0374428009611
1873.20273,-7366.354111701121,1172.314321640502
1873.22356,-5147.6837434103345,1212.7591135890007
1873.2444,-6558.292339123328,1169.8040374874254
1873.26523,-6667.107431985182,1178.9528958764731
1873.28606,-4031.9224177875244,1185.721739296925
1873.3069,-3012.869539033026,1182.9579911293586
1873.32773,-7847.342403016288,1180.9508957036128
1873.34856,-6057.094941514096,1185.1831787972374
1873.3694,-5676.986843899031,1175.0786761813088
1873.39023,-5518.622770195006,1167.4555539273306
1873.41107,-8677.116986462148,1177.090925779598
1873.4319,-5256.028189575427,1227.8700358021392
1873.45273,-4111.754385691047,1170.3496723415847
1873.47357,-3786.863241720643,1184.8434076581962
1873.4944,-6902.14022652194,1178.0123099183959
1873.51523,-2651.095338466066,1183.941932774125
1873.53607,-3426.2344802048115,1177.6585921948254
1873.5569,-11272.640744000119,1175.0391608584757
1873.57774,-3471.3601703826284,1182.0664203415474
