relative_time,cts,e_cts
1900.70283,-8091.091090425152,1358.791338689588
1900.7445,-810.6882491816103,1360.3407996850017
1900.76533,-4496.067420105705,1359.0087158384822
1900.84867,-3067.838304249552,1353.9790404606997
1900.91117,-570.517019654281,1353.104964245948
1900.932,-1656.9767298281229,1330.72570648156
1900.95284,-4414.057686399508,1341.733045834882
1900.97367,-4133.556559561635,1348.2047393479513
1900.99451,-2251.393505384258,1332.8944951132216
1901.01534,-1199.4275209303028,1331.654697935932
1901.03617,-3298.2080458856212,1326.4949492212038
1901.05701,-1755.900668765977,1324.4878958321294
1901.07784,-3408.039044174012,1322.625968161371
1901.09867,494.88254041085565,1323.318273894884
1901.11951,-2233.5568486984116,1332.4741703396435
1901.14034,591.974967869272,1317.721071834673
1901.16118,-3929.9968739082483,1315.5130432019216
1901.18201,-862.8180715817734,1315.0149650928506
1901.20284,-1233.3550694916075,1322.166714815283
1901.22368,-5490.67791439532,1318.4300909019832
1901.24451,-957.6095608810489,1320.3112233351799
1901.26534,-4636.011278278029,1322.0800338604947
1901.28618,-1271.9432505633026,1323.1052567461106
1901.30701,-844.2012863028317,1320.4634081013112
1901.32785,-108.68826301855887,1315.417330818311
1901.34868,-3645.5854498189187,1316.0104984538325
1901.36951,-2354.833677780873,1299.5256494245766
1901.39035,-6642.625137816493,1292.6049797085618
1901.41118,-965.4472839558659,1283.2528832583532
1901.43201,-1450.9112898194296,1274.387964916913
1901.45285,-843.031041508426,1269.769063836253
1901.47368,-3981.330062000572,1265.162931327376
1901.49452,-1111.9547070723813,1266.0105361128212
1901.51535,-195.3906025693677,1267.2718218621362
1901.53618,-2701.6458388413303,1266.840700897782
1901.55702,-4364.393028829714,1265.609416101681
1901.57785,46.865848920635386,1270.4146552827542
1901.59868,-5737.405338390446,1267.5513809175193
1901.61952,1569.7641664536197,1268.1365552194854
1901.64035,-906.7612670879057,1267.6464704439697
1901.66119,-4913.942704092153,1266.7439504189044
1901.68202,-1528.484827211946,1261.8282579014303
1901.70285,-8046.897506340638,1259.7548702247993
1901.72369,-1165.6340942774843,1261.617939800351
1901.74452,-1214.6804623062978,1255.2723748622134
1901.76535,-2949.2399685748123,1251.875623339305
1901.78619,-717.5825227862956,1253.5091700513399
1901.80702,-793.7203744246533,1253.0260405141125
1901.82786,-442.2097941860902,1247.9650146592687
1901.84869,-862.6564401487129,1248.052422280744
1901.86952,-1366.0854112731158,1246.2854803269092
1901.89036,2414.4254327692265,1247.53026036148
1901.91119,-2044.5381786869611,1245.3713336348544
1901.93202,-527.1421813067906,1243.0703954757132
1901.95286,4325.54428584602,1242.194865927588
1901.97369,-883.8224759746447,1242.271788786867
1901.99453,-2656.9891604582394,1243.9368935950163
1902.01536,-4029.052235706895,1244.4373593232012
1902.03619,-3280.779568258729,1245.7532488835564
1902.05703,4582.292858690888,1247.2771727354036
1902.07786,-5548.010566463789,1243.731765970272
1902.09869,-4105.606467356816,1244.5807202795636
1902.11953,-3740.6864991267917,1240.9570411313057
1902.14036,2120.176602692401,1240.7342658870234
1902.1612,2962.335021319449,1235.569741934067
1902.18203,-863.5698601740812,1232.9713894809515
1902.20286,-1338.6659933687495,1231.8175465917634
1902.2237,1279.9561003096499,1227.9621645799275
1902.24453,-477.16972849035295,1225.9215807137314
1902.26536,146.39136406567292,1228.3433531619426
1902.2862,-2418.856646225626,1227.2255321785167
1902.30703,-2543.8916916029398,1228.7907722219877
1902.32787,720.0638819028284,1231.8427723067498
1902.3487,-4535.705219301789,1229.1772550898643
