relative_time,cts,e_cts
1900.7417,-17546.575481788506,1049.2585601090766
1900.76253,-14777.202568679062,1049.4276024294634
1900.84587,-15706.203665769217,1047.585102458524
1900.8667,-14782.488462760324,1041.2409053375986
1900.88754,-17029.387640905483,1031.2141611258767
1900.90837,-13417.710061000325,1027.5020776199701
1900.9292,-14345.306492037638,1051.6057341900942
1900.95004,-16949.85425118477,1019.4042963798204
1900.97087,-15234.869831817716,1026.4657480379133
1900.99171,-14086.66325906917,1031.7552191936684
1901.01254,-11861.177573070183,1000.4018546449241
1901.03337,-16614.58047554877,998.4333394496579
1901.05421,-15450.153505202714,992.5034697572983
1901.07504,-15156.909332853209,1024.3853215120403
1901.09588,-16041.473557724343,1046.5290478656846
1901.11671,-16151.541366338859,1003.703494403144
1901.13754,-15458.809105659717,998.2706336612324
1901.15838,-13306.639240697608,1028.3701824986676
1901.17921,-17508.197969358534,1025.2610915503683
1901.20005,-14310.55725736828,1040.9916343464115
1901.22088,-20140.017242247926,1019.0473043452914
1901.24171,-11682.001400641084,1004.3245767374793
1901.26255,-15945.476324936264,1005.1641672223508
1901.28338,-15119.31121385448,1008.6858481630333
1901.30421,-15923.963798927665,1022.4670897639509
1901.32505,-19965.288497638634,1039.0298644916204
1901.34588,-13798.299647159658,1023.6604018152425
1901.36672,-14288.012489862764,1019.1201744628462
1901.38755,-14953.952769186142,1026.4207791014137
1901.40838,-17899.98287886581,1031.0227365393685
1901.42922,-10100.72823027445,1005.2686177975838
1901.45005,-19558.25421295586,1004.6818753783937
1901.47089,-13793.954830276776,1012.1459012202855
1901.49172,-16322.180901588423,1005.9457068982867
1901.51255,-15994.136291303232,1015.7805155128585
1901.53339,-17169.407111877626,1011.4570588748156
1901.55422,-16765.234384588155,1006.4820636681719
1901.57506,-11346.277629033699,999.517295223553
1901.59589,-9503.226993026708,997.2092645577155
1901.61672,-10170.91053405434,1003.437462262898
1901.63756,-15211.465340008031,993.2292070711234
1901.65839,-12347.12130347973,994.71686125223
1901.67923,-13683.779505023173,990.4258026888923
1901.70006,-16535.46366170345,984.227959015847
1901.72089,-15024.714252427719,985.7534279844646
