relative_time,cts,e_cts
1900.70049,-898.3002330250663,1914.8843290471257
1900.74216,-1561.0674210438715,1903.785293610971
1900.76299,-1565.8697771449972,1905.5440671467602
1900.78382,3041.5955563563402,1905.5060108557345
1900.80466,-2220.5774202186803,1886.7387350797617
1900.82549,54.57527887727189,1873.3925370396546
1900.84632,-5635.615984448766,1850.5778928716138
1900.86716,-1696.8122673971948,1815.438432409704
1900.88799,2299.975426426743,1787.6097695971723
1900.90882,6183.531843698493,1759.4849429069
1900.92966,1145.1400885402597,1752.8391073318958
1900.95049,31.222424636419113,1741.4089207827028
1900.97132,1048.8102041833527,1752.2119969448327
1900.99215,-420.96109540661945,1738.0262075594358
1901.01299,1789.539591838862,1726.6652793678354
1901.03382,-284.44724598974733,1715.1303357164643
1901.05465,-338.26538881895175,1708.1249091120103
1901.07549,-607.5134432219571,1712.1661393926222
1901.09632,-3103.3889474000075,1699.6220902179248
1901.11715,-1086.5961113994113,1695.2401947515184
1901.13799,-2200.0877903682217,1681.552820016329
1901.15882,-1418.7356649855185,1681.0531777438305
1901.17965,-916.468019915527,1683.7025912518498
1901.20049,680.1833631615085,1680.106169448065
1901.22132,5413.2513368541095,1695.9948755550038
1901.24215,1701.98996901384,1685.6648431823974
1901.26299,813.9166480889236,1732.9455904056492
1901.28382,4900.5466516684655,1706.8413277047543
1901.30465,-400.8082432713674,1690.2606518330367
1901.32549,-2485.4732466939813,1674.375014781826
1901.34632,-3461.345193165308,1732.4134161424354
1901.36715,-557.4330010618775,1610.7126711017384
1901.38799,-1250.483278060656,1674.5522015991821
1901.40882,-8627.990638852545,1538.6948232025031
1901.42965,294.70116578030235,1500.331728905888
1901.45049,-3604.663752942031,1493.3991412240425
1901.47132,-5114.121625960337,1496.1547440602462
1901.49215,-1693.194976014461,1517.1205890578133
1901.51299,-6050.962242401231,1519.2991071153185
1901.53382,-4213.882568130112,1512.075061441182
1901.55465,-4659.543117129119,1509.7637555725173
