relative_time,cts,e_cts
1900.13878,462.789020605891,1369.6602797729988
1900.18045,6230.365755366387,1360.859802327863
1900.20128,4992.629422682128,1359.951673479318
1900.34711,4043.418845809198,1361.8626552487663
1900.36795,-1063.326602065987,1341.395940681211
1900.38878,-1353.8731380876272,1323.143426768492
1900.40961,563.1517216155665,1306.492258947835
1900.43045,-3271.174632823644,1290.100614714671
1900.45128,3614.035236931962,1282.75287860722
1900.47211,-834.3625281228418,1270.7768020997319
1900.49295,-467.75032121295976,1273.08277306553
1900.51378,311.31585835153595,1278.3875248252787
1900.53461,2195.049280774429,1283.1231173201475
1900.55545,-788.1494032729292,1287.03471223934
1900.57628,700.0966556623446,1288.443147156083
1900.59711,752.6831827743539,1288.5022223840053
1900.61795,1048.6867420484048,1278.913701769153
1900.63878,233.7174908602318,1281.4761407072076
1900.65961,-1505.1775285270385,1273.9982353906446
1900.68045,2160.6701463234667,1272.2569421207115
1900.70128,923.6025859608253,1269.2069288446146
1900.72211,1729.4419643812744,1264.2142572544424
1900.74295,2799.220701728641,1263.9063530923572
1900.76378,-1384.4685041901598,1258.3099937851227
1900.78461,2654.575515429861,1253.3535821624337
1900.80545,1379.3842659967077,1251.9609345910837
1900.82628,1848.4366867161498,1246.8739463439179
1900.84711,-1395.7239647708361,1242.4627583334163
1900.86795,843.1364217154126,1245.0043172340154
1900.88878,4659.625622206504,1236.7253314560567
1900.90961,2607.746582255778,1225.542798225712
1900.93045,2154.715567056572,1229.462032182998
1900.95128,3025.9090552968373,1222.5658141537886
1900.97211,3582.4137952327224,1220.3868549280232
1900.99295,3849.5885414268027,1224.9031561026902
1901.01378,5086.1076188543375,1226.939214389188
1901.03461,5212.758490727956,1223.8386816078335
1901.05544,4037.5769168907204,1225.2458942784815
1901.07628,1774.3608324704805,1230.4227176136258
1901.09711,3169.3018467636625,1240.570925086122
1901.11794,4831.287539895654,1220.7818441243733
1901.13878,3222.105831826731,1236.3472499973532
1901.15961,4856.081616762367,1232.1886595131405
