relative_time,cts,e_cts
1899.73918,-5865.390371707894,2134.0527165016874
1900.36418,4152.342791090134,2149.3924087826927
1900.38502,11266.799043471485,2124.7394657782093
1900.40585,16123.190945005088,2108.7064044548647
1900.42668,23469.552259807944,2109.3932403628855
1900.44752,22516.755131165162,2097.228544260467
1900.46835,24589.104000530104,2103.3181751499337
1900.48918,27548.836295012803,2096.863973945341
1900.51002,22059.369540670912,2096.409867559873
1900.53085,23823.555605024467,2083.3168237807467
1900.55168,34510.258588390796,2081.463020142523
1900.57252,17319.674733459327,2079.754766168887
1900.59335,17287.613430337955,2071.1624093323394
1900.61418,17624.2257861978,2062.7390571835913
1900.63502,11595.160800390071,2048.815448541421
1900.65585,11969.30976143362,2034.8574606186537
1900.67668,13826.783200435491,2035.4222018852986
1900.69752,19189.838518124907,2022.6868739852919
1900.71835,14404.754599579584,2026.742450989661
1900.73918,13177.356447928969,2005.7695904170353
1900.76002,6591.307275025164,2007.613005300686
1900.78085,3488.469993397027,2002.9819769734108
1900.80168,8262.1804747965,1971.727462390183
1900.82252,3979.2635694869145,1969.3035624571837
1900.84335,6525.652381033152,1957.2474663252522
1900.86418,2011.7450521067592,1951.3044561059992
1900.88502,-6167.716624459259,1943.012195045886
1900.90585,-3170.3797159355945,1939.2443972532512
1900.92668,-370.4050466763757,1942.5593738671694
1900.94752,-4419.678219031043,1931.9520270456692
1900.96835,-10464.864624126269,1937.4716687409232
1900.98918,-4069.533599984808,1940.3955141001882
1901.01002,-5458.890936023925,1941.876821981653
1901.03085,-4362.684654637899,1943.9649616508689
1901.05168,-4062.4777078194693,1961.4306000996905
1901.07252,-4080.4764928689665,1981.3858982269546
1901.09335,-5821.299319192993,1977.0619272126837
1901.11418,-5682.202999005503,1985.099503134909
1901.13502,-1282.4340248598023,1986.5465388363386
1901.15585,-1279.8686450835946,1994.3890846340503
1901.17668,-1905.9936352835275,1990.0999213026278
1901.19752,-11993.326848397885,1992.0923130688698
1901.21835,-7846.498022673187,2046.5226396970572
1901.23918,-7685.992728422122,2059.534929651975
1901.26002,-671.4715826103167,2072.1266356975207
1901.28085,-7505.634845483336,2063.048684910098
1901.30168,-8763.305935060855,2072.920357967027
1901.32252,-3630.203879139924,2061.9212372874977
1901.34335,-13644.101556589747,2039.1736132918543
1901.36418,-10615.333631755671,2026.4218990057682
1901.38502,-12031.536259315908,2003.0192479691991
1901.40585,-10552.101245389347,1994.349350325322
1901.42668,-17302.886077666768,1965.6968439107147
1901.44752,-16771.965133783626,1957.411651487734
1901.46835,-23940.253556150987,1956.949726761195
1901.48918,-10193.024974924216,1904.3944096826285
1901.51002,-15243.707792888285,1942.0139107017942
1901.53085,-22233.72593648326,1936.4812027379019
1901.55169,-22749.99573760242,1946.5371958630835
1901.57252,-18279.520043026936,1937.7700509083559
1901.59335,-26201.9318012829,1935.1710415554885
1901.61419,-18144.30022770313,1927.9311506235856
1901.63502,-21461.207757664626,1917.5848078731672
1901.65585,-24201.298325446412,1926.6307355923695
1901.67669,-19316.907123829562,1922.8394827765228
1901.69752,-12322.120756086602,1874.0485362725876
1901.71835,-16440.859888853214,1923.063001650691
1901.73919,-24408.463479206588,1930.5735357043104
1901.76002,-20694.354448904145,1935.6928354965266
1901.78085,-14590.371120142543,1904.9074213775325
1901.80168,-14108.422122714152,1916.9243187035486
1901.82252,-19181.98001434337,1956.9561527949518
1901.84335,-13002.377155244478,1913.9351420010914
1901.86418,-20890.47025182093,1951.2524052325705
1901.88502,-17338.505261478058,1955.5783040569686
1901.90585,-15445.209897299876,1955.4994780428872
1901.92668,-6209.628394726164,1914.6639613296554
