relative_time,cts,e_cts
1900.64042,-2650.117488555858,1251.5322554531733
1900.66126,-2126.3674349029316,1251.3738469821021
1900.70292,-5673.287639576506,1244.4593936226565
1900.72376,-3026.2056851820435,1239.7820142340902
1900.74459,-5999.743558909792,1226.4725446817522
1900.76543,-2120.5946431095904,1233.5021115925226
1900.78626,-4386.106143463621,1231.8902162627767
1900.80709,-926.4573931245867,1227.2279136933219
1900.82793,-5092.170594815246,1230.6735780827125
1900.84876,-2262.0594181294778,1240.3618605474892
1900.8696,-1723.9360623432528,1226.0886970168035
1900.89043,-2871.770159687832,1222.980427390234
1900.91126,-7991.072712939145,1212.5378964882811
1900.9321,-2564.953936525756,1214.8770445993616
1900.95293,-5601.349819630433,1205.8553001578755
1900.97376,-508.71887248028656,1203.6334048765073
1900.9946,-817.8505079503827,1204.780567444179
1901.01543,-688.1595062118399,1203.7776533620613
1901.03627,-3794.8676632993242,1202.5737489819223
1901.0571,-3446.149598103009,1203.1791647655714
1901.07793,-5179.17362064736,1199.9168670951053
1901.09877,-6359.222703746993,1193.8403996411448
1901.1196,1585.972369210031,1191.5160227379777
1901.14044,-4607.918038029861,1185.1721454855854
1901.16127,-5699.367276786746,1184.029872697085
1901.1821,-284.8255619134548,1180.7464878539424
1901.20294,-3828.1154111635224,1179.9605577225523
1901.22377,-1473.8384251973137,1180.3833198800726
1901.24461,-1079.943690237166,1181.6992816995541
1901.26544,-397.4482801025056,1182.9078721180658
1901.28627,-5832.022095925504,1181.9061804807407
1901.30711,-4954.044010913379,1181.525592668573
1901.32794,-2799.035713218431,1177.4384503741446
1901.34878,-3145.9923373386773,1171.5713265909562
1901.36961,-3198.88731978364,1165.3577415793998
1901.39044,-4923.465980606324,1158.2154041364909
1901.41128,1121.9404754836485,1151.419935403547
1901.43211,-1035.7214442453362,1147.0174023525688
1901.45295,-4545.940087033371,1141.416465923019
1901.47378,-4144.072567134385,1142.7578953423513
1901.49461,-2035.8934808223753,1142.012713370722
1901.51545,-1624.9398343894811,1140.5662555696058
1901.53628,-333.0681232177049,1142.2241963198817
1901.55711,-4169.038353397556,1143.2804904912862
1901.57795,-3364.967854374352,1141.6076766626975
1901.59878,-3068.1055916786945,1142.1483028723267
1901.61962,-4054.407464025084,1139.0126301083178
1901.64045,-1276.69842079197,1136.5317802716684
1901.66128,-4706.245894293153,1133.900264114303
1901.68212,-2745.709818983995,1131.1585241847833
1901.70295,-5856.81154452731,1133.3158336329304
1901.72379,-561.314865303003,1129.9756051069214
1901.74462,-2166.3962877737567,1129.3668276000922
1901.76545,-1803.8363783178258,1128.220378125216
1901.78629,-4919.428551066805,1130.0221598794485
1901.80712,-2015.5740034759522,1128.6968259832217
1901.82796,-2834.5759525507815,1127.911812685426
1901.84879,-2114.97852799053,1124.3261783672563
1901.86962,-3806.3718875038508,1123.3219399699462
1901.89046,-2425.3152902855577,1123.487683109774
1901.91129,-379.0847144246106,1120.7550096458017
1901.93212,-6722.911133487505,1117.8502770772384
1901.95296,-3970.5762749487676,1117.5621875877282
1901.97379,-7501.763003916221,1118.295145111429
1901.99463,-4072.225106232581,1116.9488259129255
1902.01546,1845.2396666173893,1117.6241247905648
1902.03629,-2467.360463971756,1119.7226550182565
1902.05713,-1295.1477613461616,1118.074697567122
1902.07796,-3545.7720234019084,1116.982850626326
1902.0988,-3863.4955102280123,1118.4609901216566
1902.11963,-2630.3258017487397,1117.923827505607
1902.14046,-395.0357853038552,1116.2889094655961
1902.1613,-2964.232216483128,1116.981831922332
1902.18213,-4161.374948861703,1115.0210304746324
1902.20296,-5006.08348574416,1113.171165891882
1902.2238,-7163.755796253884,1110.4448083926725
1902.24463,-3008.9411992433033,1111.5648734341032
1902.26547,-1575.043101539733,1111.8318757509371
1902.2863,-119.42083555237868,1108.5268943831215
1902.30713,-2386.644573579567,1111.0631617170457
1902.32797,-3033.003802545372,1108.7718926936843
1902.3488,-3412.8028322105934,1105.4367576876455
1902.36964,91.9741994525573,1105.879078961851
1902.39047,-2254.7099781645834,1102.03112836522
1902.4113,-1951.8090419331438,1100.7983946620502
1902.43214,-3159.572680283027,1097.515111689307
1902.45297,-4072.9595918122736,1095.509894747468
1902.47381,-4816.295162452498,1095.7285086245859
1902.49464,1932.5431082573411,1099.1273126302513
1902.51547,-4134.472504435491,1098.6763323720963
1902.53631,-1812.8969353814841,1097.2424046301064
1902.55714,-159.7359442455245,1097.7899580268952
1902.57797,-1409.969352106316,1099.3661987168502
1902.59881,-6848.200417138264,1096.3282196658686
1902.61964,-2791.4806987875418,1093.314587640344
1902.64048,-3966.9414372276865,1095.562052391962
1902.66131,-3108.992498923687,1092.4945309251536
1902.68214,-4058.4538581597512,1093.1249049566563
1902.70298,-3244.071527957028,1093.5093638440014
1902.72381,-3878.6680875150228,1092.0501722429597
1902.74465,-1519.643839066258,1092.218258401974
1902.76548,-6097.249015438709,1088.993449038488
1902.78631,-4805.1781476361,1089.0364383470358
1902.80715,-4496.4727379171045,1091.4775587279184
1902.82798,-5994.2770914074545,1089.8775822349025
1902.84881,-1399.9252363364255,1088.133968478729
1902.86965,-6053.300800821271,1089.1346414120599
1902.89048,-5465.839369455622,1086.2951058991143
1902.91132,-681.762554481359,1086.3787414970236
1902.93215,-2559.55521283902,1086.278602894411
1902.95298,-4979.467500881066,1086.5710728110957
1902.97382,-3185.0865292949834,1086.6208874364036
1902.99465,-9653.909660221552,1085.4991924685824
1903.01549,-2669.5174836772744,1085.5038785069548
1903.03632,-4652.273632374508,1086.9316940249805
1903.05715,-3129.654260812102,1089.6378811851082
1903.07799,-5395.547673293493,1088.9977275952629
