relative_time,cts,e_cts
1899.43287,-3986.789719695622,1699.8776128537343
1899.66204,2724.6705294173153,1704.797632399706
1899.68287,2071.7468685070453,1711.2300867677159
1899.7037,2957.809171373369,1680.668568614287
1899.72454,288.8406704722736,1657.2050873211635
1899.74537,5905.314578147867,1679.9864134679149
1899.76621,4659.240496280725,1698.2516399109102
1899.78704,-418.31859640778356,1634.2406384936528
1899.80787,2785.8103442497295,1647.302875042498
1899.82871,3696.6230310257365,1656.4234962503315
1899.84954,4936.394666363993,1629.714554023155
1899.87038,-2366.9135577925767,1614.2127404456355
1899.89121,1316.1978192451932,1553.9400562836672
1899.91204,-473.94414366947706,1562.2467645984323
1899.93288,928.5638521354082,1563.7933740860199
1899.95371,6259.032866029145,1568.381014128802
1899.97454,-955.9176867712192,1540.4909872253806
1899.99538,-1026.285175980657,1577.5806899846534
1900.01621,2625.1801519511896,1567.8597475434349
1900.03704,1257.3437954464807,1559.207998629509
1900.05788,917.4990836136261,1513.7453998749043
1900.07871,-1563.6638809255946,1539.7657020041133
1900.09955,713.4124071896733,1492.9099709496745
1900.12038,8729.502351259345,1442.2972912710775
1900.14121,5168.03322578676,1480.4737895691158
1900.16205,5318.566760194518,1416.922190357722
1900.18288,1021.0060136391983,1257.5054045576635
1900.20372,1541.3522505586686,1520.6273746177758
1900.22455,1960.396132187719,1507.0912219237819
1900.24538,1086.7690842802972,1525.42634173397
1900.26622,-1832.220446293972,1442.6195830717854
1900.28705,3666.393686504018,1525.748942341897
1900.30788,34.64096444977363,1497.4114537784058
1900.32872,-1539.454836070502,1421.1135278030192
1900.34955,-511.41779673748204,1133.5672742562967
1900.37039,14.371064477942207,1116.634859769726
1900.39122,2577.932750407548,1093.9111776371549
1900.41205,-3020.041957888924,1085.3733785869733
1900.43289,1007.6613214208725,1217.6080265648839
1900.45372,-1158.699858567139,1219.006202715959
1900.47455,-301.8050151327541,1171.9649814587492
1900.49539,-853.1978034106787,1091.0659308586917
1900.51622,-2255.443827758265,1062.5921553759617
1900.53706,2809.1055256085965,1268.5417628153136
1900.55789,-70.6388278190407,1092.5611754122156
1900.57872,288.7670714184554,1240.0738546697412
1900.59956,864.7627366912075,1235.4904349922829
1900.62039,4083.978454024147,1191.9415145727025
1900.64122,-1734.488520067543,1219.6029211984578
1900.66206,2630.8861888047963,1231.8269520196875
1900.68289,2435.537830251778,1200.8299127519838
1900.70373,-3400.376751703213,1195.0719962856151
1900.72456,3828.797667467457,1224.534366611526
1900.74539,97.8300239862732,1189.4615867341029
1900.76623,1173.1120973409243,1224.5111031343747
1900.78706,-1356.6760636165718,1229.3402304222739
1900.80789,354.10254699723055,1199.4461476044537
1900.82873,2823.8573493873423,1160.0543899646211
1900.84956,3533.086139312189,1159.963703578028
1900.8704,591.6773075873643,1219.2645714223713
1900.89123,656.532999683833,1144.9502171492018
1900.91206,-2014.2287447369463,1142.6077085229767
1900.9329,1877.9121800049404,1146.0830249635712
1900.95373,750.7644931492028,1138.5123071869928
1900.97456,713.973818713487,1141.4532842032897
1900.9954,-1033.5368959001948,1143.918698102605
1901.01623,204.9597773672959,1120.144659683089
1901.03707,1014.5729416567507,1105.506476960868
1901.0579,84.18805335196451,1178.2970734806427
1901.07873,-3432.439690554542,1119.3422755928564
1901.09957,-2125.572687297459,1114.1657401837851
1901.1204,-1802.1194626395422,1146.1741230931232
1901.14124,-992.1085546522476,1128.375195550545
1901.16207,1592.3605122845731,1085.4251552639953
1901.1829,767.2659156940405,1124.5235460459492
1901.20374,-1506.8043400174988,1047.3979137883866
1901.22457,1375.4139709758401,1115.9556897598027
1901.2454,-1278.5920996232728,1128.0167733052353
1901.26624,5443.230999203069,1132.0160326604268
1901.28707,1082.489736777637,1123.5149816692847
1901.3079,1649.2093478757504,1138.380137697338
1901.32874,-1460.3336915649274,1098.8630043266648
1901.34957,2401.1787038570465,1113.3353575723797
1901.37041,2758.8557973478523,1094.194662664031
1901.39124,2998.1062488430402,1085.3766725306405
1901.41207,1515.4066797764135,1070.8379257328795
1901.43291,-2012.3012730128153,1091.451116396299
1901.45374,3324.7683922474503,1223.3510173490097
1901.47458,1604.6493926217545,1075.2507808898101
1901.49541,2639.4008273135664,1277.7699518710358
1901.51624,5842.347859808916,1261.3144386660622
1901.53708,1805.2320335337633,1279.510183484823
1901.55791,2172.9873594179608,1086.9580742982153
1901.57874,1167.930312209133,1082.8107933494696
1901.59958,4719.424449835151,1304.6770453969548
1901.62041,4172.553937405358,1296.491389511967
1901.64124,2339.253283459957,1087.1374912923493
1901.66208,1041.3251168945615,1289.0479003095425
1901.68291,680.6260359603889,1070.84832224258
1901.70375,1001.9391236561477,1276.4624621065543
1901.72458,1174.2837119291253,1081.1644391302034
1901.74541,4884.58052073271,1275.1979994812277
1901.76625,370.73830068225385,1258.9544309641042
1901.78708,1770.9776957219515,1285.13778330485
1901.80791,3373.3740308751985,1073.8112245714133
1901.82875,3945.617585503555,1282.1715870323492
1901.84958,2384.4580281868466,1280.0886823414119
1901.87042,2009.5442421631947,1302.989002203148
1901.89125,-248.22150707337417,1085.7787395295436
1901.91208,1264.266532742237,1084.7970413809164
1901.93292,128.89335387028422,1085.69072947218
1901.95375,2594.364897199631,1260.3318140957786
1901.97459,2581.7546514833966,1235.9456168328227
1901.99542,1091.5819477213386,1213.9137658061466
1902.01625,405.22661143019167,1084.7374415876843
1902.03709,-1414.0652089049438,1102.1515953356131
1902.05792,3515.302549194813,1230.6083987342258
1902.07875,4554.529423973236,1267.0962362240195
1902.09959,767.3496024503409,1260.2918750288113
1902.12042,-1313.2859730432046,1271.450726816593
1902.14125,2313.4637632589447,1132.9811581549773
1902.16209,907.6373250806263,1289.3811032986484
1902.18292,-169.0978921100493,1224.2953498241598
1902.20376,2900.9435572566354,1222.6516719341232
1902.22459,-5768.418896944834,1245.1275877414619
1902.24542,3842.3638773974158,1224.0646708317013
1902.26626,1307.5802449968162,1216.629210616966
1902.28709,3949.240820601964,1196.588960280196
1902.30792,3362.522236398664,1198.8770159001692
1902.32876,-3128.5902686974637,1183.2763840126277
1902.34959,2885.159185073897,1191.0887949058022
1902.37043,2025.5828656227616,1183.4775204478187
1902.39126,1962.9434829357608,1195.347761132021
1902.41209,-1573.5928564965582,1109.222045417704
1902.43293,-1693.6546327158237,1191.6830429305505
1902.45376,-1880.1724429752198,1188.4661981321078
1902.47459,2444.229724104151,1184.355871113881
1902.49543,2153.9304542016525,1194.021022384233
1902.51626,-1670.543603395113,1196.7743475472275
1902.53709,-2843.901614217957,1194.5858307874537
1902.55793,-3274.023851886417,1199.782438665748
1902.57876,1368.449750577023,1168.427285959953
1902.5996,2342.001358900231,1174.9735872559677
1902.62043,2558.2608041470903,1176.5887519461335
1902.64126,-1324.2163074890598,1160.7914098602037
1902.6621,127.48807515317614,1176.661012835337
1902.68293,1203.749993813141,1181.0500898364185
1902.70376,44.577969008426344,1209.0435671581445
1902.7246,-1566.9050185585845,1210.3547626092518
1902.74543,-2014.652942919865,1234.7811048106546
1902.76627,-97.21662991395831,1222.7669599624824
1902.7871,-1125.124279022293,1218.3487521470925
1902.80793,3532.684792863463,1215.484462256802
1902.82877,1630.0014359294387,1234.1703870675692
1902.8496,-380.75199236691407,1227.3189842393608
1902.87043,498.6347219144492,1223.3089166315106
1902.89127,-13.858444494701812,1045.18139850744
1902.9121,1739.2523860965318,1215.168964214908
1902.93293,1982.3485168234192,1227.0642182838346
1902.95377,-427.7719059260253,1231.5163948932948
1902.9746,-5776.861583371619,1222.8914092716666
1902.99544,-1953.4830708514864,995.7549502920683
1903.01627,506.18433786440835,1265.9965737178034
1903.0371,783.9762977902797,1249.4532563269454
1903.05794,1553.4213630917898,1252.6589840655106
1903.07877,526.1324607142307,1258.237483537745
1903.0996,-424.400142839475,1289.3092541524031
1903.12044,-1027.9390445089143,1288.3232327027124
1903.14127,2494.0455782224535,1298.2225627806693
1903.16211,304.47784454737615,1321.8228456717295
1903.18294,-2502.847819187684,1368.5561861317763
1903.20377,4445.819401117775,1387.3801477693557
1903.22461,245.17677083155328,1390.6383727351204
1903.24544,-1849.2701045879537,1403.7642235710423
1903.26627,21.322726716526844,1429.5626991813997
1903.28711,3929.7618788532686,1434.5373776051022
1903.30794,-4633.0524088959555,1394.7710368088417
1903.32878,-2274.3289332251707,1328.5626661582046
1903.34961,168.37023936677085,1276.3927746108407
1903.37044,-4781.190319835851,1256.1573581117768
1903.39128,-528.1934400926317,1254.5522811240928
1903.41211,58.54531951563164,1217.43900608045
1903.43294,-3466.8953706730244,1216.4101633630833
1903.45378,2146.2622562796664,1198.337735560371
1903.47461,-3470.022146699311,1216.7274113125504
1903.49544,1129.594675257663,1235.0698395602506
1903.51628,-1703.0578125288773,926.5666929155626
1903.53711,170.56472639944155,1293.4323452023414
1903.55795,-934.248066612218,1298.6205123499878
1903.57878,1651.4351273732614,1297.9059324456396
1903.59961,783.495690822057,1297.5433927707454
1903.62045,-4887.1485615644115,1252.704893405375
1903.64128,2711.1497141485233,1274.6609837277008
1903.66211,-1952.374041192966,1208.7825221225023
1903.68295,-2218.084742168442,1214.8641714899334
1903.70378,-447.51580426846755,1197.6898580152877
1903.72462,-71.33662919783303,1190.3464223517603
1903.74545,2404.275525583108,1194.541568419423
1903.76628,-3714.3102732908415,1191.312783075186
1903.78712,-2215.760247296648,1207.4033890832545
1903.80795,-515.2905480686973,1199.7273680450585
1903.82878,-968.4615389354062,1225.1693771891582
