relative_time,cts,e_cts
1900.8885,1563.2696427809317,1302.5359622117344
1900.90934,1527.5278239190015,1295.3808485238983
1900.93017,795.7272013443065,1289.4667433874943
1900.951,1621.3175941323939,1290.056242780495
1900.97184,-856.4618020245534,1294.4726595987265
1900.99267,2003.607188078334,1292.647946009424
1901.0135,1928.956172860574,1291.576905208483
1901.03434,1493.0701154782453,1287.091159439393
1901.05517,1126.2763552919353,1283.0614395845994
1901.07601,6001.068546341694,1284.4847161842554
1901.09684,4524.813751107154,1280.4271427626948
1901.11767,3104.649025122127,1278.3479858244214
1901.13851,8059.190450661551,1275.744388919172
1901.15934,5471.188086520053,1273.9456991002796
1901.18017,280.21450582822865,1267.2266868775191
1901.20101,320.3495640878688,1267.4405697405773
1901.22184,4277.310413096962,1271.5192874755962
1901.24268,982.5643527269314,1273.4293915615572
1901.26351,6624.345370159981,1274.0972672318478
1901.28434,1504.0436075416465,1271.3382392916103
1901.30518,-70.83883781873799,1269.1037529737014
1901.32601,5422.910129505877,1264.3275778606207
1901.34684,833.5389265073724,1259.1191641858848
1901.36768,1841.5096966846465,1252.4859490811953
1901.38851,3264.877684503239,1250.666521570257
1901.40935,489.3652105411661,1240.8248602089895
1901.43018,1523.2164170805888,1239.9264301977219
1901.45101,1355.5286945056794,1235.221312176503
1901.47185,2171.1998628980346,1238.573295791749
1901.49268,-3049.812772998544,1237.1136265756602
1901.51351,2717.99648507372,1238.8379046760363
1901.53435,3735.1086128843117,1239.7527011991635
1901.55518,2495.9630991095996,1237.3555663161917
1901.57602,5684.69350325185,1237.7333176085508
1901.59685,2554.2835884628958,1236.075318798438
1901.61768,167.65986900814246,1234.4596086152415
1901.63852,6319.086543249381,1231.9617332772834
1901.65935,2207.650524537581,1231.1362918095879
1901.68018,2132.809210498697,1226.7245511376018
1901.70102,3710.0621570395247,1229.218766882846
1901.72185,2757.960050752572,1228.3936303812097
1901.74269,2551.8818790890314,1229.1221942973395
1901.76352,4098.436230493772,1226.0061527567884
1901.78435,-1053.0394676920464,1223.4436246142177
1901.80519,2131.3602150946904,1223.795555446873
1901.82602,2218.816958461288,1225.2273710961952
1901.84685,5106.242217343566,1222.463565354359
1901.86769,562.0276437403221,1219.991713786811
1901.88852,-1388.4493740065884,1218.914472009327
1901.90935,4395.023754124087,1218.7579227654537
1901.93019,1332.9394518575843,1215.575601934639
1901.95102,6337.295456729618,1214.0775069950537
1901.97186,-1184.8431555659488,1214.9188066978431
1901.99269,952.6472839459734,1213.135670147985
1902.01352,624.2275046810818,1214.0271875952376
