relative_time,cts,e_cts
1929.32814,-110.21101476137183,2249.809852266353
1929.34897,2843.6573400834645,2209.716146906181
1929.36981,-2848.312533696337,2167.482307319038
1929.39064,5301.793690850251,2127.7150217473563
1929.41147,887.0037779114006,2089.5545147046287
1929.43231,1667.5450808318765,2058.9388807543824
1929.45314,-3673.9339347335067,2036.038549667804
1929.47397,-323.8452413864361,2022.3801695086356
1929.49481,4331.403995044926,2013.2224165827429
1929.51564,1873.7638837073719,2004.7101816684824
1929.53647,-3470.0072902543884,2001.3175513247381
1929.55731,-1334.5940492958457,1999.0370870952383
1929.57814,1498.2545248754527,1988.9915943707394
1929.59897,-1395.561130713317,1993.1537008950163
1929.61981,5501.506571094017,1987.2676707961962
1929.64064,-794.2666957402722,1980.751375946888
1929.66147,904.3114499551701,1976.691466272279
1929.68231,-3732.0568930779878,1973.5303804327073
1929.70314,-1012.4702909621697,1973.0806126057616
1929.72397,1786.114170881542,1973.6706087468283
1929.74481,-3999.8325701352064,1971.2097492821936
1929.76564,231.78662427101236,1962.900382741154
1929.78647,-4117.874609168128,1952.5872461277743
1929.80731,1365.8881483017965,1943.0886336595074
1929.82814,1415.5666978999056,1934.5175211572293
1929.84897,2186.5889489821807,1924.4717233675076
1929.86981,-2280.3705744764798,1921.677325925848
1929.89064,4595.226026813509,1921.0190968632623
1929.91147,-6014.70610139263,1921.8463320593285
1929.93231,-803.3319122152222,1922.825286359578
1929.95314,602.450530479385,1922.938058803639
1929.97397,6219.8685650896705,1917.2921150352322
1929.99481,-1990.9113698183776,1913.5517103373952
1930.01564,-1765.6346340269924,1908.7485600914217
1930.03647,508.4922722210337,1899.8345542786167
1930.05731,3805.2773259264104,1887.6148617105912
1930.07814,1323.9268336471002,1872.4608484520077
1930.09897,-161.63148678217496,1852.6066953043796
1930.11981,-6069.241797781164,1830.642914452069
1930.14064,-4552.568756696997,1801.6165686246645
1930.16147,3936.8440248624674,1785.886388848452
1930.18231,2290.9251193695713,1759.4575717055363
1930.20314,-114.70401536407513,1740.714669476484
1930.22397,2867.3657889454744,1729.780725134526
1930.24481,-3037.1130275405626,1717.741427801635
1930.26564,1149.4311531693436,1706.1267812590052
1930.28648,-4742.781600834789,1691.3198305356611
1930.30731,-576.1902110279115,1675.9873541216878
1930.32814,-6191.190196993174,1665.1693345644276
1930.34898,2139.03863606735,1650.594233410479
1930.36981,-711.7235713687819,1636.1847826725589
1930.39064,540.963211168481,1623.9864446701354
1930.41148,2820.7493823663135,1615.1644668662352
