relative_time,cts,e_cts
1931.20333,-2445.2398932960887,1308.3888819496558
1931.22416,-2430.791417255521,1303.7444566709612
1931.24499,-1402.8645049701165,1302.5305786446793
1931.26583,-2094.6692820083354,1293.7279798299744
1931.28666,-1099.9855058126197,1292.6416398667104
1931.3075,2071.707382712748,1287.9991719573188
1931.32833,-2776.619013663362,1286.294200274813
1931.34916,-17.170455605230497,1284.4085324997932
1931.37,-2016.9491523008312,1280.9911717353173
1931.39083,-1834.8132601347038,1275.7406831086964
1931.41166,-529.024485755728,1269.235623778175
1931.4325,-3888.1471262568252,1265.6432329902202
1931.45333,-7459.04795663195,1259.5055409720744
1931.47416,344.76917471200613,1258.8227281435761
1931.495,-4108.857101319567,1258.384586477975
1931.51583,-2015.7901836344756,1258.3988031602826
1931.53666,-2258.3166878921343,1255.709274718278
1931.5575,-1803.5909533213912,1256.574328930846
1931.57833,-1574.5697821584795,1257.562594390077
1931.59916,-3006.0604011098344,1255.763256903271
1931.62,-978.3356217366942,1257.417233964457
1931.64083,784.2355672534802,1262.7890794878747
1931.66166,-1100.0669941872943,1267.3778742705845
1931.6825,-2102.877355652059,1266.6395339655382
1931.70333,2380.6199212375736,1266.2591862040995
1931.72417,47.89095474086993,1279.5015106761614
1931.745,-450.6408078544464,1265.936014230201
1931.76583,-2894.0857934995206,1262.1678722827082
1931.78667,-4001.744393019475,1261.0357916894118
1931.8075,1427.3226585688287,1257.0297778618644
1931.82833,1169.4814908442268,1254.0114113769262
1931.84917,-3493.896891793709,1247.1904944525338
1931.87,-343.07965594505197,1248.1732998816035
1931.89083,-3347.490200771181,1245.1875905581971
1931.91167,-3952.3226724640817,1251.8071044832361
1931.9325,292.4782598164648,1244.8682303034682
1931.95333,-1945.4777695645691,1244.7626353805333
1931.97417,-4544.776431625371,1246.9315035878924
1931.995,14.947399174004596,1251.6088950864298
1932.01583,-1651.240967958354,1269.946663932414
1932.03667,-725.3673764020739,1254.776845793906
1932.0575,-1014.2299630378196,1256.7203074730883
1932.07833,-2509.581403816367,1257.5596068264038
1932.09917,-85.55784847517917,1252.890559902264
1932.12,-1232.2815215285336,1266.2463087744732
1932.14083,-3666.355447105485,1243.4472832087974
1932.16167,300.26982587635956,1233.644983777353
1932.1825,-805.9979082245304,1234.0767382378594
1932.20333,-2903.9848281823165,1230.8096828319806
1932.22417,-3526.783992709093,1227.381092948871
1932.245,-3428.3805476137754,1223.7701586622543
1932.26583,928.6364698374352,1222.7299714067703
1932.28667,-533.4906874083964,1215.1986324447612
1932.3075,-939.3369957401644,1216.6763432492241
1932.32833,-2296.3128317471255,1219.0379608232276
1932.34917,1261.1488040118113,1219.962251212076
1932.37,-3445.5080441137734,1211.1371941601028
1932.39083,-4784.982732122703,1208.3700920820304
1932.41167,-1781.9632587545123,1204.9745714382007
1932.4325,-3854.3084348017856,1204.1971867665277
1932.45334,-2007.8872535631738,1207.1734183017293
1932.47417,-3449.3999124051143,1204.757097406674
1932.495,-1485.9085761628291,1210.1900334562386
1932.51584,-2910.4052055356165,1204.1398049401134
1932.53667,-645.5647087754247,1203.564235345542
1932.5575,-2636.2841852387305,1204.7668842531896
1932.57834,-3843.433084914451,1205.590730690954
1932.59917,-3241.6315480778035,1210.7131661573724
1932.62,-2944.2076341488287,1208.6790473736216
1932.64084,-206.19299109656237,1211.3960820053073
1932.66167,-1580.4929877087718,1215.8812392343857
1932.6825,-3708.7513450762735,1214.6728212382654
1932.70334,-4652.789323766052,1219.479399110813
1932.72417,-1980.7827366665642,1213.7089713856055
1932.745,-1714.9904257741398,1215.610092076177
1932.76584,-1608.3582001282587,1210.3984417773083
1932.78667,-2171.108674074939,1206.776690449806
1932.8075,757.8730993616491,1215.0499753971567
1932.82834,-237.3188717168339,1212.00502989747
1932.84917,-3407.584425942436,1212.465011683717
1932.87,-1110.816866400351,1207.0972869377795
1932.89084,1053.4937610652116,1208.005506294454
1932.91167,-579.1765111000803,1207.4471409458633
1932.9325,-969.9676619267318,1204.4915132980636
1932.95334,-3343.017405874544,1206.1035614483867
1932.97417,-421.66391269019107,1206.8461255503505
1932.995,-2021.44255108487,1207.475059213293
1933.01584,4437.3970060028605,1209.7699201921141
1933.03667,-1427.9076029321682,1211.9456907017525
1933.05751,-545.752266840129,1212.674038121409
1933.07834,1140.523757295255,1212.3770330845111
1933.09917,-3681.721208213184,1209.931248630471
1933.12,-2539.88704367917,1205.7310431641608
1933.14084,-1698.0636111374365,1202.8099270277592
1933.16167,-1.1772031067063826,1202.1088797589102
1933.1825,-1504.5677656522828,1199.3402323892826
1933.20334,-3225.2602142454552,1196.2270880222957
1933.22417,-717.6909860727554,1194.9674693659817
1933.245,-1567.1521766549288,1196.109336805794
1933.26584,221.7372848885993,1193.9566426500455
1933.28667,2444.980078275951,1194.0556443290116
1933.30751,2154.5862107284975,1189.062807314351
1933.32834,-150.7815144345692,1190.0649803975784
1933.34917,-2186.072144281117,1188.1690106788574
1933.37001,-2199.5966389911473,1188.70182720707
1933.39084,-2325.891463442953,1187.5792244019788
1933.41167,-1225.863719661159,1181.7367860903016
1933.43251,2888.2772485826194,1182.4133147331424
