relative_time,cts,e_cts
1929.3887,4253.041077818342,1654.3681340614025
1929.40953,1015.8734805224015,1638.9148435448792
1929.43036,4978.736515834178,1627.5651982644113
1929.4512,-774.5870034945102,1614.2552056733605
1929.47203,6552.168763124543,1625.9763242835525
1929.49286,5402.522474029651,1623.3990216845195
1929.5137,476.29588027973335,1662.8231766070314
1929.53453,-2006.7277163527037,1600.8665845608512
1929.5762,3078.1083927950585,1665.6822830014746
1929.59703,4261.054170288636,1660.7676908492244
1929.6387,-1849.6626013231873,1669.7376367046654
1929.65953,-2456.56117805436,1647.094376704296
1929.68037,4531.412562848881,1631.6471742228991
1929.7012,2376.7949163367734,1632.898523408889
1929.72203,6949.370851600525,1601.820755083062
1929.74287,6582.835950233989,1616.5217089198577
1929.7637,-1351.7942329160146,1606.8841429412737
1929.78453,1019.042044837912,1629.111868747532
1929.80537,2548.784488323136,1630.7508916279037
1929.8262,-2233.096237207019,1610.920200668726
1929.84703,-2560.715386177586,1630.982752897873
1929.86787,3107.55219440528,1644.8355092984655
1929.8887,-2503.6010521713965,1655.989718332684
1929.90953,-768.2908401167946,1658.5794033760412
1929.93037,-3872.9220159060105,1639.8240245193792
1929.9512,-578.4985119904399,1654.9632136982132
1929.97204,994.8761569338182,1630.0253835775452
1929.99287,1916.9054652254138,1641.3998969336976
1930.0137,-4569.501580712143,1633.7322746600478
1930.03454,-400.19554439134373,1588.043634779883
1930.05537,-3076.1901457951776,1571.1043477574274
1930.0762,1511.2696939202604,1549.460866949196
1930.09704,-2804.112554027563,1340.790264206262
1930.11787,-2207.481500129965,1522.393565965885
1930.1387,-5033.2478536693625,1544.5380198340633
1930.15954,-1989.1922146360412,1496.4519323586737
1930.18037,1690.8521807661837,1485.1546029054753
1930.2012,-307.2333117575245,1468.555110792681
1930.22204,4224.616145001925,1455.786437392667
1930.24287,1054.6011229516805,1457.8887700648334
1930.2637,1367.377229536833,1455.7134841581908
1930.28454,4809.933462707596,1432.2263605771316
1930.30537,3662.6625391822176,1448.438075808508
1930.32621,-3983.5093166037705,1425.96105012319
1930.34704,3988.8290210594914,1416.7081654149429
1930.36787,2289.9338235825644,1408.1510708906756
1930.38871,1652.6683340168063,1383.9744515348343
1930.40954,-288.81948199013635,1372.8264337227777
1930.43037,175.3650263091224,1386.4723001161208
1930.45121,1701.8649203739992,1370.3033043176627
1930.47204,3573.9664713662078,1374.4167523221408
1930.49287,569.2153934806341,1355.638259569407
1930.51371,4306.108003523116,1360.5278804589366
1930.53454,513.7927077431933,1359.5110754058528
1930.55537,1344.9124831088036,1347.3285043705146
1930.57621,-63.38645480450973,1347.2816574561548
1930.59704,-826.8469033904586,1342.0449153774052
1930.61787,4835.663356516864,1332.5089886293154
1930.63871,-1117.2791987538137,1344.6639055389962
1930.65954,811.3346930763597,1315.6984790278307
1930.68037,5450.172286716687,1314.8045697346643
1930.70121,2748.981887602099,1329.6143858944763
1930.72204,130.03960479579888,1337.1616920841097
1930.74288,231.29054247315952,1330.1866611963233
1930.76371,-595.2439105721866,1342.8187149606279
1930.78454,2682.969838665693,1343.3266015519896
1930.80538,8793.071821916823,1336.4728154315437
1930.82621,4002.823040512416,1346.009774049994
1930.84704,-1986.3323859323457,1346.7647935926582
1930.86788,2025.9000740219813,1357.4764334293252
1930.88871,4210.554641227436,1365.3937683301783
1930.90954,4994.54033271211,1347.5578891516193
1930.93038,1393.3237129347376,1367.239887591871
1930.95121,2217.720956089738,1351.3546561425078
1930.97204,2656.7885015737725,1355.1107674411987
1930.99288,796.3388306905778,1390.7611660818577
1931.01371,1325.9560959059456,1397.771486935968
1931.03454,6904.835636409155,1394.8713121011829
1931.05538,1762.8520702166356,1382.360915852363
1931.07621,1216.2673479179741,1386.0156974816682
1931.09705,-1463.6538297680795,1377.0040640636694
1931.11788,-627.3712974285565,1197.0472146510126
1931.13871,-272.0366265143092,1383.5286835391653
1931.15955,954.3689508810882,1380.2959368872412
1931.18038,2866.7382108153906,1181.3548397719978
1931.20121,-1581.2391720626615,1376.8939634962205
1931.22205,2160.4325455537573,1389.543868617759
1931.24288,1830.310388650102,1383.114387589487
1931.26371,3143.4068001902515,1369.523313512278
1931.28455,3064.14027328818,1369.1180980217705
1931.30538,924.7975069072922,1188.344316844829
1931.32621,4785.143499609566,1345.3421539268509
1931.34705,3922.8483409820396,1356.5628154122758
1931.36788,2186.367575190663,1337.3531040359537
1931.38871,5148.733958902859,1311.3119981260052
1931.40955,2266.2337219591304,1295.4058197083268
1931.43038,3433.4884660051616,1296.597629974525
1931.45121,4146.364978534433,1257.5281288948638
1931.47205,4894.354388433661,1262.733914862803
1931.49288,6935.253936387687,1256.484288838339
1931.51372,3180.5226611166713,1252.0690187534599
1931.53455,3763.767364016553,1258.4139895992196
1931.55538,6278.8096915564165,1266.5238715093133
1931.57622,3304.060244397867,1265.2043156925042
1931.59705,4468.973468222203,1264.2802757848158
1931.61788,5271.5824591574155,1292.8617433348968
1931.63872,7841.659385992195,1311.840831685682
1931.65955,6377.210500111469,1316.4023178006219
1931.68038,4632.607676339747,1294.3683772480363
1931.70122,3828.8640407562984,1308.9000011586995
1931.72205,-3031.304094681289,1310.6302413789256
1931.74288,2662.575952863839,1301.9451949299757
1931.76372,4147.30078176423,1306.5990334421667
1931.78455,731.7571604476806,1291.098380076104
1931.80538,6540.453835736514,1305.2675079291778
1931.82622,-1709.4480324651367,1291.7640396455622
1931.84705,702.1372185669483,1284.0122167505083
1931.86789,3700.860728929604,1289.4411962773902
1931.88872,2398.9409180104926,1294.3159582337307
1931.90955,5723.864755598242,1302.0669556324965
1931.93039,4193.25419957886,1299.707171305424
1931.95122,2356.4560292251263,1308.210402196881
1931.97205,2452.4621762349266,1305.7474308337742
1931.99289,6528.754799152032,1294.5434856481866
1932.01372,3431.8278770342586,1311.8265918747093
1932.03455,5513.416859346649,1301.9273435727416
1932.05539,3424.806411980256,1304.4851438219644
1932.07622,700.6527698665566,1297.3167404286494
1932.09705,7508.89006886611,1306.612757317959
1932.11789,2453.4234666626235,1303.4537893968
1932.13872,2229.6537113108366,1295.0447682692422
1932.15955,1904.649528207455,1279.32473926457
1932.18039,-91.25273300783621,1277.831106917971
1932.20122,2723.405948850594,1274.9479579441318
1932.22205,3388.5324540808415,1274.4194339455632
1932.24289,6440.987105099224,1260.7815129539945
1932.26372,659.1088436627883,1271.060283174497
1932.28455,3117.693313119712,1277.1089008527658
1932.30539,7616.0542428304625,1265.5006688599954
1932.32622,5430.387307614474,1270.1996001069333
1932.34706,1615.6152108082947,1273.9836750923896
1932.36789,2713.302080656171,1281.152697607921
1932.38872,4035.116868057909,1266.5220141426646
1932.40956,3820.3168521874904,1287.1770663327216
1932.43039,4040.701763196239,1283.9233727124824
1932.45122,457.1772830562297,1282.4787542079998
1932.47206,6722.626936309118,1283.379473845545
1932.49289,488.79410045830065,1278.7605125515336
1932.51372,3364.1090113348046,1287.1608659680642
1932.53456,-586.3751911990958,1273.0311555627552
1932.55539,7136.254956303286,1267.1346355756014
