relative_time,cts,e_cts
1929.49371,769974.4222142934,2417.2918833569693
1929.63955,787264.0947585382,2437.137541212229
1929.66038,786925.9864827511,2428.2071584086325
1929.68121,791834.7320307218,2432.859351634583
1929.70205,780135.3100751439,2423.671267462842
1929.72288,783538.3867164088,2420.2309644000693
1929.74371,774835.9179205581,2405.748167914265
1929.76455,765301.6853127675,2383.386708103962
1929.78538,764535.013234525,2372.9495986550273
1929.80622,758782.5295346763,2368.8997288168534
1929.82705,757326.8265359963,2360.338758782082
1929.84788,707589.4573875874,2257.3704330227383
1929.86872,703370.0113775135,2251.6629496336504
1929.88955,660773.6272257271,2180.9082130682477
1929.91038,704820.4839361922,2250.6304098288247
1929.93122,696545.1548519823,2250.26048696228
1929.95205,704910.6051448148,2263.777668464123
1929.97289,695598.6228277653,2234.4600060461707
1929.99372,701260.1689586005,2234.134767739898
1930.01455,695242.449951322,2220.2345028503346
1930.03539,682177.7121706378,2196.5244466878935
1930.05622,669840.5109549612,2176.863036129098
1930.07705,667741.6990931843,2161.870754040557
1930.09789,657062.2011036013,2138.634782699085
1930.11872,624700.207955746,2051.6688345334273
1930.13956,630059.8692781647,2075.04304235702
1930.16039,636539.189076832,2079.236963791322
1930.18122,604072.1125340313,2015.1640992797527
1930.20206,610705.5142863537,2015.965054719698
1930.22289,613302.0846042845,2023.5882611060204
1930.24372,622821.2232165012,2042.9826865181676
1930.26456,616371.0249986883,2033.5139465808822
1930.28539,616884.940392045,2027.4026698366417
1930.30623,610029.3975098934,2017.8156892478603
1930.32706,618548.4847471302,2028.5768127685392
1930.34789,609934.9779118235,2005.5998690492834
1930.36873,625868.3937624303,2034.772867753844
1930.38956,597208.6123314868,1970.3320187470663
1930.4104,585618.7181502692,1952.0898020648567
1930.43123,589487.8335351065,1946.8988436270415
1930.45206,583157.0264431874,1928.1851946320076
1930.4729,578858.7304457318,1926.1170544360366
1930.49373,588549.9784771458,1949.7711018688215
1930.51456,570282.6114268517,1908.6126430960362
1930.5354,564574.7359766562,1902.663475407212
1930.55623,604337.3156032851,1949.8411892955496
1930.57706,599984.9720998871,1954.8115814792366
1930.5979,579826.6124059805,1928.2611991922874
1930.61873,593120.0936133033,1945.128600499551
1930.63957,566243.7644943487,1897.2334851778044
1930.6604,559312.4900562168,1882.6577488874161
1930.68123,555573.5343682207,1884.03888947409
1930.70207,555843.9977692023,1880.458411557861
1930.7229,554554.9208432686,1883.245483480401
1930.74374,552523.5923593593,1873.4166145527952
1930.76457,589005.0904174582,1935.1424174350973
1930.7854,551777.6623847052,1865.6883280361524
1930.80624,565942.5062899718,1898.7610238101186
1930.82707,547476.9153677048,1854.2044980657763
1930.8479,545437.3118745426,1836.143366074167
1930.86874,545447.8822215161,1838.1668217098659
1930.88957,551072.4521847847,1851.6661497915088
1930.91041,542126.6965662005,1837.9120789084975
1930.93124,548314.6556885715,1845.5172278355321
1930.95207,543919.6237392995,1846.2485039269254
1930.97291,554970.6077388803,1851.5842280976767
1930.99374,551524.3122521319,1854.1812376097444
1931.01457,545701.2533701152,1853.190831876591
1931.03541,545373.1582105522,1851.788879302941
1931.05624,529681.3357602681,1833.070027311163
1931.07708,539315.3599072375,1844.0653877048662
1931.09791,550030.5039335723,1838.025830700058
1931.11874,535853.0221532539,1828.0908614466919
1931.13958,506957.62158648437,1761.9986220811838
1931.16041,507414.5259081652,1761.442411527295
1931.18124,524179.83789006044,1798.5800760319469
1931.20208,523752.7002188107,1794.6325317964054
1931.22291,521238.4075409011,1767.686007620104
1931.24375,493668.6018978597,1726.4287939287262
1931.26458,494324.8305763344,1726.5216317137665
1931.28541,489842.8987875612,1717.2441784214814
1931.30625,502614.5768584634,1764.4106701599792
1931.32708,517610.7222230965,1770.657020780476
1931.34791,494560.6401826491,1727.9328680659203
