relative_time,cts,e_cts
1931.14125,-11943.978038402947,1485.4583520935453
1931.16208,-11256.974688070926,1475.5593994010233
1931.18291,-10183.012457539393,1469.3844335016638
1931.20375,-4408.368327859125,1459.6351057426994
1931.22458,-10071.819088483033,1454.8409731426057
1931.24541,-9800.552931144528,1451.6254407796696
1931.26625,-10057.671785870225,1447.4317835036165
1931.28708,-10566.80935425768,1444.5916132047128
1931.30792,-13212.381873261256,1441.6603578176948
1931.32875,-9427.352474300347,1441.580502397978
1931.34958,-3280.7982598575177,1438.3782792716615
1931.37042,-3889.3167299095353,1434.605838538931
1931.39125,916.8163305431452,1429.3190562270963
1931.41209,-9134.972876719701,1426.077529261388
1931.43292,-1965.5431046817234,1423.3042170808146
1931.45375,2558.4009703259408,1421.6914079464086
1931.47459,-1166.2880930252766,1420.5835179762523
1931.49542,8666.86009440593,1421.3750016414642
1931.51626,-3930.2066559840405,1421.194391141402
1931.53709,5838.131787815217,1423.089293705093
1931.55792,-3419.894755421744,1423.7474770472884
1931.57876,-973.8041942224933,1425.1034595063036
1931.59959,342.75287463855165,1430.3960646091593
1931.62043,-1090.6980756884109,1430.4591795046906
1931.64126,5007.606620743013,1437.1003845993741
1931.66209,-1333.4215353124396,1437.7787397533205
1931.68293,-51.79726139777085,1439.1639401458522
1931.70376,-5537.7639448242235,1438.4688444677201
1931.7246,1522.7339885985864,1439.3034791735338
1931.74543,-6493.867374234934,1437.7154169009673
1931.76626,-2794.4239571609605,1434.5977282228662
1931.7871,-5640.025984281658,1433.2688841291451
1931.80793,-2261.6863048301584,1425.5321624952246
1931.82876,-10921.035830646286,1420.5952675367055
1931.8496,-4112.925526287788,1417.3209873715039
1931.87043,-2456.824044619173,1412.0320215130364
1931.89127,440.3195609864264,1416.9586226088577
1931.9121,-1522.2332285707794,1418.1288996256676
1931.93293,-3069.1301362519403,1409.1051332192842
1931.95377,-4652.689311791127,1413.341733579117
1931.9746,-2182.734977398009,1415.8846296007166
1931.99544,-1678.075759176167,1417.8558523181473
1932.01627,1362.2043191781186,1421.302528688935
1932.0371,-1238.3550098592036,1423.7814779877144
1932.05794,-3298.410539041466,1425.8492966490471
1932.07877,-4997.419751830183,1426.8644378765118
1932.09961,-3255.6532646822093,1424.9743183197306
1932.12044,-6193.14631658147,1420.544630050505
1932.14127,3243.024046871304,1418.0933390090752
1932.16211,-2600.3763270338054,1411.9798243506696
1932.18294,3177.6533397115277,1407.800724052169
1932.20377,-1447.9357668621662,1402.5126939994013
1932.22461,2678.3296696763214,1401.016964555882
1932.24544,2215.8971239819475,1398.6304520645606
1932.26628,-5345.854214807474,1395.0701272904525
1932.28711,1511.2038225928957,1392.0191927522708
1932.30794,-3531.072631694849,1389.828887522675
1932.32878,-210.96606137390324,1384.9524040209985
1932.34961,-67.38237747912065,1382.999897417564
1932.37045,-3957.649366087604,1381.126206449735
1932.39128,-1229.0083904863882,1377.4148010443141
1932.41211,-8285.382956039042,1374.3172841779644
1932.43295,-4741.847471991031,1373.537550073206
1932.45378,-1510.7026466514453,1374.5623612929019
1932.47462,-1171.0799381003267,1375.7033163977846
1932.49545,-5786.2487442282945,1378.9349654144394
1932.51628,-4421.784558263564,1378.4202722795476
1932.53712,-7188.830687849485,1379.1624701779028
1932.55795,-5908.201383350531,1383.048767270776
1932.57879,-151.46805487244876,1387.7251963095166
1932.59962,-6361.437558476112,1379.3079359750168
1932.62045,-2540.974396584199,1385.5599498769934
1932.64129,-2040.4457207428766,1381.5365052598936
1932.66212,-2260.5326643591225,1382.8989343803962
1932.68296,-2081.317346617033,1384.9904601194573
1932.70379,-3296.713091480434,1387.3831073370327
1932.72462,-3339.7578661463526,1388.6350074065479
1932.74546,-3883.609354924845,1388.076331403765
1932.76629,1160.5063734766575,1389.7173186875762
1932.78712,-2044.3329536414508,1385.6043486585286
1932.80796,-2969.8603875088343,1383.8868332641557
1932.82879,-1674.5363340626873,1382.7143727007128
1932.84963,-223.30611522356958,1377.9649508173877
1932.87046,-6777.271659348767,1378.4666466508934
1932.89129,2131.26722358498,1374.2091466304316
1932.91213,1999.8701214050957,1372.5228247593855
1932.93296,-3715.698466057971,1371.362321713218
1932.9538,-5623.672467742358,1370.846484815804
1932.97463,3671.0486806384774,1369.6172520399066
1932.99546,-2794.812212547968,1371.255223949796
1933.0163,-1997.6632836081365,1370.2288530539338
1933.03713,-114.93420035211736,1373.6541098720368
1933.05797,-2753.660052920695,1376.9011476935332
1933.0788,-4227.418858176886,1376.97528430064
1933.09963,-6093.948208963605,1376.6997415112533
1933.12047,-3168.582471084921,1375.3253548734751
1933.1413,235.7191619178188,1373.6049280835916
1933.16213,-5881.2339585640575,1369.2516639465166
1933.18297,-4357.342170357992,1370.147645914873
1933.2038,-1948.0106809174924,1371.3425658151111
1933.22464,-2232.290152317462,1365.5854891499198
1933.24547,744.5798357965452,1367.3755814752326
1933.2663,-6156.856499391966,1367.5126250210485
1933.28714,-2128.2410359086375,1368.973729653675
1933.30797,-3718.6850379596885,1365.4949239538607
1933.32881,859.3843750700348,1361.6987761434023
1933.34964,1741.6777935633165,1362.1413082609981
1933.37047,-2256.5205533888316,1359.9891631082724
1933.39131,-4740.573632476778,1357.9081391887312
1933.41214,-6297.505392633752,1354.9997590521527
1933.43297,684.1970769951316,1357.4914976954965
1933.45381,1848.2200003348291,1355.2267439235607
1933.47464,3818.5905107081953,1357.957944847643
1933.49548,-4537.1720005096195,1358.1533202820797
1933.51631,913.8566890499004,1356.2692314731419
1933.53714,-3910.296557893433,1357.8803769529704
1933.55798,-4624.706433841957,1353.4178315058405
1933.57881,-3908.899088048394,1350.5425165039883
1933.59965,-4261.981593958198,1351.0477476034714
1933.62048,-1476.5252548616315,1355.782404552422
1933.64131,3198.2240126477864,1357.9302865902932
1933.66215,-1801.678535682388,1358.1921042294161
1933.68298,994.4747904118102,1359.8369387144373
1933.70382,812.3886287395441,1360.4406373692218
1933.72465,-5524.226267635632,1363.1911782777665
1933.74548,-2187.85341866229,1364.6821247143757
1933.76632,900.0502276686424,1364.284095356726
1933.78715,-3223.5304862955186,1353.6611409877894
1933.80798,-2614.0359708986066,1357.3603809191127
1933.82882,-7211.351163950489,1356.1919755137026
1933.84965,-3573.547396711177,1357.096379733357
1933.87049,4391.117581610534,1357.3636042498567
1933.89132,-2821.1359069913888,1359.3505277073616
1933.91215,-5261.542488348441,1360.941501375439
1933.93299,-2852.125944567672,1363.0105677777046
1933.95382,-6062.566588691159,1363.3502652467332
1933.97465,910.376427652331,1367.6362553518336
1933.99549,-4240.456607164961,1365.0611260227963
1934.01632,-2392.085214263586,1368.1816221179968
1934.03716,-3802.3188251784222,1371.3993380275658
