relative_time,cts,e_cts
1929.13548,-1044.2742546348002,1767.8555385495056
1929.15631,-255.60249375047596,1764.4720113472388
1929.17715,-3334.8271205026085,1741.6429841705592
1929.19798,4409.893662869725,1725.2037880916741
1929.21881,2831.494915250067,1712.60625203037
1929.23965,-2621.4555321063563,1701.8876027437784
1929.26048,-1704.1848586594197,1684.1135592533656
1929.28131,-5114.646315362918,1666.4858120622969
1929.30215,-2136.746548064329,1658.7682569919689
1929.32298,-3862.0461304624782,1630.9658998774933
1929.34381,-13656.187648549016,1631.891309026831
1929.36465,-1382.0689012602422,1572.7015912240608
1929.38548,1053.1703667387233,1534.7483335428308
1929.40631,-2168.833813213802,1562.0358892899933
1929.42715,5608.546343147225,1557.6628419874412
1929.44798,2883.8296520207195,1543.2388349040234
1929.46882,-2620.320353626637,1549.002653930207
1929.48965,-3977.801588838508,1539.4371512007983
1929.51048,-5166.48655788339,1536.774898776692
1929.53132,-3759.8816620874823,1524.2817689406465
1929.55215,4566.26697039076,1524.1446161600115
1929.57298,977.9728993561498,1514.2564322761632
1929.59382,-1809.3507402106345,1504.5245387702475
1929.61465,1537.3420095766194,1507.8392769422267
1929.63549,632.1787370601909,1495.3929278995756
1929.65632,-4078.7796325010204,1490.3242289352454
1929.67715,980.3261859038796,1504.302755281562
1929.69799,-1908.0009078018284,1504.3662283126
1929.71882,56.70427551369967,1525.8164979239518
1929.73965,811.0885854792043,1525.0520572318865
1929.76049,953.7882923708695,1532.1640136677213
1929.78132,-295.539257071647,1531.759147164886
1929.80215,567.7294759200369,1524.4369961187292
1929.82299,-683.9314782330176,1518.777902277759
1929.84382,-3163.1102443479917,1522.906945214763
1929.86466,5037.786641335038,1518.6099167014775
1929.88549,3234.8339188610435,1523.7836598109766
1929.90632,9903.832803478792,1512.2592113581588
1929.92716,1525.2130256891587,1519.5780664847807
1929.94799,1735.2666557108582,1515.6408248006953
1929.96882,-3531.5503508064803,1500.7113725086435
1929.98966,-5145.783611446521,1531.6685625376758
1930.01049,2782.2308059658617,1541.1889855934498
1930.03133,3484.648990548668,1525.782050248816
1930.05216,-467.845464903054,1517.5621332494181
1930.07299,-4496.84501723272,1533.6397350593584
1930.09383,-2700.0551326885684,1511.3714394835067
1930.11466,-4413.935629739023,1516.314680865551
1930.13549,-4339.6660168654425,1494.0437272900747
1930.15633,-482.3894009295383,1479.8105645797111
1930.17716,-6891.555319594129,1482.872686467358
1930.198,-2529.1457568199376,1456.9297595703422
1930.21883,2545.887858536054,1465.7717548019061
