relative_time,cts,e_cts
1929.43084,-9461.67396943208,2091.264424555485
1929.45168,-10066.029586988734,2049.265975410079
1929.47251,-3644.51043362823,2017.8072982401586
1929.49335,-1654.527678209409,1995.1480890469961
1929.51418,-4252.586550456337,1974.2209537834415
1929.53501,711.5777709056989,1952.2630277639842
1929.55585,-3448.763116673604,1931.6618438799205
1929.57668,-2395.1790319327306,1921.8982385465576
1929.59751,2668.8252739887894,1910.4887209948736
1929.61835,-1617.664995406818,1905.9388136464925
1929.63918,626.3736942047459,1886.5673646583077
1929.66002,-2818.0697538442696,1878.6132568677613
1929.68085,-5476.611302452435,1857.2192429917502
1929.70168,-2582.6580759891463,1850.9425452149246
1929.72252,-4354.558630947004,1853.4441814102013
1929.74335,-3069.3398604425965,1842.21511574442
1929.76418,1452.854406670601,1819.1791522759604
1929.78502,-3088.5580878970304,1816.73715868036
1929.80585,-2960.1408648119495,1804.261186739917
1929.82669,-5051.341887353468,1784.6043270830946
1929.84752,-5524.572487478585,1762.6375613597672
1929.86835,-6830.150010448271,1745.0046890718538
1929.88919,-3623.1254626676723,1731.4447865464952
1929.91002,-3998.3179553417517,1735.2726831396822
1929.93085,-372.63111227333485,1717.785615162732
1929.95169,1974.538675093812,1723.9455678849954
1929.97252,-3016.6620329640286,1703.5937246135475
1929.99335,809.5290054049083,1699.8475190768163
1930.01419,-2881.5304959576506,1696.0144405882572
1930.03502,431.197096981604,1689.6659075167622
1930.05586,984.6513627202332,1674.7922421058618
1930.07669,-708.5091743932285,1644.2509636284055
1930.09752,-1886.1224328968394,1624.1264125127934
1930.11836,-1186.3374365887837,1599.3593911726418
1930.13919,-1004.3885925582209,1567.8054077701895
1930.16002,459.4101803500653,1559.135283966154
1930.18086,-4155.032797813914,1539.3417645196134
1930.20169,-1025.182319417389,1505.7935642451944
1930.22253,-874.0104793008223,1503.8983114142577
1930.24336,-414.62976463032476,1493.189467401529
1930.26419,1996.6433198763568,1483.3814603372318
1930.28503,1699.630082682767,1471.1487326619083
1930.30586,-1522.9623012770246,1439.1788767543885
1930.32669,-2390.04042062775,1433.833192846103
1930.34753,-3153.869884321997,1425.922673940158
1930.36836,-1694.1860443682012,1408.5028689972548
1930.3892,-4381.727105171903,1402.2544176304975
1930.41003,-4127.0758626461065,1378.8755346153475
1930.43086,-1617.467676959507,1362.7053793034795
1930.4517,-3033.2780344894904,1358.1119846762883
1930.47253,-6945.941596261864,1344.9402162748872
1930.49336,-812.5067663396785,1330.0654332002791
1930.5142,-3823.0508097733796,1329.0672579034838
1930.53503,-6016.7893490358865,1322.9073051812204
1930.55587,-2444.6819832408005,1323.776339516877
1930.5767,-3457.888942453019,1317.1336576786655
1930.59753,2049.753175180858,1319.4310662328023
1930.61837,-6474.419497522703,1318.452500853788
1930.6392,-4477.191029892452,1324.6574649417355
1930.66003,-5673.279675908023,1328.3426053977078
1930.68087,-1212.6061915289595,1335.3674266181715
1930.7017,-7865.04787565959,1337.9386627807023
1930.72254,-4335.908481473472,1346.0497515192892
1930.74337,-2469.3757468052,1346.1231109008331
1930.7642,-5147.9846424683,1341.12491879986
1930.78504,-2320.807453492897,1327.335895214417
1930.80587,-3507.6671438505655,1321.4573905349184
1930.8267,-2482.4497704350706,1312.804234898082
1930.84754,-3286.866378829234,1312.5758250785386
1930.86837,2148.4942931040578,1305.5801647202672
1930.8892,-4328.553339824478,1316.4905946235538
1930.91004,-6161.668234448969,1309.9612032429893
1930.93087,-6194.0601608148445,1313.1814972023371
1930.95171,-1348.448461047663,1309.55213832596
1930.97254,-4261.351167646571,1316.8377816134916
1930.99337,-1155.4186925954893,1320.821033462053
1931.01421,-4350.06968707359,1328.2396787308048
1931.03504,-3650.4655490746036,1323.1517687158387
1931.05587,-3704.5519376422867,1313.543315426267
1931.07671,2309.250404331792,1305.31558323891
1931.09754,-1278.8661732012483,1303.2408945799864
1931.11838,-6176.958077182312,1285.7160292485567
1931.13921,2225.885697276389,1242.5343806598296
1931.16004,-25.711650384767555,1251.8861777197894
1931.18088,-2261.218806492054,1233.1208072785696
1931.20171,524.6804200062622,1217.8118626564037
1931.22254,5658.505076143943,1170.1187137085249
1931.24338,5655.2604984004,1160.487297510049
1931.26421,3016.163758161964,1159.0621746769007
1931.28504,26.893427347005616,1148.6938116718636
1931.30588,5599.051056816987,1152.3777328583367
1931.32671,1643.1907071929352,1138.0093530491222
1931.34755,-1281.9522459098769,1158.0824916341785
1931.36838,-812.6573461228473,1145.0249281425492
1931.38921,4179.299105813003,1130.6076759475695
1931.41005,-3665.1677039092633,1131.0294415885508
1931.43088,1657.755389391544,1125.9154188851403
1931.45171,2651.549241241017,1124.3184806583758
1931.47255,-2422.8502516145254,1120.8305570439225
1931.49338,-1347.4339272184184,1127.672691051068
1931.51422,3087.122906090512,1119.9869241561687
1931.53505,-2527.9987323625633,1115.750877098077
1931.55588,-4396.576994827566,1166.2847207678412
1931.57672,2619.1323198504047,1103.782324480944
1931.59755,1507.370790948386,1106.2867040325941
1931.61838,-3719.2876223881785,1158.9546757493752
1931.63922,-1779.3331202200604,1103.7963460801864
1931.66005,-2929.071337823903,1103.8949036980498
1931.68088,474.3943928622392,1117.476448257022
1931.70172,-175.14298329102243,1105.546607446493
1931.72255,-2559.739975238956,1125.8118825834877
1931.74339,611.6328275634822,1101.454027766157
1931.76422,1771.5782613868648,1126.2106853155644
1931.78505,-1838.4814077200572,1110.3021649170967
1931.80589,-1285.311943015316,1096.6050945730622
1931.82672,-775.5590394895083,1122.4608219703352
1931.84755,-415.4644562084165,1110.9422814042518
1931.86839,-5627.69484713609,1089.5409519112443
1931.88922,-2158.390087572307,1082.9530355947118
1931.91006,-3781.8439713504217,1087.1244613693386
1931.93089,-1569.215086523013,1090.222523561377
1931.95172,234.56205022566488,1086.909666725871
1931.97256,-2051.792200206926,1086.182372469513
1931.99339,-2457.4234511147256,1089.7644846527905
1932.01422,-3124.6132078678893,1086.600175484621
1932.03506,-218.53983294638346,1093.2867510248088
1932.05589,-2244.3821171872114,1093.0945128670792
1932.07673,-2222.7389659101677,1114.6016139891544
1932.09756,-1083.5858364648707,1089.8984010861352
1932.11839,886.9222384814885,1085.6554448342135
1932.13923,-3133.4567727582066,1108.5894976936863
1932.16006,-2351.2560674884026,1080.369708342979
1932.18089,-2076.642843113574,1068.3856100397295
1932.20173,-4915.444141072545,1069.8347118396985
1932.22256,-873.6518108564323,1090.4868002253597
1932.24339,-6421.006856959198,1058.9493785669404
1932.26423,-5051.9671693950495,1052.9168395073582
1932.28506,-5188.740147964918,1049.5766507139085
1932.3059,-962.4854496453468,1043.3880451584105
1932.32673,-6820.137775742834,1033.7234038660777
1932.34756,-6721.704320156635,1031.1524725209215
1932.3684,-2070.6382456466854,1035.29311174069
1932.38923,-4086.5019266990994,1039.116232861671
1932.41006,-6234.832431267078,1015.7899816465763
1932.4309,-4718.473185569536,1020.3759590509796
1932.45173,-4552.459990683803,1014.7867260602003
1932.47257,-7151.318805328092,1016.000305635213
1932.4934,-6862.46898385577,1014.1611392012458
1932.51423,-5068.547202470279,1009.315050970316
1932.53507,-2590.1330108664506,1013.9917623466288
1932.5559,1103.9652149058452,1009.5495571373563
1932.57673,-1331.1233527025422,1020.381344157935
1932.59757,-5264.871640321261,1015.1059714574449
1932.6184,-543.3766985091859,1009.2667882193002
1932.63923,-6482.805734744974,1021.7690760597704
1932.66007,-3342.285327353907,1017.0016307115483
1932.6809,-3176.2809721720428,1021.2687691418735
1932.70174,1434.0650572625614,1032.0758659550906
1932.72257,-612.5461620242817,1031.5994363982222
1932.7434,-3064.907206177735,1030.0306429757345
1932.76424,-7208.034446965316,1035.893398757533
1932.78507,-288.95091923497665,1031.4751725150809
1932.8059,-3232.732845174243,1029.0795111604555
1932.82674,-7866.684541750875,1024.2799583820838
1932.84757,-3160.3734678314913,1018.9846709464377
1932.86841,-2576.6008467222023,1016.3727924672621
1932.88924,-3057.9287171982464,1018.5970448514383
1932.91007,-7318.685795781264,1012.6115492733726
1932.93091,-3636.674899796494,1016.6008974694308
1932.95174,-4457.765323411547,1013.3365065965236
1932.97257,-6147.890489106395,1010.9939850709111
1932.99341,-3511.967202557373,1016.4410715592254
1933.01424,-798.4154655241897,1014.5800598800616
1933.03508,-3797.6530196789013,1017.6419504102864
1933.05591,-3180.365321783259,1023.1512196430672
1933.07674,-5299.33754410552,1028.4663202080776
1933.09758,-4322.451505615017,1027.7664595154547
1933.11841,-1898.0731028946482,1021.002866785225
1933.13924,-2117.7671776337434,1008.5804410969619
1933.16008,-3981.150945608379,1013.3444318482692
1933.18091,-4785.518275193612,1008.4995628868388
1933.20174,-3411.5026471968526,1002.3648084008951
1933.22258,-802.5286711802228,1001.7160554214531
1933.24341,-1862.09306960379,1001.5795988433183
1933.26425,-2344.4176928955467,989.1936496342438
1933.28508,-3243.0864753394962,997.2260954901229
1933.30591,-2599.9110442222222,994.0013308759444
1933.32675,-1963.8768745625998,989.3746095491045
1933.34758,-259.63287288273597,978.6965520912346
1933.36841,-2309.462760436261,974.8674362285484
1933.38925,-1079.617317456093,971.3969888102521
1933.41008,-4872.396713734538,969.126607396684
1933.43091,-1402.4374096611907,968.9539791567354
1933.45175,-2686.3670058816265,971.1901194185302
1933.47258,-3027.1121886313135,983.1379444541742
1933.49342,-4733.357519588557,983.5864324183492
1933.51425,-3133.001172388619,994.4458562142464
1933.53508,-1531.2850348795391,995.3630516951271
1933.55592,-5012.00398586142,994.47003839265
1933.57675,-5418.344546800463,990.0785344733919
1933.59758,-2697.895300603705,987.2847816272309
1933.61842,-9016.224729666867,981.2406595074051
1933.63925,-4148.965306362018,980.1428089290386
1933.66008,-5272.954787467155,980.9246654954921
1933.68092,-3474.2114048465137,981.0559401782547
1933.70175,-1618.9636190294093,982.9075025187984
1933.72259,-3849.1301715179907,982.430361721389
1933.74342,-3370.6009309661054,979.299684070243
1933.76425,-5250.934475491647,976.5012573576678
1933.78509,799.0379026036042,975.2944853706932
1933.80592,1094.7696875533845,978.4138847789703
1933.82675,-2181.032226992479,976.1553912430209
1933.84759,-78.05773495372208,971.392518155421
1933.86842,-3181.479632499866,972.5415780527601
1933.88926,-2124.744040920566,965.3651609912113
1933.91009,-1950.9591206402285,967.1832950263147
1933.93092,-108.64270392157144,966.2608160442703
1933.95176,-3544.568233642386,1014.4587425648771
1933.97259,-2155.3254536857094,973.3348144678743
1933.99342,-1414.4205935123152,976.4388714016181
1934.01426,-4385.9960725064775,978.3354451078459
1934.03509,-2796.9124814627144,991.1745561475095
1934.05592,348.40900279359795,985.1015779828659
1934.07676,-1828.8156487640167,1018.2265901352214
1934.09759,-3003.981020536113,1015.798922956238
1934.11843,-4703.195433925396,1015.6015029031362
1934.13926,-1051.0380468146623,998.8269963427601
1934.16009,-5220.253692262308,1013.7695504803735
1934.18093,-4443.714258489536,1000.7727472521282
1934.20176,-1170.8380827131373,992.2794175254974
1934.22259,979.6273627481912,970.4859912826597
1934.24343,-676.0046688102469,988.8521525686361
1934.26426,-1869.4547140234474,1000.6528524180261
1934.2851,-2069.265348190425,984.8851576467325
1934.30593,-1566.9085334476313,978.8308749477455
1934.32676,-2612.787139770033,972.2892908721878
1934.3476,-5605.107371631805,983.3454234806456
1934.36843,-3210.901621576926,977.8462132212345
1934.38926,337.5258032424638,972.3690514186032
1934.4101,-1572.6183725130538,959.3560928694916
1934.43093,-3606.2851155543317,969.8318531962623
1934.45176,-1693.707176272334,980.215457070041
1934.4726,-4901.699620823828,980.7344594535946
1934.49343,136.33495600222986,978.1921809416731
1934.51427,-26.25361567722526,985.3710365422206
1934.5351,-1339.5379379406736,980.4883702263106
1934.55593,-284.9129018647364,984.5538211602861
1934.57677,-2271.8001352363094,980.0144808142327
1934.5976,-3534.667358884555,970.3685349875564
1934.61843,-1602.3582861120672,965.8038947993915
1934.63927,-4098.745831011501,962.5246694809089
1934.6601,-4114.046037535588,963.6652960975441
1934.68093,-6748.85176198267,964.1880578953874
1934.70177,-3263.6885736756844,971.7221273434102
1934.7226,-2980.696529301371,971.5765262440302
1934.74344,-521.9633795327683,972.0941061465013
1934.76427,-7144.936335922198,964.076088313031
1934.7851,-1181.8575356308233,973.9026892371933
1934.80594,75.51301790280189,973.2050638719859
1934.82677,-5402.965595787876,964.1384742690808
1934.8476,-3467.7209284841365,964.9438017733968
1934.86844,-1521.731448717438,966.2853030400487
1934.88927,-4179.67961950259,966.8859964800582
1934.91011,601.9385173799985,961.1975962366657
1934.93094,-3707.6566042107806,960.9586194147945
1934.95177,-760.3127856407672,957.8590331358818
1934.97261,-4280.5441968646865,957.1283858884005
1934.99344,-2959.2033481727467,954.7014299499585
1935.01427,-5335.419894428531,955.6935088992573
1935.03511,-2236.596166981783,950.7698954493275
1935.05594,-1091.814889527519,956.8729489282882
1935.07677,-1000.8372669298018,954.3169536344991
1935.09761,-484.95184424546596,941.7946494530814
1935.11844,-214.94085420169827,949.7544471679581
1935.13927,-2196.5513939974903,956.4610390490935
1935.16011,-3356.3697189755667,948.5477767867751
1935.18094,8.661080888581898,947.3774812789892
1935.20178,-3433.2586825083768,954.1961443482726
1935.22261,685.9398863256422,946.9092817912416
1935.24344,-3132.2946057137497,948.0843527712332
1935.26428,-3399.1351902418514,965.2348007605732
1935.28511,2486.4619799342418,949.8533096031964
1935.30594,-3516.302315262287,947.9024784042479
1935.32678,-2418.764377916436,954.7914526813267
1935.34761,4032.5824764470353,944.2788094522009
1935.36845,-7515.83252930376,942.9193239604335
1935.38928,-5281.854641966023,941.5535389095863
1935.41011,-3554.1209053523626,938.1476111689637
1935.43095,-6375.796851952521,955.4232374935696
1935.45178,-2018.3299584322103,934.6718802495036
1935.47261,771.8959474903158,936.7772538574939
1935.49345,-1122.5944335863053,942.7552306069804
1935.51428,1893.7839160075437,937.4194024604811
1935.53511,1295.4627680205117,938.3327369212806
1935.55595,-5371.483041256927,937.9164579930465
1935.57678,-3217.3733008678546,945.2729205173318
1935.59761,-1018.053860289481,943.5353598749766
1935.61845,-2219.0693711403123,946.2048488379962
1935.63928,-434.868419049917,940.9716425410251
1935.66012,-4522.219668561101,951.6114962212489
1935.68095,-2559.55109007235,948.811951844966
1935.70178,-7198.816058309743,959.7140500733403
1935.72262,-5109.740832140328,951.8739439809825
1935.74345,-1846.2094426242672,959.2712520334957
1935.76428,-4014.502030647071,952.4858140580693
1935.78512,-4591.300938249076,960.1547143915612
1935.80595,-2641.1517173737875,944.0926676419679
1935.82679,-1548.5134145110455,955.4471148545983
1935.84762,-5253.660355669012,936.8457361610403
1935.86845,-2941.4552549171453,933.9564738707642
1935.88929,-4618.428973368916,931.3672534831179
1935.91012,-150.75251301458434,920.1287384787167
1935.93095,-1756.096586918959,926.1893207367837
1935.95179,-530.3986923523888,925.1395296978494
1935.97262,-4840.063109093047,933.2170885252043
1935.99345,104.40310066077308,953.892851060311
1936.01429,-3468.440297488749,945.0611740476126
1936.03512,-2771.8919536724907,950.1278484521318
1936.05596,-4309.4489108566495,921.8547160608282
1936.07679,-1985.3242314792074,950.4333770675089
1936.09762,-4913.52440124583,920.519819170631
1936.11846,-5118.7715548987935,924.6083346193025
1936.13929,-5123.64009800967,917.6297440340219
1936.18096,-2107.3138721869186,956.8307825247692
1936.20179,-746.3653586262008,940.4987691868631
1936.22262,-4769.955519303999,947.7462086967488
1936.24346,-7.54067382447756,948.4561283627412
1936.26429,-1667.6732323165736,935.8327264186696
1936.28512,-4177.579935818929,932.8567943881485
1936.30596,-2700.3165666178165,935.0022006780339
1936.32679,-1884.6356353481822,923.1666500421211
1936.34763,-724.5647183721586,917.7781900955669
1936.36846,-6367.170825062046,915.6159172442739
1936.38929,-4811.756345184719,914.0832954835998
1936.41013,-1319.590587325633,916.7886512910586
1936.43096,-5174.714586096602,913.6242405170973
1936.45179,265.64437954345453,915.356720869872
