relative_time,cts,e_cts
1929.07491,-8236.791497521597,2448.9982760756825
1929.11657,-1188.4821827705414,2448.0904260729894
1929.13741,-15125.26257340893,2413.0025346457205
1929.15824,-9168.16013152278,2391.672455702951
1929.17907,-4239.6606371638245,2378.646546165442
1929.19991,-2415.066155400715,2359.201482802588
1929.22074,-2946.4866847190297,2394.5951601936017
1929.24157,-149.77173631134048,2377.485970351189
1929.26241,-7113.864059303596,2351.0465770238957
1929.28324,-5194.90133011532,2317.8072031527854
1929.30407,-3543.4257672722124,2287.362330630053
1929.32491,-3620.5880079684184,2384.0516274483657
1929.34574,-3036.2541364436124,2350.742017884479
1929.36657,11063.051136101372,2285.456867978005
1929.38741,2666.7263677969154,2236.5319316617224
1929.40824,3705.279065094613,2193.835377987786
1929.42907,2785.2237961044625,2165.816448338241
1929.4499,12931.523296660167,2147.3772786889554
1929.47074,9050.08718443271,2171.0269757298215
1929.49157,-8454.483397925154,2096.866876399502
1929.5124,-2558.6762687602227,2089.0813469788873
1929.53324,11625.262706873626,2085.009721505099
1929.55407,-537.2992670271929,2077.1189918983614
1929.5749,277.4979506259891,2072.8623204217724
1929.59574,4998.515994521578,2066.397569625571
1929.61657,-1551.2987111664784,2061.4322026288614
1929.6374,1574.9489193841468,2058.348477445166
1929.65824,-6911.176118195667,2095.4167700438493
1929.67907,2787.232720941501,2066.0581482281677
1929.6999,-3343.344112213678,2057.642440044423
1929.72074,-1535.6112062494526,2051.0359910383418
1929.74157,-1905.9979563964469,2044.8141514590768
1929.7624,-1348.2895465553433,2009.734643331382
1929.78324,-2199.0688061001547,1992.8700004716768
1929.80407,754.0435478727592,1978.8086512013672
1929.8249,-861.416644351139,1961.8892101883462
1929.84574,-4599.268099823892,1943.7792384003976
1929.86657,5978.079297657825,1933.6021171877796
1929.8874,1599.660023939422,1933.8689514791117
1929.90824,4158.3059287975275,1946.4000418710089
1929.92907,1606.3307789873609,1905.595660252235
1929.9499,2195.0598509024544,1902.0449239410277
1929.97073,1049.5586405792144,1924.9967624100038
1929.99157,-5881.792501454444,1917.5931842968284
1930.0124,3483.041985026672,1966.6849687217145
1930.03323,-233.05010522388568,1946.658288392045
1930.05407,4540.056752694442,1910.9072984155118
1930.0749,2813.568549848442,1894.9244355415299
1930.09573,2380.1959230562993,1868.376774967294
1930.11657,3538.347327966609,1838.5544135556424
1930.1374,-1870.9091448509314,1807.9758171811623
1930.15823,-988.5773948859562,1778.938623339407
1930.17907,-407.7572504717981,1724.6939722663549
1930.1999,4542.311349103156,1731.4241260588392
1930.22073,1236.1345955526447,1721.8710494877118
1930.24157,1474.668912228608,1711.9048398241432
1930.2624,2303.210549534041,1697.9285503739054
1930.28323,-5002.906594320636,1678.280243114052
1930.30407,2269.269329911974,1663.9338616582122
1930.3249,2067.697185530327,1643.3817938100924
1930.34573,-1116.3776276017245,1619.2728555291258
1930.36657,-1319.2906909738358,1594.526582009782
1930.3874,-1329.3020886668185,1570.2679711608037
1930.40823,3341.48322417888,1552.7648684737544
1930.42906,-5926.611358980396,1537.5376271504372
1930.4499,3346.436936344474,1528.7541783743852
1930.47073,-7231.9776960672125,1519.0084903837678
1930.49156,-432.03129886023663,1520.6150168412355
1930.5124,-4537.270532410278,1507.293953817491
1930.53323,-6167.037847711521,1493.9140032260043
1930.55406,-4133.260412377522,1487.104514793645
1930.5749,-2327.908976904594,1482.3237848582942
1930.59573,-4825.057040792009,1470.3709376663105
1930.61656,526.5805028737785,1467.2887460130244
1930.6374,-3921.2509577903666,1466.1314417303124
