relative_time,cts,e_cts
1929.07561,24160.329425656353,1861.8981772904515
1929.09645,22049.885110436775,1867.7369555081045
1929.11728,16488.3420231648,1857.6019916273353
1929.13812,17553.8686193342,1795.6407819446988
1929.15895,15268.055666882712,1794.1280275609304
1929.17978,16678.207515227594,1793.6739151263544
1929.20062,14190.288472083028,1792.6355059093958
1929.22145,17408.49735790547,1794.3010276400792
1929.24228,25709.498129096897,1820.9570392447413
1929.26312,16684.27048846808,1820.6755181472488
1929.28395,20561.463141817265,1844.398498876654
1929.30479,26479.163729895812,1854.27145909355
1929.32562,21565.902623210724,1807.2436407675668
1929.34645,24860.045566218945,1840.0462133650722
1929.36729,24508.59391281046,1804.0001702936956
1929.38812,24728.86215061972,1783.6714858602666
1929.40895,25310.475847899685,1766.6355253195804
1929.42979,24193.03144770579,1752.4264249026828
1929.45062,22964.34881410331,1759.393842148215
1929.47146,18076.918060050924,1743.872168774042
1929.49229,23066.775590438647,1701.3109815524158
1929.51312,22563.179002094872,1711.3924002226277
1929.53396,18511.593481009226,1691.0908971365425
1929.55479,12940.987458108315,1669.9043652935125
1929.57562,18097.90287768472,1653.5101297953865
1929.59646,16906.672257672813,1646.035463646786
1929.61729,16955.027159299392,1612.8887302302771
1929.63813,19994.70783172497,1586.6841742367665
1929.65896,19709.02482033763,1559.0935738997387
1929.67979,18526.52094560593,1633.8547457290645
1929.70063,13767.1383511407,1684.084240652739
1929.72146,25025.48688053926,1671.7249024524704
1929.7423,15414.941522034502,1647.9718791812638
1929.76313,19410.19615320185,1601.3039582437993
1929.78396,14049.536609105571,1599.437948530074
1929.8048,14004.468402426273,1529.4643725119015
1929.82563,15583.193448981514,1521.4729542072134
1929.84646,16366.977307273302,1537.8687224880841
1929.8673,9660.414853854403,1574.554038149629
1929.88813,9719.226501552677,1593.665590898036
1929.90896,14772.624620963454,1610.5065814735622
1929.9298,15721.807693142833,1623.5140824039202
1929.95063,9580.830423468726,1620.4244011321275
1929.97147,16346.255004230961,1683.213415682564
1929.9923,13258.835711027805,1685.0306829049996
1930.01313,17855.33275312168,1681.713434488337
1930.03397,12370.64594732037,1695.2056013226545
1930.0548,13784.358245610783,1702.4709915338085
1930.07564,15390.43682210516,1656.8824562053517
1930.09647,14679.883090051508,1606.988640702825
1930.1173,14580.76886159908,1598.263939132944
1930.13814,12639.952094747361,1595.213394913906
1930.15897,12613.298229038543,1613.2504669580899
1930.1798,12772.23952266503,1572.0302602672791
1930.20064,16081.816463874413,1600.9109527479895
1930.22147,10866.474227254239,1571.7753074040324
1930.24231,13774.43317078056,1537.773383401347
1930.26314,14560.991059284192,1531.8610316119352
1930.28397,10439.764882592577,1496.9869542273625
1930.30481,18454.84434577258,1482.4622027505175
1930.32564,6957.634515126217,1490.0992416845686
1930.34647,6452.986744375942,1478.5596356963094
1930.36731,11350.264401338554,1456.4293184244436
1930.38814,9898.561571786498,1465.5640904713623
1930.40898,5359.437711877504,1483.426629653652
1930.42981,6656.893854794364,1492.537694660782
1930.45064,6890.065364307322,1512.7194363217268
1930.47148,7847.625400744508,1500.0968682313887
