relative_time,cts,e_cts
1929.38866,874.5563081224893,1671.7562381389512
1929.40949,3341.7285140668105,1654.4823548011657
1929.43033,-2543.913584845569,1644.4708202320041
1929.45116,3814.3437900099034,1631.3018648377376
1929.47199,3462.480847828904,1641.561970137656
1929.49283,-3887.694733281072,1635.8610474196023
1929.51366,4437.792131063613,1673.6705892557463
1929.53449,-5838.60854124989,1617.589964422704
1929.55533,3637.6804342167175,1690.17747903057
1929.57616,-1482.6745003705787,1676.5249936098505
1929.59699,-494.5862926768129,1670.8891033037548
1929.61783,1986.6678070562243,1688.5915307914374
1929.63866,-1132.8507888216961,1680.9411480963122
1929.65949,-666.7482604735113,1659.9472379508995
1929.68033,-3817.6731902367314,1645.417787214106
1929.70116,2000.2861558620289,1648.4630757408513
1929.72199,1419.2583923122747,1618.8644700643692
1929.74283,3520.867638659426,1630.089474871946
1929.76366,-1292.7138527954087,1620.220752343663
1929.7845,2081.350569749559,1639.2322541969754
1929.80533,2944.745501122018,1641.8994473053594
1929.82616,204.443754616398,1624.6366907755998
1929.847,-3201.328397875934,1641.1085797174094
1929.86783,2452.549419652824,1655.2680370805208
1929.88866,656.574036847192,1664.9042849401428
1929.9095,3244.399083444946,1668.724344992742
1929.93033,1098.309071672819,1652.6696573382785
1929.95116,6578.7751540063,1666.9570189800581
1929.972,-2478.293396552742,1643.0604162942536
1929.99283,-1289.2060995583763,1652.5421851686594
1930.01366,1750.864710413666,1646.0074000122252
1930.0345,557.1452044080603,1604.653591724361
1930.05533,4193.183516209203,1588.7303732482249
1930.07616,6487.723295629123,1568.0413160372739
1930.097,-1691.0343512758393,1377.4863024644403
1930.11783,2011.0939593822593,1539.5346499290195
1930.13866,4869.152551691189,1556.6269394387293
1930.1595,-5682.202025590837,1512.4018745438284
1930.18033,1118.3829136244647,1501.379204798706
1930.20117,4689.013202676114,1482.70712460382
1930.222,-3867.773749905707,1470.64588075809
1930.24283,-30.56080450258088,1471.4397731093866
1930.26367,326.34214960517596,1469.1225883311429
1930.2845,1271.532083240702,1447.6465525136882
1930.30533,4646.513333161564,1462.7755545567404
1930.32617,-3480.4620936808124,1440.9469177548483
1930.347,5027.70513694486,1431.8664701602174
1930.36783,5227.990274068333,1421.8368950382371
1930.38867,-350.81648209023683,1398.4712463470746
1930.4095,2077.4611561945053,1388.0493162080975
1930.43033,1224.3975200878785,1400.9630031813388
1930.45117,2945.8504039617324,1385.832488756613
1930.472,-590.0805561652132,1387.4433912933578
1930.49283,154.4484135009895,1371.961572211343
1930.51367,-3853.8489277565045,1374.0404488487566
1930.5345,-2763.3648108348316,1373.9181619877322
1930.55533,1395.854393942964,1362.5182610423476
1930.57617,1353.4189086767988,1364.3538602848612
1930.597,1605.7597908912242,1358.578398755759
1930.61783,3995.429565870768,1349.1678198472675
1930.63867,3065.735494861367,1361.403311667231
1930.6595,3282.3052016536662,1335.7329013329993
1930.68034,935.0484422697107,1334.3297352218287
1930.70117,2824.628907799084,1347.7758885713856
1930.722,704.152808102959,1354.189359112157
1930.74284,2847.9328729234226,1348.4105487379206
1930.76367,-304.34542238300645,1360.1597018226091
1930.7845,-2365.472748477035,1359.4781578241968
1930.80534,666.9781424878751,1351.3095683513916
1930.82617,-1349.6702546446388,1359.9473202247523
1930.847,3584.3233927230267,1361.0900326063029
1930.86784,387.7344749298846,1369.6978609279818
1930.88867,3192.397784094237,1376.4079743312736
1930.9095,5989.743650586147,1360.7661668736607
1930.93034,2149.2461362700838,1379.277718556637
1930.95117,-811.4626614424168,1365.1990655857926
1930.972,6876.978362304395,1368.2586137111732
1930.99284,-3355.824235345112,1399.9839521023077
1931.01367,345.6286888685307,1406.702923741115
1931.03451,1728.8672270006596,1404.947156645507
1931.05534,-5409.0764820382465,1389.4681462723145
1931.07617,1606.453001833974,1395.2057982595802
1931.09701,3376.8650293224014,1387.0477954584892
1931.11784,-4771.124832845241,1226.6893184594608
1931.13867,-2859.8244059399394,1392.4940979190922
1931.15951,-414.87124732378425,1390.22174445474
1931.18034,1109.5206810998595,1209.067371282258
1931.20117,3687.7796975585447,1386.4586147694197
1931.22201,2889.162341832277,1396.0224843632411
1931.24284,-902.5084702929012,1388.811556571514
1931.26367,2923.859942320782,1377.3379810331803
1931.28451,2583.866927703822,1374.5711867888738
1931.30534,1522.0286160043602,1213.1571754090423
1931.32617,2767.000576377795,1350.721251880421
1931.34701,-5188.468608150585,1359.4318141286321
1931.36784,7160.579201463582,1344.410623293444
1931.38867,38.107697080337644,1319.3571566547157
1931.40951,3445.927506331253,1303.9255702497119
1931.43034,1194.3137639760073,1304.6130557475553
1931.45117,4056.8705034635514,1268.2228841119402
1931.47201,1149.3715060861061,1274.5151480643112
1931.49284,3207.1446937102187,1267.610693615982
1931.51367,2299.8898295897334,1265.145187406478
1931.53451,264.0499571847672,1271.376632010124
1931.55534,4223.668269519063,1276.8696022480792
1931.57618,4004.5843362219225,1277.27027536428
1931.59701,-856.9587751065865,1275.1256101240715
1931.61784,159.55637457579024,1303.330988197523
1931.63868,2958.6445047555094,1320.9770254542384
1931.65951,1206.8805754097177,1323.6274743369522
1931.68034,732.1332734161167,1304.5855087956463
1931.70118,2259.1442147891194,1318.0064917930665
1931.72201,368.8346732658825,1320.466164530401
1931.74284,289.1058004232678,1310.8032339369688
1931.76368,-1527.029954171183,1314.9647681659796
1931.78451,2391.8116315109296,1301.8556598750765
1931.80534,5371.292974772337,1311.3609786926831
1931.82618,-2311.3734516634695,1300.7886746044608
1931.84701,-2670.1426847562584,1292.8072963773755
1931.86784,-1423.6376014749992,1295.4229604815998
1931.88868,-4978.606530134543,1299.0294506364562
1931.90951,1718.4503741430144,1306.1516880457616
1931.93034,4723.205451631163,1304.9176926274922
1931.95118,-1868.4568146418317,1311.953076117837
1931.97201,4031.4064252004823,1312.5973507107253
1931.99285,-4530.098510038913,1300.2818106893317
1932.01368,-283.9207078831215,1317.510970740488
1932.03451,2610.137645535149,1308.6962702113342
1932.05535,2779.43148951542,1312.9404452960725
1932.07618,2513.2756488776417,1304.7294011091483
1932.09701,3735.350906905944,1312.2525276891795
1932.11785,-140.37105685729404,1310.0808556333739
1932.13868,-443.5884585664348,1301.574680965603
1932.15951,-1337.7938454448565,1286.1260262531416
1932.18035,2675.0045597273365,1283.5786353787469
1932.20118,-749.7957308167154,1280.8238321605654
1932.22201,-561.1518275428052,1280.4737158031628
1932.24285,343.86698027349115,1266.9343349261646
1932.26368,1862.1071882131318,1276.1348008093094
1932.28451,-3309.5445999468357,1281.1148576054416
1932.30535,-1019.2191800872355,1268.954336705576
1932.32618,-3708.41830603796,1273.1376924415893
1932.34701,-885.3972760122733,1277.0159791886163
1932.36785,-5889.305735489039,1281.9422384080785
1932.38868,-3737.0740497683114,1269.4533146305507
1932.40951,-2067.5413367711126,1287.8611601416335
1932.43035,-3533.739086973073,1284.0575202329173
1932.45118,-2610.761611002708,1282.8475068668984
1932.47201,-338.28888455277365,1285.2093069045086
1932.49285,-3672.266334515912,1279.9843523045406
1932.51368,-1695.3922790678737,1287.7332558629648
1932.53452,205.88202958784495,1276.4978804381988
1932.55535,-4976.703521880298,1269.760868246572
1932.57618,3017.2309299669264,1254.987383924042
1932.59702,-742.7212414573856,1249.2411977830473
1932.61785,-1056.6931892463992,1249.8761820313698
1932.63868,-2860.8657887493687,1248.1759409486294
1932.65952,-1089.6352386938204,1249.3621883169228
1932.68035,-1197.4457983944512,1266.0814596896034
1932.70118,-3524.600952820327,1264.2485611286495
1932.72202,-760.7948506186368,1273.551436856539
1932.74285,2245.404659394914,1281.808500657241
1932.76368,-3400.413352114264,1283.4763335612647
1932.78452,-4461.954588842155,1285.2514375368403
1932.80535,2864.623949180619,1302.6659723702564
1932.82618,311.63715456700044,1299.733140223658
1932.84702,-4060.827866166647,1302.3261186027808
1932.86785,5046.853509339619,1292.7730517351981
1932.88868,-1410.3611589546554,1273.4852161446947
1932.90952,3.1026510030740293,1257.6652717314025
1932.93035,-818.254551483337,1253.7289743444728
1932.95119,453.4734932113386,1254.65854893733
1932.97202,1057.0487069669211,1260.6665931623556
1932.99285,-1173.4190228574678,1256.5309854763182
1933.01369,-2469.9194472541353,1250.8631191005554
1933.03452,2056.80623559847,1258.5958185696213
1933.05535,570.6720541226215,1267.7672251191836
1933.07619,1223.416524518124,1279.8974983855799
1933.09702,-1058.6184511166957,1269.46865450181
1933.11785,-1065.5555297982667,1256.0442146319933
1933.13869,-1397.6507792892303,1246.4188775258729
1933.15952,-1247.511789339462,1240.5384134977285
1933.18035,1838.0020929109166,1234.666267568788
1933.20119,1707.3963764917996,1046.0278736852597
1933.22202,-2426.194440556833,1221.6224077443678
1933.24285,-4143.359614359206,1219.095974158877
1933.26369,681.8727253715432,1212.935719521145
1933.28452,-4244.439643503953,1033.0814544515144
1933.30535,1600.1325427661197,1191.5050551538939
1933.32619,-214.95459119232132,1187.4026118374097
1933.34702,-1462.796295791119,997.5301145083497
1933.36785,-623.5108888386328,1165.9534748082901
1933.38869,-2570.5172426995787,993.2237157204753
1933.40952,-1564.6382412174962,981.8014531317762
1933.43035,-1271.6612838465192,1035.714078835934
1933.45119,1294.4207915684174,1039.4485812967212
1933.47202,-480.60788900546584,1039.208652746955
1933.49286,-1899.9368231200806,995.8482380602156
1933.51369,-2151.5224867431443,1056.9157254069205
1933.53452,1725.1234341953068,1210.0772101310702
1933.55536,-2945.343107937554,1202.3387852170977
1933.57619,-4803.24511890767,1046.1976925417353
1933.59702,-3484.187845933346,1031.1780140882206
1933.61786,-3073.55396797677,1177.6519631069177
1933.63869,1231.0297458349876,1057.5110636499462
1933.65952,327.10644248657803,1195.3117198259567
1933.68036,1727.5950979587667,1212.1541422777607
1933.70119,1212.5968379990309,1214.2641307667425
1933.72202,-780.825265610802,1026.1194214723316
1933.74286,-2146.0369703862943,1063.1947020060177
1933.76369,-174.96527525569243,1190.4887346693383
1933.78452,-2542.8932673523045,1196.70732402876
1933.80536,-247.60064594079674,1015.1395305231155
1933.82619,-2403.3832958035127,1004.4971167416023
1933.84702,1286.2946568097307,1035.5487971244788
1933.86786,2517.963491929012,1040.6137633488486
1933.88869,-1375.753221093934,1051.4434964033442
1933.90952,-1415.012164709551,1028.8837310896033
1933.93036,1825.3088895802114,1048.3609384710746
1933.95119,-406.9340522470161,1126.8191946534698
1933.97203,-1439.3928375581204,1141.2643841256
1933.99286,-212.1430736613855,1146.6095730686068
1934.01369,1940.9077827900383,1147.08089601441
1934.03453,584.3016377637148,1050.3535013258393
1934.05536,1722.121248546255,1165.7777144523832
1934.07619,-2015.09042795434,1163.821664812306
1934.09703,-2272.325053182249,1219.8049570819358
1934.11786,-1354.787830145792,1208.8602830202583
1934.13869,3212.36889211935,1237.2268377691942
1934.15953,-1525.0931333838107,1193.6852613634283
1934.18036,-358.10789019244373,1198.0221238392965
1934.20119,586.8249385585965,1189.066987869037
1934.22203,-3103.7103184089665,1124.1552423629576
1934.24286,-1024.1688812226362,1127.3511208934733
1934.26369,-613.5625502179689,1174.0321855987877
1934.28453,3835.389445214,1123.7619151005995
1934.30536,-440.917700558392,1113.188098630703
1934.32619,-2346.335070781253,1160.9170277811909
1934.34703,-1648.482412620819,1136.9329230128512
1934.36786,676.1552744823439,1135.905259665745
1934.38869,-280.51039523676366,1170.544957541609
1934.40953,677.4161686889481,1136.6862967728173
1934.43036,1958.3112988426903,1140.7030744702267
1934.45119,143.98899790196342,1146.6506234283147
1934.47203,2311.729725574828,1149.788923427977
1934.49286,604.649544880041,1180.7229621221118
1934.51369,-480.79920528715667,1104.108623281434
1934.53453,2071.6496135597654,1143.095338195831
1934.55536,-1488.2507596278356,1114.1144324056888
1934.5762,-3840.1543117034525,1143.7748296762575
1934.59703,3234.099872276043,1138.2222283894637
1934.61786,2119.8004971971445,1120.7424450895649
1934.6387,232.9614395054161,1106.6906909070553
1934.65953,-1181.9146108535244,1095.3765636080077
1934.68036,-2605.604173441733,1101.442834527461
1934.7012,-1114.5630696263904,1097.1128857963859
1934.72203,1291.5964187932573,1084.6618795879565
1934.74286,414.43244058396016,1066.5513251029683
1934.7637,-269.24271966054323,1046.3744251430037
1934.78453,970.9220275365817,1069.1263709565344
1934.80536,-2709.878568735323,1093.9359120367883
1934.8262,-2081.705871415556,1085.3563868578553
1934.84703,-139.50413807662244,1101.5629608432375
1934.86786,-344.887837903067,1073.1533032166085
1934.8887,-1164.7174268720355,1044.5138716028782
1934.90953,-5083.422250039965,1050.0077060589322
1934.93036,-1021.8850768684707,1028.7668455916985
1934.9512,3010.857969649551,1056.0377878454854
1934.97203,-1972.1908575689515,1026.3717731572724
1934.99286,-2100.346083568037,1037.7031848183024
1935.0137,192.23008430343725,1032.686722834745
1935.03453,-1242.5872585561979,1024.1602390416451
1935.05536,-2134.5995839808606,1020.1090006475334
1935.0762,662.1233973161142,1018.2802071225503
1935.09703,1322.75871909282,1022.3796256756874
1935.11786,54.12770798357423,1018.9695290838545
1935.1387,2258.1556573109974,1024.4980402911353
1935.15953,378.55064524514756,1036.5196381315686
1935.18036,-1783.056078414746,1029.0150922406683
1935.2012,-788.8219837091466,1031.7736764130334
1935.22203,1374.1773193902034,1033.9438360871657
1935.24286,588.2915166727894,1040.8345710731717
1935.2637,-1221.8036774906568,1059.906568193422
1935.28453,-3090.9046586981135,1053.3048061343063
1935.30537,108.01429911749635,1059.1072744790058
1935.3262,-422.0688877622374,1082.609469629828
1935.34703,-3361.526994526627,1070.5089038605886
1935.36787,1161.9320519385979,1058.7608310485243
1935.3887,3202.3799352480282,1053.0560193490246
1935.40953,2716.751695277559,1051.8322865206821
