relative_time,cts,e_cts
1929.36455,340.1879238238881,1732.1149033763604
1929.38539,7196.05081368937,1825.138722665004
1929.40622,1191.569115579596,1797.0357708423562
1929.42705,-1577.290675919314,1656.6572810499827
1929.44789,-2094.9268871220174,1769.9444565017616
1929.46872,-2515.2023456741117,1652.8682368781056
1929.48956,-4403.555973688166,1616.7867163187113
1929.51039,-1909.6246200998205,1639.1571638933117
1929.53122,-3058.8489094221222,1642.5386979056448
1929.55206,-4357.114523934753,1635.4888154056305
1929.57289,-3086.695977742254,1736.4373446042018
1929.59372,-6446.543592861326,1637.7678657219992
1929.61456,-6772.713080676689,1634.6509753828097
1929.63539,-3717.637966240537,1748.749061444
1929.65622,-7165.109566583527,1655.9569000008296
1929.67706,-1430.8746981607626,1653.371568163275
1929.69789,-5835.218222003335,1758.1990143953426
1929.71872,-4966.348917769224,1772.3629124963818
1929.73956,-5704.566549814223,1665.085862996353
1929.76039,-7322.305529125183,1652.8548262465283
1929.78122,-8407.821423486439,1672.9863472492375
1929.80206,-9165.574560480738,1654.8571200612316
1929.82289,-11635.995022059134,1639.3019770842961
1929.84372,-12224.018987950449,1627.9521486094095
1929.86456,-7103.292719576418,1620.8535984948003
1929.88539,-1434.6928347511425,1602.9942061921615
1929.90622,-7135.089435196591,1644.8730130021424
1929.92706,-5045.407619124886,1605.8984731306969
1929.94789,-8137.6900982714005,1613.7049748122852
1929.96872,-7044.779862849052,1628.7539745974298
1929.98956,-8673.804104932866,1599.415622415845
1930.01039,-10594.23726148302,1586.7351132076692
1930.03122,-2022.8076468563652,1604.3596031571951
1930.05206,-2500.7375735646197,1603.393821383116
1930.07289,-8275.599085148957,1584.5939544659875
1930.09372,-7000.711986734576,1575.0041632353743
1930.11456,-7690.136225438158,1563.9509909090093
1930.13539,-11416.670090875432,1553.4959976411476
1930.15622,-6637.3112330025715,1543.6094421117582
1930.17706,-6172.846337449767,1543.6524859131114
1930.19789,-856.3841143858455,1524.927458972205
1930.21872,-2371.467953479759,1515.9928419842988
1930.23956,2044.3074848809836,1508.9736741566069
1930.26039,-6519.623099238071,1482.6197282522578
1930.28123,-2898.8048099240987,1470.5326394913802
1930.30206,-3234.9891194708716,1464.2306160023134
1930.32289,-5443.240710183033,1439.950234930486
1930.34373,-3491.0498802546376,1435.4617830617476
1930.36456,-2510.2648539480415,1412.335689657865
1930.38539,-2551.517470783563,1378.2480271933111
1930.40623,-2583.454889885044,1397.3289766222908
1930.42706,-7927.311139852342,1386.5091925454735
1930.44789,-5909.297361183866,1384.4021011340085
1930.46873,-7360.01838812581,1363.379097582169
1930.48956,-5230.112572290617,1363.4770817128872
1930.51039,-9877.624805810672,1345.2102874009588
1930.53123,-5583.2790674245125,1344.2699209367238
1930.55206,-7007.058135527542,1317.926898208095
1930.57289,-572.0612046045769,1345.9992435086754
1930.59373,-1072.9993409391388,1347.0169374049897
1930.61456,-5209.939413439864,1357.1322307229766
1930.63539,-5887.844460369767,1365.4936513612054
1930.65623,-5232.498042457566,1383.3400656332853
1930.67706,-9612.024651814963,1403.7628352717836
1930.69789,-1498.3101671977681,1412.3848980237335
1930.71873,-275.7338328569883,1405.6301575686762
1930.73956,-4202.224324822367,1404.399840271708
1930.76039,-412.8076834680893,1372.7393939724016
1930.78123,-4215.059056293682,1368.6695917394372
1930.80206,-6976.2498050846725,1368.2222822861793
1930.82289,-643.221692862703,1346.8643373956697
1930.84373,-8346.029234737389,1374.2839959094003
1930.86456,-4236.582362923561,1358.5740899180519
1930.88539,-7970.801601757209,1349.9455381508226
1930.90623,-11468.199253058632,1369.9226205898829
1930.92706,-4742.011654883228,1388.3252516216592
1930.94789,-5566.179971412106,1395.989752018884
1930.96873,-6727.9967356352945,1380.7756067948794
1930.98956,-7490.1408811188885,1380.222201941804
1931.01039,-11339.983016454124,1400.0662595676372
1931.03123,-4050.302093148507,1410.9841359254274
1931.05206,-633.3576325862816,1399.1241626993278
