relative_time,cts,e_cts
1929.41006,555.0029718150478,1734.343826173052
1929.43089,4701.526852588993,1702.9428055771425
1929.45172,3045.7999374048622,1680.694638317928
1929.47256,-1998.2982397607525,1661.1649012469506
1929.49339,1956.97327068177,1654.9201050800775
1929.51423,-2290.0028684570348,1648.9677826926795
1929.53506,-731.2040970318182,1645.9283272258508
1929.55589,-6626.516815829083,1642.655138339735
1929.57673,3605.6285219110086,1642.0430719733804
1929.59756,1213.0939454043905,1635.5093837563115
1929.6184,2354.2616501145053,1627.478123359802
1929.63923,-3975.9530293147577,1619.7221444422248
1929.66006,-1397.97360066609,1612.8057228678304
1929.6809,2403.9419749222557,1607.1493536540652
1929.70173,714.4830497269292,1602.353111143061
1929.72257,278.809277602697,1602.5881749189375
1929.7434,-2257.440855898862,1595.720976538359
1929.76423,-2204.906506865853,1586.4639460471835
1929.78507,-3520.959102449977,1577.9069901275232
1929.8059,-2058.5998245747896,1569.1238735876248
1929.82674,1749.9774604685972,1557.2909657335474
1929.84757,1414.792480347878,1546.041368076464
1929.8684,1623.2926168585627,1542.1201931960732
1929.88924,-2334.2811268298856,1533.6292434302832
1929.91007,-4261.623160520451,1530.7043009652855
1929.93091,1594.520380883774,1531.302756760377
1929.95174,-1406.3743931891515,1528.0201530430115
1929.97257,-5192.436006963684,1523.409648778945
1929.99341,1887.2628923902168,1518.2491955677474
1930.01424,5.067225914800866,1514.5632891334778
1930.03508,-2150.8596447255495,1507.4521238213847
1930.05591,-3500.825281152183,1497.4057825320658
1930.07674,462.8419050572876,1481.9049792252401
1930.09758,3481.1820544305974,1464.5591759988336
1930.11841,-795.4956259284182,1444.2226288238035
1930.13924,4367.597115078157,1426.596939037962
1930.16008,-3251.3563017880497,1410.5553969450102
1930.18091,-942.1908746787774,1394.7384804454623
1930.20175,-2157.324052064835,1385.599442350275
1930.22258,-3120.513991500281,1374.6841735376795
1930.24342,-517.969733094231,1371.144708663392
1930.26425,-3258.007880065985,1365.423868322591
1930.28508,-3962.8451281721977,1352.2669486564587
1930.30592,-2820.837354443289,1344.706122817069
1930.32675,-1261.494876513401,1324.9756042361792
1930.34759,-3456.7501579970567,1311.64778491584
1930.36842,-1626.447711013568,1303.5018068472548
1930.38925,1586.5580943596808,1296.0485352213807
1930.41009,575.9677543057527,1280.8223993827535
1930.43092,-2956.920553348367,1275.1429024313534
1930.45175,3463.218147065622,1272.3321659628195
1930.47259,-2931.605709479797,1265.8426865185756
1930.49342,-4401.427162136497,1261.6941229964796
1930.51426,926.3710927958055,1256.7141889409834
1930.53509,-2335.240109260769,1253.8428700800598
1930.55592,1925.7852094753248,1252.0523124455324
1930.57676,-533.3531580158021,1251.883152488404
1930.59759,-2204.808469818709,1242.8505429203879
1930.61843,-5547.904627001214,1244.9679589354766
1930.63926,-925.1769442539239,1242.565948945328
1930.66009,274.7688823048505,1219.3100877370252
1930.68093,-1793.0617749698113,1238.4697810058392
1930.70176,286.34585001810655,1227.1261373713805
1930.7226,-5265.137743214596,1227.8394131736702
1930.74343,-1447.4605120927326,1228.4674438191005
1930.76426,-3717.605454741639,1238.1780235722197
1930.7851,-536.307675331139,1232.2606997966413
1930.80593,-34.67584684398174,1225.5805700195906
1930.82677,-2106.942731669468,1199.7826020387383
1930.8476,-1199.6624606051819,1193.3402990858654
1930.86843,-618.8851602225287,1188.7920145761448
1930.88927,-4722.603180362982,1203.3082516715178
1930.9101,-2569.2324364069345,1209.0899814100756
1930.93094,-430.28838631426424,1207.6524799474128
1930.95177,-790.3694549831845,1205.9940369557482
1930.9726,-212.0491185513442,1208.9495776223077
1930.99344,-4934.938223245977,1207.1021216597926
1931.01427,-2034.383752914137,1216.6503979089764
1931.03511,-2433.995651298231,1215.3024396783082
1931.05594,-2883.325431479954,1207.029770728341
1931.07677,569.0621802543195,1208.2908464401933
1931.09761,-4551.5234163406985,1188.7425867120837
1931.11844,2257.3813991928173,1180.9212156513697
1931.13928,-2397.2044351416066,1170.4133429605695
1931.16011,-2804.3096181843866,1161.6429159758336
1931.18094,-1089.9704663848115,1154.3168469069535
1931.20178,-7773.35511433496,1148.0525047317249
1931.22261,-2348.8894655353106,1141.4329573470636
1931.24345,-3022.0203250407317,1136.8405663996405
1931.26428,-1936.919475449599,1134.801334417973
1931.28511,-1749.8664268609236,1129.514804336127
