relative_time,cts,e_cts
1929.36984,8079.377178788081,2110.2773354114133
1929.39068,1312.8546906806077,2065.5201711222035
1929.41151,-1993.7187688457361,2030.0848783913882
1929.43234,7989.314104767896,1997.7470638617422
1929.45318,7056.205775254055,1976.635488858117
1929.47401,7431.111787476933,1962.9466957957902
1929.49484,1542.902564484785,1949.3209384196155
1929.51568,1132.1084379595563,1947.3949495161585
1929.53651,-5135.9624578571165,1937.7249098361847
1929.55734,4738.816217177597,1940.2036029443072
1929.57818,2751.4223333626605,1936.6143245830635
1929.59901,969.8199680058075,1932.26486223858
1929.61984,3622.520600835487,1928.304170712071
1929.64068,7201.771009630459,1923.1867083652921
1929.66151,2466.19427858467,1917.56414847537
1929.68234,5673.365434879726,1913.7033395819903
1929.70318,2295.5369838636393,1913.4848970753897
1929.72401,3437.499696238058,1911.7576583707823
1929.74484,-1865.2628001826438,1911.1992697886215
1929.76568,7301.180621347099,1904.0106638987768
1929.78651,-1870.182324384501,1892.2542546645889
1929.80734,3816.836173184725,1885.0944766891837
1929.82818,7910.076724673803,1871.3468097170855
1929.84901,2189.1846155838216,1864.7027874926273
1929.86984,9521.435232265658,1859.4652426712628
1929.89068,-4179.742870542237,1860.1262545685597
1929.91151,-2064.2895033944965,1858.5279294250035
1929.93234,5876.352017564161,1861.8883100853252
1929.95318,2230.795476929448,1857.6743592400574
1929.97401,6203.132770325193,1852.970841383017
1929.99484,8201.664887321716,1849.6620261471162
1930.01568,2742.411173938423,1842.3596312006264
1930.03651,-3157.0278413156793,1833.8497120633747
1930.05734,22.705433850577755,1822.1539023535552
1930.07817,-2868.118543069113,1808.8769221394061
1930.09901,6570.201345569846,1788.0413439645206
1930.11984,-626.7951929916239,1768.2071297894558
1930.14067,-3238.6548931060506,1750.2627681180572
1930.16151,106.57141982686397,1723.6626221226109
1930.18234,515.2211149420353,1708.402910736794
1930.20317,-277.2409968635543,1691.0555102091305
1930.22401,628.1725379600546,1683.94151177391
1930.24484,-1159.9872643711958,1672.9955323597496
1930.26568,123.67307253460203,1661.9831675369849
1930.28651,-1738.212395361976,1651.6991135807903
1930.30734,-2950.6960024753303,1637.8298415329914
1930.32818,6503.960787084783,1628.1661967776995
1930.34901,-4696.271392308164,1611.2964869731134
1930.36984,-5.846686774017935,1598.4814639371887
1930.39068,5108.1581373933595,1585.2138223432105
1930.41151,5123.382016899609,1575.797651022441
1930.43234,10.984754989216741,1566.3840173701963
1930.45318,2744.274228662469,1558.677321074362
1930.47401,7554.287172460482,1556.1059523117199
1930.49484,6759.703874288521,1548.049260772968
1930.51568,3200.014220508399,1546.809457438572
1930.53651,3952.9579309270352,1541.0518935831394
1930.55734,3872.6695500367787,1538.2582250577393
1930.57818,-371.558928945625,1535.0731465390995
1930.59901,-997.4613701502824,1531.4644803903277
1930.61984,4560.207290394734,1529.1491116284508
1930.64068,831.5433236591184,1527.1223265311953
1930.66151,326.0105196104345,1529.7909387517016
1930.68234,-5888.152277710454,1529.125562064542
1930.70318,7578.023610279249,1538.5673130840398
1930.72401,4453.062662001525,1537.509815856454
1930.74484,6448.798572804124,1538.5686326716725
1930.76568,4572.642069178926,1538.5149356056913
1930.78651,286.43222924630004,1529.4927119466863
1930.80734,8725.021158513284,1523.9622186708377
1930.82818,-4107.685163744782,1511.197542978442
1930.84901,167.88504411797877,1504.2082963278926
1930.86984,1334.6241308725594,1497.2369148637565
1930.89068,-3279.1193373189876,1496.6113288190634
1930.91151,2217.3623793476636,1496.0074652169412
1930.93234,3714.820477400027,1496.0022883731513
