relative_time,cts,e_cts
1930.84931,68491.8338058906,2841.682427188883
1930.87014,29532.285297014616,2842.812725332089
1930.91181,30880.57676084465,2837.188888753714
1930.93264,-8543.058618211511,2844.593568938273
1931.09931,-77111.3713400317,2845.940853667204
1931.12015,32769.82427591812,2826.338523731972
1931.18265,141314.5508308196,2774.926167476555
1931.20348,68820.76568730178,2771.623932005113
1931.22431,118129.98448389667,2768.572655243558
1931.24515,160045.4387122904,2760.4966113126175
1931.26598,217465.58190401414,2760.6659540656774
1931.28682,197518.55536458312,2748.1637980801443
1931.30765,-200676.57771893044,2788.044689653806
1931.32848,-230252.50476666633,2791.7850412386683
1931.34932,-160048.7797878428,2742.7405834667093
1931.37015,114218.49221273269,2746.8975078667436
1931.39098,64879.47675604192,2738.6955184998883
1931.41182,164561.55618120052,2728.338888587526
1931.43265,136179.53945772137,2738.5395367346846
1931.45348,132369.940151419,2773.3317562590605
1931.47432,262892.0665575624,2731.4498237134617
1931.49515,39855.43692389855,2765.3465463308316
1931.51599,159111.24465580503,2733.5414915410115
1931.53682,36108.5169116885,2768.16685407751
1931.55765,-13320.453311854106,2761.427219652827
1931.57848,93885.36492134006,2759.1825736930027
1931.59932,-238211.78194962844,2759.115354459525
1931.62015,364681.17521765723,2731.604355448976
1931.64099,-180489.42460569023,2770.9647899375454
1931.66182,-157143.68559442114,2767.762295794053
1931.68265,-233920.1490663958,2772.049204998424
1931.70349,-243833.2944411313,2775.568841349788
1931.72432,36038.824652574964,2779.180865307102
1931.74515,-215339.89492991203,2767.2007200099
1931.76599,164137.11685138746,2768.1872580667164
1931.78682,273073.92118063197,2741.17382638687
1931.80765,117746.68643217838,2760.8434791291293
1931.82849,-117737.52224453879,2752.853090523437
1931.84932,-65449.640444606535,2745.353329820646
1931.87016,-76243.0191959657,2747.16130969674
1931.89099,212927.24076221025,2717.128812629162
1931.91182,134061.442560457,2739.0227073420388
1931.93266,-101597.63555390912,2742.7791128270383
1931.95349,-164183.13955085946,2749.443967149147
1931.97432,218194.32228948595,2721.8163443221174
1931.99516,245806.05413757122,2710.478251456853
1932.01599,215443.69603027188,2709.5519932057127
1932.03682,49009.49817757912,2718.937724667199
1932.05766,187222.41696223192,2724.6442129378925
1932.07849,214108.39165378507,2715.9121341458626
1932.09933,-53263.66426152457,2757.821513682018
1932.12016,4871.4130651265705,2755.310683700565
1932.14099,-83081.1614911994,2753.503325265767
1932.16183,-104786.67052182076,2740.6808162923353
1932.18266,-116768.62794184081,2738.0269512393374
1932.20349,-120771.54520638853,2735.5237857005295
1932.22433,-25473.321277749303,2713.03123587286
1932.24516,26742.1933725859,2729.106368587632
1932.26599,49359.62597155462,2706.8405412593193
1932.28683,-56334.48845903392,2730.357640636388
1932.30766,188365.80535203635,2695.1021366261184
1932.32849,70301.93528256715,2720.2117828967944
1932.34933,131109.05388795192,2688.931120986939
1932.37016,-26036.91840329007,2722.2243205327
1932.391,-1268.5725601321053,2704.6757505059836
1932.41183,71365.91890724859,2711.2974146580455
1932.43266,147507.17408742156,2673.942785524679
1932.4535,36119.21409143088,2702.7430680765665
1932.47433,134947.4575161746,2673.624918301963
