relative_time,cts,e_cts
1931.14133,6372.529408197069,2083.31415677249
1931.16217,-45.107617776931605,2076.2830285777445
1931.183,732.651040659123,2071.5652881308442
1931.20383,-7201.697654001556,2067.2663976005247
1931.22467,-10509.11790851017,2064.9092233337924
1931.2455,-14083.26507902527,2060.9596998872653
1931.26634,-1673.909691255824,2058.183572918697
1931.28717,-1381.1016333517314,2055.98684643596
1931.308,-5119.945833114225,2054.908320748923
1931.32884,1909.7063653611478,2054.0410187621487
1931.34967,2934.135555663226,2052.220280744406
1931.3705,5037.028864634417,2050.270650016137
1931.39134,8699.077266244001,2045.9405127681143
1931.41217,14450.759576066797,2042.9405195128438
1931.43301,13043.40103803038,2039.1705619078546
1931.45384,23766.077208314226,2037.694976778425
1931.47467,15394.976386319739,2036.321868548831
1931.49551,19305.44575269826,2035.3137507618812
1931.51634,16182.913457477089,2034.508531069491
1931.53718,15415.997307298778,2032.9920374083315
1931.55801,16466.891336857625,2033.3032711622961
1931.57884,21314.50044028509,2033.5586925224684
1931.59968,11543.268219931368,2033.9182353465658
1931.62051,39715.26038646462,2037.6647579132775
1931.64134,30041.440939188335,2039.2871203877078
1931.66218,22552.57166234416,2041.3398447273455
1931.68301,28389.500465679735,2041.886970642918
1931.70385,36630.408138094775,2043.0941834699695
1931.72468,30939.17969585139,2043.2098168825223
1931.74551,29259.530270352214,2042.2614173290779
1931.76635,33005.26097945482,2041.9219176298227
1931.78718,32673.075376203127,2039.4977273764373
1931.80802,35039.30646294782,2035.1396325388907
1931.82885,23493.973698372425,2033.5289875835992
1931.84968,15117.261520918832,2032.4889035821573
1931.87052,7742.330727762602,2030.3154065671863
1931.89135,8659.891415398097,2030.3190040511324
1931.91218,11587.0201001869,2029.8842224199338
1931.93302,15251.565977937116,2030.2163215807857
1931.95385,9528.142315651865,2030.8742500018975
1931.97469,6768.463557611259,2033.5502641315088
1931.99552,11025.650306678559,2034.4657724031604
1932.01635,11187.360704753912,2035.6967286242561
1932.03719,19883.926002136242,2037.229976282079
1932.05802,8930.553876056354,2038.4364696123414
1932.07885,9238.910670716461,2037.4107755466837
1932.09969,15307.073819016932,2036.3527041255115
1932.12052,17017.75791623697,2033.1339838463186
1932.14136,21039.75771333518,2029.7234662801716
1932.16219,10255.458184833684,2025.8467147946114
1932.18302,21127.227246356135,2022.8934888306399
1932.20386,16495.27414898394,2019.2456401093064
1932.22469,32501.28359468777,2019.365282146828
1932.24553,29129.984359527305,2016.9806642168494
1932.26636,34351.1359472212,2015.319346130546
1932.28719,34786.62988024118,2012.8370822077452
1932.30803,33675.71234496813,2011.0806877600094
1932.32886,32864.08440303221,2009.0038088853048
1932.34969,32209.89017025653,2008.395834098416
1932.37053,28602.5512766465,2007.05222523718
1932.39136,17604.906971347216,2003.131378876966
1932.4122,23628.25102008323,2002.5009969043558
1932.43303,18508.872972720954,2000.3444594565594
1932.45386,19256.114585983363,2000.941436221099
1932.4747,36549.31951374163,2000.4036637637867
1932.49553,37141.705785980594,2000.6529180086227
1932.51636,53984.84491503211,2002.3328402261902
1932.5372,40309.55363355078,2001.0694038643242
1932.55803,45304.93514603812,2002.1360064617113
1932.57887,37686.25466962433,2000.5870326597815
1932.5997,54924.71534796665,2001.9098788993858
1932.62053,43030.36311933274,2002.2562652107663
1932.64137,21028.175973519148,2004.473959885646
1932.6622,22070.54787196548,2005.2006516427562
1932.68304,22971.648631554042,2007.6499214985085
1932.70387,27009.36244409928,2007.9557076339258
1932.7247,44377.8441067179,2006.8708092610414
1932.74554,40919.52194047208,2007.7318413472237
1932.76637,43119.19024000968,2006.362022245809
1932.7872,37431.833512774334,2004.285040585849
1932.80804,37894.00905915515,2003.2184379884616
1932.82887,26016.416788729275,2004.7611418897998
1932.84971,27241.036401602385,2005.409614067396
1932.87054,32986.763744856595,2004.825691030318
1932.89137,28896.891759926373,2002.5204233176648
1932.91221,35553.24579468788,2000.205185435218
1932.93304,28264.9818844916,2000.9071059457276
1932.95388,35050.50810288864,2002.3991367160538
1932.97471,26573.985789055943,2001.7002997632123
1932.99554,8487.089871531702,2004.9600313593908
1933.01638,7287.392394014022,2002.387419196915
1933.03721,351.18401875624323,2005.8527213042983
1933.05804,10129.16409114027,2006.888488325005
1933.07888,13103.196360477146,2008.6808576122016
1933.09971,11371.981627947296,2007.994971601566
1933.12054,25851.995429537405,2004.088412391881
1933.14138,15478.488481429486,2002.0331184208533
1933.16221,27220.81998081895,1999.9043329920694
1933.18305,17366.523192358378,1997.5876561160444
1933.20388,16778.38133446427,1996.5677180247005
1933.22471,15713.655081917967,1995.7909698481124
1933.24555,17266.425051693077,1995.3009925346553
1933.26638,4574.403941116113,1995.2771463553554
1933.28722,-1839.3622949171515,1993.2949327010608
1933.30805,4269.0220601089095,1991.472858474995
1933.32888,-11816.924198373788,1991.283322463664
1933.34972,-8617.748227177999,1990.4866339474888
1933.37055,-8732.637782836038,1990.135930655373
1933.39138,-16663.772896480303,1988.5367976487091
1933.41222,-12244.243414445184,1989.9260431634327
1933.43305,1061.3284803518504,1986.3913610085176
1933.45389,1282.420387434911,1987.0055029107427
1933.47472,12424.440563022694,1988.7187275511255
1933.49555,-4769.855449477591,1988.7751566564514
1933.51639,12146.115153203506,1988.8467979796064
1933.53722,11049.9369207986,1991.7693939374083
1933.55805,-2426.931638937553,1991.4072814819206
1933.57889,9730.407766963002,1989.9768190797004
1933.59972,9086.264595976929,1991.6345396820577
1933.62056,8660.64051434093,1988.6789496572073
1933.64139,18283.846137697663,1991.238610877477
1933.66222,2964.8383337937435,1991.0704541993111
1933.68306,-15609.184148123564,1993.6567368007818
1933.70389,2245.818776517882,1994.0470124163044
1933.72473,-1683.475503853728,1994.8737142271154
1933.74556,-2740.9631047742228,1996.709561677432
1933.76639,3482.2527322404585,1993.7491407455684
1933.78723,-8633.845631628421,1995.1576071030897
1933.80806,-21674.728430896543,1994.3826062758467
1933.82889,-16017.45273378057,1995.6194212565117
1933.84973,-23178.370234836573,1994.7199474847341
1933.87056,-11309.190834796507,1992.7223160420992
1933.89139,1119.2015129483368,1994.7286842314604
1933.91223,-7713.434297714045,1996.794153942793
1933.93306,11156.891865865146,1993.6883946595074
1933.9539,23539.776452832997,1992.1624447548324
1933.97473,2480.840347010707,1996.618288370457
1933.99556,16081.99015677981,1996.5281457012936
1934.0164,-7342.689730890366,1996.7904536735914
1934.03723,1720.0681854860356,1998.4058267506405
1934.05807,-2653.870485285563,2001.049771880504
1934.0789,9903.74543872262,1999.8847010082495
1934.09973,-1330.9358503613428,1998.1781574094807
1934.12057,4383.701522704494,1995.6435757915783
1934.1414,28069.094875002134,1997.621575250393
1934.16223,10984.70662239134,1989.661473915512
1934.18307,15048.863483719158,1992.868785031333
1934.2039,17425.19825830433,1991.873412616078
1934.22474,4689.912572368644,1991.1714921055684
1934.24557,20065.53613962252,1990.5120219056228
1934.2664,3468.974110639681,1989.1538175380908
1934.28724,-9431.153017827519,1992.0147423425315
1934.30807,15026.820363373152,1992.6664008630514
1934.3289,55.0550720288864,1989.0983135000656
1934.34974,-35218.798299101385,1990.1143457516966
1934.37057,-1001.3189534324096,1986.8635564727556
1934.39141,-18782.430791244275,1990.6148071612254
1934.41224,-19331.439218772834,1985.1962768416274
1934.43307,9485.31252192434,1986.53505479585
1934.45391,-1533.1618321343283,1987.5783251402156
1934.47474,9935.118890645945,1989.8456650935514
1934.49557,-9895.95431634795,1989.5163411346011
1934.51641,-12822.325371017707,1989.158237304082
1934.53724,-11462.366356387647,1989.7883109209254
1934.55808,-944.7246722008741,1986.1672891513044
1934.57891,13434.258418099853,1990.5561167802762
1934.59974,-1355.1919372604696,1991.6174773296277
1934.62058,21339.615400780032,1987.5703078902784
1934.64141,-7591.5670621941745,1988.833435896378
1934.66224,-6104.651297327832,1989.042603891529
1934.68308,2230.2114521661747,1989.7389739982361
1934.70391,7234.61494046403,1989.4535393434278
1934.72475,5114.107630596001,1990.4639184060006
1934.74558,926.2949675155759,1986.4422397100411
1934.76641,3046.5024527930104,1991.3472548926486
1934.78725,10355.76867983706,1988.5588964786637
1934.80808,-8800.386731146578,1993.1315041446528
1934.82891,-13183.998008396655,1990.0214278806318
1934.84975,-7738.370823005259,1993.1831023429652
1934.87058,-9502.221827108768,1989.5382343940444
1934.89142,-28939.325933205077,1986.1101405491893
1934.91225,-15280.231038375314,1989.9235763172983
1934.93308,-26299.376580153064,1988.772689810317
1934.95392,-20628.633547707028,1987.346030462554
1934.97475,-36837.98008379691,1987.010642173523
1934.99558,-38068.41076388076,1989.2133302010848
1935.01642,-8357.358227749917,1986.0897890685799
1935.03725,-16091.995890271693,1987.0859837658795
1935.05809,-20230.741544744124,1985.6014563192125
1935.07892,-34337.552464552304,1987.5881925247536
1935.09975,-27826.78017669803,1985.8191554905786
1935.12059,-44200.50839687111,1987.5710273870677
1935.14142,-31410.714867607374,1990.4875590147892
1935.16225,-27077.323952318406,1985.7565592699166
1935.18309,-30847.365327290867,1989.9758940124
1935.20392,-26106.699348625552,1983.7235696993544
1935.22475,-34911.06129953256,1985.4218904776749
1935.24559,-31168.993651369114,1983.4672232718817
1935.26642,-54165.18503790017,1983.6023858829992
1935.28726,-46049.356845813076,1984.6874898263948
1935.30809,-51166.70848186115,1988.260408096394
1935.32892,-38112.274474494385,1987.7808120937527
1935.34976,-49184.49955568835,1986.7964377008473
1935.37059,-47465.80406729088,1988.7125604357893
1935.39143,-55975.27995078129,1985.450773134499
1935.41226,-43498.19462997358,1989.7739209851409
1935.43309,-58730.5787207249,1990.0528801688463
1935.45393,-44439.40969962191,1992.5817058124348
1935.47476,-38090.84426262754,1992.1018014540268
1935.49559,-38369.98147039548,1989.1366524004054
1935.51643,-44324.51346292226,1990.1670745878207
1935.53726,-29958.492107279286,1985.4167512148945
1935.55809,-27226.203358581133,1986.8140139795553
1935.57893,-30257.79136243045,1989.4619677343874
1935.59976,-20891.993732666262,1990.1049922934367
1935.6206,-23332.015793401584,1984.9759052536156
1935.64143,-18399.871881571133,1990.188967847264
1935.66226,1725.3032441243843,1985.0436407370576
1935.6831,-3844.955894592076,1986.769096822857
1935.70393,-2751.5980896009055,1985.946300851759
1935.72476,-8250.776495946468,1995.1641853594483
1935.7456,-21321.750809430036,1988.9816522349568
1935.76643,-22393.435109854352,1992.8391828777194
1935.78727,-7815.064555399357,1991.1478514967798
1935.8081,-32790.974484145205,1987.1804434157784
1935.82893,-4339.160354471188,1986.2004887888638
1935.84977,1937.7630398714346,1984.8069262934048
1935.8706,2946.21734574777,1990.3749063746488
1935.89143,3626.973344276248,1985.8996363457152
1935.91227,8554.759469624922,1988.1059218572234
1935.9331,839.5020698322533,1993.5864316859495
1935.95394,13069.418658640026,1987.6037130983493
1935.97477,25145.90718248364,1984.132963372419
1935.9956,14584.108952490024,1987.8328214330872
1936.01644,6940.705332975644,1985.4131537309488
1936.03727,6335.954713984492,1989.7874886388806
1936.0581,13778.049298991116,1989.4261984654377
1936.07894,15772.62390812443,1985.235129668245
1936.09977,-16599.143069536272,1984.2987559897063
1936.1206,8671.790247727668,1985.524778518533
1936.14144,20805.214813777697,1980.0702733594742
1936.18311,22637.619574743112,1969.2091609704673
1936.20394,25995.56782748286,1967.1740129095374
1936.22477,27982.93677905741,1967.4405350773147
1936.24561,-2720.3928971410037,1968.221189093616
1936.26644,30303.739146886674,1968.6081755809594
1936.28727,13954.276264285723,1968.235373458889
1936.30811,15292.535564108746,1968.6011861835784
1936.32894,12751.087377205738,1968.5491768442434
1936.34978,18821.33357149625,1968.384823220535
1936.37061,-4373.000858099482,1968.6056059495693
1936.39144,2160.7394118307093,1968.025383181693
1936.41228,20877.826840886562,1967.9136556088533
1936.43311,5666.180497735097,1967.3225376038831
1936.45394,-9679.149890631841,1967.0396725804649
1936.47478,-1234.1568511699593,1967.6571036108692
1936.49561,22987.48670880458,1968.2095743597326
1936.51644,18570.80324771184,1967.7460128569655
1936.53728,-10439.725321177286,1969.1488260254284
1936.55811,-7924.919894808494,1968.3795811724995
1936.57895,-13447.262294712407,1967.8548624426485
1936.59978,3625.0204244198,1967.6017023580996
1936.62061,14932.117420774428,1968.2087520776881
1936.64145,822.9753313691805,1967.1349545124085
1936.66228,12936.679004353033,1966.744370541119
1936.68311,4788.403151636322,1967.2031011368729
1936.70395,4527.450402933817,1967.6088973259916
1936.72478,789.2084219838964,1966.8866253348726
1936.74562,-16115.59641281059,1966.3481333807713
1936.76645,12840.907300666553,1966.4568801811986
1936.78728,10587.100259653755,1966.3888363419899
1936.80812,13955.437943244542,1965.521225999449
1936.82895,4259.187772423371,1966.1644561290095
1936.84978,7390.691061968274,1965.7625657796036
1936.87062,1572.1428319658157,1966.366531941524
1936.89145,-3273.769800817926,1964.9327804111247
1936.91228,5086.022484569914,1965.0259038527004
1936.93312,3927.9495408725625,1964.1927265707864
1936.95395,21350.269914805274,1964.7859002808684
1936.97478,-8566.806107152048,1963.35913814785
1936.99562,11977.753726808625,1963.6142511522555
1937.01645,9123.76363799314,1963.33950616403
1937.03729,15126.3616135236,1963.9132534608032
1937.05812,16822.469939217157,1962.655264717484
1937.07895,-9788.570345624523,1963.6741749562716
1937.09979,10249.804481849267,1963.9077030570006
1937.12062,10235.992815912936,1963.511979822931
1937.14145,4165.95609797334,1964.0018543511326
1937.16229,5055.724371990705,1962.9751324329188
1937.18312,8776.879640405026,1962.8215712610488
1937.20396,2701.7619389252345,1961.8356550893093
1937.22479,9607.026607413363,1962.5987328269025
1937.24562,12773.773419325535,1961.9460464538265
1937.26646,4725.953708319389,1962.043692446649
1937.28729,4035.9559791039214,1961.8715271435149
1937.30812,2641.415070796906,1960.6486909576115
1937.32896,-3082.8901806256463,1961.5388112711294
1937.34979,-1513.046140901381,1961.118933501993
1937.37063,-17308.0357095039,1961.1186251462263
1937.39146,8270.713957546197,1962.6773635474383
1937.41229,-28618.05889930028,1960.999188679216
1937.43313,-13884.426488135918,1961.7834401794632
1937.45396,-16444.842768893075,1961.051198018551
1937.47479,-9227.098794713129,1961.8649488871563
1937.49563,-1616.629524013653,1960.079671782596
1937.51646,-22145.15208289843,1961.118214005204
1937.53729,-14028.59576006066,1961.6701708277894
1937.55813,-7730.08766761202,1960.5318241219916
1937.57896,-16145.170094908312,1961.707995801851
1937.59979,-24188.58422428882,1960.9071958754519
1937.62063,-13685.00500206205,1960.362536806014
1937.64146,-8385.817717676908,1962.7851852805654
1937.6623,-27812.30790992394,1961.494716396476
1937.68313,-3230.1890580129693,1962.4416769563418
1937.70396,-23220.009980874725,1961.1572724023329
1937.7248,-12746.18349266094,1961.4213277239755
1937.74563,-4909.149102802824,1960.8267150203153
1937.76646,-10856.909397119998,1961.8470642526815
1937.7873,-14379.885236489148,1961.0448253327038
1937.80813,-16988.916784655925,1962.135479679902
1937.82896,-27116.037196559053,1961.1920138187265
1937.8498,-15700.726238542002,1962.4244090334007
1937.87063,-30258.026123954245,1962.5824927565172
1937.89147,-27264.576794766752,1961.7670973238226
1937.9123,-18450.16635170153,1962.585165173163
1937.93313,-17726.95644512527,1961.6379990427859
1937.95397,-25408.751282674486,1962.0958045712396
1937.9748,-1292.647109226338,1961.0082337817094
1937.99563,-14152.791903901967,1961.582083863738
1938.01647,-12521.457098939774,1961.9163415149574
1938.0373,-15015.954728432898,1961.7932047787458
1938.05813,-10731.087807246586,1962.2954135376194
1938.07897,-20188.923466287495,1962.663590323188
1938.0998,-18780.3012863187,1961.5052004925474
1938.12063,-12048.047226906863,1961.7468486284688
1938.14147,-18220.474299496953,1961.9964112290718
1938.1623,-15214.752719146289,1961.9630060210009
1938.18314,-19596.87628260677,1963.1265351144216
1938.20397,-10786.79350994344,1962.5978077596021
1938.2248,-6899.235902106019,1962.312064749027
1938.24564,-4797.540555288874,1962.4122803732396
1938.26647,-18815.604629704732,1961.8586789865644
1938.2873,1797.4175850256213,1963.5110547556305
1938.30814,4872.099951850385,1962.9900362949813
1938.32897,-12679.56158467808,1962.613636688965
1938.34981,-12871.265028694015,1962.8708053984824
1938.37064,-2517.8416000340358,1963.435713163274
1938.39147,-14330.633317206322,1965.44547326607
1938.41231,-12020.378977877503,1962.260877691737
1938.43314,-3862.3076903018714,1962.2693060826964
1938.45397,-14946.015117969699,1963.6131205144436
1938.47481,-14292.962829383769,1963.5698479218352
1938.49564,-19175.774032720492,1964.1272523629677
1938.51647,-21406.3585953645,1964.2108167757724
1938.53731,-15661.07610669654,1964.1466787762765
1938.55814,-19142.319693297497,1963.6902094561456
1938.57897,-20644.25793441117,1963.9905479730162
1938.59981,-31398.08656831879,1964.2057802982479
1938.62064,-20718.171633996983,1963.8358561633345
1938.64147,-19963.67358725955,1963.6783891517516
1938.66231,-14359.157972985371,1964.2162643943193
1938.68314,-18575.92308407866,1964.1077231644033
1938.70398,-20946.948280715165,1964.9214740330083
1938.72481,-14767.510739766709,1963.5374705663203
1938.74564,-25382.04171172413,1966.6936974101068
1938.76648,-21749.382389893202,1964.7038776468978
1938.78731,-5707.473446320853,1964.8364706266248
1938.80814,-23018.174583073036,1964.150481830734
1938.82898,-26544.236446956398,1964.676433983652
1938.84981,-7831.87107532818,1965.1792594540595
1938.87064,-26727.86025038518,1967.0124344877304
1938.89148,-9874.877171834098,1963.2503913474225
1938.91231,-14010.370495248753,1965.0847998041606
1938.93315,-12914.262156817656,1963.966804578972
1938.95398,-39867.34443142652,1965.3771210710943
1938.97481,-8496.644172180977,1963.8332865319444
1938.99565,-8383.58809991238,1964.820641697262
1939.01648,-7668.690128600924,1966.02980744417
1939.03731,-13800.683023415815,1964.9147929913943
1939.05815,-4971.822617976971,1965.3459771386467
1939.07898,-10256.742589387693,1965.0447135544757
1939.09981,-45198.2484704887,1965.109776621272
1939.12065,-21789.374077143035,1966.1846020391074
1939.14148,-50098.77399313173,1965.1685697874766
1939.16231,-18581.947019553754,1964.5408602315122
1939.18315,-2080.6292003256412,1964.5768350709732
1939.20398,-43189.15256601438,1965.645287802961
1939.22482,-45240.9623224479,1964.2748519900128
1939.24565,-14763.106083208377,1965.582177656021
1939.26648,-9926.531182540355,1965.029398551391
1939.28732,-22117.285869466778,1967.5649052365939
1939.30815,-13929.566174912601,1966.0172676429868
1939.32898,-14493.986634807226,1965.5325323775653
1939.34982,-14334.290622171171,1966.5693272508279
1939.37065,-19478.531292225885,1966.75392956989
1939.39148,-22698.02503046714,1965.9288723231687
1939.41232,-24250.67453592268,1966.3795856689856
1939.43315,-30615.91019959694,1966.7611245377823
1939.45398,-34567.42932464646,1965.8410937148838
1939.47482,-32996.37149383878,1965.9200327911867
1939.49565,-41896.654289838145,1967.4759959904977
1939.51648,-46693.913110741414,1968.1449224339588
1939.53732,-28560.186175059553,1966.667281599417
1939.55815,-25078.969826551333,1967.8244380069902
1939.57899,-46783.832941470675,1966.1622976386418
1939.59982,-16276.674887134493,1966.8792247964695
1939.62065,-26227.618698518258,1967.8227934429005
1939.64149,-41842.15549161258,1966.5850533949351
1939.66232,-38519.2241197515,1967.311231225767
1939.68315,-30676.689999221868,1967.754955174203
1939.70399,-41205.71720617172,1968.2035100296523
1939.72482,-53070.03239677566,1968.8136433069087
1939.74565,-57598.2867859788,1968.5000454920655
1939.76649,-47210.35783308678,1969.7627623571425
1939.78732,-54332.31776934956,1969.1472842465946
1939.80815,-56675.53297608924,1968.3634438873698
1939.82899,-50673.267510860656,1970.2778192729668
1939.84982,-52217.30947065628,1969.392324295951
1939.87065,-47251.406358334716,1970.9211521877828
1939.89149,-52868.0719093179,1969.6185546435322
1939.91232,-39900.97967289938,1970.0481970119506
1939.93316,-51734.71028841673,1970.5403328157754
1939.95399,-56688.49419682072,1969.8918606381792
1939.97482,-51865.91546162284,1970.3889301342729
1939.99566,-44366.74967179868,1970.1635220687367
1940.01649,-31044.501280421162,1969.7876363889982
1940.03732,-41521.22877968908,1969.801409613249
1940.05816,-49446.97177882444,1969.0805766157084
1940.07899,-35924.9084394146,1968.7023268750913
1940.09982,-54981.19697655804,1970.0684457073044
1940.12066,-29493.217482656808,1970.0771824540304
1940.14149,-36745.96908704242,1970.5425940913988
1940.16232,-40143.82186513523,1970.2343411098468
1940.18316,-30519.016080919282,1969.4199735297082
1940.20399,-39304.16798148046,1970.0970200083618
1940.22482,-30537.773670569954,1970.5134030788076
1940.24566,-26844.312758639917,1969.772424171169
1940.26649,-43938.81651939557,1969.8093240779303
1940.28732,-18860.94423380356,1969.5470161056328
1940.30816,-30087.35357108714,1969.698727142902
1940.32899,-56521.879605844806,1969.9614462562222
1940.34982,-44550.61101195316,1969.9010085259279
1940.37066,-23135.202997114902,1969.1940515378938
1940.39149,-35541.78595818498,1970.5749714469134
1940.41232,-32485.409850953532,1969.8821988241525
1940.43316,-21269.335365550276,1971.597273599136
1940.45399,-30836.116097776703,1972.4738262589146
1940.47483,-22962.908287343886,1971.8061332385205
1940.49566,-40568.37461605209,1972.3662100962986
1940.51649,-37738.31612108379,1976.725743927424
1940.53733,-44561.46277088391,1974.843643112086
1940.55816,-47027.490631924484,1974.5641700021029
1940.57899,-17740.69153604618,1973.7274980214984
1940.59983,-37325.69067401231,1973.7346929893906
1940.62066,-32521.241202197594,1972.5629410755218
1940.64149,-15854.030961199434,1970.8857940598555
1940.66233,-42972.32830274393,1972.9465356494304
1940.68316,-31524.054627181435,1971.4521408182254
1940.70399,-43563.681377593566,1972.4799933742506
1940.72483,-37703.34076544839,1971.1187054490508
1940.74566,-46466.67413144706,1971.2758641048672
1940.76649,-47677.08080474595,1970.5450609375332
1940.78733,-34175.48375707593,1971.3932448667651
1940.80816,-25267.14064411747,1969.1469758908277
1940.82899,-34252.94992066587,1968.9880698856664
1940.84983,-44645.73095433386,1969.2688792039723
1946.47483,-31709.881118637786,2076.09894018496
1946.49566,-35492.56014635708,2075.236880246222
1946.5165,-37242.745336801956,2075.8282038217035
1946.53733,4112.884061880792,2075.2386275955673
1946.55816,-33154.34852586014,2074.1509540207812
1946.579,-41580.701870359524,2073.717611383161
1946.59983,-27931.93822992613,2073.051974067879
1946.62066,-26414.339421698347,2074.0948332712223
1946.6415,-35461.04937333227,2072.5197520143693
1946.66233,4334.230670827235,2070.82071173926
1946.68316,-33404.48806010275,2070.0874417257915
1946.704,-31736.977367719715,2069.6069206558495
1946.72483,-35374.18925409179,2068.858130068785
1946.74566,-24166.065824920912,2069.123213242984
1946.7665,-17933.701586231327,2070.7967627747043
1946.78733,2878.4092959152545,2068.869128091135
1946.80816,-24107.45140227576,2069.0310148687086
1946.829,-15071.474698172879,2066.760077431427
1946.84983,3052.2829927828416,2067.05825745793
1946.87066,-32006.763892429724,2065.1003011239573
1946.8915,-17368.204347999013,2064.737571956936
1946.91233,-10636.66187091171,2063.456045390084
1946.93316,-14305.56306829757,2062.33887244694
1946.954,-8348.306752571047,2061.7773565955836
1946.97483,-9982.64627891027,2059.2423638366586
1946.99566,-4691.349407456712,2058.998454425114
1947.0165,-17441.370593206084,2057.8135459985283
1947.03733,-15601.715360310463,2057.17329664138
1947.05816,-20078.231249327244,2054.4517486435366
1947.079,-25253.537015538473,2053.4812502601376
1947.09983,-19784.150093247255,2051.7164274214424
1947.12066,-37366.403297044926,2048.330269960873
1947.1415,-43285.68755300896,2046.843172882816
1947.16233,-35917.89591535111,2046.6558981471078
1947.18316,-33657.01313734264,2044.8776104399287
1947.204,-35175.88740780719,2043.6645388533077
1947.22483,-31901.880995330874,2043.0471078229034
1947.24566,-34751.1349451387,2043.9181100788792
1947.2665,12635.283546699116,2043.282074917211
1947.28733,-16443.755917600338,2047.4656403907445
1947.30816,-27315.984120859564,2042.809057170928
1947.329,-25833.580114787892,2043.7939454901114
1947.34983,-29998.934507874932,2039.5364774177997
1947.37066,-21463.828298618006,2038.503793954761
1947.3915,11461.13293332042,2034.046511345558
