relative_time,cts,e_cts
1955.80136,-2752.2308681435675,1124.0788854334583
1955.82219,-2371.6679380956716,1128.7564193866676
1955.84303,-5869.9932907285465,1164.6708561983003
1955.86386,-5275.928534600227,1159.302531950797
1955.88469,-2497.365589113725,1152.4520726052767
1955.90553,-3329.7237671236435,1146.6067069308856
1955.92636,-3157.070658731688,1152.1618075118406
1955.94719,-456.8816584445942,1144.0504104178897
1955.96803,593.9354233922859,1149.3602753658595
1955.98886,-1771.9913149237227,1101.8086008501916
1956.0097,-2038.9673745549792,1109.4901302377275
1956.03053,-3493.783358484182,1105.5285534201169
1956.05136,-523.316476700098,1111.1811614041544
1956.0722,-264.6120693854516,1130.0588880660412
1956.09303,-869.6639010081304,1151.058303591304
1956.11386,-1176.0240358773826,1127.0850251278061
1956.1347,1642.7296780383601,1133.2727952708933
1956.15553,623.460191051439,1142.5804637452582
1956.17636,-1783.9065164400188,1141.522553564126
1956.1972,2180.9283349897623,1142.5993106622893
1956.21803,392.05932372525604,1139.4815565910328
1956.23886,-68.80456414662972,1147.0637728828362
1956.2597,-4757.4806567068335,1150.1111049407552
1956.28053,1258.667992770125,1150.5030531015268
1956.30136,665.3559847651418,1153.0711994725364
1956.3222,-3199.3775860905653,1157.7908286356417
1956.34303,1089.7514267493145,1177.3423043674409
1956.36387,3646.5671892379937,1195.0578420976765
1956.3847,956.5775310268356,1233.441676463539
1956.40553,162.76874682759785,1277.6493210477875
1956.42637,-2749.3773094781177,1305.4398337727118
1956.4472,-3241.784503679919,1335.539263117626
1956.46803,-4244.005994938034,1350.8750107913718
1956.48887,-4047.8618408758366,1375.1583041116617
1956.5097,-2548.9930505070965,1365.3492173596385
1956.53053,2707.4755344075124,1410.9693650191
1956.55137,-633.5023250110619,1429.5360611220792
1956.5722,-2874.4312310665596,1415.63764479748
1956.59303,-1076.8772895802472,1410.234335254889
1956.61387,-1870.962683322258,1451.2939804159987
1956.6347,-4496.576577177502,1464.177258904105
1956.65553,4003.942655692375,1467.68639685718
1956.67637,-837.4035089847098,1477.3465139656046
1956.6972,-2373.3733019475053,1474.930722911912
1956.71803,-3164.1037187464076,1486.787239417093
1956.73887,-146.46435790308854,1486.5078084795548
1956.7597,4250.6393197424295,1503.8088268908975
1956.78054,-2824.1213610285026,1508.37124793769
1956.80137,-3335.810644189929,1473.6441668990137
1956.8222,-4039.132671184114,1505.7769190232602
1956.84304,-293.13027624819773,1473.4868459269103
1956.86387,-3873.8387760417268,1471.6347695472898
1956.8847,1543.5590063136165,1563.561340928883
1956.90554,-466.17499423355235,1465.7328631218056
1956.92637,-4781.7113592287005,1511.0180547947516
1956.9472,3900.8144699584827,1451.2357468280463
1956.96804,2676.5633176586607,1574.2201189283721
1956.98887,-563.8350912010469,1499.7279615026173
1957.0097,1106.2964242193939,1511.7234034860335
1957.03054,3590.6639605059668,1614.9020357583265
1957.05137,727.5727049909895,1597.71782309026
1957.07221,3952.5796154163913,1605.8805695689362
1957.09304,-1109.0925392874258,1613.3715983819309
1957.11387,-3221.403876454544,1602.3853128781057
1957.13471,1420.213044260192,1606.1837002225013
1957.15554,-290.2313495549246,1589.5837419823974
1957.17637,1291.13242806296,1600.3200519100321
1957.19721,4027.2943244612197,1595.799951784717
1957.21804,1385.1876853669462,1599.7910968194662
1957.23887,3361.6993111315765,1593.9560010220202
1957.25971,3546.912817594716,1601.424684388475
1957.28054,-1043.4912739013314,1590.7628592826395
1957.30137,-2534.8463514431655,1595.9758939622702
1957.32221,-1594.2028166360733,1605.794347744914
1957.34304,2789.461767752608,1578.8285851377316
1957.36387,4656.416377671527,1568.108977867106
1957.38471,-5642.154942144394,1564.1396139999435
1957.40554,1794.0918643979196,1567.838011113863
1957.42637,-4397.923010685311,1537.178704191757
1957.44721,-3721.0976047767635,1523.684085885943
1957.46804,-2078.3691681521004,1506.5741323280943
1957.48888,-3716.619148438181,1503.6744156442871
1957.50971,-1405.816369620071,1498.18601283558
1957.53054,737.3464678805536,1510.0034812372116
1957.55138,-2138.6201662171884,1506.4920861683245
1957.57221,-1687.7379216011614,1510.0148796720628
1957.59304,-647.6034303355881,1514.1967509929345
1957.61388,-491.72091813913204,1508.131993661607
1957.63471,-2415.9239978140895,1524.7910883359884
1957.65554,-262.46419797865536,1521.6947768649468
1957.67638,-2228.50235495197,1533.7703464596925
1957.69721,4150.650217824217,1524.5858036528778
1957.71804,-1102.1485224914943,1530.4494519653467
1957.73888,-6508.22032341329,1529.7111493832083
1957.75971,1008.0863809842807,1533.877446604977
1957.78054,-5180.595862602381,1553.040811272885
1957.80138,-1966.9877255954657,1556.795974849479
1957.82221,1916.6490773308049,1564.4305562281236
1957.84305,-3291.3970377878263,1553.1792853279574
1957.86388,-2086.0860214020954,1571.3026838854396
1957.88471,-3779.405451839213,1564.240394220954
1957.90555,-5136.215097235345,1558.509351462446
1957.92638,-4260.385094395923,1559.8105787281224
1957.94721,-3360.0731720447475,1547.9779876505495
1957.96805,-4917.323842874575,1540.8581415328551
1957.98888,-3570.5987652153335,1538.66016215503
1958.00971,1142.458128068242,1528.613852531155
1958.03055,-2092.1040564361124,1536.1850089554791
1958.05138,-1883.9874829717833,1506.1816198883698
1958.07221,-1085.0677985834125,1516.853827726941
1958.09305,-2671.606014200541,1492.071034677433
1958.11388,1344.292245381167,1489.044919508148
1958.13471,-2853.5681453363472,1485.8393636318008
1958.15555,310.6076882602564,1477.008962295905
1958.17638,-1272.718877267832,1462.6924152671138
1958.19721,822.8374378028907,1476.4102623267447
1958.21805,-2308.177640272845,1471.1991461955542
1958.23888,-3692.4457766579408,1473.381777185857
1958.25972,3021.1789698598573,1494.920079111259
1958.28055,1398.2274948366216,1473.0621695868633
1958.30138,-2068.516631920694,1444.271303134015
1958.32222,2035.3812689527117,1441.428352912882
1958.34305,6914.088907388568,1431.3852032511438
1958.36388,4384.012744502698,1412.901230442678
1958.38472,1316.9392745564185,1402.2151413418624
1958.40555,-1388.724698700301,1369.7378404888989
1958.42638,2111.8201887664045,1363.5904727188483
1958.44722,-1621.2184615027033,1353.1145211001394
1958.46805,391.984161768713,1351.260526172079
1958.48888,-3539.0750957929827,1350.6596819428974
1958.50972,3593.2047957756504,1357.826024646321
1958.53055,921.2088648185692,1364.8149580469137
1958.55139,-1834.5324955475603,1379.197525713209
1958.57222,-1770.4114467110421,1398.2990454078654
1958.59305,-2910.249289033015,1402.849165173482
1958.61389,1282.0742837416226,1423.8068240562206
1958.63472,1581.7140819919225,1433.8627264222973
1958.65555,-2338.676127693339,1441.375423547088
1958.67639,-61.785723961526756,1459.1050682511493
1958.69722,2647.6822794291184,1464.1577348523303
1958.71805,-1912.8405329652549,1460.4181453748397
1958.73889,-5906.353620768859,1454.0187706243682
1958.75972,-417.6938394264607,1449.8991956999103
1958.78055,2729.3767805555,1448.57494585295
1958.80139,2938.70012098877,1459.5957652287002
1958.82222,-4069.721443237091,1455.1077161479168
1958.84305,-941.1899825452019,1439.4296768612658
1958.86389,-2652.2810400404855,1436.1585517705769
1958.88472,-1898.8843344758657,1444.6962051856433
1958.90555,-597.2439037496649,1460.2753827997242
1958.92639,1978.0033536048484,1454.258589179404
1958.94722,3455.7964379338773,1474.7229554014077
1958.96806,150.6019897540433,1474.3229944795034
1958.98889,-1167.3407984924359,1477.136602195079
1959.00972,557.4850344310697,1470.2602988735105
1959.03056,-764.2219458552518,1462.8501876623795
1959.05139,-3185.3525455689078,1459.4408142281995
1959.07222,931.0542911351675,1441.6588044372977
1959.09306,-996.8954879320885,1437.6275955968836
1959.11389,-7023.221811173186,1433.640513370596
1959.13472,-319.564262370049,1432.264237004167
1959.15556,269.65356326336257,1425.284219211032
1959.17639,-1494.3227334115861,1396.7289956489674
1959.19722,1369.0870011444792,1389.2829962964242
1959.21806,1174.3710371123898,1368.497442494358
1959.23889,-3859.9239956274896,1353.4754339184944
1959.25973,1588.7269408201234,1363.3853008915282
1959.28056,125.59766078757745,1341.413294162831
1959.30139,4265.682658062717,1367.909915248468
1959.32223,-1469.9055931236387,1365.3645657471607
1959.34306,-374.4967055912904,1358.2631151233347
1959.36389,211.08185936247853,1360.8025961235307
1959.38473,-3320.0196362568827,1325.66810568077
1959.40556,-6494.37765784925,1330.155703338391
1959.42639,-2038.6292586063266,1324.3910295542826
1959.44723,-3992.2773168964795,1316.2460014347314
1959.46806,-956.294714415579,1327.8606679806458
1959.4889,175.28118118777581,1314.4268789459677
1959.50973,-1414.0080071811424,1315.5846665017855
1959.53056,-5332.265355279757,1299.047456081258
1959.5514,3511.0581943521042,1291.252958047326
1959.57223,86.30127449888192,1293.380063988651
1959.59306,-330.68033203307004,1326.3971540880789
1959.6139,-417.9061211685888,1332.3144089010855
1959.63473,-808.3083833203901,1336.8532430876414
1959.65556,-2516.4282864164134,1299.8857488938727
1959.6764,-360.00557065443337,1309.1782946922965
1959.69723,2695.071103038944,1316.4251035744217
1959.71806,-1218.6184069349308,1311.9314117041079
1959.7389,-1579.923850585554,1313.7284144579128
1959.75973,-1201.5807939388606,1309.671925920403
1959.78056,-1248.4934789681222,1306.5934456642772
1959.8014,-2871.645837298635,1300.7488699804203
1959.82223,1945.2557631333855,1301.2228643009619
1959.84306,-1034.6489098516313,1309.3631524773077
1959.8639,2340.185686748473,1313.117074640205
1959.88473,-308.96969931541406,1316.367885688585
1959.90557,-1211.945695459614,1323.7614070984969
1959.9264,-2581.0252481219136,1333.570268138939
1959.94723,-132.5343419571198,1335.2953817541286
1959.96807,-1657.8426483814515,1333.6813182368944
1959.9889,-4456.072295361961,1332.112171324321
1960.00973,2928.0870495844756,1325.662350035449
1960.03057,-4783.73497641004,1347.132374207535
1960.0514,-3578.3225026685554,1339.7542011851456
1960.07223,1799.6660376074863,1338.3446323604878
1960.09307,3606.5188448164963,1326.6018744922364
1960.1139,-3775.2744784799042,1306.9484899815209
1960.13473,-398.7358722974536,1297.6054976446965
1960.15557,-398.13863945357144,1303.4177965724405
1960.1764,-444.3973251762769,1305.2193135578696
1960.19724,1985.9783080479576,1309.3740994889963
1960.21807,-972.1795055106187,1300.9634088383607
1960.2389,-3522.6647352810955,1301.3027662007103
1960.25974,-1413.2831344380857,1305.0740681553607
1960.28057,-1956.2273773844317,1291.5613929230497
1960.3014,-1340.8163998863206,1317.5325574476294
1960.32224,2424.9683737289724,1321.601685833687
1960.34307,1064.311248719532,1302.1035908908439
1960.3639,-940.8155270319743,1305.3998828228378
1960.38474,819.7325492917632,1300.5534037510924
1960.40557,3168.001644898117,1282.0635624415152
1960.4264,1475.9629019727863,1297.5472640567443
1960.44724,3312.1887986583756,1294.581752447014
1960.46807,3556.9675914028876,1315.8955842049024
1960.4889,750.3292851759735,1269.322595105362
1960.50974,1827.23625582915,1303.3185963324986
1960.53057,1217.400692954302,1298.2113075286647
1960.55141,-583.0648150738309,1308.0671165779986
1960.57224,3092.348878521779,1308.7582454396643
1960.59307,-1301.471147040293,1325.8930272714458
1960.61391,7766.691834251972,1311.9432615621215
1960.63474,610.337883998831,1311.3166862126818
1960.65557,7175.306274592618,1318.0055360660554
1960.67641,1003.746624412352,1321.4362392446599
1960.69724,-3210.4283122508264,1309.45874133195
1960.71807,-1478.6276529005536,1313.7982721922972
1960.73891,3511.5429099727535,1311.2796695133634
1960.75974,-649.2894958472278,1310.8029666538473
1960.78058,-78.77661466028678,1269.6780908457679
1960.80141,-1453.6554878344102,1320.1697715624894
1960.82224,7852.680723922459,1327.5114921645136
1960.84308,2311.52257305059,1306.8016645979437
1960.86391,-774.3728727970182,1307.0691328216778
1960.88474,751.4341433659972,1319.0912087716765
1960.90558,-245.2018891034899,1325.8337779813783
1960.92641,-2059.754282626533,1318.624324365943
1960.94724,-5252.627763792945,1333.9808375051603
1960.96808,755.8217507931425,1309.4778139605623
1960.98891,-1488.9995514803247,1314.611172452026
1961.00974,-724.8983613210206,1314.3658239632505
1961.03058,-3603.1618364691567,1328.5135387292964
1961.05141,375.6737914873017,1329.4826314032223
1961.07224,3566.023817175784,1363.373676745096
1961.09308,529.6990359377693,1347.0789934185786
1961.11391,2423.5667048096566,1359.5471883088396
1961.13475,1990.830768476605,1356.391740403521
1961.15558,1609.184197127319,1356.6072949635768
1961.17641,-2303.7949985004866,1343.4770880056262
1961.19725,1029.5684807259613,1358.5501073988432
1961.21808,-752.5655226668136,1336.1411230489232
1961.23891,2854.645241001883,1328.8454476094657
1961.25975,669.851030904943,1317.5371845350444
1961.28058,2858.2752475066955,1313.3696458995792
1961.30141,3927.4036327924155,1297.830532091163
1961.32225,2516.7778007999177,1291.2225998396532
1961.34308,2399.269530227123,1272.736031348004
1961.36391,4210.884061809133,1280.8136845605638
1961.38475,1132.6731924554083,1291.6234636078825
1961.40558,2996.132094260333,1293.3319874218532
1961.42642,1067.1493461416687,1285.1913606781357
1961.44725,1974.7192500982399,1290.007255830627
1961.46808,5196.51597755988,1276.3203312576218
1961.48892,6407.130538969308,1287.9074609906286
1961.50975,3287.9144209455435,1295.8001435623867
1961.53058,10082.488030381197,1309.3518668982472
1961.55142,719.7645514063944,1305.158597142524
1961.57225,4974.463858215842,1325.0099307099608
1961.59308,8613.61992054059,1349.4162368420102
1961.61392,3312.17841592564,1284.0483572308872
1961.63475,3761.1397421297784,1341.456969353795
1961.65558,4537.787787665395,1342.5544919174297
1961.67642,5192.687006296231,1360.342370209443
1961.69725,6430.418669928042,1327.429671716325
1961.71808,1442.9208707436344,1315.039234465791
1961.73892,-519.5016124102739,1327.3714381283726
1961.75975,1975.4092504019998,1318.4102369311654
1961.78059,-596.6375295867438,1314.1442880462926
1961.80142,1541.1057471374427,1314.1422566420617
1961.82225,3613.066624931613,1257.2903621342086
1961.84309,-64.71151033296393,1270.78069191998
1961.86392,2997.8884689295205,1265.237328341248
1961.88475,6252.775755610272,1264.4130296466683
1961.90559,4069.7110605043567,1268.9515252658525
1961.92642,3240.97713335393,1269.835298962081
1961.94725,3245.362257953682,1274.8599773271917
1961.96809,1053.067087734174,1281.8052355368202
1961.98892,-785.1578235704038,1289.1184036238212
1962.00976,3283.621160959345,1293.7571151850625
1962.03059,-2537.162829401126,1301.1588750676885
1962.05142,1699.634163344635,1281.9018400935781
1962.07226,735.8295731990303,1295.1312472914703
1962.09309,7361.7995657212205,1286.1572933899247
1962.11392,1400.6362888312972,1284.1562473667054
1962.13476,2271.0836347378086,1283.1720320168386
1962.15559,7034.8931313259845,1283.6250351603276
1962.17642,5917.802502158375,1276.994983173859
1962.19726,4423.874651158116,1269.2755342406797
1962.21809,3880.5673511333935,1250.1120567169808
1962.23892,4920.192862783337,1251.3583232126327
1962.25976,6577.611511959486,1253.0616556602356
1962.28059,4886.079491533971,1256.7184089874222
1962.30142,5322.009698164311,1253.3082455627077
1962.32226,1533.8225986907428,1246.9789542582018
1962.34309,592.7530332741162,1235.5058088737064
1962.36393,6101.285477928376,1254.6341882465272
1962.38476,5153.214113551028,1231.9511900370173
1962.40559,4545.563100214923,1230.1269890376768
1962.42643,6549.53931118121,1248.5074730861572
1962.44726,4614.697428981701,1234.1967945584777
1962.46809,2952.1765695122967,1240.216183861982
1962.48893,3097.002487047381,1225.8174778176303
1962.50976,4978.974365598957,1234.0816816520608
1962.53059,-205.72865779091617,1243.174924124276
1962.55143,5033.247053868321,1234.3336886324819
1962.57226,9484.371525658573,1241.3706985998722
1962.5931,4974.881086073709,1238.0201230325972
