relative_time,cts,e_cts
1842.5161,-3804.9514170941943,1359.5450188858388
1842.53693,-5052.831559166995,1342.9956565858513
1842.55776,-1683.6672445758484,1307.1011799896035
1842.5786,594.3015159924231,1360.0220090250957
1842.59943,1392.2353099166623,1348.2679474120969
1842.62027,403.0322369948867,1347.7079790694627
1842.6411,-8684.954015508303,1346.6053698689464
1842.66193,-3491.395297882455,1359.2188101511617
1842.68277,-909.65474290843,1321.5659705370485
1842.7036,137.7997821529441,1349.773501351191
1842.72444,6723.081626466051,1349.2642239732659
1842.74527,-3072.570188589574,1350.3616672155954
1842.76611,-4805.626576411268,1358.7119005040724
1842.78694,1894.0349633662202,1349.3746463295108
1842.80777,-591.9291573192189,1357.6050939625295
1842.82861,-4910.6222012050175,1343.8161829445366
1842.84944,-1064.0172327533446,1333.3878353512507
1842.87027,1657.2715659716316,1363.870970746722
1842.89111,-1806.0786059071813,1366.6519782373357
1842.91194,1012.2754260498831,1355.7932417526035
1842.93278,-2521.766471027354,1347.3413036623217
1842.95361,154.30318894989412,1347.828195221437
1842.97445,-2455.1668304577274,1309.5951539284579
1842.99528,-1112.2657754811737,1351.3667689553338
1843.01611,-4638.011897079153,1359.9463492624834
1843.03695,-1706.4070391456742,1351.0649908979158
1843.05778,-2753.842084239718,1326.2929299021898
1843.07862,-4337.9288120671035,1335.8489839307924
1843.09945,-4506.611445630229,1343.1806624634194
1843.12028,-6908.0727595287,1333.6523754600714
1843.14112,-1639.8984485890915,1322.161131969831
1843.16195,2864.732174948849,1353.7298719534533
1843.18279,-3261.415879828553,1341.5562914860263
1843.20362,-137.7586697357066,1359.3591520152393
1843.22445,533.5841798116119,1350.7242529058383
1843.24529,-5049.646207824128,1355.1705285428243
1843.26612,2134.595017155793,1329.5895645943335
1843.28696,-3463.9497459008803,1348.9008849141208
1843.30779,-1516.3177510973283,1343.062598794023
1843.32862,2000.6172906922511,1342.163399197116
1843.34946,-87.19642348492036,1348.4911598554224
1843.37029,-1940.0767809552124,1352.189878293113
1843.39113,-1926.4932167751492,1344.0435927288893
1843.41196,129.83645760783978,1348.2793555697597
1843.43279,-3782.1277833279605,1345.8218662106003
1843.45363,-2264.2134282784937,1341.5838432630233
1843.47446,-4027.0321927044565,1342.0046536069976
1843.4953,-7167.831666423366,1357.8427280391268
1843.51613,-5166.2670681485915,1335.7026151154969
1843.53696,-4139.920863487144,1356.885519036746
1843.5578,1982.8120624322025,1362.7207916812347
1843.57863,-3252.93682045779,1359.3094296676904
1843.59947,-5844.097284937366,1339.0130256961388
1843.6203,806.5399573912258,1331.6666026578532
1843.64113,2163.8751300384897,1335.448299298921
1843.66197,-1156.1171191747917,1342.812480318474
1843.6828,-2795.0413541491375,1355.3895436451232
1843.70364,-6487.109912163603,1339.0046310140854
1843.72447,-10.000864553320291,1351.8623780688893
1843.7453,-609.0193308668975,1335.3336796016492
1843.76614,-845.389792566895,1348.4754467326038
1843.78697,-4556.479946746167,1340.8090571591174
1843.80781,-2288.554777510387,1349.188133714138
1843.82864,854.6441761622084,1347.376281504212
1843.84947,1435.3455538587184,1338.5490580764779
1843.87031,-5552.855306865678,1346.5462842221839
1843.89114,-2471.3013017408293,1336.3825843618474
1843.91197,-511.8621866287342,1335.664946670384
1843.93281,1492.2566550970741,1333.7879818624774
1843.95364,-4459.388022730113,1338.0454847773844
1843.97448,-2092.37945259723,1334.8090119732924
1843.99531,-3477.960793120909,1329.1196776475836
1844.01615,-2043.768216555029,1337.314716942196
1844.03698,-2502.419849993289,1334.549099702014
1844.05781,2056.911705672046,1350.4980269869034
1844.07865,-1074.2046099220374,1342.8879248328285
1844.09948,1502.915425950322,1340.602849328157
1844.12032,1640.7956033275495,1344.3999362196564
1844.14115,-5759.523230977071,1340.4319422114738
1844.16198,-3534.9551954350286,1331.704378727095
1844.18282,-2803.8058327097265,1337.1448860668017
1844.20365,-2634.070204669504,1347.4765871923412
1844.22448,-2974.173214386555,1334.8938197868606
1844.24532,-37.41455979274247,1338.5968431897068
1844.26615,-3772.2373411308854,1328.4566053894694
1844.28699,1818.9047114680907,1338.4231378456723
1844.30782,-366.3615751810575,1344.610126143386
1844.32865,-4016.2548200611677,1336.037541404614
1844.34949,-2192.5023949553174,1319.177683492768
1844.37032,-1705.813384450696,1323.8415751183775
1844.39116,-2548.7401988278584,1351.8617323241158
1844.41199,302.71158911202133,1316.5243182190222
1844.43282,1496.9137664025636,1345.1808568989093
1844.45366,-2196.3851506534165,1357.585398746942
1844.47449,-1292.6165866024419,1320.6348065738603
1844.49533,-783.5792104847812,1325.0176915989282
1844.51616,2965.766586054538,1321.7617388275064
1844.53699,680.3419487088961,1351.6363673982123
1844.55783,-1610.6519144346091,1327.2229099999604
1844.57866,-3010.193826461866,1359.6643740447819
1844.5995,1079.0502787013486,1344.429855727489
1844.62033,-3871.6020715009163,1345.2634046057708
1844.64116,-219.29363354430177,1340.1760120329643
1844.662,522.5783211426822,1331.0389387381451
1844.68283,-3794.4669973297546,1348.5711245831903
1844.70367,-5919.89555980354,1324.610657143452
1844.7245,436.8685097501707,1368.4190588096417
1844.74533,2613.427035754657,1335.9500429878235
1844.76617,-1824.4318562315566,1321.7345099228962
1844.787,84.46266298689092,1334.8237564789508
1844.80784,-1451.5964744492837,1319.7399119421088
1844.82867,1555.7293842258225,1357.5625824316164
1844.8495,-2757.7543289491346,1319.5035693550583
1844.87034,-3163.633977522162,1335.7733241681801
1844.89117,910.6029114839837,1339.8042782917655
1844.91201,-3614.7598861233996,1335.3627381164506
1844.93284,-2659.723922529127,1347.2324956680104
1844.95367,-6023.332787210909,1334.7630564702547
1844.97451,-2663.6200236192085,1343.3087351768029
1844.99534,-1833.912250497547,1327.2926504354837
1845.01618,-5181.801212040726,1352.3795120082234
1845.03701,-1006.3054079960193,1330.4501271289676
1845.05784,-5865.629429156876,1326.2153329052574
1845.07868,-2211.4162593671003,1337.5377141372637
1845.09951,-1915.9557383151646,1326.5214159278312
1845.12034,734.3317005925608,1347.7306877606593
1845.14118,-4280.3637866215895,1352.0339309303458
1845.16201,-378.1853772295798,1350.6429966885235
1845.18285,3917.5568211696336,1324.006024787327
1845.20368,-3105.8242148075433,1330.0733350537107
1845.22451,-683.6180271924211,1329.575573457577
1845.24535,-2224.117198066106,1322.2347468739943
1845.26618,2247.0268235113263,1333.4241046826878
1845.28702,-1888.2953685723178,1300.1805180052215
1845.30785,-2163.7090660076065,1347.537502449295
1845.32868,4242.04023343621,1332.3884376903436
1845.34952,-3393.1759034921106,1339.1938342326805
1845.37035,-1378.9087521563972,1335.8632979399351
1845.39118,262.4343351148347,1328.4293764848592
1845.41202,1177.171412262013,1343.2966812743666
1845.43285,-99.22094453382928,1342.2660726160805
1845.45369,-2399.382984345404,1343.4579022194496
1845.47452,-27.48257468191425,1342.0392009523725
1845.49535,-1580.5280283813852,1344.4565465114545
1845.51619,1405.0503301922959,1326.8292209364672
1845.53702,-4260.645647094584,1334.1777964573305
1845.55786,-3399.3568648386054,1338.3880523796531
1845.57869,1822.6767219375579,1307.3920880100034
1845.59952,-1531.3434786045677,1349.088904267298
1845.62036,-794.7129266188368,1328.490184117684
1845.64119,92.60345972054101,1309.7393702611755
1845.66203,-1939.8652995419363,1321.3328566738649
1845.68286,-3658.2735053005495,1322.554067664422
1845.70369,1508.474104583554,1340.4422741278474
1845.72453,-1682.282122036986,1329.6642557397856
1845.74536,-1263.4168689440285,1333.8663322283123
1845.76619,-859.589397260746,1340.5205168695534
1845.78703,-1523.6554565811732,1339.3142656329123
1845.80786,-2462.3576290056317,1320.2713598905862
1845.8287,-2415.565133117606,1329.7188211731348
1845.84953,-798.3567567507915,1336.7213851196047
1845.87036,1774.1045534541454,1341.8592534088623
1845.8912,-582.641840740464,1344.138947707089
1845.91203,-1024.1982422969872,1337.1429488324816
1845.93287,1139.2848130399427,1332.4831469237702
1845.9537,-814.7285392381045,1332.9402265991819
1845.97453,-471.966244920218,1344.0964361761762
1845.99537,-2656.225169722921,1335.486721112936
1846.0162,-302.2890567819845,1354.0578026741923
1846.03704,-1829.23060089067,1357.0145603672895
1846.05787,-901.8188453319358,1337.7112042330405
1846.0787,-1820.977336942326,1330.2242240824198
1846.09954,2741.590906775359,1334.9068423064566
1846.12037,240.2793700614175,1348.8586962555944
1846.1412,2370.3586940170876,1326.1078164004925
1846.16204,-2724.851803136132,1350.1599795980485
1846.18287,-293.1293824200976,1339.686322246498
1846.20371,-5356.620465809244,1334.9910043752516
1846.22454,-224.12100622170075,1337.976174838377
1846.24537,-863.2222497315535,1316.674453878829
1846.26621,-1961.0491720803457,1327.6235946318318
1846.28704,612.0755332550925,1334.0004318929136
1846.30788,-4343.666039130169,1342.6748290576188
1846.32871,-2993.502723184126,1335.7696649477975
1846.34954,41.584026170214166,1334.0759840313972
1846.37038,-1730.7643167486433,1331.281308276414
1846.39121,-2279.4257760252344,1316.911334586524
1846.41204,-2131.7604128489897,1342.1392913922436
1846.43288,-3924.5064340446884,1335.3902898934473
1846.45371,-3612.455976396171,1342.9232255471056
1846.47455,333.1544730832863,1330.7844076733115
