relative_time,cts,e_cts
1955.80478,-20561.193819483415,1613.5746201451964
1955.82561,-13669.57979284475,1612.1015830336194
1955.84644,-16906.12552133431,1614.9824687391176
1955.86728,-13028.065378359754,1618.9925779724197
1955.88811,-17177.54339774052,1614.7918786337596
1955.90895,-17659.68528980374,1616.8675541445377
1955.92978,-13332.632022152915,1612.3480199998976
1955.95061,-13415.251258959577,1616.3686893669008
1955.97145,-12835.072030266627,1620.5990383117223
1955.99228,-13606.209953599764,1616.3905204125333
1956.01311,-16248.662868006499,1612.6646209314408
1956.03395,-12448.56209976343,1619.9833012851416
1956.05478,-15987.525890996938,1616.9051238509749
1956.07561,-16534.629156301624,1621.4145040209023
1956.09645,-13401.426723927929,1617.7535899779714
1956.11728,-18002.214700395172,1624.2188287570666
1956.13812,-11402.332388893521,1617.3438770983123
1956.15895,-14421.568842965866,1626.6694905539862
1956.17978,-15449.569123033993,1622.4291907139464
1956.20062,-11390.938309249117,1622.7483301391678
1956.22145,-17803.036363225023,1619.6768543283113
1956.24228,-9855.250767535455,1616.5940060657765
1956.26312,-13539.299423372444,1615.8817047396778
1956.28395,-12715.936561899278,1624.2536568903313
1956.30478,-18334.963497924044,1632.9049448853323
1956.32562,-11501.09177466507,1648.1884030037058
1956.34645,-16876.93132093898,1665.9821267505629
1956.36729,-19167.724269152844,1686.4919371933302
1956.38812,-25278.12549720865,1718.9964348847625
1956.40895,-32131.63967839043,1742.0117385878984
1956.42979,-37284.25302610251,1770.2915735603483
1956.45062,-34175.87868653742,1792.7827290888126
1956.47145,-32072.804502712406,1814.0737863459783
1956.49229,-26905.524347766255,1831.9603174217098
1956.51312,-19058.861069303635,1847.1447742866342
1956.53395,-23214.417664106437,1856.2982778709272
1956.55479,-24154.406946795436,1872.1251767159265
1956.57562,-23640.449808844285,1883.4303075418488
1956.59646,-22720.853768968347,1892.6351902381884
1956.61729,-18258.500108286982,1903.4926323190261
1956.63812,-15770.841187564303,1915.81041904305
1956.65896,-15103.183537465908,1926.2332710061823
1956.67979,-17652.005635649006,1941.883186071939
1956.70062,-18971.25105238592,1952.5046497804526
1956.72146,-29417.946578938867,1973.4309762659368
1956.74229,-23043.54089141463,1984.3250741954873
1956.76312,-19131.340953121144,2002.3422869257718
1956.78396,-29979.528396786445,2014.902652105683
1956.80479,-28941.22284778236,2034.239373849888
1956.82563,-35031.278556706246,2031.467440293057
1956.84646,-29204.222774532464,2039.3947498910397
1956.86729,-27711.683431423375,2046.1965929318624
1956.88813,-36470.79039151402,2045.5278521572811
1956.90896,-25491.68561954268,2057.308493619001
1956.92979,-31930.75780888273,2053.409671948551
1956.95063,-25546.560237383997,2053.1313515016745
1956.97146,-23970.48008272332,2050.9892689962753
1956.99229,-24495.856482176165,2056.6114232549717
1957.01313,-31523.31180407832,2064.3402226473204
1957.03396,-32514.468996139753,2062.508242529648
