relative_time,cts,e_cts
1842.51573,-3217.1487020844734,1355.1179981787227
1842.53656,-737.6145579967146,1355.8584334896148
1842.5574,1096.9421507381705,1355.2628207088308
1842.57823,1310.994341707969,1356.7348179380742
1842.59907,2959.8730110205456,1354.9972762209475
1842.6199,-4817.4485050344965,1354.9743806772315
1842.64073,-612.4674064969921,1354.931547387313
1842.66157,-3454.9315216016,1356.6076326449916
1842.6824,-1722.1044241633215,1354.4467972392588
1842.70324,2796.1302170548392,1355.534499887853
1842.72407,-1975.1517793595453,1354.937682078452
1842.7449,-592.4415836574707,1355.5144525935943
1842.76574,-4291.665927555465,1355.7769297359082
1842.78657,-2085.9740984050304,1355.7191979103657
1842.8074,-2655.785025546046,1354.4251067241594
1842.82824,-4152.97042022284,1354.8398556643929
1842.84907,1361.2507174529294,1355.7446130593712
1842.8699,1595.242078749908,1355.1750727159285
1842.89074,-5443.478399063622,1354.7515599312105
1842.91157,930.8626967367595,1354.985445030893
1842.93241,-4097.977515178125,1354.7022633059848
1842.95324,-1155.4316106361266,1355.1257760907026
1842.97407,-7014.945263207388,1354.0107959761503
1842.99491,-1742.374539167851,1354.760323775695
1843.01574,313.39288780796096,1355.6761455243352
1843.03658,2328.0666479955116,1356.2509441744685
1843.05741,168.07706280361816,1356.3128388261412
1843.07824,-4425.027430490597,1355.2590960749246
1843.09908,-1455.8977182812557,1355.147357057746
1843.11991,-1542.6931908358338,1355.0665105923758
1843.14074,-1687.3888642948357,1355.049968835911
1843.16158,-5155.972045546199,1354.172598454947
1843.18241,-3793.3884568952194,1355.0841478294008
1843.20324,-4115.13186437227,1354.9882932803507
1843.22408,-2992.22791982905,1354.454575151239
1843.24491,2007.923080329124,1356.1957319542157
1843.26575,-4083.202659309604,1354.9781053111374
1843.28658,3986.4596755247317,1356.4586472887536
1843.30741,-4979.630896489722,1354.401444344051
1843.32825,463.94248073850326,1355.6668339395703
1843.34908,-1008.7886109326483,1354.210173438175
1843.36991,-1384.3793794322216,1355.3810230613167
1843.39075,-3818.944375152576,1354.3887367695484
1843.41158,-786.5048694826388,1355.6636570459448
1843.43242,-2547.6935204419606,1355.136073607972
1843.45325,-3234.651742741049,1355.561229613531
1843.47408,-1811.7219641899949,1355.198296903813
1843.49492,774.2438128564676,1355.496924904625
1843.51575,337.021198470931,1356.226843602136
1843.53658,86.7087104941808,1355.593546290068
1843.55742,226.42827305483,1355.7017797694527
1843.57825,-1571.6006223202112,1355.4845459742908
1843.59909,-3945.489798039815,1354.5272055124049
1843.61992,-2228.512113351925,1355.1010182300336
1843.64075,2831.2140774877903,1355.6574128067493
1843.66159,-1170.342634738327,1355.030907474157
1843.68242,-4239.759319894056,1355.1302675610011
1843.70325,-830.1316159711159,1355.042410020043
1843.72409,1247.4130881644635,1355.1598455361366
1843.74492,-2878.1614446514795,1355.5693361696792
1843.76576,-39.26038007014036,1355.5405250309361
1843.78659,-3555.7223060577944,1354.8699813798087
1843.80742,721.8423766258467,1355.2604106515973
1843.82826,-4307.439642599117,1354.5759543973504
1843.84909,-2035.021325667713,1355.3695205154304
1843.86992,186.13770306552564,1355.2976569906568
1843.89076,763.4893706452541,1355.8824245138915
1843.91159,-6461.834937212327,1354.925412696174
1843.93243,-4607.846484745918,1354.5074868623146
1843.95326,-3246.482823247194,1355.25033223044
1843.97409,-3246.5157972120674,1355.1130685162002
1843.99493,1299.0894258120404,1355.2524136435052
1844.01576,-5211.034184962342,1354.2845565682378
1844.03659,-6967.534726862686,1353.791042575699
1844.05743,-9595.515141204685,1354.8487290569335
1844.07826,-2711.6022797125934,1354.3725236572518
1844.09909,-5322.71919494928,1354.952361517964
1844.11993,3741.4573104692527,1355.34202395336
1844.14076,1076.4875568072403,1354.93384789649
1844.1616,-2241.0089173947317,1355.1924908568417
1844.18243,-4755.143705440172,1354.9473223073853
1844.20326,670.7671291618572,1355.3223053032698
1844.2241,-2278.8222771924093,1356.0294380051205
1844.24493,259.58014397115227,1355.6589464795343
1844.26576,995.9014871661088,1356.4747508529938
1844.2866,-2437.9363371455215,1355.6092116620841
1844.30743,-3467.524618385681,1355.8444113384396
1844.32826,-4048.466394858523,1354.87633516706
1844.3491,-1581.088908099513,1355.4875037718043
1844.36993,2114.306950335387,1355.9917534738365
1844.39077,1466.7057294918811,1357.0385946975214
1844.4116,536.3741217308881,1356.3362821101373
1844.43243,-2668.305382420905,1356.3672842100016
1844.45327,228.83164785667384,1356.4494452520446
1844.4741,-4561.169043992354,1355.3925256072025
1844.49493,-3792.3241975306214,1355.8078222877164
1844.51577,-2278.8361897955288,1355.4176121120397
1844.5366,605.9042729105358,1356.5156122779033
1844.55743,-5938.485202962218,1356.5847371012756
1844.57827,-3484.9408969818587,1356.633376438165
1844.5991,-4872.727330505522,1355.6417474347331
1844.61994,-7918.396297617177,1355.6776791971201
1844.64077,-3641.797390595739,1355.5676929488384
1844.6616,187.2194901190927,1356.925431555614
1844.68244,-2149.4826120393136,1355.910030624018
1844.70327,-2288.1466790798495,1355.799606183512
1844.7241,-670.4118648160628,1357.2079559921863
1844.74494,-1035.7896871455143,1356.3897415614933
1844.76577,803.9096455329305,1356.177327880798
1844.78661,1874.3856432159632,1357.0390328897458
1844.80744,-2271.010514863011,1355.8446304345516
1844.82827,-3974.6689087032146,1356.2414134935916
1844.84911,-1011.2388723024848,1356.90998527971
1844.86994,1035.0858408853455,1356.8136925384354
1844.89077,-4892.1312490308055,1356.2706628245587
1844.91161,-1204.5207518437953,1356.6658026627579
1844.93244,-622.4638857083445,1355.9631614312057
1844.95328,-848.414529238764,1356.5793692465286
1844.97411,-4535.068781444449,1356.560965173111
1844.99494,-4047.4228400765205,1356.452293501502
1845.01578,-1161.5815289551347,1356.8409700043937
1845.03661,-3504.239430277215,1356.2888478018644
1845.05744,-1962.0388770494715,1356.2373602155176
1845.07828,-5827.776156606696,1356.0161826903375
1845.09911,-702.585033399568,1356.2712105648393
1845.11994,-4785.164583366318,1356.3801013325603
1845.14078,-2179.7285016726005,1356.0241796984296
1845.16161,-3858.482569092878,1356.7488400892496
1845.18244,-1239.9135377948282,1356.4956745317008
1845.20328,-3008.6028346043454,1356.5862707740603
1845.22411,-1855.8305030290128,1357.034103227223
1845.24495,-1199.1982499921894,1356.480556899965
1845.26578,-2496.5935151173016,1356.3630118358153
1845.28661,-2435.826770230023,1356.320616738121
1845.30745,-5175.322066427902,1355.2741041586046
1845.32828,-5572.478684339053,1355.2491272018235
1845.34911,-4171.706095606173,1355.5846728975273
1845.36995,-3032.950547351444,1356.1568423943154
1845.39078,495.7443909600299,1356.4685066137986
1845.41161,1964.895671255337,1356.8121588656506
1845.43245,-5.242641318740222,1356.3017744724793
1845.45328,-2510.6117225626335,1356.8066814628478
1845.47412,-4073.9807944026343,1356.4675206812942
1845.49495,1960.137999180763,1357.2730275374843
1845.51578,-2510.2789155683313,1357.0447293886605
1845.53662,940.8274070118549,1356.8751489978836
1845.55745,1250.2878482515225,1356.992036773697
1845.57828,-4637.665575152806,1356.1203628916483
1845.59912,58.30399503905099,1357.0781415457582
1845.61995,-6141.603512004981,1356.1879540422356
1845.64078,2657.521143138444,1357.3551885795273
1845.66162,-2676.016250990675,1356.8577308569706
1845.68245,-2502.849037762349,1356.5522013286266
1845.70329,-2522.483554945633,1356.27646887153
1845.72412,-1230.88612068736,1357.0236961618975
1845.74495,-5092.905777414219,1356.3128388261412
1845.76579,-2265.9926661553004,1356.9024264638422
1845.78662,-364.38531694157126,1357.3307593630266
1845.80745,-4778.807181029137,1356.5805742751454
1845.82829,1475.8212232364197,1357.203683618
1845.84912,-3811.532463227786,1356.606975356655
1845.86995,-686.5272602465585,1356.6879313700817
1845.89079,-4176.696119107645,1356.4701498346394
1845.91162,-2336.9618405993183,1356.509148942596
1845.93246,1656.5723388375457,1357.2116806260922
1845.95329,-506.75933844854796,1356.6874931778573
1845.97412,-6837.619386675009,1356.2784407365389
1845.99496,-6365.0061772995605,1355.9444287136198
1846.01579,2617.657810567764,1357.2560475887954
1846.03662,-3376.9208172103226,1357.2175962211193
1846.05746,-3631.4991064899486,1356.8324252560212
1846.07829,-2377.121938853858,1356.6189160947654
1846.09912,-93.87983579175595,1356.7710783446294
1846.11996,-1952.8224895453038,1356.5211992287623
1846.14079,-31.375987379575335,1356.6240648534001
1846.16162,-4145.927356602796,1356.162100701006
1846.18246,-1633.223375717522,1356.697790695127
1846.20329,-1942.971818796564,1356.3085664519547
1846.22413,-361.14795278896224,1356.8235518634806
1846.24496,1876.0319314023945,1357.783740574824
1846.26579,866.5166882139172,1357.5265217392011
1846.28663,2283.36359185627,1357.2033549738317
1846.30746,-1931.6732513909137,1356.7672441626673
1846.32829,-1807.8098935601283,1356.7859768802532
1846.34913,-1523.2060157879464,1357.262839568271
1846.36996,-2325.7719448652765,1356.9332094675942
1846.39079,1652.6184208502648,1357.661704040376
1846.41163,-1463.7178062629148,1356.6800439100455
1846.43246,-3234.601021991094,1357.1785971131628
1846.45329,-1968.575609554418,1357.6730970382062
1846.47413,-199.24611390530112,1357.3032628009562
1846.49496,-394.2613723376084,1357.3348126411008
1846.5158,1586.4442743679363,1358.1120560988281
1846.53663,2097.7661798032195,1357.3616519148347
1846.55746,-1742.264005179289,1357.5057076085502
1846.5783,-2416.3265589634657,1357.5598243482425
1846.59913,-823.6477951772453,1358.1128229352207
1846.61996,-2397.5634965661184,1357.8001727832327
1846.6408,2579.012652380442,1357.8412533042542
1846.66163,-1536.762368628941,1357.3780841232433
1846.68246,-2584.2029297283866,1357.1986444074212
1846.7033,-1876.9157651186656,1357.076060132693
1846.72413,-3024.759858296143,1357.6227049324198
1846.74497,-2313.3381309547026,1358.8532582461128
1846.7658,-483.7146998282518,1358.4119986763133
1846.78663,-3787.6615036206485,1357.7907516504117
1846.80747,-2775.186162409444,1358.148097409271
1846.8283,1054.9409878535294,1359.5988423156393
1846.84913,362.76685396137884,1358.9651068113474
1846.86997,4059.5880421536417,1359.2135618024856
1846.8908,-942.0535784033058,1358.4056448890622
1846.91163,3355.719653277361,1359.0113360910034
1846.93247,1132.787917901001,1359.414801581463
1846.9533,-3311.508248813705,1358.4308409419552
1846.97413,-3264.469080379039,1358.7495162370262
1846.99497,-2689.644796000611,1359.6294062232796
1847.0158,-5993.737955995901,1358.5917670363035
1847.03663,-1539.0678074686693,1359.2673498980098
1847.05747,3508.856880840035,1359.4505142477378
1847.0783,426.17962259466793,1359.4697947056038
1847.09914,-4587.739377248803,1358.2234664718385
1847.11997,-2400.211820821306,1359.2182723688961
1847.1408,-1182.126171388144,1358.76025194652
1847.16164,-2201.5767659726935,1358.5099346384288
1847.18247,-3466.252217714574,1358.3974287848578
1847.2033,1797.1951251203882,1359.2360191539774
1847.22414,-2018.4769400496962,1359.4384639615714
1847.24497,-2009.3111637474274,1359.4809686073218
1847.2658,-3957.069684853421,1358.939910758454
1847.28664,-4894.1444136569735,1358.8621316386534
1847.30747,-4833.334616383664,1358.8807548081832
1847.3283,-2648.414194142278,1358.8549014669536
