relative_time,cts,e_cts
1983.65923,-5066.204119101498,1060.7597685989997
1983.68006,-4466.458248751966,1094.7074837715263
1983.70089,-557.7405223444964,1124.2726898355195
1983.72173,876.9742219076323,1155.0811608948413
1983.74256,856.7235814869792,1182.1724923529023
1983.76339,2533.5482884161324,1205.632234610439
1983.78423,1127.858010949491,1226.3033375331763
1983.80506,-1156.9965786836542,1240.3201379247282
1983.82589,-3805.140995668797,1252.239282987435
1983.84673,-109.43840121379708,1266.2186234402025
1983.86756,1180.4964131999975,1275.9031312898073
1983.88839,208.7542157803679,1283.0813667485852
1983.90923,-3225.0416482947116,1292.5622747687432
1983.93006,6789.688925780412,1301.896987784565
1983.95089,3867.8393151013743,1311.6299910684338
1983.97173,629.2009239448843,1317.5095815683292
1983.99256,5303.379190437537,1329.3498582734333
1984.01339,3914.2464083997247,1339.1914953797768
1984.03423,-4387.395099467603,1350.122912975511
1984.05506,5079.84662383444,1361.063239962091
1984.07589,-3229.7245456150645,1370.6649309740596
1984.09673,898.7064535287443,1379.7792378095203
1984.11756,1219.3147303591095,1388.654003522917
1984.13839,2103.931184751056,1396.995015730176
1984.15923,4750.476771051653,1403.6535704706293
1984.18006,2804.743666211477,1406.4742026180118
1984.20089,237.47394090169107,1408.5994973070945
1984.22172,-2821.517011882166,1412.018476044248
1984.24256,1273.082600385503,1409.4547988283107
1984.26339,3446.745461183589,1404.3058796208657
1984.28422,-1115.2732938933566,1397.926047073583
1984.30506,-1411.005134078593,1388.6016608516968
1984.32589,404.5091241010288,1380.8441125017732
1984.34672,-59.50774507893049,1372.3058787789687
1984.36756,-4067.149779071135,1367.495415180594
1984.38839,-4951.462605472772,1369.0737947634257
1984.40922,-2359.5128550887816,1366.4183913190057
1984.43006,2951.077576050894,1370.936869881018
1984.45089,-2428.187148431315,1372.1208064327586
1984.47172,-3291.7487886356794,1377.250084483111
1984.49256,-6064.19398941192,1376.809575851623
1984.51339,-1171.7897109957416,1379.2253369309012
1984.53422,-1602.5435719383054,1388.7583851361242
1984.55506,-5177.673861428183,1394.42070799107
1984.57589,3401.5472102341173,1401.2438839760189
1984.59672,7795.253094469947,1412.5370430887165
1984.61756,6639.342044066415,1424.4388755851203
1984.63839,4330.252493929053,1439.235855134164
1984.65922,2808.792275649441,1449.2464669373483
1984.68006,3726.8036580091507,1458.7613926316458
1984.70089,7624.820902281336,1468.733937037579
1984.72172,-1210.3425688048737,1472.7355696874456
1984.74256,-3506.034014999092,1483.5800194793533
1984.76339,-6130.778726871831,1483.4293697795938
1984.78422,-1043.344643058165,1490.4097762643592
1984.80506,1203.3317893967696,1497.667690025362
1984.82589,-6638.873187373144,1501.1744465109641
1984.84672,-1691.164877711184,1510.8368833696097
1984.86755,5074.278558284921,1500.9360190627558
1984.88839,1133.8359084779254,1505.3444463992046
1984.90922,-5180.541267877507,1498.9431503194294
1984.93005,-6.675057362134223,1487.7991222603248
1984.95089,3646.6251137367162,1488.2345687379232
1984.97172,-3869.4317674720196,1485.018379885594
1984.99255,2539.6114326160705,1478.9698146888582
1985.01339,-6100.5000608386135,1475.2137977457235
1985.03422,-4152.553579831672,1469.545805278421
1985.05505,684.7961302824087,1466.4445273193896
1985.07589,1779.5720543745242,1457.4602165958183
1985.09672,-3964.191846023948,1466.8758228307984
1985.11755,1268.5452906110208,1465.077442039917
1985.13839,-15.259457928412814,1460.2757865893107
1985.15922,332.0220164487166,1457.5710777660042
