relative_time,cts,e_cts
1983.65988,-14665.628019979695,1273.508187376753
1983.68071,-1799.9897763233744,1348.6783441901596
1983.70154,-8552.971137505521,1414.5215994486502
1983.72238,-6324.627738853804,1472.4059730062233
1983.74321,340.94061469340556,1527.5111242756186
1983.76404,-1662.899657032422,1613.9367188178483
1983.78488,-7927.565329450995,1674.876661746192
1983.80571,-1597.0042183581797,1699.8212988505734
1983.82655,-4772.465790463515,1741.8044105381925
1983.84738,-4710.078320300296,1769.5704881356921
1983.86821,-660.9146401464328,1789.463834887026
1983.88905,-1624.0023318064195,1808.5424988663738
1983.90988,2017.2244070672089,1830.8486053147776
1983.93072,3460.322802231582,1838.8360968144743
1983.95155,9640.199424889795,1844.6761389608391
1983.97238,-2235.139350966292,1862.1289734387594
1983.99322,603.3866568163527,1974.8564025061228
1984.01405,-3131.118634206029,1888.667615661656
1984.03489,-6264.256241552895,1894.7220705696604
1984.05572,-10051.470211373873,1910.8167432515884
1984.07655,-153.57482818096065,1918.119528331057
1984.09739,-13823.846089450328,1938.195034849901
1984.11822,-2431.4150003188597,1949.7816818971785
1984.13905,-9317.707844296978,1972.4036748130052
1984.15989,-7393.039243712726,1972.7645654582836
1984.18072,-6320.860782014504,1981.0802659979113
1984.20156,-12742.985786079782,1989.7082098096116
1984.22239,-1631.1574603213996,1995.7341620716409
1984.24322,-6761.589481725029,2004.4700087573897
1984.26406,-10263.933006278581,2014.5074405583985
1984.28489,-13276.953605707035,2006.1360205604738
1984.30573,-13156.59121786651,1997.7755301485995
1984.32656,-3885.87298573795,1989.4550077327729
1984.34739,-1387.936345755832,1971.086338235496
1984.36823,-4748.274544726994,2090.464206109034
1984.38906,-20822.486398651345,2066.6798195708857
1984.40989,-2964.9242059432054,1952.2440533426936
1984.43073,-7784.326782242563,1967.0479633426078
1984.45156,-3650.118385737001,1965.7536646180483
1984.4724,-705.1497823244961,2092.6577311682654
1984.49323,-2733.6493432365414,1998.6774353033818
1984.51406,-1712.4146464953528,2021.4747302072358
1984.5349,3414.396681647008,2042.7999598840015
1984.55573,-8680.651847582158,2055.82963374837
1984.57657,-6814.147610833419,2059.594126073167
1984.5974,-6164.582381425284,2090.033130376862
1984.61823,-4708.4853867098245,2112.033529874263
1984.63907,202.53069431044216,2249.835250939353
1984.6599,-7175.87297645811,2129.2521283217266
1984.68074,-191.89910020893885,2133.7106493607357
1984.70157,-3797.910284216352,2153.9608149507803
