relative_time,cts,e_cts
1983.65729,-3364.7756080970826,1164.7642881605923
1983.67812,-258.75880351179364,1198.65376089773
1983.69895,174.27783604012393,1230.789416412943
1983.71979,187.59738384645024,1263.7859814288506
1983.74062,678.0833138106868,1297.8369140394432
1983.76145,-2447.130324851758,1328.6604326883155
1983.78229,-3483.3108653696954,1356.1696700751295
1983.80312,-2821.33566560083,1375.116498383317
1983.82395,1488.048919696315,1393.9998548114263
1983.84478,-1367.0584022427647,1411.3337629802425
1983.86562,-5485.581155725678,1425.1546861830861
1983.88645,-856.116377083064,1434.5805226551709
1983.90728,2366.399234090219,1448.2441824724992
1983.92812,4207.326313356195,1460.9947914264899
1983.94895,318.1621885329284,1473.7953385869553
1983.96978,-325.5441255543021,1483.119515138717
1983.99062,-2435.8381003687837,1502.1063149945237
1984.01145,-746.0578156229218,1522.9678958370985
1984.03228,-1135.4702844533028,1542.6917038872
1984.05312,-2138.8254766632463,1567.4497237811768
1984.07395,217.77716124547365,1589.881525498343
1984.09478,-5145.294663129316,1612.2084150170335
1984.11562,-2406.6354751863664,1624.248348738547
1984.13645,-2551.5417774045277,1663.8738959273655
1984.15728,-5153.751740360673,1677.6520149532312
1984.17811,-8299.28529818496,1678.7889484481166
1984.19895,-4684.250138511227,1689.115980705111
1984.21978,-1958.6399298147353,1693.803457733023
1984.24061,-6781.660685528446,1689.883098700368
1984.26145,-3224.2840111907963,1685.0414007406962
1984.28228,-2274.5617183492072,1685.8792295577264
1984.30311,-3942.323555439898,1679.199155144158
1984.32395,-872.384167490965,1678.7401642758252
1984.34478,-6958.269775530909,1671.7839609558678
1984.36561,-4905.317031564317,1672.0875768582573
1984.38645,-5076.29716246974,1675.9197047319938
1984.40728,-6886.45947391799,1683.2663912546793
1984.42811,-8207.069783792838,1695.742654809655
1984.44895,-1990.4032519375564,1705.0566548781644
1984.46978,452.4773944905296,1716.572342343893
1984.49061,-5917.477819328953,1728.0858266534535
1984.51144,-7601.169314811858,1741.9434691257643
1984.53228,-167.57247778672206,1762.2276132279264
1984.55311,-4324.39720616248,1780.9940974669335
1984.57394,-1124.6107178768439,1795.5966165484244
1984.59478,-6145.293399373414,1817.6958465964215
1984.61561,-1469.2235797139624,1845.9269848209497
1984.63644,-5382.532932279906,1860.6079782269005
1984.65728,-2030.2554094750833,1881.353840914556
1984.67811,-5815.202484049355,1903.9855003698192
1984.69894,383.61313232301967,1922.051171123006
1984.71978,-7167.245642621825,1937.7010286818836
1984.74061,-3084.861364674783,1950.7031121756215
1984.76144,-3356.4285837619263,1946.305192815504
1984.78228,-8420.128938560643,1962.1053895547977
1984.80311,-1645.8598419758284,1979.1911803742178
1984.82394,-7728.656205419444,1993.8358741594957
1984.84478,-4362.3617834250235,2002.2674577266228
1984.86561,-36.0394384205092,2014.705952890147
