relative_time,cts,e_cts
1983.6601,-26392.67573885597,1006.9851840392646
1983.68094,-19018.973881034246,1076.5386709722386
1983.70177,-16781.49452367805,1092.4043942029766
1983.7226,-15007.14953358942,1127.8651081197872
1983.74344,-11995.165373264428,1141.631714082399
1983.76427,-8796.986027501185,1175.0850427535045
1983.7851,-5887.127952295341,1192.9480504005119
1983.80594,-6256.836449887131,1205.4040222090682
1983.82677,-5828.77638827564,1229.499241617567
1983.8476,-2522.6566932170585,1242.5650767706925
1983.86844,-6119.430950432565,1252.8223659924047
1983.88927,-3056.9635660784875,1269.39751788643
1983.9101,-2395.7334841133606,1269.4270988869189
1983.93094,-6581.404546872589,1274.651804447097
1983.95177,1800.1155042077305,1270.2556761096657
1983.9726,-394.4767620636699,1288.0224166679754
1983.99343,768.9522327307244,1367.912453412821
1984.01427,234.30481761977228,1354.5322557109482
1984.0351,1598.442240635736,1380.3157566107511
1984.05593,750.3718600544425,1396.5298553873138
1984.07677,4633.4993752025175,1404.4368465109662
1984.0976,3595.6753282008312,1358.5087873480677
1984.11843,574.4935381176341,1382.4927945630916
1984.13927,5051.708036024075,1410.1590694556699
1984.1601,5152.7626086656,1415.6046533574759
1984.18093,1735.58027424965,1396.0651141636085
1984.20177,5453.851430698725,1410.9944492778322
1984.2226,2200.241515876919,1411.3293226945143
1984.24343,4406.78038355823,1402.5182042667273
1984.26427,5066.134700269371,1408.8730689570737
1984.2851,-2352.055951590427,1408.3464859205
1984.30593,4053.393898706456,1422.6824488402526
1984.32677,2168.1097467468157,1439.5198100208395
1984.3476,3547.080546997372,1415.731532143544
1984.36843,4297.110937175095,1403.176201155646
1984.38927,7022.2339121444975,1389.271791020026
1984.4101,57.28809097774523,1391.8726515298906
1984.43093,-954.5604362951738,1397.5918854536387
1984.45177,-118.04086952142836,1389.3408477110625
1984.4726,-689.342133258797,1399.0747490565325
1984.49343,-3878.4806182594516,1424.8301119314804
1984.51426,2437.598948449566,1460.2944332873749
1984.5351,-1346.8136759771653,1476.1089308831201
1984.55593,-632.7391464979531,1482.5192470656716
1984.57676,2906.3762780716725,1480.0150659232581
1984.5976,3225.7096717371996,1500.9389340981822
1984.61843,1815.2597396216731,1511.9147221157357
1984.63926,8977.968154254017,1525.7060648034947
1984.6601,405.78711428884105,1545.0677057156777
1984.68093,1742.6721902796924,1567.830749405305
1984.70176,6771.09575306198,1588.0776558686973
1984.7226,6624.0748824032735,1632.2910477001342
1984.74343,6158.9942502150525,1629.3539738676427
1984.76426,3427.918691548019,1628.2772048359172
1984.7851,6751.810486788691,1654.2426237352413
1984.80593,4877.08324763411,1636.7300530278205
1984.82676,7039.5063304786145,1673.0043990626016
1984.8476,8394.140419041418,1672.8033101010915
1984.86843,14781.773643050952,1682.2549035708178
1984.88926,4437.348482449969,1674.2507177312739
1984.9101,10218.512549789242,1706.0033965485013
1984.93093,5990.283085180614,1704.103409917811
1984.95176,7891.323500362219,1689.8262997899717
1984.9726,9815.76939259946,1681.2453359757428
1984.99343,4568.72471435893,1677.2598372757573
1985.01426,8303.100715715185,1761.1948439306302
1985.0351,10561.755534354977,1690.5110947977998
1985.05593,3400.785596152049,1684.6244757005547
1985.07676,15343.738442160216,1792.6637718964803
1985.09759,15377.831936664195,1827.0666816041785
1985.11843,5190.29069438659,1705.3078822931093
1985.13926,5282.2320513444565,1698.0275548731888
1985.16009,4237.166121916532,1695.6347920636263
1985.18093,1788.7594921107234,1688.419604686594
1985.20176,8143.254780694782,1700.2710727743627
1985.22259,4804.464365106939,1684.6596224642017
1985.24343,3949.1123171997874,1700.0493698752298
1985.26426,226.39586817204605,1715.6110375260319
1985.28509,10539.183581867119,1807.581357066259
1985.30593,-4413.750265077554,1680.0386991369942
1985.32676,6887.933283974684,1785.3000610988759
1985.34759,2457.851832954871,1775.0730743654692
1985.36843,46.58677753962671,1767.5426998821847
1985.38926,5056.047476033045,1820.4596053870177
1985.41009,6395.607622709216,1818.3009138391615
1985.43093,4666.4481777503115,1806.0761273410446
1985.45176,-5733.866315091031,1669.7645064864314
1985.47259,1444.2157680809973,1782.0050262395648
1985.49343,1698.846958893703,1793.4207156859882
1985.51426,5035.638544019941,1782.3417549106327
1985.53509,-4991.238905262078,1693.884256480701
1985.55593,-4908.905704630183,1708.4398609058242
1985.57676,1707.834017279087,1757.4301205025845
1985.59759,3055.8778299838923,1781.5185373116676
1985.61843,10253.268885457475,1830.3710958051079
1985.63926,13623.281789386889,1831.0233207914923
1985.66009,13994.28319314637,1884.0694756852197
1985.68093,4250.189698497529,1896.5754362925113
1985.70176,12025.885190737074,1909.7387753705927
1985.72259,3665.6148111158013,1937.32259451268
1985.74342,4979.8987658970445,1897.0133793973068
1985.76426,7274.365147671997,1906.214719664293
1985.78509,8753.779729592312,1933.7368000631998
1985.80592,15153.799456440589,1946.7799598849406
1985.82676,7071.473497316804,1960.5410000843942
1985.84759,11003.681664178108,1965.8218786245943
1985.86842,10599.09211659546,1975.6200954554474
1985.88926,3201.0718934904676,1991.9161346340607
1985.91009,12570.133238086766,1983.4620496059001
1985.93092,15115.538751376485,2042.4109024682184
1985.95176,9356.700299970484,1960.2346769713197
1985.97259,8167.238581770424,1977.329197023751
1985.99342,5095.455552865241,1962.348223995782
1986.01426,10742.7672421083,1969.6648319459184
1986.03509,2922.66170107241,1960.9423534499094
1986.05592,1360.4636070528313,1962.1124005493778
1986.07676,8598.830738523893,1959.1363663747788
1986.09759,3550.1261532114445,1968.2818428708072
1986.11842,5169.146257079103,1978.5077989073325
1986.13926,6534.174305270065,1969.6635951096612
1986.16009,8702.834753360457,1980.0147808172449
1986.18092,-944.3293267742312,1979.9788094960932
1986.20176,3106.3216813921376,1988.5491571324462
1986.22259,4400.743591925407,1982.4174383168663
1986.24342,-4243.02099554984,1982.9488656287813
1986.26426,-2362.146370987086,1985.947781274141
1986.28509,7301.299833918351,1996.1902284607647
1986.30592,350.8096395792426,1975.6121590894627
1986.32675,-3460.6559950957926,1959.4452662300562
1986.34759,-3494.292478602686,1928.8995334606418
1986.36842,-4571.199005291792,1922.0955941391835
1986.38925,-3234.845356612861,1903.3531959131888
1986.41009,-4123.304831317812,1887.3333834987204
1986.43092,-14712.701491561464,1873.2992086257652
1986.45175,-15853.287357518575,1843.8877577740436
1986.47259,-15242.973289202924,1862.0237970248647
1986.49342,-10872.368613987956,1859.9514778756482
1986.51425,-23135.530327592496,1875.1529169664925
1986.53509,-12977.09029640538,1882.9624041651894
1986.55592,-6159.60535039589,1914.0995508050007
1986.57675,-10073.739629028303,1936.9039254395616
1986.59759,-9658.954530967121,1968.6143456846623
1986.61842,4059.4799576502055,1989.9087493883555
1986.63925,3434.866413084403,2032.4757060218622
1986.66009,-113.57960114110342,2071.098082621564
1986.68092,7474.967414114807,2097.0699949112395
1986.70175,6148.015782385623,2151.2702211027777
1986.72259,9115.570619882566,2164.356051775397
1986.74342,8691.282599646982,2181.6905180617573
1986.76425,5193.097797342378,2212.447749831181
1986.78509,4103.256643213097,2210.0489059100205
1986.80592,14277.891499145091,2222.719262669853
1986.82675,20205.049347701002,2247.228409945817
1986.84759,18427.544034835435,2270.278296577465
1986.86842,20468.793444988285,2284.7698947262693
1986.88925,24769.485744616286,2283.860613937729
1986.91009,10994.076393803407,2269.929611822576
1986.93092,16194.90709756619,2258.4441441972995
1986.95175,8963.60137349751,2227.9938539590785
1986.97258,10485.349974556191,2240.697502228172
1986.99342,9307.466898979465,2233.911187823381
1987.01425,12190.29505154714,2212.8208621021536
1987.03508,-1905.1755710687273,2203.9371826139345
1987.05592,8625.115673456354,2194.235851289908
1987.07675,91.92785482872662,2179.736935193248
1987.09758,-1249.4824958187637,2171.1768945257063
1987.11842,-4038.257908867572,2174.901729984452
1987.13925,1781.8006390480268,2174.0725343435765
1987.16008,-4869.545658272651,2182.6337087776874
1987.18092,1534.7325988794394,2171.9218822313933
1987.20175,-9411.217877731735,2167.798888567464
1987.22258,-4857.519177854475,2185.9122524869
1987.24342,-2226.5006833873713,2189.2920106298407
1987.26425,4049.7562602038456,2205.5115720998733
1987.28508,2106.031388944296,2216.6031073771787
1987.30592,-5650.601879827034,2185.876075026372
1987.32675,-2138.76828021332,2156.119031510405
1987.34758,-4598.862909581554,2148.422405620193
1987.36842,-17739.28949292561,2129.2453625194216
1987.38925,-14925.519371300152,2127.1605719379436
1987.41008,-14782.340835544637,2107.350165603713
1987.43092,-18513.076106307635,2108.048462740684
1987.45175,-16691.471087476613,2080.168112105893
1987.47258,-19706.383457640914,2055.7951198879277
1987.49342,-15364.574804169937,2076.608497357194
1987.51425,-20425.427285993166,2088.070155884516
1987.53508,-15924.123134441374,2097.7718994872944
1987.55591,-11174.64376813127,2122.268884540061
1987.57675,-9508.970509844821,2124.232774377382
1987.59758,-14062.697347746936,2147.759873664997
1987.61841,-1384.0661533521502,2172.034743539878
1987.63925,8118.226883678541,2241.154307085893
1987.66008,7217.864818320516,2281.7230516759364
1987.68091,16221.890948053784,2310.4509443560873
1987.70175,13718.925924890258,2309.6403012590717
1987.72258,20401.639008115864,2326.166082772491
1987.74341,16703.680722730584,2350.7459358545007
1987.76425,23626.897956106946,2377.692268975604
1987.78508,26483.883033495094,2381.5547024679818
1987.80591,26461.07855579083,2366.9671464395433
1987.82675,25072.626890279123,2370.134271815905
1987.84758,29632.27930762061,2371.0121163495705
1987.86841,26001.810847872857,2392.000918428006
1987.88925,23655.308703356754,2384.219775393541
1987.91008,27991.073144177375,2352.4775066148127
1987.93091,21937.76593373612,2303.5874307548993
1987.95175,22791.03896296433,2289.478942636814
1987.97258,9170.235278088754,2279.8268786237063
1987.99341,17051.298087929546,2270.149871746075
1988.01425,7060.2683792431935,2234.5546518862766
1988.03508,7542.654618205105,2197.392669697459
1988.05591,1975.206889075789,2191.007605588495
1988.07675,3077.8636251554585,2161.8535197479937
1988.09758,-2583.1674641330633,2162.335576679302
1988.11841,3524.2540123798544,2163.5821014873504
1988.13924,-3091.465938035227,2154.084435867038
1988.16008,-4217.852305339622,2138.8468193156655
1988.18091,-1117.7955088001306,2147.3702702439264
1988.20174,1653.6858412800632,2166.148330582009
1988.22258,-2504.6484603794906,2163.1663183654996
1988.24341,-3027.069955225758,2170.9970379199476
1988.26424,86.85744459165608,2153.075177481027
1988.28508,1913.1334786183234,2149.092358592932
1988.30591,-1257.014004068613,2134.647141803779
1988.32674,1011.9082046223367,2147.802441446188
1988.34758,-5697.594958077201,2129.8533706096055
1988.36841,-3805.099947667425,2098.2011847382887
1988.38924,-12069.302060018752,2050.0179607994596
1988.41008,-12081.755558154802,2033.7590267085675
1988.43091,-19168.939555752044,2007.411219266341
