relative_time,cts,e_cts
2010.28526,366.6464797744639,2572.247359757469
2010.30609,-1189.7988863574085,2632.2937472668455
2010.32692,3638.6764521546065,2676.813952795969
2010.34776,4424.323336325091,2703.702008841205
2010.36859,10234.657927543747,2740.7941380955663
2010.38942,7722.730592315032,2762.1690769797196
2010.41026,1227.9200608120968,2755.270648969509
2010.43109,12309.896456421691,2768.0649609536545
2010.45193,694.2289936825697,2834.573507310324
2010.47276,23768.303636576744,2932.343676819112
2010.49359,2456.1652609057837,3017.533168727543
2010.51443,1147.5701564802778,3115.6532286051
2010.53526,6913.196658917126,3233.5376566232476
2010.5561,-2227.0964491657883,3264.257630983697
2010.57693,4823.372364366272,3283.2657159049013
2010.59776,751.0674902868448,3264.3480099535504
2010.6186,-4253.987729413539,3281.5087637316024
2010.63943,-965.8006723410368,3315.2541209805745
2010.66026,4491.59354113725,3354.955739855541
2010.6811,10097.249766954814,3437.6652478318424
2010.70193,-379.9911909346354,3428.4287171215683
2010.72277,12339.769143565447,3463.6586395793697
2010.7436,-2314.2130257205076,3457.96013927542
2010.76443,8037.826557757359,3402.960598446414
2010.78527,-907.7201211800991,3372.543512390191
2010.8061,4107.322287202857,3381.6066604847156
2010.82693,3648.9530285483997,3405.390705187712
2010.84777,8334.93735820976,3451.6104853698534
2010.8686,10782.046221317523,3513.717338384209
2010.88944,13260.53571280465,3537.311499746669
2010.91027,11230.330662001084,3536.579092576028
2010.9311,7698.421774561626,3524.1599220697944
2010.95194,13833.888647063068,3449.587271501134
2010.97277,7308.95616746771,3366.8515123717634
2010.99361,5186.815453433303,3309.0825998994087
2011.01444,9308.535498050895,3288.5279470459336
2011.03527,9378.516821947685,3321.409891369898
2011.05611,8821.48847973931,3342.4715664940886
2011.07694,-3380.42310849775,3373.1599144653633
2011.09777,1556.3163604653594,3362.629576925231
2011.11861,5878.8716016746575,3330.3457838747804
2011.13944,1182.9933374268676,3282.693815784457
2011.16028,3878.0952185114993,3198.0997250287423
2011.18111,3350.029273462818,3202.5501705124707
2011.20194,-9760.944994925614,3207.2024998638526
2011.22278,950.5311266334121,3276.8416837323052
2011.24361,-2580.154957094969,3303.155839569244
2011.26444,-268.7496797034885,3324.283767603562
2011.28528,2805.7647418988313,3261.853650389978
2011.30611,3998.3922525022313,3190.7802785254917
2011.32695,-3673.7704936439013,3113.4557570821953
2011.34778,2835.0731542570816,3035.629338593307
2011.36861,1453.9446138344574,3012.5542000286805
2011.38945,8699.100603909332,3030.6946218381904
2011.41028,-1416.8143579054004,3035.5334593818575
2011.43111,9660.96785347662,3085.6390352457497
2011.45195,6893.331036328982,3118.396099084398
2011.47278,17340.751684375322,3124.540618979549
2011.49362,-3111.057901757526,3086.870089319222
2011.51445,4339.197722222462,3082.2686372025987
2011.53528,2884.1563102116593,3075.321207039991
2011.55612,148.78366025241482,3139.222888891361
2011.57695,-3487.431308782702,3221.340870885161
2011.59779,-4149.4873892851665,3283.270591119043
2011.61862,3033.3302376063757,3351.6840961501275
2011.63945,4401.576087162853,3394.9906233690012
2011.66029,7187.95072736057,3402.1500628440185
2011.68112,3543.2030085284255,3347.695670960424
2011.70195,5204.013708858598,3301.952036692768
2011.72279,5263.679329642974,3283.0034543851875
2011.74362,-8208.046784600896,3300.9671184306962
2011.76446,5376.055140697709,3337.5240991789096
2011.78529,1459.6489893964758,3346.9675139764704
2011.80612,4891.498106757518,3349.4406226066058
2011.82696,-10238.112954304175,3402.99872512111
2011.84779,6680.063543654506,3336.0780356612486
2011.86862,13327.85541979117,3301.875533332394
2011.88946,6601.062073552029,3247.4181413170204
2011.91029,7229.169912893941,3225.305795042593
2011.93113,6380.896277872832,3209.185461964532
2011.95196,-54.83065841092468,3219.5354165814283
2011.97279,-5003.504151570443,3242.0959075404007
2011.99363,-11425.570112802285,3245.6285627106204
2012.01446,-2230.1658339870755,3257.814597976497
2012.0353,3726.5764381202166,3184.6730102666006
2012.05613,-3817.3025482220014,3093.408001493944
2012.07696,-5991.179659753374,3016.4586215285613
2012.0978,2037.4774952422733,3003.180788305972
2012.11863,7770.681448533875,3017.044147247504
2012.13946,2582.927578881079,3014.690043844617
2012.1603,2561.531889085451,3033.8413850582874
2012.18113,2542.666935451221,3050.7443775142942
2012.20197,7894.071243372675,2999.882393425525
2012.2228,5833.479982869115,2938.2666869845516
2012.24363,1621.1472081299014,2866.968430242103
2012.26447,1872.2873643433395,2846.8522966503806
2012.2853,6166.876752165659,2820.1756248900997
2012.30613,3933.25501637972,2816.434335555722
2012.32697,-5111.092252327252,2852.1936562670935
2012.3478,1368.55598817917,2843.199386198004
2012.36864,-495.92803340600267,2833.1258187212825
2012.38947,-1901.7200321594526,2794.8971395445005
2012.4103,-1899.810323276387,2756.4783270161993
2012.43114,-2457.4381918186764,2716.786833585988
2012.45197,-4665.049535110338,2688.058196694102
2012.47281,-6798.116354068772,2719.170813301178
2012.49364,-6447.064309272542,2764.268919214304
2012.51447,-6059.147645215221,2805.0483354310127
2012.53531,-1521.2773213920207,2869.560044077524
2012.55614,-9316.837362706401,2908.4583776685618
2012.57697,-5285.242026774321,2933.436224808769
2012.59781,-5357.671458203087,2905.006101028931
2012.61864,-11618.951356982634,2892.818190680692
2012.63948,-9682.819063280753,2873.767603892613
2012.66031,-4989.389281581407,2922.591873475729
2012.68114,-934.8223116310891,2980.273782126482
2012.70198,-4372.759196394457,3029.626699930222
2012.72281,1448.3971201634029,3053.00085162886
2012.74364,-7848.697125335845,3076.055489292994
2012.76448,3178.8626300483784,3038.3573334191983
2012.78531,-2907.0565660946463,2988.3570121785656
2012.80615,294.17429646784177,2968.272254965036
2012.82698,-1519.1979800579288,2979.2776133702364
2012.84781,-7123.7511574246055,2991.4921498880176
2012.86865,-6722.58053619344,3007.518603842482
2012.88948,-2312.3293179795296,3036.87601835313
2012.91031,2828.9893870304627,3041.845236623709
