relative_time,cts,e_cts
2010.28086,-3396.210392079691,1885.3086463994262
2010.30169,-3999.584793449772,1867.6414759219624
2010.32253,-6463.126466218318,1852.5410487180216
2010.34336,2286.7703877058852,1876.0506502314538
2010.36419,4418.029817263418,1859.8207423287279
2010.38503,-1187.108754312563,1886.8523345997555
2010.40586,1770.914272934293,1869.212932944503
2010.4267,-1025.050166201385,1867.8885538609877
2010.44753,-4675.544054619609,1916.4881257649631
2010.46836,3243.331530805043,1946.0331193394052
2010.4892,1624.01319955923,1957.5827537050382
2010.51003,-1218.990461986767,1954.3757776329016
2010.53086,1511.1386201915934,1978.2944203553736
2010.5517,-1894.4944436296487,1978.9526060204403
2010.57253,1244.1461734494294,2026.0267009051647
2010.59336,-345.1600022222263,2006.676223172439
2010.6142,1438.4416518444923,2000.466468739404
2010.63503,3550.2244169748787,2022.360958058633
2010.65586,-1496.931057489734,1977.5945168783335
2010.6767,3189.710064272118,1970.447080355741
2010.69753,-6251.051967113069,1982.636947519988
2010.71836,-3387.5292124698394,1962.83674402475
2010.7392,1369.8090058106407,1957.1424564263466
2010.76003,2260.7705040479964,1936.0097369368987
2010.78087,-43.930018423829324,1953.4550151512963
2010.8017,-1277.1795768801878,1997.1410554116028
2010.82253,-1221.977483155527,1971.619182967688
2010.84337,5364.825634270667,1959.3613790570073
2010.8642,375.1088707132036,1939.485231061954
2010.88503,-2991.4050262643523,1953.1781018730578
2010.90587,3860.6347733963685,1947.742128899877
2010.9267,-3173.727621780355,1936.6068311931
2010.94753,-5223.587850738981,1928.9062139005941
2010.96837,-3586.700250258664,1889.8863690303056
2010.9892,4945.855198509318,1882.3185254551636
2011.01004,-6638.544957588687,1886.0869483652216
2011.03087,208.23168158312623,1894.2070686090888
2011.0517,-2916.0830646957406,1882.8678315056993
2011.07254,6669.63467262196,1846.8396574674246
2011.09337,-3554.912827422666,1853.3414365842734
2011.1142,1324.308821937397,1856.7509313225844
2011.13504,-6491.611336570847,1867.1592025166722
2011.15587,-1502.7596686932532,1855.1384022746333
2011.1767,-2501.334006539777,1830.3745540984335
2011.19754,1406.2355010010087,1779.8194113242116
2011.21837,-1258.194226870214,1817.2760652399666
2011.2392,128.93361214577817,1884.4277935274174
2011.26004,-1714.07536858691,1811.8491332786682
2011.28087,724.8239930366025,1817.01310095149
2011.3017,4461.389218680131,1777.4736562125665
2011.32254,258.8494656539645,1786.2593240883198
2011.34337,-3561.2993982166654,1774.229482834398
2011.36421,2504.6926132969193,1681.0818747657486
2011.38504,5055.221477794496,1687.6049648391784
2011.40587,828.6161010241055,1854.7005589848811
2011.42671,-4663.9024602473955,1679.2607566579302
2011.44754,902.2158789863593,1695.3026115134944
2011.46837,-1880.914714624392,1862.2600073347035
2011.48921,-2525.824299527866,1706.9201826255612
2011.51004,-735.4229004241043,1686.457272959315
2011.53087,-5845.573562541714,1841.4388152832737
2011.55171,-1154.720362500985,1931.1857113108697
2011.57254,-3526.941228230454,1888.95372407594
2011.59337,-1843.9083031004004,1894.4595711552436
2011.61421,1153.944643681442,1884.573224661418
2011.63504,-8527.003234213451,1888.9711603131425
2011.65588,-4278.225292429779,1943.9759016641335
2011.67671,-662.1808882177838,1865.854326187361
2011.69754,-4296.886328427786,1754.4185592822132
2011.71838,801.3327811507986,1747.8604675770657
2011.73921,2933.8690599008064,1732.5832240121604
2011.76004,-3543.355056146338,1744.0251411790757
2011.78088,-989.1457248685917,1746.282036059644
2011.80171,1967.0379730893678,1740.7076064473438
2011.82254,-3260.5086784384594,1748.407577953287
2011.84338,619.0635276049043,1740.6418653752248
2011.86421,5192.204044504892,1671.6378920676163
2011.88504,-8021.567014794082,1737.1423479900238
2011.90588,874.5656231879237,1744.6890097658975
2011.92671,-3279.0728464520075,1740.8503252777791
2011.94755,1144.6953010534146,1701.9180490654412
2011.96838,191.13022013489967,1699.3482060164158
2011.98921,-3930.781143134024,1695.398446239452
2012.01005,-57.66576946272006,1700.4886650867727
2012.03088,-1626.7044504821104,1671.744188535895
2012.05171,-3395.5846249000892,1674.595981998351
2012.07255,4649.393573535214,1662.489162986113
2012.09338,1507.8945759707376,1647.9878965553755
2012.11421,1461.1033356006317,1658.4777951710337
2012.13505,2702.397844744918,1635.8283813595922
2012.15588,5441.5595435807445,1632.3815601579363
2012.17671,-682.9186446452667,1614.9798079578889
2012.19755,-1212.9085732932172,1782.3120183002957
2012.21838,-1981.6711091362815,1768.7663868255684
2012.23922,2457.108088712755,1777.323317100687
2012.26005,-1955.2112962881836,1741.167019008302
2012.28088,6212.427343619372,1738.8738309228897
2012.30172,3925.519015903617,1727.5553881468306
2012.32255,5455.441759012137,1698.970679191653
2012.34338,-1382.8581565756904,1730.395428293839
2012.36422,650.2427486558161,1726.6993334788435
2012.38505,2103.441269252703,1722.4443749721793
2012.40588,-1295.6955692161323,1696.141617416217
2012.42672,-587.9162084102076,1826.0435219346414
2012.44755,4799.0713999741065,1838.2003248268597
