relative_time,cts,e_cts
2010.28264,5658.266676983878,1314.0001485737425
2010.30347,3409.4525735331613,1343.4928682151722
2010.3243,5002.195260827609,1358.908192763236
2010.34514,6346.081488943102,1340.3477803649405
2010.36597,4010.4263118644826,1385.7301114313027
2010.3868,3457.690741732802,1409.5718520385842
2010.40764,-2170.030427298872,1405.9667027565802
2010.42847,6900.872688577993,1471.6670789931034
2010.4493,5798.864337772009,1545.1899748011003
2010.47014,10155.581607972194,1622.3495266176474
2010.49097,11381.665239268772,1656.6630915416208
2010.5118,1309.2794082752075,1721.552090539333
2010.53264,1719.786660116082,1779.3260487683472
2010.55347,9138.328880543035,1830.4125725708832
2010.5743,6482.305088798373,1876.563604540768
2010.59514,4445.105123891532,1918.3539580335485
2010.61597,-799.6451454321578,1953.5203120476122
2010.6368,2655.0021940394327,1950.7616294356558
2010.65764,-2682.619262401534,1964.6413435290203
2010.67847,1026.668391477721,1961.4008925098117
2010.6993,-2827.26453650099,1972.2899965493204
2010.72014,3078.6462756186565,1983.444642230622
2010.74097,-1263.185910327711,2042.5632738290471
2010.7618,-1583.624809229895,2049.265460568958
2010.78264,251.86066243590034,2070.0898262108703
2010.80347,6488.54205079681,2085.0678500393155
2010.82431,16174.693243482692,2106.2434261145986
2010.84514,4506.729435926538,2102.2141478213985
2010.86597,12604.343931251366,2116.9387479797997
2010.88681,4741.813346031851,2115.4381215826693
2010.90764,2316.3193198620897,2113.9799607734926
2010.92847,2020.2509266300897,2115.5461295917316
2010.94931,7230.418822804324,2110.6259169408504
2010.97014,-1731.8533148885404,2107.2756665602337
2010.99097,-2165.195040450229,2093.1907899364846
2011.01181,4097.319650831406,2094.0207129407536
2011.03264,17377.222382789263,2067.2961595413444
2011.05347,2294.183578929658,2080.690838643768
2011.07431,4279.0152547439775,2099.5539895884403
2011.09514,9990.62903681665,2047.0254271478364
2011.11597,3910.8019371522814,2040.4894146813804
2011.13681,13059.4085437167,2093.554855957276
2011.15764,4133.403282619996,2074.2397573532185
2011.17847,-3950.1588965443016,2077.9747269934323
2011.19931,-23848.43246740207,2180.54461182985
2011.22014,-23193.86515497395,2192.8185366060407
2011.24098,-26582.38061304111,2179.424700492956
2011.26181,-28429.487324987356,2159.768085832927
2011.28264,-35394.444379238965,2146.8507494437263
2011.30348,-27795.955020162237,2143.9955445524515
2011.32431,-18890.747149048602,2095.31533381816
2011.34514,-11391.511144001239,2108.5726056583226
2011.36598,17381.646917708797,1980.3715245952096
2011.38681,9368.837571384462,1979.5711062178066
2011.40764,10009.516739825822,1985.9680254433235
2011.42848,24985.869974148554,1999.4735576438286
2011.44931,19030.768837370844,2014.9954149696116
2011.47014,43735.509137737914,2011.7694001428338
2011.49098,18979.442061606685,2042.895833123292
2011.51181,41860.43825656923,2049.506555519919
2011.53264,8932.13379359141,2225.494489365293
2011.55348,-1900.842856615001,2250.035911123964
2011.57431,-1306.600704276791,2293.210453111422
2011.59514,137.41906411167605,2296.7376258795666
2011.61598,-5812.346898513024,2320.6381649932446
2011.63681,8792.968477063949,2353.4502605307493
2011.65764,-2006.0538270505817,2372.0370163458892
2011.67848,-7172.983219421259,2378.9790335527528
2011.69931,-5091.883109453396,2393.0609597138155
2011.72015,4115.300297311788,2388.728732126903
2011.74098,-3148.197848650514,2401.5357422863594
2011.76181,12251.872596576606,2400.6228902058633
2011.78265,5605.244122790603,2402.1100287735694
2011.80348,-7586.995937054801,2424.2235358621842
2011.82431,-4591.942486393449,2415.6919568829235
2011.84515,-7519.128972843317,2409.3951426414155
2011.86598,-5549.373423741772,2447.6282918708494
2011.88681,-5212.999075869347,2446.9189163420606
2011.90765,-11995.63407975582,2419.974026604164
2011.92848,-13160.676326145329,2418.6712919543693
2011.94931,-6489.751845871978,2392.819337894518
2011.97015,10971.34365582982,2273.7639535441444
2011.99098,-791.268254996607,2255.6755098020353
2012.01181,36332.06232740486,2225.4327403962093
2012.03265,5596.8836706471675,2226.020620086511
2012.05348,4416.507237433478,2215.303485872163
2012.07431,26623.698681756698,2100.7439744141407
