relative_time,cts,e_cts
2010.28609,17217.88574016251,1639.2419808023387
2010.30692,18235.325060448933,1641.0349847329478
2010.32776,11668.27540599152,1655.6966616583354
2010.34859,8572.50474119108,1650.8109332577458
2010.36942,17135.025532502103,1660.3536576715799
2010.39026,10924.465093376226,1671.1088019452238
2010.41109,3355.6628299220083,1693.7579151884183
2010.43192,9098.961814800588,1709.3005458050459
2010.45276,17344.50431931494,1737.5420852981501
2010.47359,31563.428131759058,1881.914259639148
2010.49442,26852.748880584037,1890.8492192956703
2010.51526,15544.182219206963,1957.7874184522834
2010.53609,17692.63155768233,1960.2241209291524
2010.55692,22804.856158289484,2005.0147826466437
2010.57776,25432.422222055135,2010.3603944423337
2010.59859,27603.639646863387,2031.2722471967488
2010.61942,24248.398463099522,2024.8227079424971
2010.64026,19641.030122047814,1989.608170634978
2010.66109,8892.330320072313,2007.4329423670365
2010.68192,-339.9247751778916,2008.4003905310342
2010.70276,8547.010408966527,1901.0993325932275
2010.72359,13555.400986407401,1900.3238768208232
2010.74442,9986.919600403551,1882.8363298773581
2010.76526,19464.448027982915,1922.6332314826134
2010.78609,-1007.4312993746694,2129.990427506288
2010.80692,7440.138452814133,1954.7548139753515
2010.82776,3714.06148848104,1938.433042069504
2010.84859,11662.27883978834,1938.418991036646
2010.86942,12486.211712104727,1930.3594567961409
2010.89026,11529.601731681269,1933.5471984965138
2010.91109,23264.94559681434,1912.4375947304814
2010.93192,14970.500545540703,1928.4693625319303
2010.95276,17339.182663378553,1918.7503091729677
2010.97359,12289.745794132059,1913.1810325755537
2010.99443,12163.969931433907,1914.2656110708353
2011.01526,19444.50166546169,1904.071126042708
2011.03609,11986.990607759764,1912.9039277800084
2011.05693,12455.6658032229,1930.7357250284958
2011.07776,12161.66625307959,1913.097417412808
2011.09859,17750.957625420957,1914.9605613353071
2011.11943,8769.28369774824,1914.8550634164712
2011.14026,12302.574617476273,1894.0092044475286
2011.16109,19853.655534014062,1892.5466301338847
