relative_time,cts,e_cts
1842.51266,-828.5579370552676,1373.7598043318947
1842.5335,-4732.0384294746955,1319.652802785856
1842.55433,-814.52290206733,1367.0328321419108
1842.57516,-13094.898152041515,1365.281624489392
1842.596,-2276.463858776176,1337.9814343073288
1842.61683,-7646.566924689417,1324.392685259816
1842.63766,-2469.379362238017,1330.0071795814595
1842.6585,-8374.696950705418,1321.740969897839
1842.67933,-548.2235384380714,1344.4603074345027
1842.70017,-5711.754270786003,1342.3114730011841
1842.721,-9691.096690274619,1342.087285842997
1842.74183,-3883.8125854014916,1327.0388664255265
1842.76267,-4875.018880024972,1383.5615968512398
1842.7835,-321.1346862877128,1346.6651103432698
1842.80433,-5236.708052133936,1326.4085945639438
1842.82517,-5196.068047317549,1328.3498444278744
1842.846,-7496.303471852583,1318.621040647967
1842.86683,-9497.560730318157,1332.2797502897906
1842.9085,-3920.4792461362103,1352.1639086373066
1842.95017,-7495.639368300617,1353.1295736763916
1842.971,122.6864484226541,1394.4133203792355
1842.99184,-4070.823727959888,1323.5886605192284
1843.01267,-1964.282562278292,1390.2555727012202
1843.0335,-5505.013300862764,1343.843087922605
1843.05434,-4239.893319479065,1383.0637280248604
1843.07517,-2144.9610180259847,1342.016803154699
1843.096,-2617.675982605538,1385.6771216881625
1843.11684,-6753.274240880708,1374.2903562418849
1843.13767,-4966.146104353992,1364.9569864480302
1843.15851,-2585.4647675404467,1371.3059625911403
1843.17934,-3640.811039446929,1361.338457440196
1843.20017,408.00193693598686,1375.0601316168995
1843.22101,-2631.4491352493983,1364.8204066609278
1843.24184,-635.7155267516621,1373.128905957527
1843.26267,-4804.128645160148,1372.400689263909
1843.28351,-6566.899635311744,1375.5143533859327
1843.30434,-6621.708748852028,1373.6725102172022
1843.32517,-6131.7937111141555,1378.8816507670324
1843.34601,-1813.1467948073193,1386.4173465434906
1843.36684,-4338.398462781554,1387.9063585955398
1843.38767,-1421.7393020042762,1365.5518603372675
1843.40851,2427.605056024618,1389.6925465452139
1843.42934,-1538.5177348655732,1380.1370779691215
1843.45018,-4857.6793033532185,1402.2198785163534
1843.47101,-3856.096286311475,1381.0978353247249
1843.49184,-8365.713279464322,1365.184410588939
1843.51268,-3500.1292643043557,1385.310924965404
1843.53351,-442.4375856437715,1351.968436648426
1843.55434,104.30278819490971,1388.2275508165847
1843.57518,-3251.048978054558,1352.3542641051106
1843.59601,-821.4970335509465,1408.8434760968332
1843.61684,142.8746743084289,1389.0049487638153
1843.63768,-2268.4507602576446,1366.3986967848214
1843.65851,-5757.489181987778,1425.5253187632663
1843.67935,3899.8892167177364,1369.9393293697365
1843.70018,-3004.0686582408603,1391.112433353332
1843.72101,-2671.572893531049,1373.01488063068
1843.74185,-1770.4640450558531,1351.7668039504942
1843.76268,-5351.646416946059,1358.5682267430805
1843.78351,-1722.6519307158308,1341.0249289974465
1843.80435,-5447.553098473285,1351.1741228560043
1843.82518,-4924.284399607103,1362.7390267707806
1843.84601,1701.538136609203,1408.314490468805
1843.86685,-7352.469084376527,1339.9344834953743
1843.88768,2540.483551218875,1405.241758515393
1843.90851,189.8805711131165,1371.133880412895
1843.92935,-1364.1906568933323,1384.8416668895338
1843.95018,1817.9919314291385,1388.9073171881726
1843.97102,-4809.469144557206,1351.5475244757886
1843.99185,14.173598732192255,1355.344191952122
1844.01268,-3037.6714626199528,1360.8558337582485
1844.03352,-69.66310515685142,1387.1979814734427
1844.05435,-2054.5491668784925,1377.7166502435603
1844.07518,4133.009507448072,1347.8503681134528
1844.09602,-4898.424875573856,1365.220121817677
1844.11685,-2365.495397839795,1346.6166600212396
1844.13768,-2103.8869442684786,1345.5977413954406
1844.15852,1843.5244157886814,1353.2566513529234
1844.17935,-30.83549740830671,1336.649259289093
1844.20018,-573.0273884288063,1358.5159129255437
1844.22102,-2480.4877471702157,1323.2385442912816
1844.24185,-7295.878272894857,1364.9307773298628
1844.26269,-2197.6163894494716,1352.4408272882208
1844.28352,-7653.702383215138,1346.9546636686787
1844.30435,1101.274775558783,1351.9358579836128
1844.32519,-3460.2284401553216,1347.5556982669675
1844.34602,856.1872552869847,1409.0433336752078
1844.36685,5253.7074323635015,1376.1850353221398
1844.38769,2920.4543663904465,1398.6063616107986
1844.40852,830.1999226456237,1348.4045186716735
1844.42935,-4142.974088872687,1362.3218736748524
1844.45019,-26.45982769995287,1410.0013761420769
1844.47102,162.20906768721864,1358.8205025577897
1844.49185,-1656.0499670258707,1428.739120512072
1844.51269,-503.63451911983003,1407.43580628802
1844.53352,1569.617516250299,1364.422988717723
1844.55436,-3226.8542029095174,1363.9732569569815
1844.57519,-1817.2697710257742,1361.3279111416507
1844.59602,-102.5967938816997,1410.9475148660333
1844.61686,179.80634995114892,1374.0052929247677
1844.63769,-2998.1754701487453,1379.9221840839098
1844.65852,1382.5868473767741,1363.1817624720911
1844.67936,3742.064381080265,1384.3240629104307
1844.70019,67.99313532877113,1369.0203395331243
1844.72102,-5613.623260034881,1371.3435533582326
1844.74186,3566.985070090986,1389.0899456649631
1844.76269,-3298.0285613222823,1344.3788607724691
1844.78353,1018.9267704653957,1412.26308729547
1844.80436,4817.691185089493,1337.537341161651
1844.82519,1896.5922414622096,1407.05185836969
1844.84603,-3284.3395702291887,1350.5897952653122
1844.86686,-6616.635352738922,1368.7837265380372
1844.88769,-1605.2074103454154,1374.2824204132767
1844.90853,-3957.6052451610385,1381.0487584899097
1844.92936,2533.472768737344,1422.9555721573104
1844.95019,-4727.952626348144,1374.9151983259987
1844.97103,-355.1322981400733,1359.4274890275346
1844.99186,-3240.5987448028686,1361.2952280580396
1845.01269,38.8242663470255,1359.9767319022735
1845.03353,6.295513718800626,1400.826096407605
1845.05436,-753.8104718115732,1382.5780761977858
1845.07519,-7208.053188617308,1375.4942005580194
1845.09603,-4147.243877920397,1393.4254141362874
1845.11686,4182.150977498799,1387.8522696584457
