relative_time,cts,e_cts
2010.27936,8495.574710702598,1737.562832971847
2010.30019,6700.036848452612,1726.6682016265484
2010.32102,11301.599291342307,1726.9907382938704
2010.34185,10354.175824225802,1709.9271248495188
2010.36269,9706.83563380065,1725.5413036853265
2010.38352,4785.376549904524,1727.0711316019217
2010.40435,3867.794415036969,1728.7711663890923
2010.42519,5054.203850450923,1739.6885990321473
2010.44602,7613.958786264381,1765.534672901474
2010.46685,9255.470777768738,1793.5159330855731
2010.48768,3954.595637096347,1814.0338896158262
2010.50852,5618.980327603936,1833.600935686131
2010.52935,5583.047944452022,1851.0260513958483
2010.55018,3244.997198961957,1857.7129333941723
2010.57102,12352.711713529612,1867.8571558320934
2010.59185,11423.400184312517,1872.5980059435108
2010.61268,12130.404948065046,1882.3467917902974
2010.63352,4768.923968420702,1885.5596338070056
2010.65435,7315.694796217947,1891.399014047882
2010.67518,6012.401947716553,1882.8878141323642
2010.69601,1208.1463514632235,1875.666439741096
2010.71685,7477.022006469515,1881.4120456306368
2010.73768,3689.8955855405247,1889.9626393375834
2010.75851,2933.1879534681448,1879.8708705893362
2010.77934,9389.104794936029,1885.420792101889
2010.80018,6577.81718235178,1895.3961992977368
2010.82101,6077.819299172671,1903.2499082704426
2010.84184,918.8947616895609,1898.5535902710753
2010.86268,4321.310514635597,1901.1803425919359
2010.88351,3830.4970584217226,1871.3487517424983
2010.90434,-2136.004057089578,1883.4855720979556
2010.92517,180.1821707224586,1868.9996828318715
2010.94601,3566.34627193063,1869.3488745374157
2010.96684,-1868.5274925764588,1849.7163148791913
2010.98767,157.81827250906397,1879.802359647721
2011.00851,780.2430673873923,1846.451019172809
2011.02934,-5561.301822244972,1812.3438103248593
2011.05017,-8057.377978794143,1785.512249379738
2011.071,-6381.075809992611,1787.1632560243152
2011.09184,-6474.010688196771,1772.3216451035642
2011.11267,586.9064747297998,1786.9093373469543
2011.1335,-769.4855649736685,1803.7447237170504
2011.15434,-6438.67477843029,1780.9927752484148
2011.17517,3948.549439450471,1791.3282930811267
2011.196,-8596.079405665147,1773.9811085674967
2011.21684,-6787.012773413106,1786.117607777915
2011.23767,-2185.3623367827745,1775.8370057468414
2011.2585,-5575.525014869301,1775.366849410008
2011.27933,-2945.1612039504953,1764.910152849314
2011.30017,-3369.1101221149816,1761.1134691520297
2011.321,-6061.970042168444,1750.0494873229263
2011.34183,-7405.097293091772,1722.523717852221
2011.36266,-7416.043949933362,1737.732290503998
2011.3835,-7869.854539532586,1719.7314687880216
2011.40433,-10023.65431370668,1736.1820163532643
2011.42516,-8734.483175997346,1726.751806384988
2011.446,-8634.23636050097,1733.2996325815027
2011.46683,-5175.665507211791,1741.6929722677735
2011.48766,-6768.788327701766,1729.0015344302728
2011.50849,-15258.909353355113,1739.8664063353076
2011.52933,-12268.890717430491,1734.7703698109551
2011.55016,-8873.279706712026,1753.9354493410028
2011.57099,-12322.24950087228,1759.2190345680267
2011.59183,-14798.990692165864,1772.0075652555975
2011.61266,-13764.748340012846,1825.6134162805834
2011.63349,-11773.64888522797,1773.8708487708348
2011.65433,-13410.859460082364,1774.4666798661935
2011.67516,-16453.86488644547,1767.3861810986216
2011.69599,-10937.143026861082,1778.0003457766836
