relative_time,cts,e_cts
1842.51137,-2062.2157381120896,1043.5795708224766
1842.53221,-1792.3615621011318,1038.6944135895687
1842.55304,3145.542298197646,1041.0219197987271
1842.57387,1477.8888940193283,1036.5817300538129
1842.59471,2161.6828051875154,1034.405464843736
1842.61554,-3769.9893872514263,1032.3638677045158
1842.63637,-602.3356758345232,1038.909861656489
1842.65721,204.33253099745792,1027.8061039782342
1842.67804,1091.8702693982427,1025.6987362873806
1842.69887,-1867.4739294085537,1033.6800083629594
1842.71971,-757.0575110044113,1028.081694055127
1842.74054,-964.3483618060936,1035.296233677747
1842.76138,-641.6656318534089,1031.3548994956195
1842.78221,-1280.5948543691986,1028.911382788889
1842.80304,240.37250018312045,1030.995193990568
1842.82388,-4177.962138622014,1035.8872305521727
1842.84471,-1432.492829341213,1043.508275961435
1842.86554,4109.73389469525,1034.8882686395632
1842.88638,-2405.5289494336184,1042.0138981503867
1842.90721,-3125.446840983374,1043.7520752011671
1842.92805,-3880.2288576728665,1045.3156632281973
1842.94888,-3017.799730925927,1041.248520716717
1842.96971,-1340.0535176910576,1036.2265065356394
1842.99055,-73.29768378295057,1033.2997691040696
1843.01138,419.8458473081267,1034.509592864468
1843.03221,968.9388544598124,1031.4958215016554
1843.05305,1148.7995286369116,1040.4013209644536
1843.07388,-148.87461424192733,1035.955815374637
1843.09471,-754.729692098494,1040.1614825503348
1843.11555,-828.7020712550172,1037.6156097711726
1843.13638,-1121.8941614061087,1035.0406561934274
1843.15721,-1916.5528322813939,1035.3442847463732
1843.17805,3358.0873926400564,1030.3333191841123
1843.19888,2500.974110795359,1034.925062624867
1843.21972,-2771.606484807104,1029.1165118627634
1843.24055,-381.4721179781267,1033.4473619742964
1843.26138,-396.4827089627708,1036.8029108946473
1843.28222,-1122.6593303752722,1033.6800083629594
1843.30305,230.1079163736492,1041.3124150877966
1843.32388,1766.6675821145222,1039.5218092137648
1843.34472,618.7074358109002,1045.4863956585868
1843.36555,893.30376240367,1035.8307366710549
1843.38638,935.0761928067567,1045.878725858823
1843.40722,1412.3801738051989,1037.8030193620398
1843.42805,-47.22210951816218,1036.8994299609114
1843.44889,271.1991890034778,1045.2285250647017
1843.46972,3293.504671761447,1047.5605132607384
1843.49055,481.9273068118515,1046.4920284353875
1843.51139,-2187.2972559650975,1041.30345111404
1843.53222,1519.5741862589196,1038.881093554665
1843.55305,849.9073934990747,1039.007735742042
1843.57389,-1125.5624070854149,1036.8078098105375
1843.59472,-2140.5061468130284,1037.415171148682
1843.61555,-317.63872276622743,1034.664273527898
1843.63639,-1650.305613384987,1033.6191367272158
1843.65722,162.5515535496264,1037.9757322052362
1843.67806,258.3545442358651,1040.2677994483795
1843.69889,-1087.1685609305887,1037.6857580774315
1843.71972,901.1396304863345,1042.5586159044872
1843.74056,-1513.6795396558502,1041.7290314029783
1843.76139,-1710.3292155180259,1036.459986782326
1843.78222,-478.02453856332863,1040.4078875963917
1843.80306,-803.0216414612956,1040.2585227778638
1843.82389,2613.0030405360485,1042.4284298205087
1843.84472,-1004.0408376008617,1035.6208129135427
1843.86556,-4797.792364262071,1040.2461191397585
1843.88639,-827.132229292808,1039.2170341060362
1843.90723,-1633.3606802494444,1038.0013733394705
1843.92806,-296.2892473162918,1039.3851607301015
1843.94889,2112.2790103821208,1038.1833628531826
1843.96973,3273.2235769046088,1042.6096897084499
1843.99056,-1166.2181973622714,1041.6699317155358
1844.01139,-2621.336930323476,1042.8606809736382
1844.03223,-988.7012896257962,1045.402801391693
1844.05306,-904.4800657300023,1037.7203631854225
1844.0739,-601.6881850789794,1043.7254959766558
1844.09473,557.9362799594518,1041.0251509985696
1844.11556,-1841.6135947461798,1047.0007860622081
1844.1364,-414.0759667118808,1042.342438211796
1844.15723,-825.5181928553329,1045.6895443196552
1844.17806,-1066.2494604532285,1046.9356409040925
1844.1989,-3610.0777239731538,1045.640555160752
1844.21973,428.87204771988144,1046.2963844965345
1844.24056,-332.6655739823372,1042.5300562671694
1844.2614,395.81541407915984,1041.065697344981
1844.28223,739.6856425606416,1042.8503619805927
1844.30306,2004.8685075389503,1043.3412958921526
1844.3239,-782.7345011337843,1042.8526550901584
1844.34473,2781.657913659221,1040.285727395893
1844.36557,-598.4044521809352,1035.4393445610956
1844.3864,579.3765417017376,1035.674388291577
1844.40723,-1237.1465778026165,1035.6098685269792
1844.42807,-1294.221553730959,1035.3734697772088
1844.4489,-1751.8697291582207,1042.4001828799496
1844.46973,-1714.2634619069506,1044.5538296911288
1844.49057,-635.4587054203962,1044.3453651851585
1844.5114,-2886.3369060806626,1042.9962871347718
1844.53223,3133.380791616097,1042.139081086222
1844.55307,-1111.5355601044444,1048.1679788311358
1844.5739,733.4107566986827,1047.8602852203237
1844.59474,3592.1048523586724,1048.6251414927287
1844.61557,-181.60562632432342,1044.0509090704754
1844.6364,589.1316382586175,1051.5702238008241
1844.65724,-182.6397145061891,1034.5053193420956
1844.67807,856.8213273040855,1038.2173425676558
1844.6989,14.95440980028502,1037.238914408884
1844.71974,-1703.7329816201143,1040.3828718556751
1844.74057,1153.5208327681266,1041.4025759866288
1844.7614,-3214.3292270004113,1035.5662994452316
1844.78224,-1502.1877252997322,1043.253636567392
1844.80307,-884.0855661819166,1044.6813057365298
1844.82391,-328.58498551022177,1043.1195938900532
1844.84474,2395.0656989499576,1044.2668782986607
1844.86557,-292.1915647546866,1040.174303117452
1844.88641,2629.3409250302057,1033.702209832845
1844.90724,1329.231812489381,1037.8695195394444
1844.92807,1029.562417441034,1036.8712872526055
1844.94891,-304.2383116256981,1041.8388921976245
1844.96974,-235.73479031879933,1041.9190468001702
1844.99057,-1478.5334662717885,1036.4273620871418
1845.01141,1578.6827334430018,1039.2167214092774
1845.03224,708.5959757660027,1041.3478540538117
1845.05308,-757.6800902514914,1049.1025252114007
1845.07391,575.8546381056225,1039.3086542564104
1845.09474,1885.8701924346617,1048.0251806445463
1845.11558,246.66177009599122,1044.200586585762
1845.13641,-2880.30071207804,1046.0583180307165
1845.15724,-193.37751274421288,1042.454904812767
1845.17808,471.9220528478072,1040.201403503228
1845.19891,-1854.72142595258,1039.9347774000921
1845.21974,1684.9952537332272,1041.9729348749636
1845.24058,785.7166901239425,1039.4175769607796
1845.26141,-1862.0806399423436,1037.4012040267821
1845.28225,-1313.077168295972,1039.9438456061016
1845.30308,-1561.4419891734876,1042.0460016843062
1845.32391,1064.7557080356983,1036.7320329626173
1845.34475,2919.88186782662,1037.5262827303643
1845.36558,343.419007058309,1042.293657517399
1845.38641,-3011.0118139147753,1044.0157828012195
1845.40725,232.22476919952442,1040.953022279504
1845.42808,-3237.4260519393897,1044.0010860535485
1845.44891,-4914.308596726024,1042.8989342104837
1845.46975,-1668.1301625034714,1031.8049743640095
1845.49058,-1223.2459560800114,1036.965096280292
1845.51142,1705.1633608278291,1041.864741796365
1845.53225,3740.3542815471947,1036.0366996029534
1845.55308,310.589808193601,1042.4886760627342
1845.57392,-3558.5238262531825,1041.6504402842274
1845.59475,703.0449829010257,1036.9088108636802
1845.61558,-3085.144710740896,1035.2969633035177
1845.63642,334.97150411512774,1040.7151642781919
1845.65725,-805.9406657061447,1036.433407557815
1845.67809,920.2140285503634,1038.5165933659762
1845.69892,920.4401083070883,1040.6116616509776
1845.71975,-1161.0089820548326,1040.9847088844115
1845.74059,-629.2595964063576,1042.005768034654
1845.76142,-421.5502531089399,1041.928948864204
1845.78225,329.81586418572334,1043.7586418331052
1845.80309,-1283.5251356973702,1035.0600433924826
1845.82392,-217.16539752048328,1037.7296398559383
1845.84475,-656.2370923562265,1038.5087759470023
1845.86559,2629.4529747021647,1036.5038685608329
1845.88642,272.74161788315206,1035.5926702052368
1845.90725,-840.9087104021079,1035.0669227211797
1845.92809,-3730.6562000326976,1030.7908987747169
1845.94892,2154.4082277871757,1039.465315332647
1845.96976,3111.9070713206033,1041.781147529471
1845.99059,1721.151963042233,1042.3109600713944
1846.01142,359.1975812829477,1042.2395609780995
1846.03226,-2613.1394805552063,1047.711128866302
1846.05309,512.0618934723875,1046.4359514832818
1846.07392,-1245.383010433503,1041.7401842540478
1846.09476,-997.125027615297,1042.5572608851983
1846.11559,444.5802651737552,1039.0953950668027
1846.13643,186.1103358338355,1042.0638253995667
1846.15726,-1873.367950618105,1050.0075738640708
1846.17809,-1133.8433468883259,1048.6126336223706
1846.19893,-100.51574777270913,1049.6510995588615
1846.21976,-2690.0558996972954,1042.8771496696097
1846.24059,-1925.4359218097998,1041.3488963763416
1846.26143,-5106.204552226306,1038.074544381066
1846.28226,1403.8875382964752,1039.268629071264
1846.30309,2556.215224464681,1040.9170621522242
1846.32393,509.4695331083939,1040.4109103317282
1846.34476,-1747.1004781906324,1038.3455482388274
1846.36559,-1238.0298419144128,1040.1635671953945
1846.38643,-603.9232372797397,1038.4615587363999
1846.40726,233.1733869339423,1043.3918485348504
1846.4281,1712.927100191428,1039.6474090786119
1846.44893,-3391.0972259991877,1043.3260779832167
1846.46976,-160.49953318510785,1043.814823017464
1846.4906,-2348.2424862639696,1043.2098590211383
1846.51143,1288.8287854260134,1046.6525461049848
1846.53226,792.6402132962279,1036.0559825697558
1846.5531,-2392.2506984935876,1036.0718258722095
1846.57393,643.4587393015122,1036.8388710219272
1846.59476,-1252.1728036252082,1039.6918120183836
1846.6156,644.5405658552452,1036.8237573452443
1846.63643,2584.2695438201395,1039.0359826826011
1846.65727,427.5380833461776,1038.7598714444434
1846.6781,1293.7915956873953,1036.5222134373582
1846.69893,-484.8331977928244,1034.944554056175
1846.71977,-865.4765651274663,1032.2651597609388
1846.7406,789.2509973581627,1031.3849183844793
1846.76143,2348.195998679138,1032.987072345114
1846.78227,1430.9313259592425,1033.884928972328
1846.8031,-1965.5793063309818,1026.3820829379513
1846.82393,2475.087301140727,1028.215424035707
1846.84477,-4294.082809685889,1029.766295727873
1846.8656,-639.0543012193718,1026.7314694499573
1846.88644,-821.482320019748,1028.6617465429895
1846.90727,-855.3148585516911,1027.4820459037035
1846.9281,1627.120086798718,1027.654029121129
1846.94894,-2228.5318479427806,1027.245855618439
1846.96977,2826.5294816403148,1026.1413064335557
1846.9906,644.5757963567542,1026.3240255730384
1847.01144,337.38114533963835,1041.4480212489302
1847.03227,859.4932168771068,1026.6057653528574
1847.0531,-805.5571952474123,1033.7713158165743
1847.07394,-4984.501827086064,1035.3210409539574
1847.09477,-3820.9978375915266,1036.0180420296692
1847.11561,-161.0492540873515,1028.1402725813045
1847.13644,2675.910332180175,1037.1927395208118
1847.15727,636.0175987609025,1033.1937649027836
1847.17811,601.1819290262305,1029.548971480399
1847.19894,-408.5548885035106,1037.591115191721
1847.21977,949.4707711762586,1037.6518825952114
1847.24061,-1803.3624425456903,1034.9483064172825
1847.26144,-131.1939056325627,1031.527716571069
1847.28228,-904.8170486039035,1039.941969425548
1847.30311,1512.9509562074843,1038.9113209080308
1847.32394,-1167.8529760180907,1031.1315297774725
1847.34478,-639.3932645060795,1035.913914008937
1847.36561,-846.0907210915176,1032.5981818092264
1847.38644,1385.7431003935797,1031.2769337703867
1847.40728,-1557.4274839497648,1034.0427366033477
1847.42811,2497.3982148921978,1033.7370234053421
1847.44894,1031.4525651166666,1031.6063076898197
1847.46978,3862.9790451973427,1033.3758586487486
1847.49061,128.59570826240198,1029.5876416462563
1847.51144,-1872.3881674400445,1032.3889876774851
1847.53228,-57.58404625192165,1027.8800046456008
1847.55311,1803.456460037883,1029.3791771402862
1847.57395,-2519.561535773442,1027.6410000895057
1847.59478,1222.750852878332,1030.4035717226243
1847.61561,689.9375686236374,1031.0043664288305
1847.63645,-3501.7894813275952,1033.323221360991
1847.65728,710.4675701006039,1036.2587143018118
1847.67811,1505.7624746481106,1034.3269779572381
1847.69895,-2700.455776971142,1037.4967850027695
1847.71978,-5285.952551337928,1033.9567449946348
1847.74062,341.8513539734124,1035.6767856333956
1847.76145,-3279.3379450969705,1040.7959442742554
1847.78228,-964.521804275061,1039.8970453245113
1847.80312,-842.6574149104398,1039.401004032555
1847.82395,-234.35225371520434,1038.4671872780611
1847.84478,-46.38032984305409,1038.3428382002498
1847.86562,-507.5139275778866,1036.8790004393265
1847.88645,2013.9543287994125,1041.2080786025585
1847.90728,2426.818282873582,1040.0901876892929
1847.94895,-199.02804741079075,1039.240069433946
1847.96978,1354.3696091740621,1037.4689549912223
1847.99062,-1944.0423170579256,1038.8943310507943
1848.01145,1631.4769949734969,1029.26827402311
1848.03229,-2572.654839637751,1039.2444471885715
1848.05312,1778.8298183218412,1042.244564126243
1848.07395,1559.5815476899556,1041.1432461412019
1848.09479,3633.45378711788,1037.4511312759619
1848.11562,-2067.035437490123,1043.2800073273972
1848.13645,-856.1954126249096,1038.0417112213759
1848.15729,-573.9972193574271,1038.672003655177
1848.17812,1995.681997922104,1038.8571201364787
1848.19896,-1901.925815987735,1040.236946701496
1848.21979,994.4457375523139,1038.3582645736917
1848.24062,333.109707612307,1046.3408916685592
1848.26146,-1793.385122825446,1044.6684851694126
1848.28229,933.782462082705,1041.6771237409919
1848.30312,-1233.943207971624,1041.3090796557012
1848.32396,-413.96068584007924,1040.8067844285658
1848.34479,-649.6883883656755,1043.2804242564093
1848.36562,-44.76816958613283,1043.0875945883868
1848.38646,-210.8047285143177,1042.4385403490483
1848.40729,3620.950086049782,1033.2203441272948
1848.42812,-1859.333077753655,1040.727463684044
1848.44896,-1643.3695823423434,1033.3018537491291
1848.46979,-664.1373759712357,1036.7434985104458
1848.49063,382.1619270283824,1039.1553286122692
