relative_time,cts,e_cts
2061.85667,353.3700995555292,845.4444846646675
2061.86362,-2996.7990928963277,844.3821774174074
2061.87056,-1675.856255023785,846.6230512916889
2061.8775,-1590.9915855551828,845.1704365486845
2061.88445,-4185.623014596836,856.1168447251545
2061.89139,-1216.5857260360824,844.790853666971
2061.89834,-1696.6394160994348,845.9393001013947
2061.90528,-2236.0872736743704,850.4559598913773
2061.91223,-255.31791985289811,860.8743519642796
2061.91917,677.8402165885373,836.0338640357612
2061.92612,-1361.1227184312415,861.2246132948659
2061.93306,-1523.7365041421695,841.385560528858
2061.94,-3151.419618405017,858.0919991730726
2061.94695,-1643.9460787077178,843.5769186319751
2061.95389,-2372.3634609747105,845.2509852455554
2061.96084,-2095.7051564831063,846.5138655935225
2061.96778,-530.3006745396201,849.6232050210357
2061.97473,-464.78720199025463,856.7352214065152
2061.98167,-307.3215732891123,845.7774040661824
2061.98862,-1399.2463253869585,851.7757719670195
2061.99556,-1247.7497430355263,848.2978024551009
2062.0025,-1357.8488588608277,846.6465541692462
2062.00945,-2555.7523072549457,850.9467821207526
2062.01639,-2626.801734293791,848.8988372073902
2062.02334,-1210.0289936558027,851.315982663351
2062.03028,-1466.6572559783367,851.930252045721
2062.03723,-1797.1761694164552,840.6245692992131
2062.04417,-3781.146250067982,849.3115066643056
2062.05112,-1473.8345327811114,848.1517651576579
2062.05806,1265.6016617315602,851.5461054984626
2062.065,-726.8837624605628,852.3466865267111
2062.07195,-3225.9642427932145,845.9123744746787
2062.07889,-1678.914253213916,848.7351157059599
2062.08584,-3280.8099189476375,845.9898426973067
2062.09278,-2510.9811509746014,843.819819730613
2062.09973,-31.334926274107726,846.6254472161
2062.10667,-1636.6388515285469,850.2535613244523
2062.11362,-1935.7114852532575,846.5152346931859
2062.12056,-1341.6242292065367,848.1052157690979
2062.1275,-912.3519288547831,847.1584833517674
2062.13445,-551.0044278347851,847.1817580460473
2062.14139,-1184.51057321056,852.6424120540333
2062.14834,360.4473179912273,849.0708873984403
2062.15528,-2889.540402506295,843.8162828898154
2062.16223,-851.5500987058143,845.8985693864047
2062.16917,-1234.1516169940771,842.3055955027497
2062.17612,-1106.3639616992566,843.6874734298051
2062.18306,-228.72726618783489,837.5391891158115
2062.19,-2436.2964220541703,859.5028563763394
2062.19695,-3614.6008664899523,839.6246701782823
2062.20389,-2125.667446252887,857.5771036079469
2062.21084,-1294.1805903829836,833.9043436007803
2062.21778,-2995.536668914915,861.5683714020505
2062.22473,-3364.833618947917,864.0441599602656
2062.23167,1920.314019979015,843.2759448892759
2062.23862,-2032.6236613027227,839.1443443796609
2062.24556,-1131.2621799969206,838.8425719954913
2062.2525,-1948.8440033174677,867.1627408105078
2062.25945,-2328.744744336142,843.7142849648826
2062.26639,968.3791380188319,839.3389847151592
2062.27334,-3128.4263881975157,858.6169348023975
2062.28028,-817.0145596932914,855.2710834080095
2062.28723,-1401.3305514414046,857.3142364725495
2062.29417,-1398.7071283028056,841.0820767701092
2062.30112,481.86580755967185,859.782609074254
2062.30806,-2283.290521415335,838.1928201135081
2062.315,520.1243849238851,867.1867000546196
2062.32195,-3829.8223067719878,860.2042917706209
2062.32889,-1068.909616295728,860.757293943048
2062.33584,-1029.0504473332107,866.4481848777841
2062.34278,-100.81970058081666,854.0925167809881
2062.34973,-2182.746352141804,840.1642095373514
2062.35667,-2898.673666361697,854.5022198552992
2062.36362,544.5032580825169,841.9231603300705
2062.37056,-1404.6587186318054,848.2181664913389
2062.37751,-1837.7984973497519,843.7628880029379
2062.38445,-486.5460747594463,842.979192537206
2062.39139,-89.31515610818114,845.1991876416187
2062.39834,2878.354630071984,845.5266306444793
2062.40528,-598.7550872578846,846.5654350141821
2062.41223,-1675.7960146385894,857.8310715955317
2062.41917,-1949.8306678083175,839.2453154798461
2062.42612,478.3998176698092,842.3888823989478
2062.43306,-686.6625807286806,842.7126744693722
2062.44001,-3710.3721261531437,839.8819468233871
2062.44695,-1680.4176387361094,842.3847750999571
2062.45389,-2496.6138191055265,841.8306320111436
2062.46084,89.28731774835603,837.9859719726766
2062.46778,-1536.4958284564295,842.8060014297696
2062.47473,-1278.3801534411095,842.225274989156
2062.48167,-812.7503846995913,840.025017738226
2062.48862,-2514.6724718507535,842.6437631196413
2062.49556,-3972.2231614171264,842.4700015540118
2062.50251,-2893.162241574522,858.4955412988978
2062.50945,-634.7524824361409,842.4245930818381
2062.51639,-996.7406080070315,837.9707977847391
2062.52334,-2213.8760275580207,846.2440388681686
2062.53028,-1105.541931442946,845.3334735002829
2062.53723,-693.9010106497592,837.283053387093
2062.54417,-2283.39651254762,836.0289580953003
2062.55112,-622.5938505992544,837.1989678494245
2062.55806,-937.982273197519,849.9173332654173
2062.56501,5.086205250010779,852.3446328772159
2062.57195,599.5531582700835,852.1157650501292
2062.57889,295.19876622675474,850.6524256930938
2062.58584,118.4410400751845,845.2587434769821
2062.59278,-995.3757297341315,834.2081696344452
2062.59973,1507.2690874808795,851.1303555673042
2062.60667,-2848.841861358395,834.9696172306445
2062.61362,-721.9447354243814,845.3614259517467
2062.62056,863.7780982589865,847.4872954542917
2062.62751,-3138.9715360809337,844.1747588183829
2062.63445,-654.8694624338451,849.4289069604532
2062.64139,-1038.9481251674174,843.4271163104573
2062.64834,-1713.006318027094,842.4847193753947
2062.65528,-1897.6410450011406,846.3005142292891
2062.66223,-659.2865202233061,847.9861040983708
2062.66917,-2601.7167479836944,859.5644658611982
2062.67612,-3257.090381368634,842.8083973541808
2062.68306,-2003.175468456597,847.8707574517184
2062.69001,-911.648439811006,848.0308280207128
2062.69695,-5115.28595368892,844.0061313764916
2062.70389,649.3580376466699,845.6205280630696
2062.71084,-3630.3523581188556,854.1578912899215
2062.71778,596.2811241658875,852.9867406194111
2062.72473,-2370.7354873831355,845.0556603602253
2062.73167,-1937.3225732823155,849.2825273880943
2062.73862,1136.5887763295193,848.9727685892208
2062.74556,-370.1294767200668,845.2989037337788
2062.75251,-3798.9286869560915,849.4633626353187
2062.75945,-2198.7045778199,865.9470944009325
2062.76639,-685.1675238961068,854.4723278459788
2062.77334,-3675.1583123489804,844.0734454432817
2062.78028,-480.76562188838756,847.9069245011634
2062.78723,-326.12045258575387,850.1851063412759
2062.79417,-1768.9235428515065,852.2090920105265
2062.80112,-3445.179346793765,877.614561733528
2062.80806,-873.5774291006963,854.7233294509591
2062.81501,-1924.5611953185598,857.3810941727851
2062.82195,-1319.820974789919,855.4804415648908
2062.82889,-761.1542665965543,853.9463653919064
2062.83584,-1336.2435534372285,857.283774005036
2062.84278,-1153.948389604876,852.9109837713625
2062.84973,304.94869538893903,854.3915509658306
2062.85667,-1659.1044079073968,859.5681167936343
2062.86362,270.87648252088206,853.6605658371446
2062.87056,-3581.381830895551,848.9510911778816
2062.87751,1386.2707974174996,847.6655065938278
2062.88445,-775.0964930201035,847.4786244897559
