relative_time,cts,e_cts
2061.84999,-39015.49819578312,997.5298983917786
2061.85694,-41833.14706165811,1001.4940652987997
2061.86388,-39894.52282881749,1000.506522346423
2061.87083,-38968.97982451208,1003.91877147925
2061.87777,-39696.33369895747,1001.1958364351025
2061.88472,-39084.04840485212,1001.8630471554858
2061.89166,-40441.034163555196,1000.4010037540534
2061.89861,-40465.03320113153,1000.5697224296423
2061.90555,-37084.41809800812,994.3996615810846
2061.9125,-39793.15878111002,989.7051949426635
2061.91944,-41501.56477056274,1002.8975736495175
2061.92638,-36211.92673192446,1005.0504861504643
2061.93333,-39512.132557990764,1000.7712074049668
2061.94027,-41343.15515037623,1000.0040317023388
2061.94722,-39212.1358691187,997.3810616404363
2061.95416,-42704.27079571245,1006.6089402236616
2061.96111,-42978.31635304934,996.9294420650945
2061.96805,-41659.388818097716,1000.3028159270485
2061.975,-40441.85787500889,1002.0854137048793
2061.98194,-40478.9654317792,996.1743732325383
2061.98889,-40322.000972019334,1002.0295443870248
2061.99583,-40833.58187622782,1000.2172903311279
2062.00277,-41324.52823094574,999.5659629357014
2062.00972,-42200.631109693495,1000.7220024192619
2062.01666,-40559.4855588944,999.4725512134038
2062.02361,-39198.94948831078,997.4781387454162
2062.03055,-39217.35259725325,1001.9007006321314
2062.0375,-41059.529504502,1001.3838816739254
2062.04444,-41317.333417956965,1002.1971523405886
2062.05139,-39378.16193237466,998.0969219855119
2062.05833,-39901.550700285916,1001.2018343340372
2062.06527,-40541.80430819593,1001.5527114217167
2062.07222,-39383.28080589881,994.4839653827778
2062.07916,-41155.62062154047,999.8798529799502
2062.08611,-41547.17690373363,1001.683998765065
2062.09305,-42615.58841672476,1000.116658915668
2062.1,-39176.66007407524,1001.0888739041006
2062.10694,-40160.262628996265,998.9771691902791
2062.11389,-40331.69813065809,1002.8509233244699
2062.12083,-42011.16514632856,999.7400130770098
2062.12778,-38665.670518272826,997.863003927059
2062.13472,-43721.552441729385,998.000289169342
2062.14166,-39966.11375050197,1002.121734315095
2062.14861,-41867.558896073875,1003.9990766816534
2062.15555,-38140.95321574754,1002.3204424853573
2062.1625,-42509.76259864309,1000.2098484935607
2062.16944,-41770.149463064,1002.2404704995613
2062.17639,-38962.85241538929,998.0310561694329
2062.18333,-39234.166151905825,997.6228658252663
2062.19028,-43379.85691552471,1000.1593106414259
2062.19722,-44264.14259450243,998.5358793297694
2062.20417,-44868.74880081614,993.7866540955187
2062.21111,-43898.09448790089,996.6784188874574
2062.21806,-40843.97101468813,994.7083312318163
2062.225,-44163.32779883629,1003.461487221581
2062.23194,-39711.39886607058,995.6687725667844
2062.23889,-43405.75950850739,1003.1882496034451
2062.24583,-38520.75239423449,1001.9373544589544
