relative_time,cts,e_cts
2088.24531,-599.5612000019106,780.8386182748808
2088.25225,355.157908351944,775.369572230087
2088.25919,775.3937400694783,781.5777775186056
2088.26614,633.9729599921784,774.7293860429176
2088.27308,-865.6856250172942,776.0314153122955
2088.28003,2451.614503726241,772.8364478692853
2088.28697,2863.051254074351,772.8201267309948
2088.29392,-692.1759177210183,779.5388907044926
2088.30086,1273.6186663897354,784.5894460238937
2088.30781,842.8218027261925,786.8818335949132
2088.31475,-660.8809720307935,787.4460637154239
2088.3217,-2787.482919072662,785.4791573060784
2088.32864,80.15018070865051,788.1710988971668
2088.33559,-628.5913785089917,773.0429730422666
2088.34253,1654.3054505947632,779.8451212927986
2088.34948,113.51069199673212,790.4396324968388
2088.35642,-626.1102516208201,778.8656437500171
2088.36337,-185.85905473456893,785.2231456048195
2088.37031,-870.3190497061604,784.2910621366888
2088.37725,-195.8599368446397,777.3914055471402
2088.3842,315.85409640451735,777.9161929167825
2088.39114,1217.8292492969163,777.3770722397954
2088.39809,495.2961189785968,782.665748781945
2088.40503,1426.1819712759773,771.2979713400605
2088.41198,-1011.3688377553997,787.3118328152542
2088.41892,3206.5679012953665,771.0731371978433
2088.42587,1220.6719521718273,765.8646016296065
2088.43281,-1579.3730122503082,772.1031474957159
2088.43976,215.64011022568582,773.9485869720162
2088.4467,1100.4862284824012,773.6869256459645
2088.45365,51.16132816070183,765.2105006258178
2088.46059,-323.1455649357149,775.3073217346847
2088.46754,-19.77441913357204,734.8709692616643
2088.47448,-652.2235497719146,774.415204130829
2088.48142,1477.9655951453383,774.3119415443384
2088.48837,133.34192124627623,740.1396628716764
2088.49531,1473.2352898535437,787.780542427694
2088.50226,-1056.5157218334398,781.95295445392
2088.5092,-789.043547436929,764.9854572382379
2088.51615,-40.323673845208475,782.2602312690395
2088.52309,1351.5502185177172,781.642852826404
2088.53004,-163.498258295389,779.017346637972
2088.53698,-750.4762791661934,783.0900983774932
2088.54393,200.87240950803013,781.3038753388361
2088.55087,1256.455106269207,786.1483239759814
2088.55781,-253.2517549249873,775.6178418529262
2088.56476,-1352.5746838134783,755.2686257080273
2088.5717,1044.4935295197224,778.9197336762741
2088.57865,783.1733780318461,774.435605553692
2088.58559,403.4233853156101,749.1841890515436
