relative_time,cts,e_cts
2115.89009,-2475.4127426828804,644.3153900225948
2115.89703,-1636.262173997402,644.0275388885899
2115.90398,-1239.4440767197743,645.4889133223803
2115.91092,-280.90543257584085,644.8142910275299
2115.91787,-3191.953781329803,644.9998428791189
2115.92481,-2123.650771999128,644.9604182307404
2115.93176,-815.6055542637439,646.397318662031
2115.9387,-738.4915564455365,647.759875470665
2115.94565,-1020.5546400601273,648.5894315135588
2115.95259,-1316.6575065732427,646.1030162219278
2115.95954,224.2579473502711,647.3431006163783
2115.96648,-752.4749160161218,651.0450238982756
2115.97343,-2606.7686053637813,644.8456259428644
2115.98037,-1461.6449790398456,646.3107892389665
2115.98732,-316.5421402577821,645.2173440561472
2115.99426,909.7671796475435,647.7915175910518
2116.00121,-746.9674462401739,645.488606117328
2116.00815,400.5560659523284,645.4750890950269
2116.0151,1356.2584906517452,645.9792125858509
2116.02204,736.540292355012,647.9740997938021
2116.02898,-1198.2291396981723,646.559113322909
2116.03593,-1760.9086783360742,645.4052511464706
2116.04287,237.38103037273257,644.8817737373516
2116.04982,-3391.3787058757302,648.5614758537995
2116.05676,-261.84417829410717,646.0345094952648
2116.06371,-1327.431187757399,643.4388316066992
2116.07065,1201.8255892454467,645.7017040219399
2116.0776,-2681.249958285463,643.6928901849512
2116.08454,-1690.4747519784432,646.8879251305539
2116.09149,-475.37667565343304,643.9215531455465
2116.09843,-1426.6910857874832,644.818591898262
2116.10538,-827.4504594652698,643.5088743586235
2116.11232,-2044.2156352074273,645.2861579878623
2116.11926,-636.3498702215117,645.431261174232
2116.12621,-1693.8231846468273,645.7691867317619
2116.13315,212.97799223992465,644.9666647334705
2116.1401,-2201.8642566995163,646.8304777857738
2116.14704,-192.4661157012309,646.0169988072837
2116.15399,539.1559261681442,646.219037330013
2116.16093,-607.0238711255985,646.3832896313093
2116.16788,-499.98697479485935,646.8924308046543
2116.17482,-81.55034597846961,647.3681890289827
2116.18177,106.05793623074355,645.7130706088751
2116.18871,106.34394413443471,649.5072578081466
2116.19566,-490.3845640734384,649.1273475601358
2116.2026,-2300.7768082171333,648.5575845898036
2116.20955,641.7669193103992,647.9363135723693
2116.21649,-3795.6521577642557,647.4886134094842
2116.22343,-688.3849787918515,650.8968486613829
2116.23038,-2563.9090972955337,648.3854473588316
2116.23732,1993.0959976929412,645.8431207476821
2116.24427,183.54692901612484,648.9140448521556
2116.25121,-1778.2811240436315,646.8402059457633
2116.25816,814.5979216922003,649.8151796722352
2116.2651,523.7928063059961,648.13589445468
2116.27205,-60.507516707717606,650.206354105497
2116.27899,-1689.979025425715,649.537261501588
2116.28594,-1089.0321822430285,647.3699298576123
2116.29288,-130.3563198424013,650.7908629183396
2116.29983,-497.36037159769535,650.6200569092608
2116.30677,-570.0408885027952,651.9498451789829
2116.31372,-1371.0768335544817,650.1565868870244
2116.32066,-1997.9339652582432,650.4525277540733
2116.32761,91.93561757483474,651.5277454371229
2116.33455,218.57803313829888,652.1891579147244
2116.34149,-2308.2213082495164,651.0362173534431
2116.34844,1729.7417017634118,653.0350982270742
2116.35538,286.1299664986206,649.8177397143377
2116.36233,228.6216927165065,649.1841804948112
2116.36927,-1495.4190000880087,649.3094177544655
2116.37622,-1376.2353183910168,651.434662306276
2116.38316,-309.75751667773955,650.0740511296399
2116.39011,-1110.5678708193536,650.4603102820649
2116.39705,-1340.4521763008129,651.3579634448852
2116.404,-1107.7881771044604,651.1746644303462
2116.41094,-927.1918502139918,650.8937766108601
2116.41789,-1242.4801842516536,651.024953168192
2116.42483,378.417641063391,651.5864216021121
2116.43177,-212.34340900355727,650.2602173913336
2116.43872,915.2209909410229,652.6925645937598
2116.44566,-1284.5722940992562,651.2377438677518
2116.45261,-90.37778075462212,650.7123208266348
2116.45955,-1442.0657770399341,652.2322690237305
2116.4665,-2165.6640325499734,650.9926966377005
2116.47344,-1314.1598270963607,650.9852213147612
2116.48039,-529.0244059449789,650.627429830516
2116.48733,-852.7501267440567,652.4907308743988
2116.49428,-1317.8959525407474,654.0373035093604
2116.50122,140.5619788848551,652.1267952891076
2116.50817,-421.0136695984491,653.8008580207736
2116.51511,-517.0108451697404,652.884260546395
2116.52206,1236.5376097199653,652.0399586609908
2116.529,-473.37789718148605,651.861882132341
2116.53594,-80.73625258987495,653.4399944860054
2116.54289,-1990.9506824110467,651.6840104070594
2116.54983,-136.43590782741563,651.8941386628325
2116.55678,-1814.5454516474208,650.8924453889667
2116.56372,-3644.297041375265,651.2925287687452
2116.57067,656.0196977118514,651.6511394664633
2116.57761,-1533.6186171196034,651.9197390838575
2116.58456,-1073.252389928278,651.8513347588787
2116.5915,-1572.0159718031948,649.9653005411258
2116.59845,-529.1244523903445,651.784056852425
2116.60539,-999.0459855284048,650.4861155064582
2116.61234,-305.4925889366606,649.0268915080337
