relative_time,cts,e_cts
2115.89139,671.9860092392627,820.8422305855198
2115.89833,-1830.1309774106728,820.7763135873782
2115.90528,-1030.38806417934,774.4043351750084
2115.91222,-1034.6942915133475,821.6185396910216
2115.91916,-1154.504103657816,815.4761880759778
2115.92611,-186.24721868858128,815.148492425981
2115.93305,3262.7379515574908,820.7286602161103
2115.94,-2014.0599750467782,813.1695129945136
2115.94694,-685.8633217254051,821.7370433389547
2115.95389,-1625.0075656045908,807.975715379797
2115.96083,-306.9196198310234,771.9918570137246
2115.96778,-3368.733324276146,810.0820153825155
2115.97472,353.00798720998785,813.3741915715457
2115.98166,-107.15679243909581,813.9825592805083
2115.98861,1180.1270274911556,807.3037398668951
2115.99555,-404.6626672138671,808.6223947198453
2116.0025,-1156.781808848377,808.8431326929212
2116.00944,-2709.58622487555,806.5736146454414
2116.01639,-750.6082988458953,814.2733078232667
2116.02333,-2502.8841639420007,818.7937654012344
2116.03028,-2298.1584583555973,802.2177396360819
2116.03722,-457.5056375616331,811.7048540899472
2116.04417,1870.9298205788932,807.8097682873417
2116.05111,1717.9686916477299,802.2912139970678
2116.05805,-121.7859575648691,798.2427767067476
2116.065,559.8286567548429,824.6914473941954
2116.07194,185.42682496648789,805.4790565934978
2116.07889,-1153.7134145702355,810.5758680517132
2116.08583,-1331.5434104642782,798.8865170723565
2116.09278,-1843.4624803580634,807.4963476560507
2116.09972,-1683.3757029351193,801.9945875054307
2116.10667,-182.80400020603884,803.2817533465297
2116.11361,-1374.122957252677,810.6995149049151
2116.12055,-1684.7954375161119,820.8816968137064
2116.1275,-742.9028326825642,805.4841997987669
2116.13444,961.7545089853601,806.9204136292946
2116.14139,-711.3062333743295,815.3107658003868
2116.14833,822.3931693825581,823.8286484694759
2116.15528,-577.8482437866218,807.1321247523067
2116.16222,-4344.284428913937,802.080552507784
2116.16917,-545.0059391695585,824.1533001816605
2116.17611,-1958.2136877120292,798.3369288521824
2116.18306,-1503.9135265934626,800.6059220827981
2116.19,-3819.2981538455647,804.5176970616845
2116.19694,-5028.23857185081,814.396744749723
2116.20389,-933.4114593449516,801.3061327429932
2116.21083,-1889.2222074166755,822.1465054563914
2116.21778,-122.50579637578471,804.0216401616573
2116.22472,-2717.8308878851444,807.2829571190733
2116.23167,-1078.8422010186757,797.8206140211976
2116.23861,-2326.5869481814957,814.9770872381382
2116.24556,-577.30799730663,814.3404843818822
2116.2525,-1480.3986871401798,811.8719557795035
2116.25945,2236.5493669619827,798.1573365212585
2116.26639,-3722.2458704193614,802.2439804792912
2116.27333,-346.1853679755879,798.89071560727
2116.28028,-1058.4921122197989,812.4145114536976
2116.28722,929.0198967888276,815.7300944748703
2116.29417,-753.1259503067619,814.2227154775593
2116.30111,-5016.1054357311,797.9511884570067
2116.30806,-1231.637277894011,799.3909710422108
2116.315,-1378.6314490061416,795.6774718746133
2116.32195,311.4893052308517,799.6127586490152
2116.32889,-546.9261391122371,797.5350086837083
2116.33583,-2265.394876268162,807.2172500476773
2116.34278,-501.89097421631845,800.6087560938647
2116.34972,1772.2878668710744,805.3879483858755
2116.35667,-2566.032858088387,816.0584199051042
2116.36361,1204.9484510095126,804.3816645304879
2116.37056,-91.36169416785006,795.1693441867097
2116.3775,-2575.447547814995,795.0323669851575
2116.38445,-711.9059940867196,797.2741747022086
2116.39139,-749.6151354121124,807.281277705108
2116.39833,742.8721833776957,806.5573453226517
2116.40528,-4016.927915574701,795.2552042256904
2116.41222,-1295.135290145199,806.522917336361
2116.41917,-406.73097047561856,809.7243002078873
2116.42611,-684.6355651533315,797.7986766762746
2116.43306,194.79774496662267,807.2036048092085
2116.44,1209.7630159581693,809.2423083998201
2116.44695,219.23185363921135,799.6558985952512
2116.45389,-1100.2696338763508,797.8311103584812
2116.46084,-175.94149488996084,794.5478560561423
2116.46778,-1002.7808077825183,802.6106175406105
2116.47472,-1117.2073634242993,785.7136137813227
2116.48167,-2578.066279003903,788.3064190171403
2116.48861,948.5268148137055,809.604117145989
2116.49556,-2839.0184492614703,798.740722947486
2116.5025,2850.2970785629163,799.244022320239
