relative_time,cts,e_cts
2115.89132,3166.3026020361344,787.9977988921329
2115.89827,473.9705873753473,782.0055529999422
2115.90521,-556.5321065045476,784.0592001225001
2115.91216,612.6726655377621,783.4493909272989
2115.9191,-1207.8202174094647,784.3250361644193
2115.92605,-32.221260475480975,787.8732678708984
2115.93299,987.6884404225224,782.1720190198022
2115.93993,973.9606205054113,787.8084013287208
2115.94688,-149.13359485845984,786.383460691884
2115.95382,-2186.8338460024106,786.2221967351446
2115.96077,-874.5415504224471,778.4223931553674
2115.96771,1345.534222072621,791.0287968940472
2115.97466,1754.0813280228322,789.006149821106
2115.9816,-559.7746904615517,788.9159099506462
2115.98855,2401.610470582608,784.249659331447
2115.99549,360.10623732283983,788.8548653323941
2116.00244,766.1079419387636,786.4974814223237
2116.00938,757.8173396282384,786.0958609165008
2116.01632,1068.6413542373618,782.6754513324142
2116.02327,1998.5979351345268,789.7905997067853
2116.03021,-228.89789033251347,788.2894329205483
2116.03716,-257.5930013286396,784.7651944031561
2116.0441,-293.8850354428386,783.5451513545397
2116.05105,220.0337871040782,783.4244422572305
2116.05799,52.420128420987325,782.783739176966
2116.06494,-152.9806797829911,788.1754121901085
2116.07188,-580.2570177648553,792.0557266198797
2116.07882,540.2209845075562,785.3720309908599
2116.08577,-400.62648710857087,787.7935382912333
2116.09271,-435.03473738578333,787.1030440353857
2116.09966,-1490.752043540447,784.6491565462002
2116.1066,1081.2612408743337,789.1111465644998
2116.11355,-865.0994873648552,779.2114081168464
2116.12049,-1343.221958097781,782.333176811988
2116.12744,-2844.3819498034,784.0114260734331
2116.13438,738.1632020066488,789.2742153186483
2116.14133,23.86292517983443,777.2675351425889
2116.14827,525.8538416493756,786.1125287513976
2116.15521,1373.4571982712719,781.3168635415037
2116.16216,-356.52796104772534,787.0067527853774
2116.1691,771.6076904673507,781.8260287400038
2116.17605,-489.14744728293596,783.6146891370705
2116.18299,864.9181583075077,786.0673026516142
2116.18994,-1584.815430393899,789.9880657762619
2116.19688,-142.5481014414111,786.6316734179251
2116.20383,-635.3910306665058,782.8150577202432
2116.21077,68.03374930160125,790.2959429813602
2116.21771,-1146.1033652046024,787.999816018649
2116.22466,1331.899296139807,788.3189466664163
2116.2316,541.726291711379,793.6933148573412
2116.23855,664.735125578068,790.5521180489126
2116.24549,2138.280442948348,790.2858573487794
2116.25244,-557.5661492554634,794.2479184847317
2116.25938,1167.5989270063392,791.183797142131
2116.26633,1110.403835463387,790.3845903835177
2116.27327,-96.58405184677785,781.0981645613305
2116.28022,-3686.5539278691513,786.1118917640767
2116.28716,350.8221471208293,787.1600544006056
2116.2941,314.18284875219024,790.6339709196473
2116.30105,918.0224111111338,786.2192241276471
2116.30799,-1583.2561915969072,783.2747502368208
2116.31494,1384.2992532956325,793.7548902983608
2116.32188,-2133.2425102274083,790.5209056701888
2116.32883,-312.01995830409925,794.6757616352646
2116.33577,-2071.515041567198,793.2474237327162
2116.34272,1638.6689926160018,791.1273175996786
2116.34966,-1749.6581942311068,796.5006241450686
2116.3566,-509.3503494814746,788.0794394337606
2116.36355,2278.099478377949,786.7695811728984
2116.37049,-289.2585965311952,793.9382364822244
2116.37744,1178.6869653011179,794.6835116476689
2116.38438,-1296.4058317969002,797.2856048535153
2116.39133,-1457.3741202547783,794.3576926330321
2116.39827,-621.6457997626235,793.8322842578493
2116.40522,571.5410140885276,793.3659033744024
2116.41216,-773.5060188481643,796.456247361713
2116.41911,3104.613989602498,800.5858361630603
2116.42605,1375.8065136752778,791.4807393982205
2116.43299,164.7515684857666,801.2725084949825
2116.43994,1573.9417383326008,798.4489560305723
2116.44688,-354.6643484759004,796.6223948879125
2116.45383,1536.7996446386705,795.8353970529497
2116.46077,1687.4469337006783,793.3798109309085
2116.46772,1266.9436819018658,791.6249108618492
2116.47466,-971.4426096259226,794.2213773463612
2116.48161,1032.5316046614917,788.6872315024457
2116.48855,-268.90048175546576,791.5063250556096
2116.49549,2381.431349244049,799.2658922696171
2116.50244,1276.6434063307588,795.0932006595563
2116.50938,1070.3951926608863,798.3561682108289
2116.51633,1406.447408607624,798.5124424335546
2116.52327,-1731.0809898400398,796.1423187770665
2116.53022,206.0067954752543,802.3955171417163
2116.53716,1308.1405183869385,803.6835055045613
2116.54411,-28.798621435771203,796.1463530300988
2116.55105,-2459.617720959698,798.1043458899694
2116.558,247.28644031204288,794.3332747857314
2116.56494,-203.3360138033048,797.4812661255829
2116.57188,-1961.3413960519426,801.7953689208819
2116.57883,452.4937105350234,798.8377306254238
2116.58577,601.5577676109525,797.868660581239
