relative_time,cts,e_cts
2144.5298,1070.315588347565,682.3418119344557
2144.53675,-1023.9237869652053,720.2369940283646
2144.54369,1218.141268282917,714.0045867030842
2144.55063,2075.456764534489,705.5481695030917
2144.55758,-1542.742466300573,702.4119731576468
2144.56452,-1305.4349562024538,709.5965523192698
2144.57147,-377.50627953738217,678.8639520178273
2144.57841,-1089.7801175696957,669.9661787361889
2144.58536,-1318.0821431303068,661.06569641894
2144.5923,-1374.5839570492458,664.491867936122
2144.59925,-178.89886019373353,669.9341037545619
2144.60619,89.10429896010211,672.7071809667891
2144.61314,1046.1229250938954,648.7505288954974
2144.62008,-40.07281327897098,674.4496326713968
2144.62703,1252.9566019720771,671.3200463728411
2144.63397,-380.20426228248925,650.8835151737
2144.64091,-1446.0000956176673,677.7884648804995
2144.64786,709.7094649235111,672.3853475362739
2144.6548,107.85830232233761,663.9373825273859
2144.66175,2118.633482454429,670.498775137193
2144.67564,-103.13331077210671,679.4824790283933
2144.68258,256.86642212091584,742.7267574973383
2144.68953,-477.8268528159253,673.6036550309818
2144.69647,-305.93984367329597,691.8706821518923
2144.70342,-62.223405489522854,708.2803944583142
2144.71036,282.1970970538012,669.2112246922834
2144.71731,-321.71444967121624,617.0083252027721
2144.72425,-1680.437978474404,662.9757832471191
2144.73119,577.2741413751007,667.041828975477
2144.73814,-1205.9240594871462,671.1848113151701
2144.74508,-1950.7311396104212,701.1401351192773
2144.75203,-439.0090815545393,629.2002857866539
2144.75897,1830.9204638135852,701.1853218332587
2144.76592,2122.532651589186,674.727688086448
2144.77286,-662.2488948121372,635.2853215747288
2144.77981,-168.81366242334562,639.1647689302423
2144.78675,-154.93581479840125,674.6356892371189
2144.7937,-1537.3533275800967,669.5130112592816
2144.80064,-1010.5698668273117,670.7854994661976
2144.80759,1159.57701137307,637.3641271407233
2144.81453,450.61838275933684,666.1337602388717
2144.82147,1429.9408241578062,679.1620542963955
2144.82842,351.80229949738407,651.6041186460657
2144.83536,-829.258556241807,660.4556215994785
2144.84231,-3001.7907944778563,651.7547410260038
2144.84925,840.2084781790338,644.2581893234874
2144.8562,2761.933865147504,661.7362369132258
2144.86314,-281.38016027512964,663.7283533396876
2144.87009,-636.0680161432847,674.6946378520012
2144.87703,-908.6347083249716,608.3155717361284
2144.88397,708.280827904012,653.3190465488718
2144.89092,-818.1793591252521,678.2617875823482
2144.89786,-630.3793664457233,679.3331569855483
2144.90481,2271.4731538589294,683.5683548974192
2144.91175,-576.9885006603404,648.0953757234789
2144.9187,-57.61761150614945,648.5722743523331
2144.92564,1782.269326732154,649.9305848073865
2144.93259,-260.83700143436323,666.6847780820266
2144.93953,460.53789591179276,651.5794122412989
2144.94648,-2593.7502160457125,664.619517694084
2144.95342,-1788.408434871012,652.5788296586867
2144.96037,-114.06253567727,657.3879096742644
2144.96731,-1119.6145100241547,646.9971326870237
2144.97425,198.3941640603982,645.4616513030504
2144.9812,-2082.226536163448,629.3937109292362
2144.98814,-143.88435820649678,629.4786662859783
2144.99509,-865.8940367768812,642.328489077489
2145.00203,-990.9909079409979,678.9525916629996
2145.00898,-15.183711150580418,654.2636330855051
2145.01592,1418.2905623345794,692.7555615436725
2145.02287,-281.53912648474784,656.6440084956492
2145.02981,-828.1191358640739,651.6278497980129
2145.03676,-11.181490301203532,649.4552032384739
2145.0437,996.7974548683239,665.5261777321717
2145.05065,2109.2487329314654,653.9343227167052
2145.05759,48.05233185010906,647.130092154782
2145.06453,1254.9196775367957,650.6097942156254
2145.07148,-1934.3152507028074,648.6089005137858
2145.07842,-514.8223100029091,647.8110353458114
2145.08537,1699.234567876435,586.7359358708239
2145.09231,-743.7225989877205,652.687841251649
2145.09926,-558.4512201469367,677.4699906541412
2145.1062,961.3606684101385,682.3925250810822
2145.11315,-1169.4435357889865,657.6111342085611
2145.12009,-2454.469051148403,611.2826158980603
2145.12704,-349.80584861394544,668.2074728179189
2145.13398,-909.8039280944191,607.8087653541354
2145.14093,115.18570184134084,582.8919227010942
2145.14787,557.8008348775925,592.0030596274077
2145.15481,2268.210283008342,604.4706916750035
2145.16176,-1318.7820495706092,605.4662080811123
2145.1687,632.6264573038358,599.1968495101061
2145.17565,701.5098642993843,608.9945644215185
2145.18259,2565.345219140723,606.1841025178677
2145.18954,-833.7936985764612,637.5861596993516
2145.19648,-1249.3286614826327,634.6665778413139
2145.20343,-324.35250854862136,606.2224624621109
2145.21037,-1562.78456191484,694.8060847778947
2145.21732,1405.0399106341545,652.8611111692901
2145.22426,-1644.881994449361,629.9673763100941
2145.2312,-54.496802482971496,606.6227495639033
2145.23815,792.460533570109,595.5258895351686
2145.25204,-830.5662619116581,611.9764540985952
2145.25898,-2390.97673337897,639.3632870597723
2145.26593,1175.9693858515857,633.9106485445885
2145.27287,-204.3706217012084,637.4827829004588
2145.27982,-2198.9048082646937,604.5659413670651
2145.28676,-0.42087577243134733,684.3745638950735
2145.29371,-1438.7933023640385,636.5398217851916
2145.30065,-636.1213299640974,640.1705796716708
2145.30759,12.307907308006838,634.8980378438663
2145.31454,-262.6467455835332,670.4700593597229
2145.32148,-3813.2462188566774,668.9567920677547
2145.32843,2651.8172023789148,658.4253619516222
2145.33537,596.1885196454718,636.0029992886352
2145.34232,1440.7441330877982,637.0771860888701
2145.34926,885.7950458165591,637.0250642437261
2145.35621,-172.22867271381273,633.4358087827982
2145.36315,-1241.0625269439147,649.1054125604595
2145.3701,-3490.9147592348368,671.1143763892998
2145.37704,-490.6424333973206,662.0179766167071
2145.38398,808.5176378014816,666.2888254372109
2145.39093,-36.65498559146903,675.1780381663204
2145.39787,341.74332519170486,635.0507190908684
2145.40482,-1130.0036615900292,610.0333170359693
2145.41176,-682.9590386079286,643.2206286847052
2145.41871,-1306.3005472606878,644.9530027768421
2145.42565,587.127554058663,630.8199639973983
2145.4326,-1857.0744688491825,637.1684264082284
2145.43954,711.2994521039657,643.8208426145449
2145.44649,103.85066340173995,639.1862244922768
2145.45343,-737.698137235894,640.8108873285444
2145.46038,-1632.373943590458,645.5473651897634
2145.46732,-3014.6323818011115,646.816385831098
2145.47426,1880.9392304325697,650.0151067184308
2145.48121,-2161.9792441964582,664.5154907266448
2145.48815,-2123.0049990382154,607.2671749549046
2145.4951,-2299.173151336668,664.0082508989539
2145.50204,-49.02444218854413,648.285116577631
2145.50899,-490.3008781875618,640.4077828297171
2145.51593,-1127.5784245501768,639.4488925850609
2145.52288,-82.77945933979481,657.0511223671798
2145.52982,98.64270498288732,661.8634532254899
2145.53677,-192.9890962105331,661.5344679409632
2145.54371,1623.5125797474236,640.9703953452846
2145.55066,1634.5043291944748,659.6947076772301
2145.5576,-693.6374068155692,646.1696848501839
2145.56454,350.971925902085,654.8225613126424
2145.57149,2254.073343217619,658.5737087416477
2145.57843,-1099.0976830095212,657.5237949004819
2145.58538,-398.2780809836662,656.626995752016
2145.59232,1048.8708624556582,675.6562371322678
2145.59927,524.1713002558154,664.9657324450927
2145.60621,-1390.780088988144,659.7961339704833
2145.61316,-1067.515962586356,661.9692139757198
2145.6201,667.8678681137993,668.4163936441927
2145.62705,-1653.1115028266267,662.21779508333
2145.63399,923.0131857307176,661.002088262808
2145.64093,827.6975015616716,657.7476696033251
2145.64788,-470.580182558112,653.3964166059047
2145.65482,-693.7936639895769,660.187643796898
2145.66177,-2283.1780298400618,670.9486917713679
2145.66871,-2025.1732709556566,677.3377897163538
2145.67566,-435.8344169034267,672.4421289226677
2145.6826,1513.4069698441244,651.8674369073964
2145.68955,2306.673495689039,659.8273420607152
2145.69649,-448.4198378193626,643.3931400723752
2145.70343,-1997.1974936527793,650.8013772139926
2145.71038,-945.4392326821346,656.1357934151387
2145.71732,1432.2372194640282,656.1917079101373
2145.72427,3109.53390860604,646.888554539759
2145.73121,180.73233549485053,638.541690739851
2145.73816,-4350.3306249758625,678.6346592437633
2145.7451,-952.764356611225,667.9921586676045
2145.75205,911.4530806126048,651.8341699501007
2145.75899,-964.8954180745852,658.9891664428582
2145.76594,1036.660805513899,654.419131729542
2145.77288,786.0500884245132,692.9799780536379
2145.77983,-260.59893138492157,657.217673876507
2145.78677,1381.616721855262,654.8356730449967
2145.79371,-46.813002239064424,658.5266798834512
2145.80066,-243.8775716218795,675.7692580979336
2145.8076,-2809.6097494091923,698.6335186496887
2145.81455,-1268.174013525651,669.1850012275746
2145.82149,-1553.6747253256199,671.574045551672
2145.82844,-131.20683007980736,680.3218466219189
2145.83538,-2401.877459229512,665.9971164826833
2145.84233,4065.474988735441,647.5779499218929
2145.84927,441.87697501313056,656.1145545759532
2145.85622,977.7609532726362,660.7813560412727
2145.86316,-2037.3927553413398,674.9099520023155
2145.8701,-2027.555055064318,648.379932823995
2145.87705,-556.7893893420944,650.2004047541822
2145.88399,-241.62072823556954,676.8056267610473
2145.89094,1440.6214679553595,677.7145623890478
2145.89788,-2574.699735826275,675.7828032759855
2145.90483,1347.245128199085,678.2856270957196
2145.91177,969.2858979076443,676.6996492879684
2145.91872,-3031.7663818683286,665.9936489171021
2145.92566,150.4976559385992,646.6236108570621
2145.93261,-191.96388877413423,671.9068234860532
2145.93955,-2282.4884177350787,659.6187463187146
2145.9465,-1715.6204406694856,671.0074236634014
2145.95344,-16.210652369769875,671.1178439548811
2145.96038,1876.8417598911312,657.9440205043669
2145.96733,-42.98665198151458,667.1241836580331
2145.97427,-600.4505911905981,654.1132274284159
2145.98122,-1150.844814347939,672.4265248775519
2145.98816,-102.36372793590496,682.9997825035091
2145.99511,-1591.2822078377044,670.2810770355416
2146.00205,-1176.9758467615604,668.2954622945446
2146.009,357.6427635505523,669.9348622845326
2146.01594,-1578.9576128703377,675.8191043531649
2146.02289,95.03058526140768,668.6866470366859
2146.02983,-1288.0418639694574,677.0332941137451
2146.03677,-414.9408172160992,670.0230684840072
2146.04372,-908.1078550794616,679.6809971579232
2146.05066,59.00929727992287,696.1365463468732
2146.05761,-1346.4797714584354,682.4871246045974
2146.06455,-643.2368828983675,676.2033539641437
2146.0715,-1828.7045810457046,669.0933274625189
2146.07844,-436.9015602110745,690.2391925458865
2146.08539,121.73430780306691,674.5512756874989
2146.09233,184.90565903338012,683.8148771379655
2146.09928,-1292.8506189007621,677.110122363656
2146.10622,3252.994031835948,678.1321873187467
2146.11316,-2430.0894644376162,664.8023234170736
2146.12011,-2779.1780687833534,661.0990717376601
2146.12705,859.60517314948,670.8026205712553
2146.134,1325.7421038608425,661.9252192374071
2146.14094,-643.7434725575118,656.921197019305
2146.14789,2232.036530502704,648.4493924970456
2146.15483,838.026187452722,659.7929914891753
2146.16178,-1467.0153851846137,649.566490421349
2146.16872,-1481.7112532024737,665.7304390171957
2146.17566,600.0447776561604,671.2587138066218
2146.18261,-29.89659191207373,671.4805296424012
2146.18955,-2339.9053438832098,669.0186664410962
2146.1965,-200.94813447245653,638.5143836608981
2146.20344,1859.2794071131973,688.6679518918559
2146.21039,2390.129455401462,670.1149589719118
2146.21733,-1597.6917860919052,660.2623048183206
2146.22428,-610.3637110190134,667.5730166779638
2146.23122,-2212.394180183107,682.470328583813
2146.23817,-806.4952885376075,663.7197927871587
2146.24511,551.2559132042965,658.7131698948709
2146.25206,-153.54304541038366,645.965965372282
2146.259,595.479077399821,619.2584501807682
2146.26594,-645.057463189979,660.0916355748656
2146.27289,-1264.2020255136863,631.8650015744652
2146.27983,2760.286663134958,673.0371415041355
2146.28678,310.7216166099208,646.7632887331341
2146.29372,-1508.9909167149033,654.8680731108971
2146.30067,-429.23260548231235,623.8733465237925
2146.30761,340.33159255441444,627.3769964594319
2146.31456,-700.0839363154955,640.031226879872
2146.3215,682.5885508978507,655.7954301810482
2146.32845,552.9942471747764,679.5741527934492
2146.33539,-663.4635180184151,640.7603909047666
2146.34233,358.6123815762258,641.0511246064743
2146.34928,865.1270546148654,641.8748881548842
2146.35622,1457.3131366881114,648.687137462214
2146.36317,-1880.2127754432854,644.9843192284983
2146.37011,-1993.778907435306,653.1602970621025
2146.37706,-1580.4308947966963,682.7474087460445
2146.384,789.922058841742,624.2044990368075
2146.39095,507.6280866745131,652.6745127964459
2146.39789,12.60059151535417,668.3791173141935
2146.40484,-544.7267039375408,657.3906187098748
2146.41178,-726.9680806288071,689.2035824127438
2146.41872,1816.385079065285,681.697819989152
2146.42567,-409.5652236736752,662.5402786823917
2146.43261,147.3728375427179,676.4823846320147
2146.43956,-920.7322861081872,674.6011219427302
2146.4465,232.81928826023682,652.5722196117974
2146.45345,8.800464722512963,698.049992379209
2146.46039,958.3106193971041,697.0048464407176
2146.46734,-1537.1363880084161,694.2912596504948
2146.47428,-873.8603352542406,693.6579954862082
2146.48123,-298.9240916109128,654.5125392773884
2146.48817,-516.6157999384168,686.503107354875
2146.49511,1845.322130564156,694.8085770906563
2146.50206,-2156.4563874782525,677.0987444140924
2146.509,-1535.389385123983,698.8892516113102
2146.51595,1428.817007825189,647.3923268018684
2146.52289,-395.74664974788635,638.229826560382
2146.52984,2720.5791362176933,668.4139013314311
2146.53678,-587.8680960331212,702.0556807941673
2146.54373,-1092.460220679774,653.4489718967463
2146.55067,186.21347306465563,668.7005172990112
2146.55762,-1037.6159031087006,652.0479670404733
2146.56456,568.8807905241183,678.4134935765305
2146.5715,596.2234120241337,650.5353499170516
2146.57845,-823.324576279368,678.3359067966487
2146.58539,-4477.968246458258,669.3624972407679
2146.59234,-25.435243707446695,647.5457665788414
2146.59928,-2078.1488957626775,677.9987944052908
2146.60623,1610.7168293066964,661.4165707111987
2146.61317,936.6714931097953,686.2268940840389
2146.62012,-1315.561873121242,695.6335326147345
2146.62706,607.814941955327,679.6503308748136
2146.63401,-757.7236535522258,668.0607514492598
2146.64095,657.9095615714025,683.680075525992
2146.64789,28.34485631443808,663.3635004236792
2146.65484,-585.4070997232118,629.2061373035722
2146.66178,-1596.012509097732,670.592291046464
2146.66873,-1833.818265025315,630.0775798787249
2146.67567,-334.43488892197445,637.072743270469
2146.68262,-195.7056087592153,677.9546913055535
2146.68956,-2988.729775270159,644.0777675518349
2146.69651,-80.96895666065396,648.3751649213207
2146.70345,-287.4007210156772,629.0232232191582
2146.7104,-1624.258648154527,653.7822916382497
2146.71734,-2064.950365907396,650.2879607851102
2146.72428,135.8594361985284,647.8749685862169
2146.73123,-2338.70318224074,651.3767763776411
2146.73817,522.5586655376579,682.4653439582898
2146.74512,-1613.8703634800477,650.2330215429313
2146.75206,-457.96647931040343,655.8588216143316
2146.75901,1016.9362088731702,665.9453197218124
2146.76595,2415.2414569798766,668.5413343665442
2146.7729,1260.8358862256307,657.4395980737108
2146.77984,-1057.3771259108821,665.939468204894
2146.78679,981.8304665665753,652.9799836518745
2146.79373,1241.9688618977293,664.2442620813317
2146.80067,2781.682301301604,666.463178969096
2146.80762,2322.8818724688963,685.2750473319697
2146.81456,115.32429610316872,676.1201323901923
2146.82151,-396.906767157683,692.9296983527089
2146.82845,-1979.5786845727241,677.2197841251649
2146.8354,662.0754081716475,680.694176476212
2146.84234,846.0692058185678,670.7891837546276
2146.84929,847.5209238214676,648.1460888701055
2146.85623,-879.4244776751483,669.3786430930058
2146.86318,304.0493702629362,650.6264818749854
2146.87012,926.4011056650806,653.3265234871565
2146.87706,-573.9329252146608,658.4303465771453
2146.88401,-1021.7160313041555,638.6940469025797
2146.89095,449.21629428881954,684.5258364435581
2146.8979,-1812.5110497809924,695.3351052518931
2146.90484,-1616.6313042127408,695.9429044814418
2146.91179,-494.4523127183592,693.4015039946158
2146.91873,-2336.211411286296,691.9275718997106
2146.92568,367.76707979515425,648.8312581566872
2146.93262,-114.55969789249016,684.9590654183729
2146.93957,-836.1451414862862,678.3206278358059
2146.94651,26.036541251530547,668.8312011768568
2146.95345,1715.0362642304594,675.7831283602588
2146.9604,135.06774763174587,662.4766705262595
2146.96734,258.9912812922873,639.16151808751
2146.97429,-563.1795709013245,679.0064472909343
2146.98123,2270.0979390216667,661.3304233787882
2146.98818,-1400.4983749754592,685.5040150217604
2146.99512,-2110.987283624794,659.0468147206475
2147.00207,-2494.1256481961927,672.6560343744648
2147.00901,-920.1640387985501,661.6822729238665
2147.01596,85.0430211344186,679.9827837249214
2147.0229,-1096.1380074244498,686.6568722161213
2147.02984,-793.0245547841937,651.5197050964457
2147.03679,-530.9243842254143,676.8158127349424
2147.04373,1929.8419827414946,662.7495245929387
2147.05068,-155.6818832055047,678.2603788838309
2147.05762,-397.3822570880199,644.8757410812336
2147.06457,-1950.278839024909,649.7919905455586
2147.07151,-64.18192987441587,669.4109347974819
2147.07846,1885.3121557148731,695.1818821977689
2147.0854,-548.6043091488394,679.2826605617704
2147.09235,29.2631110249384,684.2442051015012
2147.09929,-1101.9424954847118,686.2084726418883
2147.10623,-679.1105826197979,669.7584498855837
2147.11318,-2428.7130576246855,688.7983106854283
2147.12012,566.8845563635286,662.6406213614007
2147.12707,115.24779293753114,671.0316966224705
2147.13401,-43.55966719382582,677.2097065126942
2147.14096,1557.8709131247008,675.5928456989845
2147.1479,108.58735798580781,656.4519920515843
2147.15485,-1328.1391669303464,688.5077937065693
2147.16179,-1104.2281630099164,665.8612312564658
2147.16874,270.033960608814,660.4051251757007
2147.17568,2762.8749841185563,656.2930258419661
2147.18262,1373.432183469129,680.3889223436323
2147.18957,-264.4690596579354,669.2507766121951
2147.19651,-680.7946275166454,664.0563633713945
2147.20346,-1743.2130519756286,660.6956421545598
2147.2104,-73.89739846469669,664.6282949694616
2147.21735,-703.9139708614755,676.1995613142891
2147.22429,-1359.046337486523,676.4040393221619
2147.23124,-332.31046319630065,677.3005133863547
2147.23818,-1200.542397704955,683.1815046122545
2147.24512,939.410544834756,674.0291903446631
2147.25207,-2147.4138433335947,658.7377679382133
2147.25901,199.48763919417902,678.3426252049624
2147.26596,-559.9521342365214,661.6134634193623
2147.2729,-4291.66710900125,652.532017523339
2147.27985,-2902.3256262836517,678.350860673218
2147.28679,1620.5504118495903,663.1028911979589
2147.29374,-117.77163887360187,665.550450691241
2147.30068,-1286.751496127513,658.7293157471089
2147.30763,1765.430503185045,670.2628723162396
2147.31457,-240.38703341859454,663.8330304756734
2147.32151,-135.31936285923956,678.3155348488584
2147.32846,434.05815643440127,659.2355803219799
2147.3354,1630.5950824472468,669.2193517991145
2147.34235,2520.3266820899867,663.914734989683
2147.34929,1628.7894560322047,657.7239384513781
2147.35624,-997.4584595572611,659.0888589533207
2147.36318,408.7976997045374,661.244926214924
2147.37013,-2587.8660823385044,667.4307381277057
2147.37707,-449.43518436613965,670.0865682787149
2147.38402,1473.2844186713467,665.2325182720048
2147.39096,2203.1796664579006,661.7180321939238
2147.3979,49.111456412350044,657.9562653453257
2147.40485,-684.0920656616213,666.6006896166799
2147.41179,-1541.951969709459,668.3255867705321
2147.41874,-1876.8327658929045,660.9908186746687
2147.42568,-1793.256850083653,679.2423501118877
2147.43263,923.4103303512018,676.042112164613
2147.43957,-3.4672404970355806,676.5625720860825
2147.44652,1073.8207553431462,681.1848370059671
2147.45346,-741.117265260489,679.7798227769906
2147.46041,-279.1241837802151,676.9912498810718
2147.46735,-2605.410013674288,668.0143727596097
2147.47429,-1260.3378571190153,684.9418359518908
2147.48124,-12.721197780729067,664.920437369687
2147.48818,32.77868071726344,657.3230011810392
2147.49513,148.78554543282797,683.2166137137652
2147.50207,-3019.9621384610077,694.8544139731841
2147.50902,-2614.9574136953,678.4331069943497
2147.51596,-456.6292993331113,693.7732920417867
2147.52291,-1818.350646942765,694.9996182819015
2147.52985,-602.9673936340818,675.8662415727858
2147.5368,52.810915441908904,672.1439182826753
2147.54374,1937.6984027344963,666.9750783380367
2147.55068,2545.948524170278,673.701397035805
2147.55763,889.9380281562521,686.7040094357423
2147.56457,2227.857355447256,674.463502933722
2147.57152,-431.04224127005796,671.4184385462107
2147.57846,266.5661783046563,662.3679840175704
2147.58541,1153.4899167179315,680.0123663937871
