relative_time,cts,e_cts
2144.52308,1179.2967157563885,727.2096595519012
2144.53002,-279.05400984443366,731.6348851048842
2144.54391,655.8943411696961,706.1398023778761
2144.55086,973.0837368562601,743.0044411323518
2144.5578,-377.50290676624036,724.7588732413204
2144.56475,146.1314163050009,724.2671466389841
2144.57169,-40.21967889994843,733.8800878466159
2144.57864,-1087.088352531637,745.3888966629577
2144.58558,-3199.73593558065,747.4969390694417
2144.59253,1154.4904687633766,762.461016559988
2144.59947,-1312.1877132460543,750.3299120349874
2144.60642,247.98044574794156,749.3866339399523
2144.61336,-375.3980030401967,763.1144898276887
2144.6203,-1752.204973816811,778.1075478009683
2144.62725,-376.2832155470835,710.6641056100962
2144.63419,-93.14860726202748,731.216185134129
2144.64114,-1544.764038505699,719.5758656073325
2144.64808,2405.612747718905,721.7474139813949
2144.65503,-522.2472355619274,720.9140943244569
2144.66197,-1513.8329705012031,770.3725837235361
2144.66892,-1016.4447117636871,701.1327700939158
2144.67586,493.34919550138886,761.2333740170487
2144.68281,-1473.106708578167,758.9737333452911
2144.68975,-1053.3769367703135,730.2369168367102
2144.69669,383.66016080894235,716.5365767141684
2144.70364,-2424.8860242088194,760.7783699758655
2144.71058,3942.3595501528944,765.2277633682402
2144.71753,599.5964578455249,761.0482964937439
2144.72447,-1382.0202143655115,726.1938779386918
2144.73142,-3477.043374382657,768.189736099888
2144.73836,-1311.732081468783,775.0145874722726
2144.74531,-1378.705244706995,771.3448423013045
2144.75225,1547.9348381093175,771.2849981275734
2144.7592,908.3759685372796,714.9525893185572
2144.76614,-67.91874303223695,764.9374354274989
2144.77308,608.4023396892369,716.9839432996131
2144.78003,-899.8316433969379,751.3765573391944
2144.78697,278.68458715659324,720.2651198320542
2144.79392,-759.2743143088043,735.7037658051956
2144.80086,2481.7398724616746,722.2263766166068
2144.80781,-2875.008580325632,702.3376048923212
2144.81475,-428.6429965226286,699.4221892538734
2144.8217,1153.0332840575593,711.0627180260326
2144.82864,-420.0357931507967,737.674543253751
2144.83559,-554.9153539448467,724.477752096538
2144.84253,-119.73595078231047,729.967931922964
2144.84948,-1107.8438185482105,751.2082194449052
2144.85642,1555.4578366343387,740.2760908481544
2144.86336,429.72427193436187,748.0436972021673
2144.87031,-1206.557620099191,740.2313123405374
2144.87725,-434.2364389355453,756.7017471971344
2144.8842,-1018.0933559763714,735.014825448518
2144.89114,-3020.7297710970674,744.5693871999575
2144.89809,-675.9335603097603,712.7047710097919
2144.90503,415.64718553628535,729.7266720197752
2144.91198,1433.7953637976834,725.8429734654501
2144.91892,-138.2644184037072,738.3513473793922
2144.92587,-1961.9518976475174,726.2732865538351
2144.93281,-1242.0659304126689,727.4950702266189
2144.93976,-962.7360305575202,728.8147807291447
2144.9467,-878.8990511808418,731.9823370296416
2144.95364,-1373.9479467634128,754.6638019871535
2144.96059,443.93569385528934,754.0402508063185
2144.96753,543.4259003245543,719.0812095699183
2144.97448,-1152.3845188105195,728.4504845526903
2144.98142,-1534.1848022131355,722.8705384656676
2144.98837,626.6621362649315,713.5805674753575
2144.99531,-973.1110433760921,710.6502954161582
2145.00226,899.8822807747104,732.4803409928588
2145.0092,-1520.9925098312206,731.0849882917184
2145.01615,-1744.177798590373,716.0388866189952
2145.02309,2341.3298521088795,726.0762820448565
2145.03004,-294.8451296310371,737.7458959224305
2145.03698,-3033.38953403092,725.576394873375
2145.04392,850.9888584775927,718.8844143063025
2145.05087,3348.7988794170265,730.9526405998129
2145.05781,-365.4805052071604,738.2644059311918
2145.06476,685.9404059126679,736.373978701912
2145.0717,-1733.9624399835384,740.5617107682349
2145.07865,-631.0702036981737,759.8108194187578
2145.08559,2502.1831443971055,733.5795068831026
2145.09254,-1230.0942708540429,774.5796709859084
2145.09948,111.48927717040432,732.4357717306045
2145.10642,-1822.6087147764292,723.9735753951212
2145.11337,-1277.1375456541998,724.974500587579
2145.12031,-2272.3553615991586,732.8691188767485
2145.12726,1783.5089170576318,776.7936961685981
2145.1342,-233.07370148677407,730.6169064153668
2145.14115,2445.060206607823,748.6639004571992
2145.14809,-1357.9494648223774,735.1526135198535
2145.15504,318.41892143776755,756.5681440330528
2145.16198,104.19058967419386,735.6015494455186
2145.16893,-2072.6077505383023,728.0567894027772
2145.17587,-1639.535866668843,741.9153190195175
2145.18281,441.5803234300982,760.651671908753
2145.18976,320.4336404124891,734.5058361037592
2145.1967,19.982827514817536,755.5355181681465
