relative_time,cts,e_cts
2474.16898,-1887.780496673908,2480.1078983126085
2474.17593,3536.766799889939,2476.92035534494
2474.18287,5370.518432818446,2467.7802675220487
2474.18982,6245.9688272503945,2446.5224618030666
2474.19676,5520.949114526392,2407.0041140821622
2474.20371,-4431.979501210615,2367.9995829984678
2474.21066,8509.192425442548,2371.9877191248456
2474.2176,1674.734365059705,2363.7211195852105
2474.22454,2827.0166315073525,2362.2740782589544
2474.23149,4182.979154841912,2381.1227941024963
2474.23843,1795.6550534391026,2374.542390380828
2474.24538,7025.252380840472,2376.3549516725793
2474.25233,9136.028671457909,2369.237546904461
2474.25927,-4192.997117187646,2381.514004899852
2474.26622,-2384.5810307131824,2387.7057042467854
2474.27316,1688.1140667452353,2372.0856784755983
2474.28011,4233.736092724752,2402.3780933988573
2474.28705,9189.077106221575,2410.3827717746462
2474.294,1746.971971406204,2381.7928444163863
2474.30094,7810.501638004532,2365.546212990065
2474.30789,1470.1106489247134,2381.133864135737
2474.31483,2246.3142268512547,2387.3380955957728
2474.32178,5320.124299609928,2382.1015521358163
2474.32872,5581.45812508864,2364.9285886826547
2474.33567,3118.0920855384607,2394.747707467736
2474.34261,513.5609821028057,2398.490214177301
2474.34956,773.2604111643757,2397.655575444662
2474.3565,-4698.3435080201925,2399.670112625919
2474.36345,1499.2998201578328,2400.488668480076
2474.37039,-6097.198232791451,2386.5930614718186
2474.37734,-6869.949213558201,2387.368381535771
2474.38428,-930.4740990891501,2396.6252268790695
2474.39123,3834.487615762298,2396.0389328544156
2474.39817,11275.545065922284,2405.3686733222617
2474.40512,2353.696682314373,2384.1407358061742
2474.41206,3707.0120056245405,2385.792050576005
2474.41901,-2643.234446067782,2383.9230947752912
2474.42595,4970.013820386001,2397.808049487411
2474.4329,9859.957045999217,2386.2557387608044
2474.43984,5566.227848034947,2385.0326045219826
2474.44679,2905.162084839009,2409.8583028412986
2474.45373,-972.9654817751151,2400.308414919949
2474.46068,2053.4905395451997,2391.8145663960527
2474.46762,9577.847274550324,2405.8292284787854
2474.47457,5627.381635816327,2409.880651776332
2474.48152,7399.571978419064,2403.050650135368
2474.48846,3229.2888984929327,2416.6473662461267
2474.49541,-3850.8911074709545,2401.381163801539
2474.50235,7350.221561363448,2420.4452231218957
2474.5093,4648.265392930414,2390.185809429807
2474.51624,5324.270758098503,2387.859431500845
2474.52319,-267.33816973476024,2409.2210448900273
2474.53013,3488.578736324597,2444.7898971666204
2474.53708,-1789.5097229106489,2381.4411097753045
2474.54402,5689.93066552314,2398.45470652351
2474.55097,-1256.3775486439313,2388.113415659726
