relative_time,cts,e_cts
2474.17437,-6331.821871431184,1078.15739326428
2474.18131,-8395.808329213152,1089.886964159976
2474.18826,-7019.667268548695,1085.0159539477092
2474.1952,-5984.654124766454,995.6677060954582
2474.20215,-6963.603288959508,1007.0379411439668
2474.20909,-5189.988530006173,1013.2637814656546
2474.21604,-3719.5869546375334,1021.9039650826137
2474.22298,-4901.667570697382,1025.1581418128815
2474.22993,-6326.63787981457,1006.4161277099527
2474.23687,-7456.855343210085,1012.7822168957853
2474.24382,-4882.547133623743,1006.4642604562273
2474.25076,-5272.908329498847,1003.2410262057075
2474.25771,-8820.821427245464,1004.334564263924
2474.26465,-8838.70748462893,1007.5577985144438
2474.2716,-7219.435948622198,996.0770715459159
2474.27854,-9229.077572021202,1004.4120982936372
2474.28549,-5474.805283121905,1007.1283975119655
2474.29243,-3056.2385171953715,993.8026214541026
2474.29938,-7693.542788104625,995.3942030273417
2474.30632,-8002.058161207501,970.9118254401491
2474.31327,-7430.873025953275,1013.0749256409865
2474.32021,-7634.92718019508,1011.7101370323362
2474.32716,-5261.271111828147,994.8481453196069
2474.3341,-6747.228929974866,987.9266326946217
2474.34105,-7980.197714203084,1010.8046249238519
2474.34799,-9279.484057066142,1005.9050433030824
2474.35494,-6793.094102264161,1006.6099627842354
2474.36188,-5596.899566064595,979.7612560944838
2474.36883,-4855.276020591686,967.4836120804947
2474.37577,-6076.078719707994,1004.5509245150348
2474.38272,-8485.40850338519,987.0833612063201
2474.38966,-6882.753197556637,981.9516517106601
2474.39661,-3958.518855572638,1003.5640846628453
2474.40355,-3441.479503270354,1002.1825800019175
2474.4105,-7565.624324309161,993.4935523173103
2474.41744,-7345.176464925524,984.1152542217675
2474.42439,-5471.979203304932,1012.4970955785681
2474.43133,-1280.6467590379148,1004.6078302249159
2474.43828,-3464.0264939537756,991.2274009748547
2474.44522,-3737.130155118965,1019.0040263963563
2474.45217,-3057.779357843967,988.1614873014439
2474.45911,-4905.604497392661,1025.9398840023741
2474.46606,-6681.804079663787,1020.4616424442503
2474.473,-2426.8709687480696,1002.2470731397827
2474.47995,-7995.235285146309,968.3385018178972
2474.48689,-7731.32663826942,999.1656289497168
2474.49384,-1886.2847450183274,990.2818177623291
2474.50078,-7402.087391163443,990.1792689309807
2474.50773,-5311.566512185252,974.6519532220897
2474.51467,-2148.777506701236,993.2394920334033
2474.52162,-5117.88117105161,993.403214502874
2474.52856,-4710.155909127638,990.1932582513265
2474.53551,-5558.294139713391,1002.3753480941399
2474.54245,-4937.401274110143,1007.0327247872277
2474.54939,-4441.8824757493,997.0863180213711
2474.55634,-7410.856916716818,993.476954818595
2474.56328,-3518.9822348430266,1002.2577429603855
2474.57023,-6911.532904668358,1010.5647910674153
2474.57717,-2514.3883939384564,1001.2324917540263
2474.58412,-5782.678688685183,997.0400821320927
2474.59106,-5392.822175324589,1011.298163403509
2474.59801,-7027.778110510196,1006.5652680912664
2474.60496,-8399.274005498479,1009.9268543489347
2474.6119,-6576.991230937076,1021.0227564543911
2474.61885,-6159.02388966299,996.7864960624346
2474.62579,-6333.569350938785,1018.3631258388197
2474.63274,-5475.074162601094,995.8601185269939
2474.63968,-4001.2249310885913,1009.2176669395405
2474.64663,-6155.212511190136,989.929595128877
2474.65357,-981.1657601464887,989.1512909926896
2474.66052,-4837.441296900676,995.7199882164115
2474.66746,-6012.659677116664,1015.608178159197
2474.6744,-10177.15823388921,979.0501718280934
2474.68135,-6382.837366125412,1000.9276905454752
2474.68829,-6721.029659699133,1009.8487275514103
2474.69524,-5362.123678807812,983.82432378
2474.70218,-1345.9039746119686,990.606298862214
2474.70913,-8150.055211966729,1003.2960350585926
2474.71607,-4282.94506515829,993.907067142447
2474.72302,-5538.6615512508215,996.7926608476718
2474.72996,-2446.1671022009664,1013.1462948854625
2474.73691,-2686.76586622134,1014.0462349765209
2474.74385,-3824.8710537741977,998.7343310902424
2474.7508,-6837.390336710607,1019.0717204804024
2474.75774,-4536.4616624288155,997.2198093324673
2474.76469,-4089.307975324484,1007.9337318603464
2474.77163,-6436.403303604378,1010.6718449341291
2474.77858,-9161.046203090442,1074.6319659835788
2474.78552,-3668.978454322518,1002.1947910188295
2474.79247,-5534.146675939563,1007.7102583955005
2474.79941,-5076.833778425131,1009.2595163470157
2474.80636,-5245.470055944013,991.7199910260135
2474.8133,-6625.732038432367,1008.9759362261078
2474.82025,-7538.1963649142435,987.770853313822
2474.82719,-2696.8493209051603,1019.5014771435677
2474.83414,-3448.937352210969,994.3816370521434
2474.84108,-3906.8380382870487,1002.291293618503
2474.84803,-2356.1651500064554,1029.9134437483897
2474.85497,-741.556444156674,985.1955142810119
2474.86192,-3920.9947562627385,1024.63804733528
2474.86886,-6352.457897244657,968.507440644107
2474.87581,-4807.990102412357,1033.3659605883058
2474.88275,-8704.190566665617,992.2853729643956
2474.8897,-3067.0035363085817,993.1132324896045
2474.89664,-5294.6782015817025,1054.9837284507923
2474.90359,-4250.283795864862,1019.6080567960325
2474.91053,-3870.36396787802,1020.9619384769557
2474.91748,-4249.885574449257,989.2218303622299
2474.92442,-5757.5778171637185,979.4839593123752
2474.93137,-4922.137028755891,983.2903585356148
2474.93831,-5829.875810246384,986.5593544611642
2474.94526,-3208.7593347830293,972.143122737703
2474.9522,-6722.786267831027,976.6181640520466
2474.95915,-4798.809195997966,976.4978321863604
2474.96609,-3751.910109171417,1000.8493266408263
2474.97304,-5078.734429135162,1090.9387713642798
2474.97998,-7702.229681825113,1014.0373434593519
2474.98693,-6789.261384150101,974.3846149392103
2474.99387,-4063.983037570363,975.9418159793963
2475.00082,-5373.725804624088,1000.7389532743694
2475.00776,-5511.290734672911,983.8036954601681
2475.01471,-4929.659963602183,972.256697050341
2475.02165,-3895.414691242651,984.3033987250622
2475.0286,-3615.9073594123943,989.5983564759437
2475.03554,-6437.053925554019,1010.2245423437506
2475.04249,-7791.9224463292685,1001.9642043402484
2475.04943,-7429.6323629243025,995.7204624306605
2475.05638,-3215.1466450565053,1031.9213854322595
2475.06332,-6886.829306134002,1003.9925372368257
2475.07027,-3893.1676270237176,1050.7812417760672
2475.07721,-6617.553265279695,992.3880403493062
2475.08416,-5846.376806362055,1091.3899862222127
2475.0911,-5774.875019003477,1083.6391914292715
2475.09805,-3589.001272798512,1082.1929565233538
2475.10499,-5251.268629227343,1064.127646153762
2475.11194,-5680.120254498265,1047.8696848407092
2475.11888,-6623.495644034036,996.0509897622203
2475.12583,-6003.595783068215,1011.0975707761777
2475.13277,-2829.5516580446374,996.9691871018657
2475.13972,-7313.1661732424245,1005.2980490643498
2475.14666,-4345.235359283413,1004.4382986308949
2475.15361,-5084.615160037132,1000.4645017777548
2475.16055,-4552.228337779895,1045.7929820907327
2475.1675,-4496.256948522827,1008.8622433599077
2475.17444,-3116.444284035411,989.0419846082929
2475.18139,-2812.7566490945806,1050.0638741708776
2475.18833,-4513.39967507097,1004.7785473545595
2475.19528,-5516.5547499440445,1053.0579443855634
2475.20222,-3922.4765572373326,1062.485442209441
2475.20916,-3835.6093983359006,1040.7005138241786
2475.21611,699.5967818686617,1042.7552841651382
2475.22305,-2766.9550215146533,1073.1877464882193
2475.23,-3708.868171413602,1066.826399444877
2475.23694,-6178.3809596468855,1097.874866077422
2475.24389,-3734.650133150207,1064.5654644591605
2475.25083,-2546.668157868555,1078.2003096538156
2475.25778,-3382.7339606565783,1064.4454882541609
2475.26472,-3408.8586607416546,1092.2205724793532
2475.27167,-5137.270369050875,1047.2490569423176
2475.27861,-1327.0419843040406,1040.592274421842
2475.28556,-3869.185782576355,1085.692539127484
2475.2925,-350.7243535323037,1045.0107656869911
