relative_time,cts,e_cts
2474.17542,-1140.7354577913068,802.7411516211826
2474.18236,-105.51466916351633,820.0842557192785
2474.1893,-1196.9455096167103,825.0515522541366
2474.19625,-525.4687968350386,821.7745430363535
2474.20319,-347.1355902280101,788.672044306492
2474.21014,1226.0367961569914,755.7567320162427
2474.21708,-558.6995837185742,745.9329757562192
2474.22403,112.06307823851701,735.3122747877023
2474.23097,-766.4852573600745,724.8143564893419
2474.23792,809.2802117619075,737.489122195312
2474.24486,1788.7026133035745,734.7808398126436
2474.25181,790.950691220661,734.5203161774897
2474.25875,-2563.2547544191434,732.5168395621735
2474.2657,-300.11346325482424,729.7791599750598
2474.27264,68.06927883137648,737.428769630709
2474.27959,-740.0657923587859,724.3889799797904
2474.28653,2628.7596205786526,738.9045508446769
2474.29348,393.34529481262393,736.0203007435273
2474.30042,787.9264148594687,729.9193939891977
2474.30737,-1063.600101884441,731.6400134041455
2474.31431,-1941.2508359155024,736.0659027673839
2474.32126,456.35077533200587,723.4712262650437
2474.3282,-194.16136784424535,723.0065842315336
2474.33514,1247.2267789555076,728.1081937888215
2474.34209,1488.0034912548915,731.6887317394275
2474.34903,1228.270256555494,724.0128411907583
2474.35598,1416.7862184987387,728.5885212565056
2474.36292,-3.731055792447255,732.7000786739803
2474.36987,-1155.0806702982775,726.7920715968759
2474.37681,2375.386673621216,737.7259618636338
2474.38376,-2202.056808884531,730.8180343272026
2474.3907,2528.328901874347,730.4766943490863
2474.39765,2098.599009138751,736.6481336186749
2474.40459,-139.44309429812606,727.6196600343842
2474.41154,3065.4848014476356,732.5181899637911
2474.41848,-1398.181631535687,736.7911723130956
2474.42543,2140.3104220580126,739.8015291499217
2474.43237,1164.696049200997,741.6335047597997
2474.43932,1284.4472754797894,725.556246362655
2474.44626,1001.6348461188195,742.6294778913211
2474.45321,40.81557726153899,739.5026748842367
2474.46015,441.2340679931817,726.1860529017052
2474.4671,-2187.1962623448658,731.4041086292514
2474.47404,-1736.3140941789989,738.1763727416351
2474.48099,20.906398458815243,738.868297755096
2474.48793,-2303.395932369307,731.7295554190988
2474.49488,136.6360248432761,735.1782733964151
2474.50182,-1046.2515961798747,743.8265569868208
2474.50876,1575.7583016057035,745.2958978238431
2474.51571,686.4959834499318,741.4702100411148
2474.52265,497.48598226873173,744.9995366072984
2474.5296,79.63619582565751,749.2223463426558
2474.53654,-138.15771971224314,746.9102510191888
2474.54349,986.0943204261565,736.8966075163178
2474.55043,449.1539657264507,741.2451084791616
2474.55738,-37.41526598836209,741.4756116475852
2474.56432,174.24252847610316,751.9561824790115
2474.57127,-796.896094034869,745.3746366258554
2474.57821,2479.739893516528,748.2245034242793
2474.58516,467.59660837243496,742.4844655329978
2474.5921,-1095.702887909071,747.9032117163323
2474.59905,64.3216027113277,745.3996709943052
2474.60599,-3248.631462682161,747.0203606895489
2474.61294,591.9878146093828,743.3096647984135
2474.61988,2385.020750392487,746.0023656239555
2474.62683,-305.31282111381876,749.0443010832245
2474.63377,-634.0333999904822,748.4621741089811
2474.64071,-466.07065454452,738.8561441405375
2474.64766,-1076.157798157868,752.6337724599163
2474.6546,-698.7529556708188,738.168997471262
2474.66155,-2874.000864502949,755.9190918415002
2474.66849,-677.4786247097248,740.13861016909
2474.67544,2102.386885676186,740.6442836363665
2474.68238,441.0096935705612,743.7713982745934
2474.68933,1059.3564128625344,741.0675826049678
2474.69627,278.4150023087489,738.5258151294572
2474.70322,-342.1183288332998,752.0188203386599
2474.71016,-538.2069275399895,728.477892200908
2474.71711,564.8722695127329,744.0048100003472
2474.72405,-2128.9888626499487,734.8675771473141
2474.731,1980.993155522173,730.1547793788543
2474.73794,-324.6540002207604,737.1900601755322
2474.74489,-670.3752005698808,734.9583656868374
2474.75183,889.1778661161464,748.384889585634
2474.75878,1471.188913574524,744.2103826773686
2474.76572,-2839.509010262647,738.022634711321
2474.77266,130.47954386852882,740.7861796832645
2474.77961,550.3693716476427,752.9201614799
2474.78655,688.1096095059451,741.1945203570245
2474.7935,1540.899657510646,748.1213535161023
2474.80044,519.8210017619455,752.8691578495728
2474.80739,16.47874318576914,747.4423092565326
2474.81433,-144.39958762004318,740.4399574839152
2474.82128,-494.62624715079437,744.802481848173
2474.82822,590.5101636085597,744.8955556827414
2474.83517,989.834829029927,738.4072914182487
2474.84211,1755.1056598275675,752.1437844268138
2474.84906,8.653685196876276,752.2717609493455
2474.856,334.84600061420525,753.4443250616332
2474.86295,1581.5673138565314,735.673870790083
2474.86989,-209.07364515357074,753.1455746729957
2474.87684,1500.9587249891372,760.0593193240874
2474.88378,1525.849846990418,760.006445906905
2474.89073,564.2796509566912,755.2723533437057
2474.89767,677.8439602858158,756.6277410596101
2474.90462,372.3519512650432,754.9018239152393
2474.91156,-690.9191720099351,757.5871494704082
2474.91851,-1572.5887012550454,765.1011995790574
2474.92545,1439.8330035214876,768.3272051665134
2474.93239,55.10739696609001,760.9575441539024
2474.93934,-701.1015118379618,759.1232832489791
2474.94628,-653.4604854157142,755.2300753853693
2474.95323,3260.1420783166914,765.5104751462449
2474.96017,-3043.5095081699474,768.1430311612789
2474.96712,1872.8192339424131,756.1208210677637
2474.97406,-1284.0653195760967,758.5473888975863
2474.98101,368.8533723049223,756.5911763388868
2474.98795,-1166.4003599194862,758.4253333667625
2474.9949,-2988.5080657923177,762.9674611461642
2475.00184,568.1212319276885,765.2882821416221
2475.00879,1071.7688890235427,751.9295899548492
2475.01573,264.7324214878413,754.8938253825811
2475.02268,-595.7691468928246,747.6093435489279
2475.02962,1150.1474454350025,755.0538999127933
2475.03657,1407.7315678984755,748.1989496705919
2475.04351,-26.997229139536444,757.8964953178915
2475.05045,1554.3814439987175,754.8869694974454
2475.0574,585.3973353301407,757.655812198812
2475.06434,1363.8512022272155,757.1738226983678
2475.07129,-1338.4986583808973,746.3354993153185
2475.07823,-1085.6080125550475,758.2259933125916
2475.08518,-470.0838403980031,749.8377139721023
2475.09212,1150.9474025778734,758.1721850019818
2475.09907,469.00632378418675,752.1599892462253
2475.10601,2169.9780184578763,699.8635051857432
2475.11296,-2268.1654084441648,768.0704211050698
2475.1199,777.3657548244124,774.1503446958025
2475.12685,-484.89483758600676,764.5424449405037
2475.13379,949.4921000886516,759.9965775873917
2475.14074,2200.8714678953997,761.2502696737841
2475.14768,-199.46803069331713,778.6616209920937
2475.15463,-944.9134075885264,707.3721536879219
2475.16157,1173.4514300273852,760.9032164580548
2475.16851,253.903862547258,716.6629168171742
2475.17546,2195.9298289912767,742.7672188563187
2475.1824,1040.2222607112792,722.3676365123024
2475.18935,696.8497204063492,718.6327372690973
2475.19629,912.999470036269,719.2103975302978
2475.20324,-1655.648892320712,769.8325913390214
2475.21018,-347.05903284399557,716.3083844540242
2475.21713,869.3189638044173,712.0314547769144
2475.22407,-1082.22982709299,781.7415754507513
2475.23102,2375.0507352495697,776.7868480386418
2475.23796,1600.8573854560984,779.4929490033126
2475.24491,-1076.1057557570657,780.17417468088
2475.25185,-2081.98979638131,740.2943218633069
2475.2588,-186.8502934864297,731.8814236625577
2475.26574,1407.5961122285232,771.4968055171717
2475.27269,286.8348602716812,713.7139513154261
2475.27963,-1788.6232512392771,717.7039725873146
2475.28658,895.6698699543495,739.058912137276
2475.29352,436.2703032779389,758.7537925909876
2475.30047,-194.00326697793585,770.8756207730645
2475.30741,-133.70367966912957,685.5982780053547
2475.31436,2159.1300345094087,782.446692849246
2475.3213,828.4652636664423,773.5185644928495
2475.32824,-2225.8874501077876,770.8502747734723
2475.33519,642.4644766745455,795.2087152751242
2475.34213,-31.293479947483025,780.5956038626261
2475.34908,-1945.2652682935561,776.1267094017188
2475.35602,549.7489140428683,791.5356228751872
2475.36297,573.9975565053027,786.1211356508005
2475.36991,880.0853003935423,782.1544867146017
2475.37686,640.2378721611788,784.9167851619751
2475.3838,-2937.278606763853,787.2984781072736
2475.39075,-577.1503287742643,783.6004552159343
2475.39769,3109.402355101904,723.8645047669148
2475.40464,-1195.19995971036,752.6947482868044
2475.41158,-264.4958934506621,756.9853897341854
2475.41853,1120.9659936174833,775.62280184425
2475.42547,756.4836635947145,760.7747205502856
2475.43241,1019.6258313622322,765.6444765375322
2475.43936,-730.2724720736826,756.6945340011588
2475.4463,1753.7431045953851,771.6256130560835
2475.45325,444.40127917174726,778.8197218584032
2475.46019,90.14844915657429,779.4283374797616
2475.46714,1900.828225524692,761.1165799136394
2475.47408,1396.708655002002,780.3827597922792
2475.48103,32.51372362457746,773.4103246093446
2475.48797,3551.0249232527713,782.7591550081547
2475.49492,503.23599235657406,770.9706682715357
2475.50186,-74.36402015635889,779.541771215642
2475.50881,-65.38571918601534,761.1904364944187
2475.51575,1319.411147023974,770.2783277498849
2475.5227,622.0035029954511,788.2382537560923
2475.52964,-2087.0062267596404,784.9563623170761
2475.53659,2754.4217624918792,779.6503227302895
2475.54353,3230.864228599083,782.6382421248536
2475.55048,-301.76864012984106,784.0091075208369
2475.55742,2994.538543908435,776.7953659565376
2475.56437,-84.51228831280228,784.8117654669429
2475.57131,-1476.8329690739067,763.9434898845637
2475.57825,3444.1000192922656,781.2588588109745
2475.5852,-71.5144649890775,772.0400824756465
2475.59214,-1279.0741313203114,786.9789523091342
2475.59909,3033.4865157328004,790.8763152546443
2475.60603,304.067854699417,781.4772083648396
2475.61298,-1732.6317567218334,775.4731150187888
2475.61992,1147.0402751898976,792.5646289078165
2475.62687,1624.9442913555606,791.342099935677
2475.63381,2091.0516144978515,796.8328329129357
