relative_time,cts,e_cts
2474.17417,4779.045894958697,1311.4171834712668
2474.18111,2417.622221644392,1321.5415106113883
2474.18806,186.1720632249121,1302.30041490938
2474.195,1821.113388801392,1241.7478758023024
2474.20194,-2677.3736930423856,1288.6720466544868
2474.20889,461.9692844760489,1264.3636286255733
2474.21583,-987.2361596611526,1235.7920613769818
2474.22278,-2220.511103474218,1256.5870695143253
2474.22972,-1272.2679114407706,1263.0777343619434
2474.23667,-5482.28146124863,1300.4436182215952
2474.24361,765.7829433024347,1223.6536844093935
2474.25056,-684.8619718826262,1260.9797213196236
2474.25751,-3603.829023782065,1224.4112508168514
2474.26445,4270.717768225384,1197.881246765566
2474.2714,-1660.7872903293596,1168.7220556051157
2474.27834,1479.7904682527028,1267.6126967008902
2474.28529,-552.435497756139,1205.9131346926022
2474.29223,-1423.1256157406924,1115.784790337817
2474.29918,2398.7163858412387,1201.0737464037577
2474.30612,2412.704206785707,1210.0253161545002
2474.31306,-1071.6858393548987,1229.4593612217143
2474.32001,-3733.4753430416085,1106.02762437451
2474.32695,-501.3830169149093,1233.00431661491
2474.3339,-4057.6845917742303,1187.14723758087
2474.34084,-2619.2818216542096,1162.9264591222618
2474.34779,2001.6441438803474,1155.1337714838671
2474.35473,-1681.9333311163705,1157.8278284779535
2474.36168,1446.6229823199183,1187.4574745442246
2474.36862,608.7336634597807,1143.0393921895984
2474.37557,2349.7604949369925,1320.9400114224986
2474.38251,-494.1989439920869,1166.4186410258958
2474.38946,2232.0703951619666,1262.1918512899786
2474.3964,3501.744459942762,1317.2586751012227
2474.40335,-1483.0938515150297,1167.9540530918568
2474.41029,-1097.1279979685492,1178.685571842214
2474.41724,1544.4377557813068,1154.7961397427848
2474.42419,-984.5313107849313,1161.185764111512
2474.43113,-3292.370087311723,1172.5617123950763
2474.43807,-2349.102901679423,1139.2822755091545
2474.44502,-411.0906596700939,1191.406117484538
2474.45196,-143.44712044437432,1203.5393949913373
2474.45891,2662.112667190205,1268.0077270238776
2474.46585,2412.385075413999,1246.4610820846447
2474.4728,-1406.8399540462387,1204.5362802795485
2474.47974,-2322.7734368884708,1144.2759521348967
2474.48669,-1164.6120088012221,1189.7540107809848
2474.49363,-4403.07937246695,1205.4451702211197
2474.50058,-1260.8350389437473,1215.259141805775
2474.50752,304.0708851159563,1205.066861385836
2474.51447,-697.049327392212,1210.1756909517226
2474.52141,-2307.304044696606,1202.217804502184
2474.52836,-1295.7234150046813,1205.5017386582451
2474.5353,-1931.1355598391883,1210.4929248496485
2474.54225,-4262.397464283486,1292.562579460227
2474.54919,-1897.0921525717943,1335.3984058648994
2474.55614,-2965.769547245354,1161.2946316697535
2474.56308,-3475.102030569895,1390.263741678919
2474.57003,-5096.21895513138,1179.7489873049058
2474.57697,-7502.758981152082,1246.629482882796
2474.58392,-4222.485644976854,1224.9555886080586
2474.59086,-2155.0826497079934,1211.3586472626798
2474.59781,-2474.5278161424926,1234.0386770103153
