relative_time,cts,e_cts
2474.20311,-3093.1678108493206,788.3801892382911
2474.21006,-41.12271857944029,759.6100456278496
2474.217,-1067.836681903772,746.9458266813476
2474.22395,674.9676963847104,745.787516673989
2474.23089,-157.14752775901533,742.0019394035493
2474.23784,-857.5050162526275,742.3583254446316
2474.24478,-28.080960784569942,743.2464111076021
2474.25172,230.20201477823764,736.4463926773676
2474.25867,-1084.924606265125,742.2003992499195
2474.26561,-1448.8812481498949,739.8460142755974
2474.27256,89.01488922884812,740.8503850048004
2474.2795,970.0202313856214,741.4116542578163
2474.28645,156.8021057384635,744.0385892778511
2474.29339,-1895.854241808826,742.5052876188132
2474.30034,-347.57085782809696,740.5666494431929
2474.30728,-1406.77752660218,743.7511990427336
2474.31423,-179.67161284521805,736.2297702111287
2474.32117,-996.2153806389454,737.7173330774486
2474.32812,-900.2963701586641,741.4093285564916
2474.33506,569.5842997376011,746.0845419574517
2474.34201,297.6980756315431,743.3498494427079
2474.34895,-78.98269969575887,743.1417545479927
2474.3559,-1712.996085905789,744.3917636361518
2474.36284,-827.0232672149245,746.6616481290116
2474.36979,-1622.5278548443978,744.5591033838446
2474.37673,695.1708422965932,740.1930975113811
2474.38368,-772.6963239909346,746.1673812236821
2474.39062,-18.102705372676134,739.3765548510643
2474.39757,-2634.918488196294,742.1554356909762
2474.40451,1352.0774744371067,747.5760917403281
2474.41145,-1194.9598485522654,746.2775751673977
2474.4184,268.7870609694369,741.0862775677293
2474.42534,-775.465791277866,741.1625827207145
2474.43229,-1363.1966524702652,748.9527961768397
2474.43923,-4.069534327411503,741.782437497575
2474.44618,-1076.357497818884,749.6516140510563
2474.45312,-134.30504308669953,749.6861673278797
2474.46007,-1937.196130051194,747.5625805231086
2474.46701,-868.7372676692369,746.3671700422378
2474.47396,-1020.0573631424506,745.4677881156905
2474.4809,-1046.166129203716,747.154918305202
2474.48785,272.1539012537572,749.316159321896
2474.49479,-345.0965331140321,751.071399335915
2474.50174,-2470.2544045036875,748.0502025675107
2474.50868,-1089.6312720078088,757.6128219283846
2474.51563,1140.4660085713115,750.5288464411784
2474.52257,-1555.8053665507443,746.4761457614501
2474.52952,-3612.5584923552483,748.5542152688672
2474.53646,-70.98339461577919,752.450318726069
2474.54341,536.9815110918161,753.2179109108862
2474.55035,-306.6742860155585,750.0998099206213
2474.5573,-938.0477077988169,751.3649914412316
2474.56424,-2364.337314776412,752.979249655904
2474.57118,360.35058660705664,750.362724917989
