relative_time,cts,e_cts
2474.17196,-2460.3433449318277,1469.8720487501714
2474.1789,651.4339296905858,1434.3591168503165
2474.18585,-2170.266872200124,1446.059630078914
2474.19279,1726.3809038910033,1419.6473405959887
2474.19974,1406.6321572834029,1429.4599626613237
2474.20668,-469.04168443906576,1415.8826724266999
2474.21363,739.0655231754698,1417.1020301925712
2474.22057,307.0338139367145,1377.5773927194036
2474.22752,2914.7544201436544,1360.9191233818406
2474.23447,4260.895755913037,1390.9729833228475
2474.24141,-993.3301605361927,1402.6051276448102
2474.24836,4049.5150942482915,1396.6243638811466
2474.2553,5438.982446058274,1386.0457069481208
2474.26225,837.0561847898035,1385.5358028858284
2474.26919,4929.81831720379,1393.317396914404
2474.27614,1553.5342041385056,1379.0350312805667
2474.28308,2171.783786266547,1400.7083114764944
2474.29003,-1279.6327033009109,1414.6772915555343
2474.29697,928.6922428061641,1404.2281313939427
2474.30392,5527.427562173585,1413.4181922577275
2474.31086,2939.219037769092,1392.0719377186597
2474.31781,970.5010079876978,1384.4669914316114
2474.32475,5292.20450729231,1390.6414109653003
2474.3317,3276.4037079281484,1383.221700632189
2474.33864,4745.392686367006,1406.2904811465498
2474.34559,5373.859883714217,1400.7101638360339
2474.35253,-3002.8061624513325,1417.569161589136
2474.35948,-1678.1909284926583,1387.3514520270555
2474.36642,4.176228779672762,1411.4812977648326
2474.37337,-3880.408140009462,1406.5210157110405
2474.38031,4691.1488632013525,1413.2637728306727
2474.38726,397.70917093742867,1408.0894590519224
2474.3942,3625.716617973075,1409.105057268463
2474.40115,2434.093894692045,1412.076241969614
2474.40809,2968.240965050348,1408.803627852511
2474.41504,2569.9984829619025,1359.8844963809408
2474.42198,1230.558478816999,1388.2451313066413
2474.42893,4128.808712257502,1391.7268936553717
2474.43587,1116.679624244515,1325.9723399157458
2474.44282,-216.05062845982133,1409.7587717895392
2474.44976,5831.543404646825,1372.2210425168298
2474.45671,5620.160890622541,1344.8121836017228
2474.46365,1581.7165073594606,1356.87508571475
2474.4706,-356.0034643048128,1376.293370765976
2474.47755,6587.097453667524,1357.0106447537676
2474.48449,2667.9807247601484,1352.947915094962
2474.49143,-1045.97842855316,1371.5969657483836
2474.49838,3263.919478218075,1353.9990449353938
2474.50532,1864.8560620125422,1359.4203961181677
2474.51227,-1238.0915198746554,1360.9664427482553
2474.51922,3471.383073042338,1356.8410696577544
2474.52616,1940.568900635826,1364.6031297130057
2474.53311,2165.893619723991,1367.0571693100287
2474.54005,3831.877330455873,1356.593358668444
2474.547,438.2197688745067,1342.0952773464307
2474.55394,-425.174947809291,1353.458661138863
2474.56089,1497.6015342619116,1358.5208229673203
2474.56783,1117.0945527813342,1342.0048485216453
2474.57478,3261.088567652951,1377.1207018947878
2474.58172,862.2999721960294,1370.8177959675954
2474.58867,2736.237984633786,1346.3398750327385
2474.59561,2554.3100080413606,1362.9469518884864
2474.60256,-2565.580100271537,1341.561797799092
2474.6095,2022.9414769921143,1332.8882084541483
2474.61645,3516.508403780954,1350.0875351735297
2474.62339,644.6709650123423,1368.0586222355414
2474.63034,2469.39262647062,1355.4738599213767
2474.63728,1591.0971928594788,1377.0097287187473
2474.64423,1670.9763248794518,1335.5938321558822
2474.65117,56.294385175736416,1328.4108870511668
2474.65812,3640.110798764562,1359.6452052077186
2474.66506,1265.8752290020025,1371.5784421529897
2474.67201,-437.1494418533938,1366.7432785662663
2474.67895,584.757742881962,1370.8868384595175
2474.6859,4778.596399506552,1394.2333045084622
2474.69284,1437.9954670224233,1394.0271874106268
2474.69979,-762.9043800692438,1365.6710991856141
2474.70673,-106.78280196979713,1376.1493919108705
2474.71368,-3541.1084120490877,1376.5117807953002
2474.72062,-307.23285838903604,1364.7130925111157
2474.72757,-295.3021473885911,1344.276514902201
2474.73451,-2276.709345203642,1365.3457574919719
2474.74146,5199.918944662916,1384.4641286941414
2474.7484,3389.1799033857415,1364.955246421808
2474.75535,1254.2062058855743,1391.6671129611466
2474.7623,3015.0393132456597,1345.0804389422879
2474.76924,1708.8843576637137,1356.1001258420058
2474.77618,3859.961627017563,1372.5036115447447
2474.78313,224.5758606452936,1376.7205922342837
2474.79008,2339.9150522170935,1390.3852801599016
2474.79702,54.789932437123625,1354.7591859318231
2474.80397,5954.942713666389,1374.9970558810599
2474.81091,-3198.7755295411544,1379.698681184627
2474.81786,-606.8341638721853,1373.3550233475685
2474.8248,4243.5955597969205,1386.4624878444793
2474.83175,2080.9994768456536,1379.255630462074
2474.83869,-1824.4672146160967,1385.0882054625877
2474.84564,1152.051776819378,1377.654686631092
2474.85258,2443.6529118968083,1395.7291690346653
2474.85953,5763.9115687122085,1397.738810738561
2474.86647,4474.47937825906,1369.2429535664867
2474.87342,-448.7940475031668,1364.03933882775
2474.88036,3495.847353875132,1388.4662356771134
2474.88731,238.91985933289544,1401.0444305347294
2474.89425,-1729.4893315943896,1390.5691689432647
2474.9012,4579.053325676317,1394.075685551294
2474.90814,-52.238728162444524,1393.2678883958063
2474.91509,3179.0980825507386,1385.2075984547164
2474.92203,1429.1459035212395,1368.0070929610827
2474.92898,2971.6462754689987,1355.8030747304197
2474.93592,1682.2716765578928,1374.3704531677872
2474.94287,526.8935671947695,1354.8711694857943
2474.94981,745.0801345998075,1354.6576429498014
2474.95676,1997.4723753073724,1384.2216379908057
2474.9637,780.2209106285708,1373.0700967711487
2474.97065,127.88757618345946,1383.7004513749555
2474.97759,2372.955420924532,1373.0024014498008
2474.98454,4775.52181946384,1369.135516713203
2474.99148,-133.99918388913147,1363.4640969926145
2474.99843,978.6333715545017,1371.3758613779114
2475.00537,4215.775477064073,1385.7469718733169
2475.01232,5166.119782129623,1350.6826477746329
2475.01926,-1226.7057393714292,1341.9113885630677
2475.02621,-2278.392634835965,1352.2568165904547
2475.03316,3959.4143054974256,1367.3857105337845
2475.0401,3935.095013897668,1386.249971686417
2475.04705,2128.3218743942857,1387.7167036489552
2475.05399,4656.675778588371,1377.6880291028006
2475.06094,1526.2273933943854,1366.7651700880951
2475.06788,1461.0724989565506,1375.9259299918936
2475.07483,6760.5786707604175,1381.2937311443472
2475.08177,1349.370503635471,1373.2627421632435
2475.08872,2106.1425632514665,1376.4535156679708
2475.09566,1116.697979443587,1376.3507939116967
2475.10261,1176.934185719105,1385.8554191045307
2475.10955,463.4435171184432,1397.8167782355363
2475.1165,2296.2951845950206,1391.6240035027756
2475.12344,2850.8855684151085,1411.8292045655908
2475.13039,4664.099193640562,1395.0030440952319
2475.13733,-86.08908317755328,1380.216499874042
2475.14428,1273.2157930638862,1408.9615836023227
2475.15122,-2124.372475460025,1373.9221821592596
2475.15817,4704.582511373514,1398.5545225211713
2475.16511,1762.2806421419436,1388.6502928567982
2475.17206,2204.9209828589983,1395.669556736762
2475.179,3960.257297484161,1385.880004967508
2475.18595,4349.989534659771,1374.3209446491894
2475.19289,4071.788370538654,1403.1571307875429
2475.19984,1983.6810533477899,1388.9950001274428
2475.20678,3553.5262936083877,1379.9423506622152
2475.21373,3288.477892594734,1384.1625308818675
2475.22067,1385.3133513447822,1376.8185988935486
2475.22762,-1449.8574723235897,1388.8553995767031
2475.23456,387.8259908132758,1378.9375298102673
2475.24151,2128.3311361919828,1388.501598904683
2475.24845,5037.275209649595,1394.2331361121405
2475.2554,-4192.1375169821595,1394.892239315513
2475.26234,2779.418169459741,1385.9274927302447
2475.26929,2847.48143677071,1383.785323121123
2475.27623,3447.464733084693,1398.816715594153
2475.28318,932.566873773563,1410.0878182022602
2475.29012,1458.8060528619694,1401.3153802164427
2475.29707,3741.88583091783,1407.013911744835
2475.30401,2397.6131891310297,1414.9804049347044
2475.31096,-765.9136223391126,1402.5020690958925
2475.3179,2212.1726336629918,1402.5456837432287
2475.32485,6027.97771398103,1410.5040939096534
2475.3318,-2809.9467386317924,1410.74186951598
2475.33874,1816.3968208957012,1422.1281552081716
2475.34569,-924.9252170883706,1409.2933243561918
2475.35263,1041.5863156889898,1419.3868314862243
2475.35958,1145.4065211700456,1411.321658051803
2475.36652,6915.5019396099615,1417.15069672956
2475.37347,614.0898561879014,1411.4742251193184
2475.38041,1693.4688531807467,1429.4498588820181
2475.38736,802.0533253485623,1422.8046032326856
2475.3943,-2418.381507493814,1385.1742559830075
2475.40125,1396.3382585304748,1415.2697098154897
2475.40819,3059.297066134564,1370.8071869993246
2475.41514,1618.6739429073818,1383.318191724558
2475.42208,235.23181149000777,1378.5407880761984
2475.42903,3825.5207061020387,1391.5460360058003
2475.43597,4654.24952438444,1422.8977263986194
2475.44292,-805.7447411178852,1398.303275209104
2475.44986,2262.1204982642,1377.8325131468716
2475.45681,-378.62599456650696,1406.1123178381265
2475.46375,1697.9355656154573,1404.0393591172488
2475.4707,2452.3648956031134,1383.038485434113
2475.47764,1907.9247684734917,1382.031475429982
2475.48459,4560.749319086184,1397.048891008306
2475.49153,-1163.9994958483207,1391.3346986219904
2475.49848,1592.848009416828,1409.773759062176
2475.50542,6113.66769787601,1405.9893885232411
2475.51237,-440.63288816534174,1382.3106765314617
2475.51931,3300.8962793429982,1401.2269721475182
2475.52626,1380.750653006668,1394.4052371529804
2475.5332,585.0642241875671,1399.338239002647
2475.54015,1783.3392757634435,1386.9739074736674
2475.54709,2464.6061294208857,1389.1630596565603
2475.55404,2975.434519123334,1381.250116497011
2475.56098,-2061.239852450218,1388.2446261176758
2475.56793,-859.4113016925413,1365.9166210227418
2475.57487,2755.195874141317,1388.985738329746
2475.58182,688.3467402132402,1343.6039399930876
2475.58876,6563.088516488771,1397.9661457729383
2475.59571,2105.5873605786205,1366.682150701467
2475.60265,1416.72802196194,1377.9963627679451
2475.6096,113.39437835477747,1359.3358611646436
2475.61654,340.7024693206432,1372.7947687850694
2475.62349,4482.294314759344,1370.8080289809334
2475.63044,3541.0880360941546,1359.4084399793226
2475.63738,3601.294941409686,1385.2230909163184
2475.64433,2677.287989463878,1364.4185673443558
2475.65127,2486.6197385830924,1351.701445521287
2475.65822,4390.031990822355,1360.7402864881303
2475.66516,4768.982821893538,1374.375673453762
2475.67211,6490.728111839105,1342.8591230619388
2475.67905,3844.570034812286,1336.9162484706715
2475.686,-398.7323469884485,1355.5304410854885
2475.69294,1645.9386545710615,1358.0184967395073
2475.69989,2908.550699649979,1356.743399791133
2475.70683,2305.0135673615523,1369.0979643334504
2475.71378,5412.3743116531405,1365.4604353870911
2475.72072,8184.844280480699,1357.4819860583766
2475.72767,1582.0733391652725,1379.0240855196523
2475.73461,2529.3812901531496,1346.397298178459
2475.74156,-1353.5421857144563,1368.7088004338607
2475.7485,4220.7465364824575,1363.5998244279538
2475.75545,1536.701476211598,1373.324880405973
2475.76239,4211.260771677661,1360.8409874885435
2475.76934,-2609.3905925298436,1355.8610030651055
2475.77628,4172.039752772629,1356.4173845122036
