relative_time,cts,e_cts
2500.45254,-14864.461002999438,1292.0304023732026
2500.45948,-15896.137349728324,1285.6333662010966
2500.46643,-14180.170700913346,1278.7294776276178
2500.47337,-12084.93737863902,1272.077707046067
2500.48032,-8284.174820308115,1263.9520561488994
2500.48726,-13860.228364261962,1258.0734892719408
2500.49421,-10325.80842264474,1254.024426179496
2500.50115,-15316.77627436656,1248.62476836483
2500.5081,-12071.760053456936,1245.9897219552156
2500.51504,-14130.168345747976,1241.7602307108057
2500.52199,-13036.157944813098,1239.766520562932
2500.52893,-18216.70376986993,1235.635511273858
2500.53588,-12806.102736611321,1233.4021372814368
2500.54282,-10726.02349528145,1230.4925763459498
2500.54977,-12956.520893627678,1227.0884078430688
2500.55671,-12598.030040446285,1225.148386582642
2500.56366,-17367.37602556348,1221.680377492349
2500.5706,-13190.097276523691,1218.7935270609084
2500.57755,-11802.591496511599,1215.4093479878566
2500.58449,-14376.2905552942,1212.8769698016051
2500.59144,-16615.453737769785,1209.9642691650974
2500.59838,-13087.428320563855,1207.8504131248483
2500.60533,-10557.567860560323,1206.3903474937206
2500.61227,-13540.459653076998,1205.58804922634
2500.61922,-16930.307770291012,1204.0443628913722
2500.62616,-11904.109019450605,1204.375287378909
2500.63311,-16551.173382901325,1203.5442085188429
2500.64005,-10910.312851561215,1203.4769142603084
2500.647,-16023.528416178495,1202.888952915912
2500.65394,-12588.876974718585,1203.3976891378968
2500.66089,-12543.09040076984,1203.3755019173536
2500.66783,-19445.135865092976,1202.191416005908
2500.67478,-13210.573150697508,1202.0721073671375
2500.68172,-12677.072746228567,1203.2634145909299
2500.68867,-15395.957126993735,1202.3654600991315
2500.69561,-15223.734583645184,1201.9649389056456
2500.70256,-15556.919760573279,1201.9341698356466
2500.70951,-13697.68489121871,1203.0646715163464
2500.71645,-13007.782478215577,1202.6268925374197
2500.7234,-14502.94892018294,1202.4988973924933
2500.73034,-17016.237724231367,1201.5254854195077
2500.73729,-14780.434859101078,1202.7282002236739
2500.74423,-14813.58172933911,1201.8076398845299
2500.75118,-14960.223453968281,1201.8410253720454
2500.75812,-12798.958765566493,1201.5717436812065
2500.76507,-13365.188460037763,1201.105498079696
2500.77201,-12629.463575837555,1201.7021459302487
2500.77896,-20820.420254226952,1201.0568327138817
2500.7859,-9696.943785953032,1201.5748833822267
2500.79285,-14009.186560303891,1201.2671926822402
2500.79979,-15148.865273115753,1201.1804322773799
2500.80674,-16151.276048007867,1201.0209354655499
2500.81368,-13551.471735778805,1200.9408730895332
2500.82063,-11089.79501160884,1201.689796439569
2500.82757,-14803.751848728138,1201.0347501500394
2500.83452,-14150.840241922157,1199.5775102498296
2500.84146,-13468.40194481122,1200.8516009238565
2500.84841,-15005.319084379165,1200.3048743195263
2500.85535,-12877.492107186587,1200.538363418734
2500.8623,-16747.226466307147,1199.2902276064747
2500.86924,-14219.123506278063,1199.2366433757288
2500.87619,-15491.172851358247,1198.8894970995873
2500.88313,-13835.08166153699,1199.391221322627
2500.89008,-11374.895667411449,1198.9291619891433
2500.89702,-13838.261969357125,1198.7334539588796
2500.90397,-13608.018902377631,1199.53575222626
2500.91091,-11471.978258002617,1198.7361750330972
2500.91786,-16338.561516314576,1197.6157203956623
2500.9248,-10254.93835861823,1198.1340850341096
2500.93175,-16476.734734695172,1197.8816530720794
2500.93869,-16756.222128357032,1197.3350311244499
2500.94564,-14381.720563552062,1197.5411001680804
2500.95258,-13647.200591946732,1197.6667928655922
2500.95953,-18082.067738658778,1197.166847806464
2500.96647,-16306.783346407983,1196.7762689995418
2500.97342,-10534.74893217178,1198.1899717122703
2500.98036,-14039.196136625764,1197.027026454361
2500.98731,-14809.327748426744,1196.7963630860718
2500.99425,-13592.5579679868,1197.6678394325988
2501.0012,-14749.205404276128,1196.786211386106
2501.00814,-18606.866043123227,1195.9869481630453
2501.01509,-14832.040764234202,1196.1008146533804
2501.02203,-15940.244078974523,1196.0336250515466
